measured_on,Geothermal Generation,Geothermal Quantity Consumed For Electricity,Geothermal Total Fuel Consumed
2001-01-01,10779.0,111379.41,111379.41
2001-02-01,9814.0,101408.06,101408.06
2001-03-01,13946.0,144104.02,144104.02
2001-04-01,13123.0,135599.96,135599.96
2001-05-01,12515.0,129317.5,129317.5
2001-06-01,12058.0,124595.31,124595.31
2001-07-01,12648.0,130691.78,130691.78
2001-08-01,11576.0,119614.81,119614.81
2001-09-01,10846.0,112071.72,112071.72
2001-10-01,11303.0,116793.9,116793.9
2001-11-01,11398.0,117775.53,117775.53
2001-12-01,11719.0,121092.43,121092.43
2002-01-01,11696.0,118983.41,118983.41
2002-02-01,10618.0,108016.91,108016.91
2002-03-01,11924.0,121302.85,121302.85
2002-04-01,11579.0,117793.17,117793.17
2002-05-01,11667.0,118688.39,118688.39
2002-06-01,10970.0,111597.81,111597.81
2002-07-01,10617.0,108006.74,108006.74
2002-08-01,10210.0,103866.33,103866.33
2002-09-01,11622.0,118230.61,118230.61
2002-10-01,12414.0,126287.62,126287.62
2002-11-01,12114.0,123235.72,123235.72
2002-12-01,11694.0,118963.06,118963.06
2003-01-01,10517.0,107704.6,107704.6
2003-02-01,10185.0,104304.59,104304.59
2003-03-01,10808.0,110684.73,110684.73
2003-04-01,11636.0,119164.28,119164.28
2003-05-01,10861.0,111227.5,111227.5
2003-06-01,11196.0,114658.24,114658.24
2003-07-01,11269.0,115405.83,115405.83
2003-08-01,11322.0,115948.6,115948.6
2003-09-01,10873.0,111350.39,111350.39
2003-10-01,10816.0,110766.66,110766.66
2003-11-01,10638.0,108943.76,108943.76
2003-12-01,10826.0,110869.07,110869.07
2004-01-01,11102.0,111264.24,111264.24
2004-02-01,11121.0,111454.66,111454.66
2004-03-01,11176.0,112005.87,112005.87
2004-04-01,11112.0,111364.46,111364.46
2004-05-01,7809.0,78261.8,78261.8
2004-06-01,11314.0,113388.91,113388.91
2004-07-01,11339.0,113639.46,113639.46
2004-08-01,10878.0,109019.32,109019.32
2004-09-01,8432.0,84505.5,84505.5
2004-10-01,9459.0,94798.1,94798.1
2004-11-01,9533.0,95539.73,95539.73
2004-12-01,9639.0,96602.06,96602.06
2005-01-01,9890.0,98890.11,98890.11
2005-02-01,9386.0,93850.61,93850.61
2005-03-01,9226.0,92250.77,92250.77
2005-04-01,9484.0,94830.52,94830.52
2005-05-01,7812.0,78112.19,78112.19
2005-06-01,10736.0,107349.26,107349.26
2005-07-01,10187.0,101859.81,101859.81
2005-08-01,7756.0,77552.24,77552.24
2005-09-01,8007.0,80061.99,80061.99
2005-10-01,8578.0,85771.42,85771.42
2005-11-01,8106.0,81051.89,81051.89
2005-12-01,8182.0,81811.82,81811.82
2006-01-01,9755.0,96759.85,96759.85
2006-02-01,10361.0,102770.76,102770.76
2006-03-01,11849.0,117530.23,117530.23
2006-04-01,9964.0,98832.92,98832.92
2006-05-01,9009.0,89360.27,89360.27
2006-06-01,12184.0,120853.1,120853.1
2006-07-01,12145.0,120466.26,120466.26
2006-08-01,12098.0,120000.06,120000.06
2006-09-01,11651.0,115566.27,115566.27
2006-10-01,12712.0,126090.33,126090.33
2006-11-01,11302.0,112104.54,112104.54
2006-12-01,13424.0,133152.66,133152.66
2007-01-01,12823.0,126742.53,126742.53
2007-02-01,12272.0,121296.45,121296.45
2007-03-01,10439.0,103179.08,103179.08
2007-04-01,8511.0,84122.72,84122.72
2007-05-01,14503.0,143347.65,143347.65
2007-06-01,12578.0,124320.95,124320.95
2007-07-01,12715.0,125675.06,125675.06
2007-08-01,12722.0,125744.25,125744.25
2007-09-01,12306.0,121632.5,121632.5
2007-10-01,12734.0,125862.86,125862.86
2007-11-01,11880.0,117421.92,117421.92
2007-12-01,12722.0,125744.25,125744.25
2008-01-01,11970.386,117956.18000000001,117956.18000000001
2008-02-01,10827.69,106696.06,106696.06
2008-03-01,11385.92,112196.86,112196.86
2008-04-01,10979.9,108195.93000000001,108195.93000000001
2008-05-01,11375.53,112094.47,112094.47
2008-06-01,11549.829,113812.01000000001,113812.01000000001
2008-07-01,11770.796,115989.42,115989.42
2008-08-01,11629.485,114596.95,114596.95
2008-09-01,11295.176,111302.66,111302.66
2008-10-01,11682.045,115114.87,115114.87
2008-11-01,11157.663,109947.61,109947.61
2008-12-01,11355.58,111897.89,111897.89
2009-01-01,12265.445,119710.74,119710.74
2009-02-01,11110.651,108439.95,108439.95
2009-03-01,12353.622,120571.35,120571.35
2009-04-01,11772.193,114896.6,114896.6
2009-05-01,12010.139,117218.96,117218.96
2009-06-01,11626.778,113477.35,113477.35
2009-07-01,12255.653,119615.17,119615.17
2009-08-01,12143.712,118522.63,118522.63
2009-09-01,11813.921,115303.87,115303.87
2009-10-01,12137.807,118465.0,118465.0
2009-11-01,11892.448,116070.29,116070.29
2009-12-01,12715.631000000001,124104.56,124104.56
2010-01-01,12997.377,126802.0,126802.0
2010-02-01,11675.602,113907.0,113907.0
2010-03-01,12726.991,124165.0,124165.0
2010-04-01,12044.824,117509.0,117509.0
2010-05-01,12648.893,123403.0,123403.0
2010-06-01,12253.835,119548.0,119548.0
2010-07-01,12602.953,122954.0,122954.0
2010-08-01,12685.306,123758.0,123758.0
2010-09-01,12304.825,120046.0,120046.0
2010-10-01,11787.238,114996.0,114996.0
2010-11-01,12335.362000000001,120344.0,120344.0
2010-12-01,12897.794,125831.0,125831.0
2011-01-01,11517.751,111906.0,111906.0
2011-02-01,10450.108,101533.0,101533.0
2011-03-01,11516.126,111891.0,111891.0
2011-04-01,10549.545,102499.0,102499.0
2011-05-01,11319.838,109984.0,109984.0
2011-06-01,10454.392,101575.0,101575.0
2011-07-01,11120.383,108046.0,108046.0
2011-08-01,11125.43,108095.0,108095.0
2011-09-01,10645.76,103434.0,103434.0
2011-10-01,11177.588,108601.0,108601.0
2011-11-01,10932.649,106222.0,106222.0
2011-12-01,11371.43,110485.0,110485.0
2012-01-01,9785.817,93122.0,93122.0
2012-02-01,9199.65,87544.0,87544.0
2012-03-01,10002.527,95184.0,95184.0
2012-04-01,9810.452,93356.0,93356.0
2012-05-01,10103.542,96145.0,96145.0
2012-06-01,9743.198,92716.0,92716.0
2012-07-01,10172.623,96803.0,96803.0
2012-08-01,10063.177,95761.0,95761.0
2012-09-01,9934.408,94536.0,94536.0
2012-10-01,10118.394,96287.0,96287.0
2012-11-01,10090.822,96024.0,96024.0
2012-12-01,10446.39,99408.0,99408.0
2013-01-01,9748.703,93012.0,93012.0
2013-02-01,8662.889,82653.0,82653.0
2013-03-01,9834.573,93832.0,93832.0
2013-04-01,8984.756,85724.0,85724.0
2013-05-01,9459.477,90253.0,90253.0
2013-06-01,9171.776,87508.0,87508.0
2013-07-01,9780.686,93318.0,93318.0
2013-08-01,9713.421,92676.0,92676.0
2013-09-01,9394.678,89635.0,89635.0
2013-10-01,9654.918,92118.0,92118.0
2013-11-01,8442.501,80550.0,80550.0
2013-12-01,9300.622,88737.0,88737.0
2014-01-01,11486.411,109236.0,109236.0
2014-02-01,10366.858,98589.0,98589.0
2014-03-01,11519.89,109554.0,109554.0
2014-04-01,11493.967,109308.0,109308.0
2014-05-01,11768.867,111922.0,111922.0
2014-06-01,11597.885,110296.0,110296.0
2014-07-01,12093.378,115008.0,115008.0
2014-08-01,12055.385,114647.0,114647.0
2014-09-01,11674.065,111020.0,111020.0
2014-10-01,11995.608,114078.0,114078.0
2014-11-01,11819.408,112403.0,112403.0
2014-12-01,11820.278,112411.0,112411.0
2015-01-01,11597.703,108079.0,108079.0
2015-02-01,10568.692,98490.0,98490.0
2015-03-01,11575.996,107877.0,107877.0
