measured_on,"Purchased Steam-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Purchased Steam-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Purchased Steam-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed"
2003-01-01,2625.0,0.0,0.0
2003-02-01,3131.0,0.0,0.0
2003-03-01,2586.0,0.0,0.0
2003-04-01,2276.0,0.0,0.0
2003-05-01,1834.0,0.0,0.0
2003-06-01,1580.0,0.0,0.0
2003-07-01,1840.0,0.0,0.0
2003-08-01,3112.0,0.0,0.0
2003-09-01,2101.0,0.0,0.0
2003-10-01,2417.0,0.0,0.0
2003-11-01,2807.0,0.0,0.0
2003-12-01,2473.0,0.0,0.0
2004-01-01,1667.026,16707.0,16707.0
2004-02-01,1667.026,16707.0,16707.0
2004-03-01,1667.026,16707.0,16707.0
2004-04-01,1667.026,16707.0,16707.0
2004-05-01,1667.026,16707.0,16707.0
2004-06-01,1667.026,16707.0,16707.0
2004-07-01,1667.026,16707.0,16707.0
2004-08-01,1667.026,16707.0,16707.0
2004-09-01,1667.026,16707.0,16707.0
2004-10-01,1667.026,16707.0,16707.0
2004-11-01,1667.026,16707.0,16707.0
2004-12-01,1667.026,16707.0,16707.0
2005-01-01,2366.772,23665.0,23665.0
2005-02-01,2338.7070000000003,23385.0,23385.0
2005-03-01,1473.386,14732.0,14732.0
2005-04-01,1552.902,15527.0,15527.0
2005-05-01,1969.192,19690.0,19690.0
2005-06-01,1258.225,12581.0,12581.0
2005-07-01,1646.45,16463.0,16463.0
2005-08-01,1552.902,15527.0,15527.0
2005-09-01,1744.6760000000002,17445.0,17445.0
2005-10-01,1576.289,15761.0,15761.0
2005-11-01,1913.063,19129.0,19129.0
2005-12-01,2769.029,27688.0,27688.0
2006-01-01,2065.404,20487.0,20487.0
2006-02-01,1901.132,18857.0,18857.0
2006-03-01,2397.645,23782.0,23782.0
2006-04-01,2151.305,21339.0,21339.0
2006-05-01,2311.936,22932.0,22932.0
2006-06-01,1930.415,19148.0,19148.0
2006-07-01,2208.616,21907.0,21907.0
2006-08-01,2099.224,20822.0,20822.0
2006-09-01,2128.213,21110.0,21110.0
2006-10-01,2309.1040000000003,22904.0,22904.0
2006-11-01,2282.621,22641.0,22641.0
2006-12-01,2196.805,21790.0,21790.0
2007-01-01,2460.714,24322.0,24322.0
2007-02-01,1507.1680000000001,14897.0,14897.0
2007-03-01,2125.127,21005.0,21005.0
2007-04-01,1793.88,17731.0,17731.0
2007-05-01,2973.3320000000003,29388.0,29388.0
2007-06-01,2995.779,29610.0,29610.0
2007-07-01,2181.251,21559.0,21559.0
2007-08-01,1664.8020000000001,16455.0,16455.0
2007-09-01,1358.252,13425.0,13425.0
2007-10-01,2378.805,23512.0,23512.0
2007-11-01,1804.873,17839.0,17839.0
2007-12-01,2920.0190000000002,28861.0,28861.0
2008-01-01,2400.347,23653.0,23653.0
2008-02-01,2029.904,20003.0,20003.0
2008-03-01,1368.289,13483.0,13483.0
2008-04-01,2265.817,22327.0,22327.0
2008-05-01,2042.2930000000001,20125.0,20125.0
2008-06-01,5356.778,52786.0,52786.0
2008-07-01,3013.7160000000003,29697.0,29697.0
2008-08-01,2662.531,26237.0,26237.0
2008-09-01,1823.6280000000002,17970.0,17970.0
2008-10-01,2237.46,22048.0,22048.0
2008-11-01,2666.396,26275.0,26275.0
