measured_on,Natural Gas-Combined Cycle Combustion Turbine Part Generation,Natural Gas-Combined Cycle Combustion Turbine Part Quantity Consumed For Electricity,Natural Gas-Combined Cycle Combustion Turbine Part Total Fuel Consumed,Natural Gas-Combined Cycle Single Shaft Generation,Natural Gas-Combined Cycle Single Shaft Quantity Consumed For Electricity,Natural Gas-Combined Cycle Single Shaft Total Fuel Consumed,Natural Gas-Combustion (Gas) Turbine (including jet engine design) Generation,Natural Gas-Combustion (Gas) Turbine (including jet engine design) Quantity Consumed For Electricity,Natural Gas-Combustion (Gas) Turbine (including jet engine design) Total Fuel Consumed
2003-01-01,,,,496.0,5018.0,5018.0,377.0,5730.0,5730.0
2003-02-01,,,,1485.0,14556.0,14556.0,1469.0,19301.0,19301.0
2003-03-01,,,,808.0,7961.0,7961.0,650.0,9055.0,9055.0
2003-04-01,,,,0.0,0.0,0.0,509.0,8117.0,8117.0
2003-05-01,,,,0.0,0.0,0.0,-59.0,0.0,0.0
2003-06-01,,,,584.0,6113.0,6113.0,16.0,294.0,294.0
2003-07-01,,,,580.0,5508.0,5508.0,118.0,1744.0,1744.0
2003-08-01,,,,2153.0,19456.0,19456.0,1092.0,15589.0,15589.0
2003-09-01,,,,131.0,2500.0,2500.0,39.0,709.0,709.0
2003-10-01,,,,220.0,2175.0,2175.0,106.0,1809.0,1809.0
2003-11-01,,,,0.0,0.0,0.0,93.0,2273.0,2273.0
2003-12-01,,,,0.0,0.0,0.0,,,
2004-01-01,,,,273.833,3236.0,3236.0,38.497,725.0,725.0
2004-02-01,,,,273.833,3236.0,3236.0,31.88,600.0,600.0
2004-03-01,,,,273.833,3236.0,3236.0,34.746,654.0,654.0
2004-04-01,,,,273.833,3236.0,3236.0,42.552,801.0,801.0
2004-05-01,,,,273.833,3236.0,3236.0,39.999,753.0,753.0
2004-06-01,,,,273.833,3236.0,3236.0,85.686,1614.0,1614.0
2004-07-01,,,,273.833,3236.0,3236.0,37.08,698.0,698.0
2004-08-01,,,,273.833,3236.0,3236.0,52.99,998.0,998.0
2004-09-01,,,,273.833,3236.0,3236.0,47.097,887.0,887.0
2004-10-01,,,,273.833,3236.0,3236.0,23.849,449.0,449.0
2004-11-01,,,,273.833,3236.0,3236.0,38.06,717.0,717.0
2004-12-01,,,,273.833,3236.0,3236.0,29.565,557.0,557.0
2005-01-01,,,,426.205,4922.22,4922.22,139.973,2389.62,2389.62
2005-02-01,,,,340.96700000000004,3937.81,3937.81,111.98,1911.71,1911.71
2005-03-01,,,,473.155,5464.44,5464.44,155.392,2652.85,2652.85
2005-04-01,,,,449.145,5187.15,5187.15,147.507,2518.23,2518.23
2005-05-01,,,,429.49,4960.15,4960.15,141.05200000000002,2408.03,2408.03
2005-06-01,,,,810.754,9363.35,9363.35,266.266,4545.67,4545.67
2005-07-01,,,,1067.319,12326.4,12326.4,350.526,5984.16,5984.16
2005-08-01,,,,1060.275,12245.05,12245.05,348.213,5944.67,5944.67
2005-09-01,,,,641.928,7413.59,7413.59,210.82,3599.12,3599.12
2005-10-01,,,,455.165,5256.68,5256.68,149.484,2551.99,2551.99
2005-11-01,,,,398.916,4607.06,4607.06,131.011,2236.61,2236.61
2005-12-01,,,,498.68,5759.23,5759.23,163.775,2795.96,2795.96
2006-01-01,,,,48.576,778.0,778.0,53.402,892.0,892.0
2006-02-01,,,,54.911,879.0,879.0,60.367000000000004,1009.0,1009.0
2006-03-01,,,,72.35900000000001,1159.0,1159.0,79.549,1329.0,1329.0
2006-04-01,,,,59.88,959.0,959.0,65.82900000000001,1100.0,1100.0
2006-05-01,,,,78.87700000000001,1263.0,1263.0,86.714,1449.0,1449.0
2006-06-01,,,,101.602,1627.0,1627.0,111.69800000000001,1867.0,1867.0
2006-07-01,,,,181.81400000000002,2911.0,2911.0,199.87900000000002,3340.0,3340.0
2006-08-01,,,,161.55800000000002,2587.0,2587.0,177.61,2968.0,2968.0
2006-09-01,,,,95.031,1522.0,1522.0,104.474,1746.0,1746.0
2006-10-01,,,,102.938,1648.0,1648.0,113.16600000000001,1891.0,1891.0
2006-11-01,,,,69.20400000000001,1108.0,1108.0,76.081,1271.0,1271.0
2006-12-01,,,,70.251,1125.0,1125.0,77.23100000000001,1291.0,1291.0
2007-01-01,220.345,2534.0,2534.0,,,,231.122,3370.0,3370.0
2007-02-01,353.84,4069.0,4069.0,,,,371.147,5412.0,5412.0
2007-03-01,237.333,2730.0,2730.0,,,,248.941,3630.0,3630.0
2007-04-01,232.899,2678.0,2678.0,,,,244.29100000000003,3562.0,3562.0
2007-05-01,297.895,3426.0,3426.0,,,,312.465,4556.0,4556.0
2007-06-01,385.636,4434.0,4434.0,,,,404.499,5898.0,5898.0
2007-07-01,354.67,4079.0,4079.0,,,,372.01800000000003,5424.0,5424.0
2007-08-01,591.291,6799.0,6799.0,,,,620.212,9043.0,9043.0
2007-09-01,281.925,3241.0,3241.0,,,,295.715,4312.0,4312.0
2007-10-01,293.35900000000004,3373.0,3373.0,,,,307.708,4487.0,4487.0
2007-11-01,189.512,2179.0,2179.0,,,,198.782,2898.0,2898.0
2007-12-01,282.29400000000004,3247.0,3247.0,,,,296.101,4318.0,4318.0
2008-01-01,,,,150.67700000000002,2004.0,2004.0,101.668,2034.0,2034.0
2008-02-01,,,,113.61800000000001,1512.0,1512.0,76.662,1534.0,1534.0
2008-03-01,,,,138.30700000000002,1841.0,1841.0,93.32000000000001,1867.0,1867.0
2008-04-01,,,,67.14,894.0,894.0,45.302,906.0,906.0
2008-05-01,,,,55.149,734.0,734.0,37.211,745.0,745.0
2008-06-01,,,,150.93800000000002,2010.0,2010.0,101.843,2038.0,2038.0
2008-07-01,,,,181.77100000000002,2419.0,2419.0,122.64800000000001,2454.0,2454.0
2008-08-01,,,,167.68800000000002,2232.0,2232.0,113.14500000000001,2264.0,2264.0
2008-09-01,,,,90.039,1199.0,1199.0,60.752,1215.0,1215.0
2008-10-01,,,,57.160000000000004,761.0,761.0,38.568000000000005,771.0,771.0
2008-11-01,,,,60.255,802.0,802.0,40.656,814.0,814.0
2008-12-01,,,,89.25800000000001,1188.0,1188.0,60.225,1205.0,1205.0
2009-01-01,,,,156.519,2710.0,2710.0,56.191,1087.0,1087.0
2009-02-01,,,,113.43400000000001,1963.0,1963.0,40.724000000000004,788.0,788.0
2009-03-01,,,,128.143,2218.0,2218.0,46.004000000000005,890.0,890.0
2009-04-01,,,,77.45400000000001,1341.0,1341.0,27.807000000000002,538.0,538.0
2009-05-01,,,,63.429,1098.0,1098.0,22.772000000000002,441.0,441.0
2009-06-01,,,,123.09,2130.0,2130.0,44.19,855.0,855.0
2009-07-01,,,,90.229,1561.0,1561.0,32.393,626.0,626.0
2009-08-01,,,,222.726,3855.0,3855.0,79.961,1546.0,1546.0
2009-09-01,,,,169.536,2934.0,2934.0,60.865,1177.0,1177.0
2009-10-01,,,,143.221,2479.0,2479.0,51.418,994.0,994.0
2009-11-01,,,,86.936,1505.0,1505.0,31.211000000000002,604.0,604.0
2009-12-01,,,,79.283,1372.0,1372.0,28.464000000000002,550.0,550.0
2010-01-01,,,,292.813,3430.0,3430.0,188.59900000000002,3484.0,3484.0
2010-02-01,,,,168.472,1975.0,1975.0,108.512,2004.0,2004.0
2010-03-01,,,,163.588,1917.0,1917.0,105.366,1946.0,1946.0
2010-04-01,,,,199.97500000000002,2343.0,2343.0,128.803,2379.0,2379.0
2010-05-01,,,,383.622,4496.0,4496.0,247.089,4564.0,4564.0
2010-06-01,,,,525.152,6154.0,6154.0,338.248,6248.0,6248.0
2010-07-01,,,,763.748,8951.0,8951.0,491.92600000000004,9086.0,9086.0
2010-08-01,,,,738.791,8658.0,8658.0,475.851,8789.0,8789.0
2010-09-01,,,,235.03300000000002,2754.0,2754.0,151.383,2796.0,2796.0
2010-10-01,,,,280.689,3290.0,3290.0,180.79,3339.0,3339.0
2010-11-01,,,,246.08700000000002,2884.0,2884.0,158.50300000000001,2927.0,2927.0
2010-12-01,,,,447.03000000000003,5239.0,5239.0,287.93,5318.0,5318.0
2011-01-01,,,,297.279,3710.0,3710.0,132.237,2307.0,2307.0
2011-02-01,,,,209.495,2614.0,2614.0,93.188,1626.0,1626.0
2011-03-01,,,,239.944,2994.0,2994.0,106.732,1863.0,1863.0
2011-04-01,,,,167.824,2095.0,2095.0,74.652,1303.0,1303.0
2011-05-01,,,,222.713,2780.0,2780.0,99.068,1729.0,1729.0
2011-06-01,,,,235.482,2939.0,2939.0,104.748,1828.0,1828.0
2011-07-01,,,,580.347,7243.0,7243.0,258.151,4505.0,4505.0
2011-08-01,,,,378.562,4725.0,4725.0,168.393,2939.0,2939.0
2011-09-01,,,,137.8,1720.0,1720.0,61.296,1070.0,1070.0
2011-10-01,,,,187.734,2343.0,2343.0,83.508,1457.0,1457.0
2011-11-01,,,,259.429,3238.0,3238.0,115.4,2014.0,2014.0
2011-12-01,,,,318.391,3974.0,3974.0,141.627,2472.0,2472.0
2012-01-01,,,,689.951,7589.0,7589.0,98.199,2085.0,2085.0
2012-02-01,,,,718.53,7905.0,7905.0,102.264,2171.0,2171.0
2012-03-01,,,,797.504,8774.0,8774.0,113.504,2409.0,2409.0
2012-04-01,,,,1010.55,11118.0,11118.0,143.826,3053.0,3053.0
2012-05-01,,,,958.453,10544.0,10544.0,136.411,2895.0,2895.0
2012-06-01,,,,1003.263,11037.0,11037.0,142.789,3031.0,3031.0
2012-07-01,,,,1379.418,15175.0,15175.0,196.325,4167.0,4167.0
2012-08-01,,,,742.423,8168.0,8168.0,105.665,2243.0,2243.0
2012-09-01,,,,512.006,5633.0,5633.0,72.871,1547.0,1547.0
2012-10-01,,,,391.134,4303.0,4303.0,55.668,1181.0,1181.0
2012-11-01,,,,394.043,4335.0,4335.0,56.082,1191.0,1191.0
2012-12-01,,,,255.725,2813.0,2813.0,36.396,773.0,773.0
2013-01-01,,,,116.335,1725.0,1725.0,60.494,913.0,913.0
2013-02-01,,,,100.277,1487.0,1487.0,52.144,787.0,787.0
2013-03-01,,,,162.398,2409.0,2409.0,84.447,1275.0,1275.0
