measured_on,Natural Gas Generation,Natural Gas Quantity Consumed For Electricity,Natural Gas Total Fuel Consumed,Waste heat not directly attributed to a fuel source Generation,Waste heat not directly attributed to a fuel source Quantity Consumed For Electricity,Waste heat not directly attributed to a fuel source Total Fuel Consumed
2001-01-01,3791.0,23872.0,46372.0,,,
2001-02-01,829.0,5520.0,13020.0,,,
2001-03-01,807.0,6674.0,14174.0,,,
2001-04-01,862.0,6272.0,13772.0,,,
2001-05-01,852.0,9260.0,16760.0,,,
2001-06-01,854.0,9144.0,29144.0,,,
2001-07-01,614.0,4164.0,16664.0,,,
2001-08-01,1873.0,11476.0,22726.0,,,
2001-09-01,3284.0,20186.0,38936.0,,,
2001-10-01,3247.0,20875.0,40875.0,,,
2001-11-01,3241.0,19531.0,39531.0,,,
2001-12-01,1544.0,12606.0,25106.0,,,
2002-01-01,2640.12,18117.0,38404.0,,,
2002-02-01,2998.8,20579.0,43622.0,,,
2002-03-01,3326.12,22825.0,48383.0,,,
2002-04-01,3190.88,21897.0,46416.0,,,
2002-05-01,2845.92,19529.0,41398.0,,,
2002-06-01,2342.2,16073.0,34071.0,,,
2002-07-01,2535.26,17398.0,36879.0,,,
2002-08-01,2533.3,17384.0,36850.0,,,
2002-09-01,2895.9,19872.0,42125.0,,,
2002-10-01,3323.18,22804.0,48340.0,,,
2002-11-01,3248.7,33530.0,38320.0,,,
2002-12-01,2960.58,20316.0,43066.0,,,
2004-01-01,2424.357,13401.73,41170.85,,,
2004-02-01,2424.357,13401.73,41170.85,,,
2004-03-01,2424.357,13401.73,41170.85,,,
2004-04-01,2424.357,13401.73,41170.85,,,
2004-05-01,2424.357,13401.73,41170.85,,,
2004-06-01,2424.357,13401.73,41170.85,,,
2004-07-01,2424.357,13401.73,41170.85,,,
2004-08-01,2424.357,13401.73,41170.85,,,
2004-09-01,2424.357,13401.73,41170.85,,,
2004-10-01,2424.357,13401.73,41170.85,,,
2004-11-01,2424.357,13401.73,41170.85,,,
2004-12-01,2424.357,13401.73,41170.85,,,
2005-01-01,1974.491,10914.9,33781.52,,,
2005-02-01,1750.438,9676.34,29948.19,,,
2005-03-01,2088.84,11547.02,35737.92,,,
2005-04-01,2141.574,11838.52,36640.13,,,
2005-05-01,1737.3290000000002,9603.88,29723.92,,,
2005-06-01,2955.71,16339.03,50569.17,,,
2005-07-01,3808.848,21055.14,65165.5,,,
2005-08-01,4072.228,22511.1,69671.66,,,
2005-09-01,2693.8160000000003,14891.3,46088.44,,,
2005-10-01,1862.914,10298.11,31872.55,,,
2005-11-01,1672.1760000000002,9243.71,28609.22,,,
2005-12-01,1806.6770000000001,9987.23,30910.39,,,
2006-01-01,2506.8830000000003,13857.94,32946.98,,,
2006-02-01,2499.576,13817.55,32850.94,,,
2006-03-01,2726.902,15074.19,35838.61,,,
