measured_on,Kerosene - Combustion (Gas) Turbine (including jet engine design) - Waste Oil - Generation,Kerosene - Combustion (Gas) Turbine (including jet engine design) - Waste Oil - Quantity Consumed For Electricity,Kerosene - Combustion (Gas) Turbine (including jet engine design) - Waste Oil - Total Fuel Consumed
2003-01-01,145.0,1568.0,1568.0
2003-02-01,748.72,9458.0,9458.0
2003-03-01,764.0,9341.0,9341.0
2003-04-01,244.0,4178.0,4178.0
2003-05-01,52.0,627.0,627.0
2003-06-01,127.0,1904.0,1904.0
2003-07-01,218.0,3875.0,3875.0
2003-08-01,302.0,4290.0,4290.0
2003-09-01,302.0,4336.0,4336.0
2003-10-01,232.0,3618.0,3618.0
2003-11-01,149.0,1613.0,1613.0
2003-12-01,194.0,2458.0,2458.0
2004-01-01,98.167,1320.0,1320.0
2004-02-01,98.167,1320.0,1320.0
2004-03-01,98.167,1320.0,1320.0
2004-04-01,98.167,1320.0,1320.0
2004-05-01,98.167,1320.0,1320.0
2004-06-01,98.167,1320.0,1320.0
2004-07-01,98.167,1320.0,1320.0
2004-08-01,98.167,1320.0,1320.0
2004-09-01,98.167,1320.0,1320.0
2004-10-01,98.167,1320.0,1320.0
2004-11-01,98.167,1320.0,1320.0
2004-12-01,98.167,1320.0,1320.0
2005-01-01,646.735,8717.29,8717.29
2005-02-01,148.866,2006.55,2006.55
2005-03-01,127.745,1721.86,1721.86
2005-04-01,127.81700000000001,1722.84,1722.84
2005-05-01,128.871,1737.04,1737.04
2005-06-01,156.109,2104.18,2104.18
2005-07-01,295.653,3985.09,3985.09
2005-08-01,261.863,3529.63,3529.63
2005-09-01,145.707,1963.97,1963.97
2005-10-01,204.28300000000002,2753.52,2753.52
2005-11-01,137.556,1854.11,1854.11
2005-12-01,376.796,5078.81,5078.81
2006-01-01,260.31600000000003,3613.0,3613.0
2006-02-01,136.215,1891.0,1891.0
2006-03-01,114.42200000000001,1588.0,1588.0
2006-04-01,219.18,3042.0,3042.0
2006-05-01,204.87800000000001,2844.0,2844.0
2006-06-01,186.22,2585.0,2585.0
2006-07-01,269.745,3744.0,3744.0
2006-08-01,261.651,3632.0,3632.0
2006-09-01,120.20700000000001,1669.0,1669.0
2006-10-01,126.977,1762.0,1762.0
2006-11-01,149.519,2075.0,2075.0
2006-12-01,165.669,2300.0,2300.0
2007-01-01,0.295,4703.0,4703.0
2007-02-01,0.383,6118.0,6118.0
2007-03-01,0.20400000000000001,3257.0,3257.0
2007-04-01,0.12100000000000001,1928.0,1928.0
2007-05-01,0.094,1507.0,1507.0
2007-06-01,0.151,2403.0,2403.0
2007-07-01,0.128,2037.0,2037.0
2007-08-01,0.153,2446.0,2446.0
2007-09-01,0.11900000000000001,1891.0,1891.0
2007-10-01,0.092,1464.0,1464.0
2007-11-01,0.091,1452.0,1452.0
2007-12-01,0.17,2715.0,2715.0
2008-01-01,369.442,5451.0,5451.0
2008-02-01,309.039,4562.0,4562.0
2008-03-01,265.168,3917.0,3917.0
2008-04-01,144.279,2128.0,2128.0
2008-05-01,132.965,1964.0,1964.0
2008-06-01,301.79900000000004,4454.0,4454.0
2008-07-01,276.65500000000003,4087.0,4087.0
2008-08-01,229.23000000000002,3385.0,3385.0
2008-09-01,291.622,4307.0,4307.0
2008-10-01,167.041,2468.0,2468.0
2008-11-01,203.39000000000001,3000.0,3000.0
2008-12-01,328.75,4851.0,4851.0
2009-01-01,1200.124,16855.0,16855.0
2009-02-01,497.499,6984.0,6984.0
2009-03-01,518.924,7284.0,7284.0
2009-04-01,66.852,940.0,940.0
2009-05-01,106.042,1489.0,1489.0
2009-06-01,46.565,657.0,657.0
2009-07-01,36.008,504.0,504.0
2009-08-01,159.40200000000002,2236.0,2236.0
2009-09-01,21.175,300.0,300.0
2009-10-01,26.164,368.0,368.0
2009-11-01,62.05,872.0,872.0
2009-12-01,165.195,2321.0,2321.0
2010-01-01,236.11200000000002,3221.0,3221.0
2010-02-01,102.218,1390.0,1390.0
2010-03-01,258.795,3525.0,3525.0
2010-04-01,106.162,1443.0,1443.0
2010-05-01,230.085,3131.0,3131.0
2010-06-01,200.788,2732.0,2732.0
2010-07-01,1114.605,15172.0,15172.0
2010-08-01,333.918,4545.0,4545.0
2010-09-01,449.50800000000004,6119.0,6119.0
2010-10-01,418.02500000000003,5690.0,5690.0
2010-11-01,94.83,1288.0,1288.0
2010-12-01,306.954,4181.0,4181.0
2011-01-01,260.938,3934.0,3934.0
2011-02-01,100.862,1517.0,1517.0
2011-03-01,38.913,589.0,589.0
2011-04-01,21.723,328.0,328.0
2011-05-01,22.285,334.0,334.0
2011-06-01,37.603,566.0,566.0
2011-07-01,146.416,2202.0,2202.0
2011-08-01,46.967,708.0,708.0
2011-09-01,31.381,470.0,470.0
2011-10-01,26.922,408.0,408.0
2011-11-01,20.8,311.0,311.0
2011-12-01,36.19,543.0,543.0
2012-01-01,120.08,1633.0,1633.0
2012-02-01,12.779,176.0,176.0
2012-03-01,28.726,391.0,391.0
2012-04-01,25.815,352.0,352.0
2012-05-01,23.945,329.0,329.0
2012-06-01,164.443,2240.0,2240.0
2012-07-01,82.307,1123.0,1123.0
2012-08-01,51.806,709.0,709.0
2012-09-01,36.59,499.0,499.0
2012-10-01,34.007,465.0,465.0
2012-11-01,44.873,612.0,612.0
2012-12-01,22.629,306.0,306.0
2013-01-01,66.368,894.0,894.0
2013-02-01,35.99,483.0,483.0
2013-03-01,5.159,72.0,72.0
2013-04-01,2.704,36.0,36.0
2013-05-01,4.329,60.0,60.0
2013-06-01,8.286,113.0,113.0
2013-07-01,32.524,435.0,435.0
2013-08-01,1.717,24.0,24.0
2013-09-01,12.471,167.0,167.0
2013-10-01,5.409,72.0,72.0
2013-11-01,12.872,173.0,173.0
2013-12-01,90.171,1210.0,1210.0
2014-01-01,1201.392,16290.0,16290.0
2014-02-01,257.861,3494.0,3494.0
2014-03-01,342.568,4642.0,4642.0
2014-04-01,7.064,95.0,95.0
2014-05-01,9.422,129.0,129.0
2014-06-01,2.965,39.0,39.0
2014-07-01,30.529,414.0,414.0
2014-08-01,23.015,314.0,314.0
2014-09-01,6.126,84.0,84.0
2014-10-01,7.934,106.0,106.0
2014-11-01,11.411,157.0,157.0
2014-12-01,27.713,375.0,375.0
2015-01-01,178.165,2772.0,2772.0
2015-02-01,1142.979,17797.0,17797.0
2015-03-01,50.865,790.0,790.0
2015-04-01,7.845,123.0,123.0
2015-05-01,18.064,280.0,280.0
2015-06-01,9.953,157.0,157.0
2015-07-01,31.339,487.0,487.0
2015-08-01,17.903,280.0,280.0
2015-09-01,53.223,829.0,829.0
2015-10-01,8.078,123.0,123.0
2015-11-01,12.538,196.0,196.0
2015-12-01,16.048,252.0,252.0
2016-01-01,25.588,420.0,420.0
2016-02-01,53.804,885.0,885.0
2016-03-01,1.888,28.0,28.0
2016-04-01,4.002,68.0,68.0
2016-05-01,5.868,96.0,96.0
2016-06-01,9.776,159.0,159.0
2016-07-01,41.963,692.0,692.0
2016-08-01,29.165,482.0,482.0
2016-09-01,54.546,896.0,896.0
2016-10-01,83.919,1378.0,1378.0
2016-11-01,221.205,3634.0,3634.0
2016-12-01,76.276,1253.0,1253.0
2017-01-01,80.744,1310.0,1310.0
2017-02-01,43.742,703.0,703.0
2017-03-01,52.539,845.0,845.0
2017-04-01,36.368,584.0,584.0
2017-05-01,37.279,601.0,601.0
2017-06-01,37.099,595.0,595.0
2017-07-01,25.464,408.0,408.0
2017-08-01,24.919,403.0,403.0
2017-09-01,42.322,680.0,680.0
2017-10-01,41.123,663.0,663.0
2017-11-01,69.144,1117.0,1117.0
2017-12-01,958.257,15451.0,15451.0
2018-01-01,426.12,7429.0,7429.0
2018-02-01,16.401,287.0,287.0
2018-03-01,18.208,315.0,315.0
2018-04-01,13.959,242.0,242.0
2018-05-01,15.48,270.0,270.0
2018-06-01,13.323,231.0,231.0
2018-07-01,18.36,321.0,321.0
2018-08-01,33.073,574.0,574.0
2018-09-01,16.265,281.0,281.0
2018-10-01,14.727,259.0,259.0
2018-11-01,31.668,552.0,552.0
2018-12-01,17.416,304.0,304.0
2019-01-01,41.497,1204.0,1204.0
2019-02-01,25.957,749.0,749.0
2019-03-01,27.056,782.0,782.0
2019-04-01,21.015,608.0,608.0
2019-05-01,10.746,310.0,310.0
2019-06-01,13.088,377.0,377.0
2019-07-01,17.796,512.0,512.0
2019-08-01,33.94,979.0,979.0
2019-09-01,16.35,473.0,473.0
2019-10-01,25.717,743.0,743.0
2019-11-01,35.544,1030.0,1030.0
2019-12-01,40.294,1165.0,1165.0
2020-01-01,15.516,270.0,270.0
2020-02-01,16.56,281.0,281.0
2020-03-01,12.869,219.0,219.0
2020-04-01,14.298,242.0,242.0
2020-05-01,10.003,169.0,169.0
2020-06-01,9.717,169.0,169.0
2020-07-01,11.544,197.0,197.0
2020-08-01,10.892,186.0,186.0
2020-09-01,12.35,214.0,214.0
2020-10-01,19.387,332.0,332.0
2020-11-01,19.523,332.0,332.0
2020-12-01,109.341,1874.0,1874.0
2021-01-01,41.061,734.0,734.0
2021-02-01,90.84,1630.0,1630.0
2021-03-01,22.918,409.0,409.0
2021-04-01,11.776,213.0,213.0
2021-05-01,10.186,185.0,185.0
2021-06-01,9.97,179.0,179.0
2021-07-01,15.048,269.0,269.0
2021-08-01,17.94,325.0,325.0
2021-09-01,11.475,207.0,207.0
2021-10-01,19.901,358.0,358.0
2021-11-01,24.106,431.0,431.0
2021-12-01,103.779,1865.0,1865.0
2022-01-01,231.219,4598.0,4598.0
2022-02-01,33.173,661.0,661.0
2022-03-01,4.478,90.0,90.0
2022-04-01,2.248,45.0,45.0
2022-05-01,1.566,34.0,34.0
2022-06-01,11.749,235.0,235.0
2022-07-01,7.229,146.0,146.0
2022-08-01,2.155,45.0,45.0
2022-09-01,4.32,84.0,84.0
2022-10-01,3.357,67.0,67.0
2022-11-01,3.801,78.0,78.0
2022-12-01,79.705,1590.0,1590.0
2023-01-01,18.535,370.0,370.0
2023-02-01,123.887,2514.0,2514.0
2023-03-01,14.251,291.0,291.0
2023-04-01,11.818,241.0,241.0
2023-05-01,8.142,168.0,168.0
2023-06-01,9.236,185.0,185.0
2023-07-01,11.749,241.0,241.0
2023-08-01,8.129,162.0,162.0
2023-09-01,13.468,274.0,274.0
2023-10-01,16.465,336.0,336.0
2023-11-01,16.745,342.0,342.0
2023-12-01,22.575,459.0,459.0
2024-01-01,42.067,890.0,890.0
2024-02-01,21.528,448.0,448.0
2024-03-01,13.626,286.0,286.0
2024-04-01,14.559,302.0,302.0
2024-05-01,16.37,342.0,342.0
2024-06-01,41.865,874.0,874.0
2024-07-01,49.482,1036.0,1036.0
2024-08-01,32.864,689.0,689.0
2024-09-01,11.348,235.0,235.0
2024-10-01,13.492,280.0,280.0
2024-11-01,23.853,498.0,498.0
2024-12-01,175.946,3685.0,3685.0
