measured_on,Municiapl Landfill Gas-Combined Cycle Combustion Turbine Part Generation,Municiapl Landfill Gas-Combined Cycle Combustion Turbine Part Quantity Consumed For Electricity,Municiapl Landfill Gas-Combined Cycle Combustion Turbine Part Total Fuel Consumed,Municiapl Landfill Gas-Combined Cycle Steam Part Generation,Municiapl Landfill Gas-Combined Cycle Steam Part Quantity Consumed For Electricity,Municiapl Landfill Gas-Combined Cycle Steam Part Total Fuel Consumed,Natural Gas-Combined Cycle Combustion Turbine Part Generation,Natural Gas-Combined Cycle Combustion Turbine Part Quantity Consumed For Electricity,Natural Gas-Combined Cycle Combustion Turbine Part Total Fuel Consumed,Natural Gas-Combined Cycle Steam Part Generation,Natural Gas-Combined Cycle Steam Part Quantity Consumed For Electricity,Natural Gas-Combined Cycle Steam Part Total Fuel Consumed,Other Biomass Gas-Combined Cycle Combustion Turbine Part Generation,Other Biomass Gas-Combined Cycle Combustion Turbine Part Quantity Consumed For Electricity,Other Biomass Gas-Combined Cycle Combustion Turbine Part Total Fuel Consumed,Other Biomass Gas-Combined Cycle Steam Part Generation,Other Biomass Gas-Combined Cycle Steam Part Quantity Consumed For Electricity,Other Biomass Gas-Combined Cycle Steam Part Total Fuel Consumed,Other Gases-Combined Cycle Combustion Turbine Part Generation,Other Gases-Combined Cycle Combustion Turbine Part Quantity Consumed For Electricity,Other Gases-Combined Cycle Combustion Turbine Part Total Fuel Consumed,Other Gases-Combined Cycle Steam Part Generation,Other Gases-Combined Cycle Steam Part Quantity Consumed For Electricity,Other Gases-Combined Cycle Steam Part Total Fuel Consumed
2003-01-01,,,,,,,,,,,,,,,,2250.0,0.0,0.0,,,,,,
2003-02-01,,,,,,,,,,,,,8802.0,62312.0,62312.0,1478.0,0.0,0.0,,,,,,
2003-03-01,,,,,,,,,,,,,11367.0,86292.0,86292.0,1748.0,0.0,0.0,,,,,,
2003-04-01,,,,,,,,,,,,,10873.0,89009.0,89009.0,1998.0,0.0,0.0,,,,,,
2003-05-01,,,,,,,,,,,,,9955.0,142776.0,142776.0,2014.0,0.0,0.0,,,,,,
2003-06-01,,,,,,,,,,,,,10396.0,155882.0,155882.0,2241.0,0.0,0.0,,,,,,
2003-07-01,,,,,,,,,,,,,10303.0,159985.0,159985.0,2347.0,0.0,0.0,,,,,,
2003-08-01,,,,,,,,,,,,,10526.0,165791.0,165791.0,2574.0,0.0,0.0,,,,,,
2003-09-01,,,,,,,,,,,,,10731.0,160896.0,160896.0,2593.0,0.0,0.0,,,,,,
2003-10-01,,,,,,,,,,,,,10812.0,157060.0,157060.0,2526.0,0.0,0.0,,,,,,
2003-11-01,,,,,,,,,,,,,11174.0,158317.0,158317.0,2439.0,0.0,0.0,,,,,,
2003-12-01,,,,,,,,,,,,,12003.0,168925.0,168925.0,2457.0,0.0,0.0,,,,,,
2004-01-01,,,,,,,512.45553,6386.58,6845.59,91.43137999999999,0.0,0.0,11712.52147,145969.7,156460.64,2089.72662,0.0,0.0,,,,,,
2004-02-01,,,,,,,516.67084,6390.05,6901.9,87.54419,0.0,0.0,11712.52116,144857.43,156460.64,1984.55781,0.0,0.0,,,,,,
2004-03-01,,,,,,,505.79527,6317.19,6756.62,91.53022,0.0,0.0,11712.52073,146284.92,156460.64,2119.53278,0.0,0.0,,,,,,
2004-04-01,,,,,,,513.69593,6435.39,6862.16,94.80597,0.0,0.0,11712.52107,146730.05,156460.64,2161.62303,0.0,0.0,,,,,,
2004-05-01,,,,,,,445.08970999999997,5519.55,5945.69,76.81411,0.0,0.0,11712.52129,145246.66,156460.64,2021.36089,0.0,0.0,,,,,,
2004-06-01,,,,,,,485.91492,5996.27,6491.05,81.06573999999999,0.0,0.0,11712.52108,144534.4,156460.64,1954.01326,0.0,0.0,,,,,,
2004-07-01,,,,,,,686.46724,9051.08,9170.11,169.36247,0.0,0.0,11712.52076,154429.68,156460.64,2889.66653,0.0,0.0,,,,,,
