measured_on,"Electricity used for energy storage-Energy Storage, Battery Generation","Electricity used for energy storage-Energy Storage, Battery Quantity Consumed For Electricity","Electricity used for energy storage-Energy Storage, Battery Total Fuel Consumed"
2016-01-01,-75.343,0.0,0.0
2016-02-01,-65.34,0.0,0.0
2016-03-01,-85.745,0.0,0.0
2016-04-01,-80.845,0.0,0.0
2016-05-01,-103.243,0.0,0.0
2016-06-01,-73.718,0.0,0.0
2016-07-01,-101.595,0.0,0.0
2016-08-01,-94.818,0.0,0.0
2016-09-01,-76.969,0.0,0.0
2016-10-01,-112.328,0.0,0.0
2016-11-01,-92.924,0.0,0.0
2016-12-01,-83.132,0.0,0.0
2017-01-01,-107.555,0.0,0.0
2017-02-01,-93.001,0.0,0.0
2017-03-01,-116.209,0.0,0.0
2017-04-01,-120.564,0.0,0.0
2017-05-01,-102.129,0.0,0.0
2017-06-01,-123.907,0.0,0.0
2017-07-01,-124.4,0.0,0.0
2017-08-01,-124.583,0.0,0.0
2017-09-01,-110.685,0.0,0.0
2017-10-01,-109.398,0.0,0.0
2017-11-01,-115.017,0.0,0.0
2017-12-01,-119.552,0.0,0.0
2018-01-01,-144.49,0.0,0.0
2018-02-01,-118.559,0.0,0.0
2018-03-01,-122.633,0.0,0.0
2018-04-01,-104.496,0.0,0.0
2018-05-01,-128.881,0.0,0.0
2018-06-01,-132.02,0.0,0.0
2018-07-01,-139.72,0.0,0.0
2018-08-01,-141.282,0.0,0.0
2018-09-01,-98.282,0.0,0.0
2018-10-01,-123.065,0.0,0.0
2018-11-01,-135.917,0.0,0.0
2018-12-01,-147.655,0.0,0.0
2019-01-01,-148.708,0.0,0.0
2019-02-01,-120.62,0.0,0.0
2019-03-01,-133.061,0.0,0.0
2019-04-01,-131.166,0.0,0.0
2019-05-01,-141.292,0.0,0.0
2019-06-01,-147.073,0.0,0.0
2019-07-01,-149.767,0.0,0.0
2019-08-01,-158.055,0.0,0.0
2019-09-01,-124.116,0.0,0.0
2019-10-01,-67.948,0.0,0.0
2019-11-01,-149.149,0.0,0.0
2019-12-01,-158.045,0.0,0.0
2020-01-01,-107.805,0.0,0.0
2020-02-01,-97.368,0.0,0.0
2020-03-01,-104.05,0.0,0.0
2020-04-01,-106.975,0.0,0.0
2020-05-01,-114.902,0.0,0.0
2020-06-01,-106.689,0.0,0.0
2020-07-01,-114.5,0.0,0.0
2020-08-01,-121.393,0.0,0.0
2020-09-01,-111.016,0.0,0.0
2020-10-01,-117.806,0.0,0.0
2020-11-01,-115.928,0.0,0.0
2020-12-01,-130.568,0.0,0.0
2021-01-01,-118.454,0.0,0.0
2021-02-01,-98.809,0.0,0.0
2021-03-01,-115.465,0.0,0.0
2021-04-01,-109.045,0.0,0.0
2021-05-01,-123.096,0.0,0.0
2021-06-01,-111.37,0.0,0.0
2021-07-01,-109.14,0.0,0.0
2021-08-01,-115.059,0.0,0.0
2021-09-01,-107.258,0.0,0.0
2021-10-01,-93.422,0.0,0.0
2021-11-01,-114.145,0.0,0.0
2021-12-01,-116.737,0.0,0.0
2022-01-01,-117.556,0.0,0.0
2022-02-01,-114.221,0.0,0.0
2022-03-01,-122.572,0.0,0.0
2022-04-01,-113.724,0.0,0.0
2022-05-01,-121.012,0.0,0.0
2022-06-01,-128.802,0.0,0.0
2022-07-01,-129.256,0.0,0.0
2022-08-01,-133.826,0.0,0.0
2022-09-01,-131.467,0.0,0.0
2022-10-01,-117.859,0.0,0.0
2022-11-01,-131.783,0.0,0.0
2022-12-01,-118.922,0.0,0.0
2023-01-01,-305.0,0.0,0.0
2023-02-01,-11.0,0.0,0.0
2023-03-01,-35.0,0.0,0.0
2023-04-01,-168.0,0.0,0.0
2023-05-01,-63.0,0.0,0.0
2023-06-01,-129.0,0.0,0.0
2023-07-01,-113.0,0.0,0.0
2023-08-01,-143.0,0.0,0.0
2023-09-01,-127.0,0.0,0.0
2023-10-01,-68.0,0.0,0.0
2023-11-01,-105.0,0.0,0.0
2023-12-01,-116.0,0.0,0.0
2024-01-01,-116.0,0.0,0.0
2024-02-01,-61.0,0.0,0.0
2024-03-01,-122.0,0.0,0.0
2024-04-01,-102.0,0.0,0.0
2024-05-01,-120.0,0.0,0.0
2024-06-01,-133.0,0.0,0.0
2024-07-01,-116.0,0.0,0.0
2024-08-01,-133.0,0.0,0.0
2024-09-01,-141.0,0.0,0.0
2024-10-01,-108.0,0.0,0.0
2024-11-01,-91.0,0.0,0.0
2024-12-01,-128.0,0.0,0.0
