measured_on,"Agricultural By-Products - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Other Renewables - Generation","Agricultural By-Products - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Other Renewables - Quantity Consumed For Electricity","Agricultural By-Products - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Other Renewables - Total Fuel Consumed","Bituminous Coal - Internal Combustion Engine (diesel, piston, reciprocating) - Coal - Generation","Bituminous Coal - Internal Combustion Engine (diesel, piston, reciprocating) - Coal - Quantity Consumed For Electricity","Bituminous Coal - Internal Combustion Engine (diesel, piston, reciprocating) - Coal - Total Fuel Consumed","Bituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Generation","Bituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Quantity Consumed For Electricity","Bituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Total Fuel Consumed","Blast Furnace Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Other Gases - Generation","Blast Furnace Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Other Gases - Quantity Consumed For Electricity","Blast Furnace Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Other Gases - Total Fuel Consumed","Distillate Fuel Oil - Internal Combustion Engine (diesel, piston, reciprocating) - Distillate Fuel Oil - Generation","Distillate Fuel Oil - Internal Combustion Engine (diesel, piston, reciprocating) - Distillate Fuel Oil - Quantity Consumed For Electricity","Distillate Fuel Oil - Internal Combustion Engine (diesel, piston, reciprocating) - Distillate Fuel Oil - Total Fuel Consumed","Natural Gas - Internal Combustion Engine (diesel, piston, reciprocating) - Natural Gas - Generation","Natural Gas - Internal Combustion Engine (diesel, piston, reciprocating) - Natural Gas - Quantity Consumed For Electricity","Natural Gas - Internal Combustion Engine (diesel, piston, reciprocating) - Natural Gas - Total Fuel Consumed","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Generation","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Quantity Consumed For Electricity","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Total Fuel Consumed","Other Gases - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Other Gases - Generation","Other Gases - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Other Gases - Quantity Consumed For Electricity","Other Gases - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Other Gases - Total Fuel Consumed","Residual Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Residual Fuel Oil - Generation","Residual Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Residual Fuel Oil - Quantity Consumed For Electricity","Residual Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Residual Fuel Oil - Total Fuel Consumed","Subbituminous Coal - Internal Combustion Engine (diesel, piston, reciprocating) - Coal - Generation","Subbituminous Coal - Internal Combustion Engine (diesel, piston, reciprocating) - Coal - Quantity Consumed For Electricity","Subbituminous Coal - Internal Combustion Engine (diesel, piston, reciprocating) - Coal - Total Fuel Consumed","Subbituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Generation","Subbituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Quantity Consumed For Electricity","Subbituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Total Fuel Consumed"
2003-01-01,,,,,,,216399.0,1969000.0,1969000.0,,,,-5.0,0.0,0.0,,,,3383.0,38243.0,38243.0,,,,0.0,0.0,0.0,,,,,,
2003-02-01,,,,,,,127886.0,1315100.0,1315100.0,,,,160.0,2018.0,2018.0,,,,1396.0,17489.0,17489.0,,,,0.0,0.0,0.0,,,,,,
2003-03-01,,,,,,,313484.0,2709960.0,2709960.0,,,,25.0,632.0,632.0,,,,3750.0,40270.0,40270.0,,,,0.0,0.0,0.0,,,,,,
2003-04-01,,,,,,,202553.0,1857000.0,1857000.0,,,,-35.0,0.0,0.0,,,,3798.0,43256.0,43256.0,,,,0.0,0.0,0.0,,,,,,
2003-05-01,,,,,,,257376.0,2359100.0,2359100.0,,,,-27.0,0.0,0.0,,,,2317.0,26383.0,26383.0,,,,0.0,0.0,0.0,,,,,,
2003-06-01,,,,,,,234803.0,2266400.0,2266400.0,,,,87.0,1224.0,1224.0,,,,1943.0,23299.0,23299.0,,,,0.0,0.0,0.0,,,,,,
2003-07-01,,,,,,,300693.0,2784480.0,2784480.0,,,,25.0,476.0,476.0,,,,2437.0,28037.0,28037.0,,,,0.0,0.0,0.0,,,,,,
2003-08-01,,,,,,,213326.0,1988880.0,1988880.0,,,,174.0,2297.0,2297.0,,,,1816.0,27388.0,27388.0,,,,0.0,0.0,0.0,,,,,,
2003-09-01,,,,,,,167105.0,1581600.0,1581600.0,,,,22.0,545.0,545.0,,,,1341.0,15761.0,15761.0,,,,0.0,0.0,0.0,,,,,,
2003-10-01,,,,,,,207766.0,1904120.0,1904120.0,,,,-24.0,0.0,0.0,,,,2858.0,32538.0,32538.0,,,,0.0,0.0,0.0,,,,,,
2003-11-01,,,,,,,179022.0,1744920.0,1744920.0,,,,-27.0,0.0,0.0,,,,3053.0,36969.0,36969.0,,,,0.0,0.0,0.0,,,,,,
2003-12-01,,,,,,,308320.0,2907480.0,2907480.0,,,,-41.0,0.0,0.0,,,,2473.0,28974.0,28974.0,,,,0.0,0.0,0.0,,,,,,
2004-01-01,,,,,,,185315.0,1550178.0,1550178.0,,,,-46.0,23.0,23.0,,,,5157.0,50657.0,50657.0,728.0,4212.0,4212.0,0.0,0.0,0.0,,,,113341.0,1190103.0,1190103.0
2004-02-01,,,,,,,197087.0,1648899.0,1648899.0,,,,-40.0,0.0,0.0,,,,2161.0,21248.0,21248.0,354.0,2085.0,2085.0,0.0,0.0,0.0,,,,97005.0,1018723.0,1018723.0
2004-03-01,,,,,,,169807.0,1433019.0,1433019.0,,,,-31.0,0.0,0.0,,,,1490.0,14877.0,14877.0,,,,0.0,0.0,0.0,,,,122841.0,1301272.0,1301272.0
2004-04-01,,,,,,,82976.0,702812.0,702812.0,,,,-4.0,553.0,553.0,,,,1276.0,12828.0,12828.0,,,,0.0,0.0,0.0,,,,79189.0,930555.0,930555.0
2004-05-01,,,,,,,122912.0,1121586.0,1121586.0,,,,-19.0,109.0,109.0,,,,4701.0,50504.0,50504.0,,,,0.0,0.0,0.0,,,,107318.0,1358625.0,1358625.0
2004-06-01,,,,,,,142395.0,1211570.0,1211570.0,,,,-17.0,163.0,163.0,,,,1505.0,15332.0,15332.0,,,,0.0,0.0,0.0,,,,128878.0,1521333.0,1521333.0
2004-07-01,,,,,,,129341.0,1120413.0,1120413.0,,,,7.0,78.0,78.0,,,,1426.0,14910.0,14910.0,,,,0.0,0.0,0.0,,,,157012.0,1886979.0,1886979.0
2004-08-01,,,,,,,110147.0,992150.0,992150.0,,,,24.0,532.0,532.0,,,,6431.0,68190.0,68190.0,,,,0.0,0.0,0.0,,,,117042.0,1462637.0,1462637.0
2004-09-01,,,,,,,113329.0,949064.0,949064.0,,,,-17.0,163.0,163.0,,,,4060.0,41672.0,41672.0,,,,0.0,0.0,0.0,,,,186639.0,2168452.0,2168452.0
2004-10-01,,,,,,,118008.0,965404.0,965404.0,,,,-32.0,0.0,0.0,,,,2715.0,27414.0,27414.0,,,,0.0,0.0,0.0,,,,198469.0,2252589.0,2252589.0
2004-11-01,,,,,,,116685.0,934093.0,934093.0,,,,-37.0,35.0,35.0,,,,2959.0,29400.0,29400.0,,,,0.0,0.0,0.0,,,,195932.0,2176062.0,2176062.0
2004-12-01,,,,,,,116702.0,953540.0,953540.0,,,,-35.0,78.0,78.0,,,,6124.0,60941.0,60941.0,,,,0.0,0.0,0.0,,,,196281.0,2225000.0,2225000.0
2005-01-01,,,,,,,131607.0,1062067.04,1062067.04,,,,33.0,736.98,736.98,,,,7573.0,75415.65,75415.65,0.0,0.0,0.0,,,,,,,179164.0,2005921.64,2005921.64
2005-02-01,,,,,,,124596.0,996906.65,996906.65,,,,-26.0,0.0,0.0,,,,4672.0,46166.26,46166.26,0.0,0.0,0.0,,,,,,,165887.0,1841423.88,1841423.88
2005-03-01,,,,,,,110877.0,888602.98,888602.98,,,,-47.0,17.4,17.4,,,,8912.0,89482.17,89482.17,0.0,0.0,0.0,,,,,,,186434.0,2072913.14,2072913.14
2005-04-01,,,,,,,67980.0,547101.17,547101.17,,,,155.0,1913.01,1913.01,,,,1863.0,18639.57,18639.57,0.0,0.0,0.0,,,,,,,111802.0,1248321.18,1248321.18
2005-05-01,,,,,,,49052.0,405606.01,405606.01,,,,-30.0,0.0,0.0,,,,1972.0,20332.31,20332.31,0.0,0.0,0.0,,,,,,,81031.0,929587.75,929587.75
2005-06-01,,,,,,,128961.0,1031217.28,1031217.28,,,,10.0,336.98,336.98,,,,5126.0,50222.25,50222.25,0.0,0.0,0.0,,,,,,,175830.0,1950634.69,1950634.69
2005-07-01,,,,,,,120425.0,1001417.23,1001417.23,,,,69.0,996.05,996.05,,,,5244.0,53693.62,53693.62,0.0,0.0,0.0,,,,,,,202548.0,2336786.7,2336786.7
2005-08-01,,,,,,,91372.0,752018.28,752018.28,,,,-26.0,44.0,44.0,,,,8116.0,82386.23,82386.23,0.0,0.0,0.0,,,,,,,153682.0,1754808.46,1754808.46
2005-09-01,,,,,,,79441.0,640751.6,640751.6,,,,-26.0,0.0,0.0,,,,5176.0,56421.93,56421.93,0.0,0.0,0.0,,,,,,,133565.0,1494607.46,1494607.46
2005-10-01,,,,,,,53405.0,434123.92,434123.92,,,,-32.0,21.0,21.0,,,,741.0,6663.32,6663.32,0.0,0.0,0.0,,,,,,,89802.0,1012763.57,1012763.57
2005-11-01,,,,,,,67011.0,505422.25,505422.25,,,,-24.0,6.0,6.0,,,,8145.0,76370.11,76370.11,0.0,0.0,0.0,,,,,,,111788.0,1169753.0,1169753.0
2005-12-01,,,,,,,106891.0,851600.6,851600.6,,,,-22.0,312.01,312.01,,,,3875.0,35705.29,35705.29,0.0,0.0,0.0,,,,,,,154708.0,1710005.45,1710005.45
2006-01-01,,,,,,,97841.0,757827.0,757827.0,,,,-45.0,0.0,0.0,,,,1476.0,13865.0,13865.0,20.0,269.0,269.0,,,,,,,183247.0,1969142.0,1969142.0
2006-02-01,,,,,,,66607.0,549733.0,549733.0,,,,-37.0,0.0,0.0,,,,3581.0,37457.0,37457.0,2.0,23.0,23.0,,,,,,,143708.0,1645507.0,1645507.0
2006-03-01,,,,,,,37261.0,302750.0,302750.0,,,,-38.0,17000.0,17000.0,,,,4430.0,45973.0,45973.0,1.0,13.0,13.0,,,,,,,108028.0,1217746.0,1217746.0
2006-04-01,,,,,,,53618.0,447230.0,447230.0,,,,-22.0,64.0,64.0,,,,1319.0,13569.0,13569.0,0.0,0.0,0.0,,,,,,,90148.0,1043195.0,1043195.0
2006-05-01,,,,,,,64307.0,545442.0,545442.0,,,,-32.0,0.0,0.0,,,,14188.0,156907.0,156907.0,0.0,0.0,0.0,,,,,,,83503.0,982610.0,982610.0
2006-06-01,,,,,,,95303.0,807661.0,807661.0,,,,-15.0,148.0,148.0,,,,3932.0,40440.0,40440.0,0.0,0.0,0.0,,,,,,,136442.0,1604216.0,1604216.0
2006-07-01,,,,,,,161315.0,1387890.0,1387890.0,,,,-24.0,0.0,0.0,,,,2423.0,24611.0,24611.0,0.0,0.0,0.0,,,,,,,170118.0,2030596.0,2030596.0
2006-08-01,,,,,,,141312.0,1215621.0,1215621.0,,,,67.0,1007.0,1007.0,,,,1950.0,19687.0,19687.0,1442.0,19907.0,19907.0,,,,,,,151340.0,1806197.0,1806197.0
2006-09-01,,,,,,,121266.0,1014677.0,1014677.0,,,,-29.0,34.0,34.0,,,,2709.0,27284.0,27284.0,2379.0,32499.0,32499.0,,,,,,,180230.0,2092216.0,2092216.0
2006-10-01,,,,,,,128430.0,1066416.0,1066416.0,,,,-36.0,17.0,17.0,,,,2026.0,20228.0,20228.0,3540.0,47361.0,47361.0,,,,,,,189476.0,2182765.0,2182765.0
2006-11-01,,,,,,,119906.0,989173.0,989173.0,,,,-37.0,6.0,6.0,,,,1923.0,19110.0,19110.0,3046.0,40574.0,40574.0,,,,,,,182514.0,2088896.0,2088896.0
2006-12-01,,,,,,,109520.0,956932.0,956932.0,,,,-39.0,11.0,11.0,,,,5978.0,63358.0,63358.0,8424.0,118022.0,118022.0,,,,,,,165523.0,2006494.0,2006494.0
2007-01-01,,,,,,,93392.432,978465.0,978465.0,,,,-43.0,0.0,0.0,,,,3607.378,37794.0,37794.0,10391.26,108868.0,108868.0,,,,,,,215431.93,2257062.0,2257062.0
2007-02-01,,,,,,,80413.917,802253.0,802253.0,,,,-41.0,6.0,6.0,,,,3667.473,36589.0,36589.0,2292.24,22869.0,22869.0,,,,,,,150952.37,1505983.0,1505983.0
2007-03-01,,,,,,,83069.876,854531.0,854531.0,,,,-41.0,0.0,0.0,,,,5077.148,52228.0,52228.0,4168.282,42879.0,42879.0,,,,,,,154263.694,1586895.0,1586895.0
2007-04-01,,,,,,,97511.772,1002455.0,1002455.0,,,,-21.0,0.0,0.0,,,,4328.0650000000005,44494.0,44494.0,8789.54,90360.0,90360.0,,,,,,,181078.622,1861551.0,1861551.0
2007-05-01,,,,,,,103171.557,1065218.0,1065218.0,,,,-32.0,0.0,0.0,,,,4002.835,41328.0,41328.0,12299.19,126986.0,126986.0,,,,,,,194505.417,2008216.0,2008216.0
2007-06-01,,,,,,,103731.171,1070548.0,1070548.0,,,,0.0,0.0,0.0,,,,1631.342,16836.0,16836.0,6202.396000000001,64011.0,64011.0,,,,,,,212986.09100000001,2198104.0,2198104.0
2007-07-01,,,,,,,94090.557,976850.0,976850.0,,,,-51.0,0.0,0.0,,,,3072.5480000000002,31899.0,31899.0,9295.086000000001,96502.0,96502.0,,,,,,,215166.809,2233866.0,2233866.0
2007-08-01,,,,,,,96395.501,1017567.0,1017567.0,,,,-30.0,6.0,6.0,,,,4606.646000000001,48629.0,48629.0,8627.758,91076.0,91076.0,,,,,,,183039.096,1932191.0,1932191.0
2007-09-01,,,,,,,94698.278,985532.0,985532.0,,,,-25.0,6.0,6.0,,,,3832.8630000000003,39889.0,39889.0,10149.407,105626.0,105626.0,,,,,,,176006.452,1831713.0,1831713.0
2007-10-01,,,,,,,103835.8,1079445.0,1079445.0,,,,-17.0,6.0,6.0,,,,5642.7880000000005,58661.0,58661.0,10265.869,106721.0,106721.0,,,,,,,203386.543,2114345.0,2114345.0
2007-11-01,,,,,,,94438.161,988373.0,988373.0,,,,-43.0,0.0,0.0,,,,3197.4080000000004,33463.0,33463.0,11064.936,115804.0,115804.0,,,,,,,173381.495,1814579.0,1814579.0
2007-12-01,,,,,,,97929.412,980015.0,980015.0,,,,-43.0,0.0,0.0,,,,3273.0080000000003,32754.0,32754.0,11584.5,115930.0,115930.0,,,,,,,210489.08,2106440.0,2106440.0
2008-01-01,,,,,,,114639.951,1129735.0,1129735.0,,,,-43.0,0.0,0.0,,,,5739.448,56560.0,56560.0,,,,,,,,,,161820.601,1594683.0,1594683.0
2008-02-01,,,,,,,127397.829,1259587.0,1259587.0,,,,-41.0,0.0,0.0,,,,6819.0650000000005,67420.0,67420.0,,,,,,,,,,164581.106,1627220.0,1627220.0
2008-03-01,,,,,,,126621.408,1275096.0,1275096.0,,,,0.0,0.0,0.0,,,,5772.13,58126.0,58126.0,,,,,,,,,,163091.462,1642355.0,1642355.0
2008-04-01,,,,,,,140567.88,1405866.0,1405866.0,,,,-24.0,0.0,0.0,,,,5528.803,55295.0,55295.0,,,,,,,,,,177615.317,1776390.0,1776390.0
2008-05-01,,,,,,,98799.044,1015019.0,1015019.0,,,,-41.0,17.0,17.0,,,,6688.927000000001,68719.0,68719.0,,,,,,,,,,129554.029,1330982.0,1330982.0
2008-06-01,,,,,,,121684.275,1290202.0,1290202.0,,,,-26.0,0.0,0.0,,,,7517.109,79703.0,79703.0,,,,,,,,,,159914.616,1695554.0,1695554.0
2008-07-01,,,,,,,104445.965,1100866.0,1100866.0,,,,-26.0,0.0,0.0,,,,7427.407,78285.0,78285.0,,,,,,,,,,157678.628,1661942.0,1661942.0
2008-08-01,,,,,,,124072.704,1267898.0,1267898.0,,,,-28.0,0.0,0.0,,,,6473.117,66149.0,66149.0,,,,,,,,,,176124.179,1799812.0,1799812.0
2008-09-01,,,,,,,88497.188,919498.0,919498.0,,,,-25.0,0.0,0.0,,,,13250.845000000001,137678.0,137678.0,,,,,,,,,,126972.967,1319266.0,1319266.0
2008-10-01,,,,,,,123057.225,1218101.0,1218101.0,,,,-37.0,52.0,52.0,,,,2637.3320000000003,26106.0,26106.0,,,,,,,,,,164064.443,1624018.0,1624018.0
2008-11-01,,,,,,,99945.569,960619.0,960619.0,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,,,,,,,166092.431,1596385.0,1596385.0
2008-12-01,,,,,,,119313.885,1193578.0,1193578.0,,,,-336.0,1496.0,1496.0,,,,3538.097,35394.0,35394.0,,,,,,,,,,184878.018,1849461.0,1849461.0
2009-01-01,,,,,,,95562.257,978978.0,978978.0,,,,-47.0,0.0,0.0,,,,2284.503,23403.0,23403.0,,,,,,,,,,223111.24,2285642.0,2285642.0
2009-02-01,,,,,,,71188.924,739292.0,739292.0,,,,-34.0,12.0,12.0,,,,3616.7380000000003,37560.0,37560.0,,,,,,,,,,201565.338,2093242.0,2093242.0
2009-03-01,,,,,,,88436.103,939885.0,939885.0,,,,0.0,0.0,0.0,,,,3996.228,42471.0,42471.0,,,,,,,,,,202049.669,2147353.0,2147353.0
2009-04-01,,,,,,,93443.22,980769.0,980769.0,,,,-65.0,0.0,0.0,,,,36.687000000000005,385.0,385.0,,,,,,,,,,204752.093,2149053.0,2149053.0
2009-05-01,,,,,,,101859.004,1011623.0,1011623.0,,,,-21.0,168.0,168.0,,,,1240.29,12318.0,12318.0,,,,,,,,,,231948.706,2303622.0,2303622.0
2009-06-01,,,,,,,83650.132,833902.0,833902.0,,,,-26.0,0.0,0.0,,,,9869.716,98391.0,98391.0,,,,,,,,,,182137.152,1815713.0,1815713.0
2009-07-01,,,,,,,86209.248,801985.0,801985.0,,,,-27.0,0.0,0.0,,,,1975.4240000000002,18377.0,18377.0,,,,,,,,,,211415.328,1966748.0,1966748.0
2009-08-01,,,,,,,81353.548,828412.0,828412.0,,,,-249.0,393.0,393.0,,,,4228.385,43057.0,43057.0,,,,,,,,,,200651.067,2043202.0,2043202.0
2009-09-01,,,,,,,71659.774,676672.0,676672.0,,,,-26.0,0.0,0.0,,,,3036.905,28677.0,28677.0,,,,,,,,,,208041.321,1964501.0,1964501.0
2009-10-01,,,,,,,47329.137,428710.0,428710.0,,,,-58.0,17.0,17.0,,,,1069.833,9691.0,9691.0,,,,,,,,,,118679.03,1075002.0,1075002.0
2009-11-01,,,,,,,73879.109,723484.0,723484.0,,,,-35.0,0.0,0.0,,,,4414.319,43229.0,43229.0,,,,,,,,,,196918.572,1928386.0,1928386.0
2009-12-01,,,,,,,87942.683,856084.0,856084.0,,,,-39.0,0.0,0.0,,,,3606.8410000000003,35111.0,35111.0,,,,,,,,,,224973.476,2190018.0,2190018.0
2010-01-01,,,,,,,91684.265,873468.0,873468.0,,,,-39.0,0.0,0.0,,,,4357.979,41518.0,41518.0,,,,,,,,,,233397.756,2223560.0,2223560.0
2010-02-01,,,,,,,86921.395,824631.0,824631.0,,,,-37.0,0.0,0.0,,,,3515.833,33355.0,33355.0,,,,,,,,,,201019.772,1907092.0,1907092.0
2010-03-01,,,,,,,89094.765,848066.0,848066.0,,,,-18.0,324.0,324.0,,,,3286.2000000000003,31280.0,31280.0,,,,,,,,,,241954.035,2303087.0,2303087.0
2010-04-01,,,,,,,73677.832,714222.0,714222.0,,,,-20.0,87.0,87.0,,,,2665.414,25838.0,25838.0,,,,,,,,,,221393.754,2146159.0,2146159.0
2010-05-01,,,,,,,83747.692,816568.0,816568.0,,,,-30.0,17.0,17.0,,,,3819.328,37240.0,37240.0,,,,,,,,,,227457.98,2217790.0,2217790.0
2010-06-01,,,,,,,95663.705,912494.0,912494.0,,,,-11.0,208.0,208.0,,,,4484.907,42780.0,42780.0,,,,,,,,,,226317.388,2158742.0,2158742.0
2010-07-01,,,,,,,98584.362,990626.0,990626.0,,,,-26.0,0.0,0.0,,,,2322.149,23334.0,23334.0,,,,,,,,,,246930.489,2481283.0,2481283.0
2010-08-01,,,,,,,94422.938,929452.0,929452.0,,,,-25.0,0.0,0.0,,,,2107.728,20747.0,20747.0,,,,,,,,,,249244.334,2453437.0,2453437.0
2010-09-01,,,,,,,75286.596,700631.0,700631.0,,,,0.0,0.0,0.0,,,,2624.5750000000003,24425.0,24425.0,,,,,,,,,,225880.829,2102089.0,2102089.0
2010-10-01,,,,,,,57969.284,551205.0,551205.0,,,,-28.0,0.0,0.0,,,,2878.906,27374.0,27374.0,,,,,,,,,,249273.81,2370235.0,2370235.0
2010-11-01,,,,,,,38628.933000000005,367315.0,367315.0,,,,-20.0,238.0,238.0,,,,1389.626,13214.0,13214.0,,,,,,,,,,115709.441,1100258.0,1100258.0
2010-12-01,,,,,,,38096.83,378017.0,378017.0,,,,-42.0,46.0,46.0,,,,1717.7540000000001,17044.0,17044.0,,,,,,,,,,106541.416,1057159.0,1057159.0
2011-01-01,,,,,,,39621.412,398382.0,398382.0,,,,-45.0,0.0,0.0,,,,2013.807,20248.0,20248.0,,,,,,,,,,89419.781,899089.0,899089.0
2011-02-01,,,,,,,44237.91,506363.0,506363.0,,,,-19.0,0.0,0.0,,,,4613.574,52809.0,52809.0,,,,,,,,,,95357.516,1091497.0,1091497.0
2011-03-01,,,,,,,52815.231,564571.0,564571.0,,,,-26.0,249.0,249.0,,,,7936.359,84836.0,84836.0,,,,,,,,,,144724.41,1547038.0,1547038.0
2011-04-01,,,,,,,41950.169,447757.0,447757.0,,,,-27.0,35.0,35.0,,,,3857.985,41178.0,41178.0,,,,,,,,,,132229.85,1411360.0,1411360.0
2011-05-01,,,,,,,113434.62,1152670.0,1152670.0,,,,-32.0,302.0,302.0,,,,4833.707,49118.0,49118.0,,,,,,,,,,133224.68,1353767.0,1353767.0
2011-06-01,,,,,,,61036.142,615224.0,615224.0,,,,8.0,313.0,313.0,,,,2628.803,26497.0,26497.0,,,,,,,,,,183721.06,1851848.0,1851848.0
2011-07-01,,,,,,,84136.451,833407.0,833407.0,,,,61.0,1216.0,1216.0,,,,3725.761,36905.0,36905.0,,,,,,,,,,207283.79,2053233.0,2053233.0
2011-08-01,,,,,,,49691.268,506434.0,506434.0,,,,21.0,550.0,550.0,,,,4877.928,49714.0,49714.0,,,,,,,,,,198860.8,2026712.0,2026712.0
2011-09-01,,,,,,,32670.796,345546.0,345546.0,,,,-30.0,23.0,23.0,,,,5826.395,61623.0,61623.0,,,,,,,,,,188513.81,1993836.0,1993836.0
2011-10-01,,,,,,,26358.756,265411.0,265411.0,,,,-30.0,58.0,58.0,,,,8370.054,84280.0,84280.0,,,,,,,,,,189137.19,1904457.0,1904457.0
2011-11-01,,,,,,,17156.323,182737.0,182737.0,,,,-36.0,0.0,0.0,,,,7734.394,82381.0,82381.0,,,,,,,,,,143055.28,1523722.0,1523722.0
2011-12-01,,,,,,,31697.665,310032.0,310032.0,,,,-39.0,17.0,17.0,,,,10310.622,100847.0,100847.0,,,,,,,,,,180375.71,1764237.0,1764237.0
2012-01-01,,,,,,,84398.995,863664.0,863664.0,,,,-42.0,0.0,0.0,,,,8644.479,88460.0,88460.0,,,,,,,,,,113812.53,1164655.0,1164655.0
2012-02-01,,,,,,,12024.912,121180.0,121180.0,,,,-38.0,75.0,75.0,,,,8213.5,82771.0,82771.0,,,,,,,,,,178145.59,1795241.0,1795241.0
2012-03-01,,,,,,,6509.127,67832.0,67832.0,,,,16.0,99.0,99.0,,,,8831.749,92036.0,92036.0,,,,,,,,,,133243.12,1388526.0,1388526.0
