measured_on,Bituminous Coal-Combined Cycle Combustion Turbine Part Generation,Bituminous Coal-Combined Cycle Combustion Turbine Part Quantity Consumed For Electricity,Bituminous Coal-Combined Cycle Combustion Turbine Part Total Fuel Consumed,Bituminous Coal-Combined Cycle Steam Part Generation,Bituminous Coal-Combined Cycle Steam Part Quantity Consumed For Electricity,Bituminous Coal-Combined Cycle Steam Part Total Fuel Consumed,"Bituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Bituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Bituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed",Distillate Fuel Oil-Combined Cycle Combustion Turbine Part Generation,Distillate Fuel Oil-Combined Cycle Combustion Turbine Part Quantity Consumed For Electricity,Distillate Fuel Oil-Combined Cycle Combustion Turbine Part Total Fuel Consumed,Distillate Fuel Oil-Combined Cycle Steam Part Generation,Distillate Fuel Oil-Combined Cycle Steam Part Quantity Consumed For Electricity,Distillate Fuel Oil-Combined Cycle Steam Part Total Fuel Consumed,"Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed"
2003-01-01,,,,,,,157408.0,1572469.0,1572469.0,,,,-201.0,0.0,0.0,96.0,962.0,962.0
2003-02-01,,,,,,,168283.0,1664328.0,1664328.0,148.0,4195.0,4195.0,-166.0,0.0,0.0,233.0,2262.0,2262.0
2003-03-01,,,,,,,159707.0,1595149.0,1595149.0,-8.0,0.0,0.0,-55.0,0.0,0.0,97.0,991.0,991.0
2003-04-01,,,,,,,131797.0,1365210.0,1365210.0,,,,0.0,0.0,0.0,278.0,2814.0,2814.0
2003-05-01,,,,,,,115041.0,1158463.0,1158463.0,,,,0.0,0.0,0.0,368.0,4897.0,4897.0
2003-06-01,,,,,,,128400.0,1323934.0,1323934.0,134.0,3627.0,3627.0,-118.0,0.0,0.0,297.0,3092.0,3092.0
2003-07-01,,,,,,,160361.0,1669114.0,1669114.0,58.0,1516.0,1516.0,-142.0,0.0,0.0,35.0,348.0,348.0
2003-08-01,,,,,,,172362.0,1777399.0,1777399.0,-5.0,0.0,0.0,-161.0,0.0,0.0,60.0,608.0,608.0
2003-09-01,,,,,,,119188.0,1234551.0,1234551.0,103.0,3033.0,3033.0,-144.0,0.0,0.0,333.0,3440.0,3440.0
2003-10-01,,,,,,,32211.0,343505.0,343505.0,0.0,0.0,0.0,-101.0,0.0,0.0,424.0,4484.0,4484.0
2003-11-01,,,,,,,151688.0,1534052.0,1534052.0,,,,-143.0,0.0,0.0,138.0,1392.0,1392.0
