measured_on,"Bituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Generation","Bituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Quantity Consumed For Electricity","Bituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Total Fuel Consumed","Distillate Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Distillate Fuel Oil - Generation","Distillate Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Distillate Fuel Oil - Quantity Consumed For Electricity","Distillate Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Distillate Fuel Oil - Total Fuel Consumed",Natural Gas - Combined Cycle Combustion Turbine Part - Natural Gas - Generation,Natural Gas - Combined Cycle Combustion Turbine Part - Natural Gas - Quantity Consumed For Electricity,Natural Gas - Combined Cycle Combustion Turbine Part - Natural Gas - Total Fuel Consumed,Natural Gas - Combined Cycle Steam Part - Natural Gas - Generation,Natural Gas - Combined Cycle Steam Part - Natural Gas - Quantity Consumed For Electricity,Natural Gas - Combined Cycle Steam Part - Natural Gas - Total Fuel Consumed
2003-01-01,27244.0,350826.0,350826.0,79.0,1201.0,1201.0,,,,,,
2003-02-01,45427.0,491430.0,491430.0,65.0,818.0,818.0,,,,,,
2003-03-01,-511.0,0.0,0.0,0.0,0.0,0.0,,,,,,
2003-06-01,,,,,,,30896.0,298842.0,298842.0,0.0,0.0,0.0
2003-07-01,,,,,,,41367.0,327138.0,327138.0,0.0,0.0,0.0
2003-08-01,,,,,,,54770.0,668773.0,668773.0,0.0,0.0,0.0
2003-09-01,,,,,,,23744.0,337854.0,337854.0,0.0,0.0,0.0
2003-10-01,,,,,,,6172.0,45517.0,45517.0,0.0,0.0,0.0
2003-11-01,,,,,,,-538.0,0.0,0.0,0.0,0.0,0.0
2003-12-01,,,,,,,6159.0,71070.0,71070.0,0.0,0.0,0.0
2004-01-01,,,,,,,10225.0,112719.0,112719.0,0.0,0.0,0.0
2004-02-01,,,,,,,80010.0,638374.0,638374.0,0.0,0.0,0.0
2004-03-01,,,,,,,5799.0,62290.0,62290.0,0.0,0.0,0.0
2004-04-01,,,,,,,-813.0,0.0,0.0,0.0,0.0,0.0
2004-05-01,,,,,,,58582.0,501551.0,501551.0,0.0,0.0,0.0
2004-06-01,,,,,,,23463.0,216713.0,216713.0,0.0,0.0,0.0
2004-07-01,,,,,,,45131.0,393892.0,393892.0,0.0,0.0,0.0
2004-08-01,,,,,,,37838.0,334613.0,334613.0,0.0,0.0,0.0
2004-09-01,,,,,,,32221.0,284592.0,284592.0,0.0,0.0,0.0
2004-10-01,,,,,,,1801.0,25723.0,25723.0,0.0,0.0,0.0
2004-11-01,,,,,,,1827.0,24271.0,24271.0,0.0,0.0,0.0
2004-12-01,,,,,,,11746.0,113437.0,113437.0,0.0,0.0,0.0
2005-01-01,,,,,,,23920.0,218032.19,218032.19,0.0,0.0,0.0
2005-02-01,,,,,,,1687.0,42433.02,42433.02,0.0,0.0,0.0
2005-03-01,,,,,,,40835.0,335787.06,335787.06,0.0,0.0,0.0
2005-04-01,,,,,,,101834.0,874303.2,874303.2,0.0,0.0,0.0
2005-05-01,,,,,,,41443.0,341748.96,341748.96,0.0,0.0,0.0
2005-06-01,,,,,,,79922.0,707695.28,707695.28,0.0,0.0,0.0
2005-07-01,,,,,,,93719.0,771146.58,771146.58,0.0,0.0,0.0
2005-08-01,,,,,,,62232.0,665919.72,665919.72,0.0,0.0,0.0
2005-09-01,,,,,,,12461.0,125242.85,125242.85,0.0,0.0,0.0
2005-10-01,,,,,,,5005.0,35068.41,35068.41,0.0,0.0,0.0
2005-11-01,,,,,,,-951.0,0.0,0.0,0.0,0.0,0.0
2005-12-01,,,,,,,7618.0,76147.9,76147.9,0.0,0.0,0.0
2006-01-01,,,,,,,-1037.0,0.0,0.0,0.0,0.0,0.0
2006-02-01,,,,,,,-928.0,0.0,0.0,0.0,0.0,0.0
2006-03-01,,,,,,,-946.0,29676.0,29676.0,0.0,0.0,0.0
2006-04-01,,,,,,,11427.0,118485.0,118485.0,0.0,0.0,0.0
2006-05-01,,,,,,,11768.0,127494.0,127494.0,0.0,0.0,0.0
2006-06-01,,,,,,,18292.0,159895.0,159895.0,0.0,0.0,0.0
2006-07-01,,,,,,,71350.0,594546.0,594546.0,0.0,0.0,0.0
2006-08-01,,,,,,,36754.0,316255.0,316255.0,0.0,0.0,0.0
2006-09-01,,,,,,,-664.0,0.0,0.0,0.0,0.0,0.0
2006-10-01,,,,,,,6198.0,61194.0,61194.0,0.0,0.0,0.0
2006-11-01,,,,,,,-850.0,0.0,0.0,0.0,0.0,0.0
2006-12-01,,,,,,,6339.0,67907.0,67907.0,0.0,0.0,0.0
2007-01-01,,,,,,,18930.0,86077.0,86077.0,0.0,0.0,0.0
2007-02-01,,,,,,,28620.0,220757.0,220757.0,0.0,0.0,0.0
2007-03-01,,,,,,,16868.0,321394.0,321394.0,0.0,0.0,0.0
2007-04-01,,,,,,,55536.0,466433.0,466433.0,0.0,0.0,0.0
2007-05-01,,,,,,,26417.0,258233.0,258233.0,0.0,0.0,0.0
2007-06-01,,,,,,,36584.0,337474.0,337474.0,0.0,0.0,0.0
2007-07-01,,,,,,,46356.0,405011.0,405011.0,0.0,0.0,0.0
2007-08-01,,,,,,,82348.0,720252.0,720252.0,0.0,0.0,0.0
2007-09-01,,,,,,,28367.0,255272.0,255272.0,0.0,0.0,0.0
2007-10-01,,,,,,,39706.0,372152.0,372152.0,0.0,0.0,0.0
2007-11-01,,,,,,,5675.0,62198.0,62198.0,0.0,0.0,0.0
2007-12-01,,,,,,,18709.0,175881.0,175881.0,0.0,0.0,0.0
2008-01-01,,,,,,,74102.0,632851.0,632851.0,0.0,0.0,0.0
2008-02-01,,,,,,,49597.0,437969.0,437969.0,0.0,0.0,0.0
2008-03-01,,,,,,,53846.0,465818.0,465818.0,0.0,0.0,0.0
2008-04-01,,,,,,,21812.0,204502.0,204502.0,0.0,0.0,0.0
2008-05-01,,,,,,,6379.0,60000.0,60000.0,0.0,0.0,0.0
2008-06-01,,,,,,,43288.0,392688.0,392688.0,0.0,0.0,0.0
2008-07-01,,,,,,,61239.0,543407.0,543407.0,0.0,0.0,0.0
2008-08-01,,,,,,,47956.0,428493.0,428493.0,0.0,0.0,0.0
2008-09-01,,,,,,,7762.0,76008.0,76008.0,0.0,0.0,0.0
2008-10-01,,,,,,,2531.0,30219.0,30219.0,0.0,0.0,0.0
2008-11-01,,,,,,,1507.0,24643.0,24643.0,0.0,0.0,0.0
2008-12-01,,,,,,,42859.0,371076.0,371076.0,0.0,0.0,0.0
2009-01-01,,,,,,,53700.0,458226.0,458226.0,0.0,0.0,0.0
2009-02-01,,,,,,,17626.0,157969.0,157969.0,0.0,0.0,0.0
2009-03-01,,,,,,,12133.0,110490.0,110490.0,0.0,0.0,0.0
2009-04-01,,,,,,,-805.0,0.0,0.0,0.0,0.0,0.0
2009-05-01,,,,,,,-626.0,0.0,0.0,0.0,0.0,0.0
2009-06-01,,,,,,,14666.0,137741.0,137741.0,0.0,0.0,0.0
2009-07-01,,,,,,,-686.0,0.0,0.0,0.0,0.0,0.0
2009-08-01,,,,,,,15623.0,143141.0,143141.0,0.0,0.0,0.0
2009-09-01,,,,,,,18201.0,165951.0,165951.0,0.0,0.0,0.0
2009-10-01,,,,,,,2751.0,32242.0,32242.0,0.0,0.0,0.0
2009-11-01,,,,,,,-841.0,0.0,0.0,0.0,0.0,0.0
2009-12-01,,,,,,,-1071.0,0.0,0.0,0.0,0.0,0.0
2010-01-01,,,,,,,9664.0,92606.0,92606.0,0.0,0.0,0.0
2010-02-01,,,,,,,-1054.0,0.0,0.0,0.0,0.0,0.0
2010-03-01,,,,,,,2364.0,29577.0,29577.0,0.0,0.0,0.0
2010-04-01,,,,,,,-714.0,0.0,0.0,0.0,0.0,0.0
2010-05-01,,,,,,,6229.0,67000.0,67000.0,0.0,0.0,0.0
2010-06-01,,,,,,,41386.0,356986.0,356986.0,0.0,0.0,0.0
2010-07-01,,,,,,,65011.0,577614.0,577614.0,0.0,0.0,0.0
2010-08-01,,,,,,,58155.0,476343.0,476343.0,0.0,0.0,0.0
2010-09-01,,,,,,,17081.0,178136.0,178136.0,0.0,0.0,0.0
2010-10-01,,,,,,,8608.0,84067.0,84067.0,0.0,0.0,0.0
