measured_on,"Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Gaseous Propane-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Gaseous Propane-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Gaseous Propane-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Residual Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Residual Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Residual Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed"
2003-01-01,,,,,,,1494.0,28728.0,28728.0
2003-02-01,,,,,,,1500.0,28350.0,28350.0
2003-03-01,,,,,,,939.0,15775.0,15775.0
2003-04-01,,,,,,,688.0,14351.0,14351.0
2003-05-01,,,,,,,597.0,13224.0,13224.0
2003-06-01,,,,,,,398.0,9948.0,9948.0
2003-07-01,,,,,,,692.0,14433.0,14433.0
2003-08-01,,,,,,,859.0,17892.0,17892.0
2003-09-01,,,,,,,1108.0,9041.0,9041.0
2003-10-01,,,,,,,-426.0,0.0,0.0
2004-01-01,,,,,,,516.437,10874.0,10874.0
2004-02-01,,,,,,,472.749,9954.0,9954.0
2004-03-01,,,,,,,511.831,10777.0,10777.0
2004-04-01,,,,,,,524.305,11040.0,11040.0
2004-05-01,,,,,,,598.128,12594.0,12594.0
2004-06-01,,,,,,,527.015,11097.0,11097.0
2004-07-01,,,,,,,571.732,12039.0,12039.0
2004-08-01,,,,,,,593.773,12503.0,12503.0
2004-09-01,,,,,,,568.181,11964.0,11964.0
2004-10-01,,,,,,,579.312,12198.0,12198.0
2004-11-01,,,,,,,561.2330000000001,11817.0,11817.0
2004-12-01,,,,,,,546.304,11503.0,11503.0
2005-01-01,,,,,,,527.148,9992.99,9992.99
2005-02-01,,,,,,,424.36,8044.48,8044.48
2005-03-01,,,,,,,495.613,9395.2,9395.2
2005-04-01,,,,,,,486.916,9230.34,9230.34
2005-05-01,,,,,,,568.859,10783.71,10783.71
2005-06-01,,,,,,,764.125,14485.31,14485.31
2005-07-01,,,,,,,940.4870000000001,17828.55,17828.55
2005-08-01,,,,,,,1022.413,19381.59,19381.59
2005-09-01,,,,,,,948.543,17981.27,17981.27
2005-10-01,,,,,,,680.691,12903.67,12903.67
2005-11-01,,,,,,,452.511,8578.12,8578.12
2005-12-01,,,,,,,796.3330000000001,15095.87,15095.87
2006-01-01,,,,,,,2960.001,49675.0,49675.0
2006-02-01,,,,,,,2174.388,36491.0,36491.0
2006-03-01,,,,,,,1942.015,32591.0,32591.0
2006-04-01,,,,,,,3208.45,53845.0,53845.0
2006-05-01,,,,,,,3109.5460000000003,52185.0,52185.0
2006-06-01,,,,,,,4526.432,75964.0,75964.0
2006-07-01,,,,,,,4587.732,76992.0,76992.0
2006-08-01,,,,,,,7315.539000000001,122771.0,122771.0
2006-09-01,,,,,,,3644.251,61159.0,61159.0
2006-10-01,,,,,,,3527.358,59197.0,59197.0
2006-11-01,,,,,,,3139.3810000000003,52686.0,52686.0
2006-12-01,,,,,,,2291.908,38463.0,38463.0
2007-01-01,,,,,,,4276.0,70675.0,70675.0
2007-02-01,,,,,,,3526.0,58423.0,58423.0
2007-03-01,,,,,,,4742.0,81722.0,81722.0
2007-04-01,,,,,,,3161.0,56771.0,56771.0
2007-05-01,,,,,,,3920.0,64885.0,64885.0
2007-06-01,,,,,,,4666.0,74418.0,74418.0
2007-07-01,,,,,,,4247.0,70449.0,70449.0
2007-08-01,,,,,,,4536.0,73432.0,73432.0
2007-09-01,,,,,,,2516.0,40914.0,40914.0
2007-10-01,,,,,,,2446.0,41366.0,41366.0
2007-11-01,,,,,,,2022.0,36010.0,36010.0
2007-12-01,,,,,,,2723.0,50127.0,50127.0
2008-01-01,,,,,,,2379.0,49977.0,49977.0
2008-02-01,,,,,,,3541.0,59732.0,59732.0
2008-03-01,,,,,,,3695.0,61155.0,61155.0
2008-04-01,,,,,,,3555.0,58132.0,58132.0
2008-05-01,,,,,,,3671.0,59757.0,59757.0
2008-06-01,,,,,,,3104.0,50240.0,50240.0
2008-07-01,,,,,,,2964.0,48277.0,48277.0
2008-08-01,,,,,,,2040.0,32789.0,32789.0
2008-09-01,,,,,,,1603.0,25776.0,25776.0
2008-10-01,,,,,,,677.0,10871.0,10871.0
2008-11-01,,,,,,,376.0,6248.0,6248.0
2008-12-01,,,,,,,1062.0,16950.0,16950.0
2009-01-01,,,,,,,780.0,14770.0,14770.0
2009-02-01,,,,,,,2508.0,41342.0,41342.0
2009-03-01,,,,,,,1427.0,24234.0,24234.0
2009-04-01,,,,,,,2753.0,46228.0,46228.0
2009-05-01,,,,,,,3513.0,58818.0,58818.0
2009-06-01,,,,,,,2852.0,47727.0,47727.0
2009-07-01,,,,,,,1531.0,25969.0,25969.0
2009-08-01,,,,,,,1649.0,27970.0,27970.0
2009-09-01,,,,,,,859.0,14960.0,14960.0
2009-10-01,,,,,,,965.0,16746.0,16746.0
2009-11-01,,,,,,,265.0,4762.0,4762.0
2009-12-01,,,,,,,534.0,9426.0,9426.0
2010-01-01,,,,,,,449.0,7769.0,7769.0
2010-02-01,,,,,,,485.0,8612.0,8612.0
2010-03-01,,,,,,,374.0,7168.0,7168.0
2010-04-01,,,,,,,306.0,5633.0,5633.0
2010-05-01,,,,,,,443.0,7851.0,7851.0
2010-06-01,,,,,,,227.0,4170.0,4170.0
2010-07-01,,,,,,,2962.0,49525.0,49525.0
2010-08-01,,,,,,,550.0,9254.0,9254.0
2010-09-01,,,,,,,178.0,3402.0,3402.0
2010-10-01,,,,,,,467.0,7665.0,7665.0
2010-11-01,,,,,,,360.0,6346.0,6346.0
2010-12-01,,,,,,,279.0,5062.0,5062.0
2011-01-01,,,,,,,384.0,6682.0,6682.0
2011-02-01,,,,,,,194.0,3455.0,3455.0
2011-03-01,,,,,,,143.0,2672.0,2672.0
2011-04-01,,,,,,,1086.0,18186.0,18186.0
2011-05-01,,,,,,,1248.0,21178.0,21178.0
2011-06-01,,,,,,,503.0,8855.0,8855.0
2011-07-01,,,,,,,249.0,4470.0,4470.0
2011-08-01,,,,,,,181.0,3180.0,3180.0
2011-09-01,,,,,,,272.0,4532.0,4532.0
2011-10-01,,,,,,,108.0,2023.0,2023.0
2011-11-01,,,,,,,196.0,3664.0,3664.0
2011-12-01,,,,,,,155.0,2945.0,2945.0
2012-01-01,,,,,,,83.0,1614.0,1614.0
2012-02-01,,,,,,,123.0,2095.0,2095.0
2012-03-01,,,,,,,46.0,840.0,840.0
2012-04-01,,,,,,,139.0,2259.0,2259.0
2012-05-01,,,,,,,0.0,0.0,0.0
2012-06-01,,,,,,,14.0,288.0,288.0
2012-07-01,,,,,,,131.0,2180.0,2180.0
2012-08-01,,,,,,,25.0,448.0,448.0
2012-09-01,,,,,,,0.0,0.0,0.0
2012-10-01,,,,,,,0.0,0.0,0.0
2012-11-01,,,,,,,0.0,0.0,0.0
2012-12-01,,,,,,,0.0,0.0,0.0
2013-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
