measured_on,"Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Residual Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Residual Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Residual Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed"
2003-01-01,0.0,0.0,0.0,-292.0,0.0,0.0,0.0,0.0,0.0
2003-02-01,0.0,0.0,0.0,-265.0,0.0,0.0,0.0,0.0,0.0
2003-03-01,0.0,0.0,0.0,-293.0,0.0,0.0,0.0,0.0,0.0
2003-04-01,0.0,0.0,0.0,-277.0,0.0,0.0,0.0,0.0,0.0
2003-05-01,0.0,0.0,0.0,5977.0,77507.0,77507.0,0.0,0.0,0.0
2003-06-01,0.0,0.0,0.0,7964.0,102455.0,102455.0,0.0,0.0,0.0
2003-07-01,0.0,0.0,0.0,1854.0,30204.0,30204.0,0.0,0.0,0.0
2003-08-01,0.0,0.0,0.0,2509.0,35224.0,35224.0,0.0,0.0,0.0
2003-09-01,0.0,0.0,0.0,292.0,8646.0,8646.0,0.0,0.0,0.0
2003-10-01,0.0,0.0,0.0,-239.0,0.0,0.0,0.0,0.0,0.0
2003-11-01,0.0,0.0,0.0,-226.0,0.0,0.0,0.0,0.0,0.0
2003-12-01,0.0,0.0,0.0,-237.0,0.0,0.0,0.0,0.0,0.0
2004-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2004-02-01,0.0,0.0,0.0,-266.0,0.0,0.0,0.0,0.0,0.0
2004-03-01,0.0,0.0,0.0,-246.0,0.0,0.0,0.0,0.0,0.0
2004-04-01,0.0,0.0,0.0,-220.0,0.0,0.0,0.0,0.0,0.0
2004-05-01,0.0,0.0,0.0,-232.0,0.0,0.0,0.0,0.0,0.0
2004-06-01,0.0,0.0,0.0,-387.0,0.0,0.0,0.0,0.0,0.0
2004-07-01,0.0,0.0,0.0,3744.0,51500.0,51500.0,0.0,0.0,0.0
2004-08-01,0.0,0.0,0.0,229.0,8912.0,8912.0,0.0,0.0,0.0
2004-09-01,0.0,0.0,0.0,1700.0,28155.0,28155.0,0.0,0.0,0.0
2004-10-01,0.0,0.0,0.0,-279.0,0.0,0.0,0.0,0.0,0.0
2004-11-01,0.0,0.0,0.0,-232.0,0.0,0.0,0.0,0.0,0.0
2004-12-01,0.0,0.0,0.0,-255.0,0.0,0.0,0.0,0.0,0.0
2005-01-01,,,,-264.0,0.0,0.0,,,
2005-02-01,,,,-255.0,0.0,0.0,,,
2005-03-01,,,,-244.0,0.0,0.0,,,
2005-04-01,,,,-241.0,0.0,0.0,,,
2005-05-01,,,,-272.0,0.0,0.0,,,
2005-06-01,,,,1544.0,22911.11,22911.11,,,
2005-07-01,,,,3053.0,50110.56,50110.56,,,
2005-08-01,,,,12515.0,156138.8,156138.8,,,
2005-09-01,,,,3980.0,53454.31,53454.31,,,
2005-10-01,,,,-312.0,102.0,102.0,,,
2005-11-01,,,,-221.0,0.0,0.0,,,
2005-12-01,,,,-193.0,0.0,0.0,,,
2006-01-01,,,,-186.0,0.0,0.0,,,
2006-02-01,,,,-187.0,0.0,0.0,,,
2006-03-01,,,,-254.0,0.0,0.0,,,
2006-04-01,,,,308.0,3415.0,3415.0,,,
2006-05-01,,,,2004.0,29081.0,29081.0,,,
2006-06-01,,,,1744.0,26867.0,26867.0,,,
2006-07-01,,,,6379.0,84274.0,84274.0,,,
2006-08-01,,,,12924.0,162216.0,162216.0,,,
2006-09-01,,,,544.0,6327.0,6327.0,,,
2006-10-01,,,,2926.0,41753.0,41753.0,,,
2006-11-01,,,,-317.0,201.0,201.0,,,
2006-12-01,,,,-289.0,28.0,28.0,,,
2007-01-01,,,,319.0,7619.0,7619.0,,,
2007-02-01,,,,-240.0,199.0,199.0,,,
2007-03-01,,,,-261.0,0.0,0.0,,,
2007-04-01,,,,216.0,13218.0,13218.0,,,
2007-05-01,,,,-387.0,281.0,281.0,,,
2007-06-01,,,,1561.0,28079.0,28079.0,,,
2007-07-01,,,,2119.0,37766.0,37766.0,,,
2007-08-01,,,,5401.0,79655.0,79655.0,,,
2007-09-01,,,,4444.0,62657.0,62657.0,,,
2007-10-01,,,,451.0,4634.0,4634.0,,,
2007-11-01,,,,-259.0,87.0,87.0,,,
2007-12-01,,,,-267.0,0.0,0.0,,,
2008-01-01,,,,-264.0,0.0,0.0,,,
2008-02-01,,,,-246.0,0.0,0.0,,,
2008-03-01,,,,-340.0,0.0,0.0,,,
2008-04-01,,,,142.0,6322.0,6322.0,,,
2008-05-01,,,,4333.0,59541.0,59541.0,,,
2008-06-01,,,,6004.0,79275.0,79275.0,,,
2008-07-01,,,,1066.0,17392.0,17392.0,,,
2008-08-01,,,,1556.0,24407.0,24407.0,,,
2008-09-01,,,,3149.0,41310.0,41310.0,,,
2008-10-01,,,,-238.0,0.0,0.0,,,
2008-11-01,,,,-214.0,0.0,0.0,,,
2008-12-01,,,,-237.0,0.0,0.0,,,
2009-01-01,,,,-232.0,0.0,0.0,,,
2009-02-01,,,,-199.0,0.0,0.0,,,
2009-03-01,,,,-221.0,0.0,0.0,,,
2009-04-01,,,,-212.0,0.0,0.0,,,
2009-05-01,,,,-229.0,0.0,0.0,,,
2009-06-01,,,,389.0,8516.0,8516.0,,,
2009-07-01,,,,6197.0,84060.0,84060.0,,,
2009-08-01,,,,734.0,14480.0,14480.0,,,
2009-09-01,,,,-222.0,1.0,1.0,,,
2009-10-01,,,,-190.0,0.0,0.0,,,
2009-11-01,,,,-173.0,0.0,0.0,,,
2009-12-01,,,,-176.0,0.0,0.0,,,
2011-01-01,,,,-175.0,0.0,0.0,,,
2011-02-01,,,,-160.0,0.0,0.0,,,
2011-03-01,,,,0.0,0.0,0.0,,,
