measured_on,"Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Generation","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Quantity Consumed For Electricity","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Total Fuel Consumed","Wood Waste Solids - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Wood and Wood-derived Fuels - Generation","Wood Waste Solids - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Wood and Wood-derived Fuels - Quantity Consumed For Electricity","Wood Waste Solids - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Wood and Wood-derived Fuels - Total Fuel Consumed"
2012-12-01,,,,3534.0,47120.0,99699.0
2013-01-01,44.856,568.0,663.0,2241.032,28383.0,33083.0
2013-02-01,41.32,523.0,610.0,1847.678,23401.0,27268.0
2013-03-01,39.85,505.0,588.0,2128.093,26953.0,31404.0
2013-04-01,34.292,434.0,506.0,1748.931,22151.0,25814.0
2013-05-01,36.214,459.0,535.0,2050.323,25968.0,30260.0
2013-06-01,42.844,543.0,632.0,2281.801,28900.0,33674.0
2013-07-01,54.365,689.0,802.0,2484.237,31464.0,36666.0
2013-08-01,55.444,702.0,818.0,2372.81,30052.0,35016.0
2013-09-01,55.306,700.0,816.0,2319.085,29372.0,34228.0
2013-10-01,47.988,608.0,708.0,2292.458,29035.0,33834.0
2013-11-01,47.334,599.0,699.0,2285.53,28947.0,33730.0
2013-12-01,55.12,698.0,813.0,2295.089,29068.0,33871.0
2014-01-01,22.362,281.0,398.0,1788.169,22504.0,31939.0
2014-02-01,20.883,263.0,373.0,1361.844,17139.0,24322.0
2014-03-01,18.122,228.0,324.0,1917.397,24130.0,34237.0
2014-04-01,17.231,217.0,307.0,1640.542,20646.0,29294.0
2014-05-01,17.375,219.0,310.0,1529.683,19251.0,27315.0
2014-06-01,17.129,216.0,306.0,2043.651,25719.0,36498.0
2014-07-01,24.235,305.0,433.0,2097.682,26399.0,37464.0
2014-08-01,25.017,315.0,447.0,2062.935,25962.0,36845.0
2014-09-01,26.168,329.0,468.0,1925.775,24236.0,34387.0
2014-10-01,25.814,325.0,461.0,1917.226,24128.0,34237.0
2014-11-01,18.656,235.0,333.0,1688.868,21254.0,30157.0
2014-12-01,20.293,255.0,363.0,1767.943,22249.0,31573.0
