measured_on,"Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Generation","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Quantity Consumed For Electricity","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Total Fuel Consumed","Tire-Derived Fuels - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Other - Generation","Tire-Derived Fuels - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Other - Quantity Consumed For Electricity","Tire-Derived Fuels - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Other - Total Fuel Consumed","Wood Waste Solids - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Wood and Wood-derived Fuels - Generation","Wood Waste Solids - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Wood and Wood-derived Fuels - Quantity Consumed For Electricity","Wood Waste Solids - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Wood and Wood-derived Fuels - Total Fuel Consumed"
2003-01-01,36.0,597.0,597.0,2460.0,40365.0,40365.0,9236.0,151542.0,151542.0
2003-02-01,0.0,0.0,0.0,2071.0,31995.0,31995.0,9227.0,142551.0,142551.0
2003-03-01,0.0,0.0,0.0,2301.0,36774.0,36774.0,10677.0,170667.0,170667.0
2003-04-01,0.0,0.0,0.0,2202.0,36045.0,36045.0,10132.0,165861.0,165861.0
2003-05-01,48.0,840.0,840.0,1635.0,28674.0,28674.0,8705.0,152703.0,152703.0
2003-06-01,0.0,0.0,0.0,2202.0,35316.0,35316.0,10118.0,162306.0,162306.0
2003-07-01,0.0,0.0,0.0,2353.0,37098.0,37098.0,10681.0,168372.0,168372.0
2003-08-01,42.0,663.0,663.0,2231.0,35073.0,35073.0,10061.0,158148.0,158148.0
2003-09-01,0.0,0.0,0.0,2481.0,34695.0,34695.0,10203.0,142659.0,142659.0
2003-10-01,54.0,817.0,817.0,2006.0,30483.0,30483.0,9422.0,143190.0,143190.0
2003-11-01,0.0,0.0,0.0,2187.0,30969.0,30969.0,10623.0,150462.0,150462.0
2003-12-01,0.0,0.0,0.0,2162.0,33750.0,33750.0,11124.0,173628.0,173628.0
2004-01-01,30.646,463.0,463.0,1090.144,16501.0,16501.0,10064.506,152347.0,152347.0
2004-02-01,15.43,233.0,233.0,1746.9740000000002,26443.0,26443.0,10330.623,156376.0,156376.0
2004-03-01,10.603,160.0,160.0,1272.7140000000002,19265.0,19265.0,10022.848,151717.0,151717.0
2004-04-01,14.276,216.0,216.0,999.8190000000001,15134.0,15134.0,10593.227,160351.0,160351.0
2004-05-01,32.997,498.0,498.0,1138.315,17230.0,17230.0,7988.444,120922.0,120922.0
2004-06-01,21.353,323.0,323.0,1375.76,20824.0,20824.0,8176.0830000000005,123762.0,123762.0
2004-07-01,18.955,286.0,286.0,1062.248,16079.0,16079.0,12468.981,188744.0,188744.0
2004-08-01,26.123,395.0,395.0,975.8670000000001,14771.0,14771.0,12096.801,183111.0,183111.0
2004-09-01,26.496000000000002,400.0,400.0,1311.183,19847.0,19847.0,11673.091,176697.0,176697.0
2004-10-01,8.023,121.0,121.0,1198.569,18142.0,18142.0,12016.709,181898.0,181898.0
2004-11-01,13.081000000000001,198.0,198.0,307.382,4653.0,4653.0,11190.016,169384.0,169384.0
2004-12-01,16.017,242.0,242.0,1309.025,19814.0,19814.0,12215.672,184910.0,184910.0
2005-01-01,,,,1261.088,14996.08,14996.08,10112.982,120258.73,120258.73
2005-02-01,,,,1124.99,13377.68,13377.68,9385.436,111607.1,111607.1
2005-03-01,,,,1284.894,15279.17,15279.17,10147.166,120665.24,120665.24
2005-04-01,,,,1282.238,15247.58,15247.58,8724.287,103745.04,103745.04
2005-05-01,,,,1409.634,16762.5,16762.5,9681.969000000001,115133.34,115133.34
2005-06-01,,,,1396.54,16606.78,16606.78,9373.504,111465.22,111465.22
2005-07-01,,,,1446.0420000000001,17195.44,17195.44,10381.204,123448.3,123448.3
2005-08-01,,,,1439.507,17117.73,17117.73,10688.234,127099.36,127099.36
2005-09-01,,,,1356.006,16124.78,16124.78,10061.416,119645.54,119645.54
2005-10-01,,,,1368.787,16276.77,16276.77,9590.252,114042.68,114042.68
2005-11-01,,,,1378.6,16393.46,16393.46,9767.092,116145.58,116145.58
2005-12-01,,,,1381.674,16430.02,16430.02,10551.457,125472.87,125472.87
2006-01-01,,,,0.0,0.0,0.0,10138.527,130191.0,130191.0
2006-02-01,,,,0.0,0.0,0.0,9273.764000000001,119086.0,119086.0
2006-03-01,,,,0.0,0.0,0.0,9326.194000000001,119760.0,119760.0
2006-04-01,,,,0.0,0.0,0.0,6148.0740000000005,78949.0,78949.0
2006-05-01,,,,0.0,0.0,0.0,8145.191000000001,104594.0,104594.0
2006-06-01,,,,0.0,0.0,0.0,8180.111000000001,105043.0,105043.0
2006-07-01,,,,0.0,0.0,0.0,9356.649000000001,120151.0,120151.0
2006-08-01,,,,0.0,0.0,0.0,10409.438,133670.0,133670.0
2006-09-01,,,,0.0,0.0,0.0,8882.904,114067.0,114067.0
2006-10-01,,,,0.0,0.0,0.0,9560.294,122766.0,122766.0
2006-11-01,,,,0.0,0.0,0.0,8992.128,115470.0,115470.0
2006-12-01,,,,0.0,0.0,0.0,9790.729000000001,125725.0,125725.0
2007-01-01,38.21,584.0,584.0,0.0,0.0,0.0,11987.79,183219.0,183219.0
2007-02-01,0.0,0.0,0.0,0.0,0.0,0.0,8988.0,151671.0,151671.0
2007-03-01,33.388,572.0,572.0,471.682,8081.0,8081.0,9322.93,159718.0,159718.0
2007-04-01,30.047,498.0,498.0,751.331,12453.0,12453.0,8192.623,135787.0,135787.0
2007-05-01,0.0,0.0,0.0,182.294,2985.0,2985.0,9897.706,162074.0,162074.0
2007-06-01,36.544000000000004,571.0,571.0,0.0,0.0,0.0,9175.456,143367.0,143367.0
2007-07-01,17.117,251.0,251.0,0.0,0.0,0.0,10608.883,155568.0,155568.0
2007-08-01,18.326,269.0,269.0,0.0,0.0,0.0,8801.674,129195.0,129195.0
2007-09-01,17.091,234.0,234.0,0.0,0.0,0.0,12134.909,166148.0,166148.0
2007-10-01,50.513000000000005,720.0,720.0,0.0,0.0,0.0,11359.487000000001,161915.0,161915.0
2007-11-01,17.927,255.0,255.0,0.0,0.0,0.0,7388.073,105090.0,105090.0
2007-12-01,19.844,309.0,309.0,0.0,0.0,0.0,9262.156,144228.0,144228.0
2008-01-01,231.149,3399.0,3399.0,0.0,0.0,0.0,10646.851,156560.0,156560.0
2008-02-01,0.0,0.0,0.0,0.0,0.0,0.0,8456.0,112896.0,112896.0
2008-03-01,207.834,2882.0,2882.0,617.299,8560.0,8560.0,12656.867,175511.0,175511.0
2008-04-01,0.0,0.0,0.0,173.758,2096.0,2096.0,12706.242,153272.0,153272.0
2008-05-01,0.0,0.0,0.0,693.595,7456.0,7456.0,11164.405,120015.0,120015.0
