measured_on,Black Liquor Generation,Black Liquor Quantity Consumed For Electricity,Black Liquor Total Fuel Consumed,Distillate Fuel Oil Generation,Distillate Fuel Oil Quantity Consumed For Electricity,Distillate Fuel Oil Total Fuel Consumed,Natural Gas Generation,Natural Gas Quantity Consumed For Electricity,Natural Gas Total Fuel Consumed,Other Biomass Liquids Generation,Other Biomass Liquids Quantity Consumed For Electricity,Other Biomass Liquids Total Fuel Consumed,Petroleum Coke Generation,Petroleum Coke Quantity Consumed For Electricity,Petroleum Coke Total Fuel Consumed,Waste/Other Oil Generation,Waste/Other Oil Quantity Consumed For Electricity,Waste/Other Oil Total Fuel Consumed
2004-04-01,9604.88446,52921.58,484982.54,33.456,184.34,1689.3,1343.08854,7400.23,67817.01,,,,,,,,,
2004-05-01,8034.59817,44269.52,390308.1,45.90557,252.93,2230.02,8063.25526,44427.41,391700.22,,,,,,,,,
2004-06-01,9028.35097,49744.96,440262.69,13.083319999999999,72.09,638.0,8111.17971,44691.47,395537.32,,,,,,,,,
2004-07-01,9147.24619,50400.05,459131.36,8.72138,48.05,437.76,2170.33443,11958.24,108936.46,,,,,,,,,
2004-08-01,9596.69428,52876.45,476340.54,7.53468,41.52,373.99,4128.02504,22744.84,204898.23,,,,,,,,,
2004-09-01,8415.50407,46368.26,416822.1,16.720779999999998,92.13,828.18,3912.75816,21558.75,193799.93,,,,,,,,,
2004-10-01,10154.20238,55948.25,495922.04,19.40933,106.94,947.93,8538.33829,47045.06,417004.7,,,,,,,,,
2004-11-01,8710.48704,47993.57,435429.32,34.10241,187.9,1704.75,2445.35855,13473.59,122241.25,,,,,,,,,
2004-12-01,8271.38347,45574.18,409773.36,5.66094,31.19,280.45,3888.50559,21425.13,192640.81,,,,,,,,,
2005-01-01,8288.26284,45667.18,454285.23,38.5235,212.26,2111.5,3319.28066,18288.77,181931.99,,,,,,,,,
2005-02-01,7452.25139,41060.87,408842.46,9.391079999999999,51.74,515.21,2993.21553,16492.2,164212.61,,,,,,,,,
2005-03-01,7957.63206,43845.44,436445.01,13.42236,73.96,736.16,3231.19958,17803.46,177218.67,,,,,,,,,
2005-04-01,7838.857400000001,43191.01,429837.42,11.02806,60.76,604.71,3247.42254,17892.85,178069.79,,,,,,,,,
2005-05-01,7861.94368,43318.22,430495.72,11.41968,62.92,625.31,3571.69764,19679.56,195575.12,,,,,,,,,
2005-06-01,8168.26915,45006.03,445757.72,10.02195,55.22,546.92,4603.1929,25362.95,251204.85,,,,,,,,,
2005-07-01,8547.09693,47093.31,464573.27,29.356279999999998,161.75,1595.65,5918.04579,32607.61,321672.48,,,,,,,,,
2005-08-01,8449.27928,46554.36,458798.68,35.56735,195.97,1931.32,6139.09837,33825.58,333355.08,,,,,,,,,
2005-09-01,8118.60929,44732.41,442726.76,29.24016,161.11,1594.53,4610.49155,25403.17,251420.89,,,,,,,,,
2005-10-01,8245.94591,45434.02,451867.1,12.26928,67.6,672.34,3561.23781,19621.93,195151.19,,,,,,,,,
2005-11-01,7980.18939,43969.73,437834.58,12.28107,67.67,673.8,3173.62354,17486.22,174121.45,,,,,,,,,
2005-12-01,8144.32523,44874.1,445849.25,27.76379,152.97,1519.89,3629.05698,19995.6,198667.45,,,,,,,,,
2006-01-01,8853.46082,48781.33,478090.06,5.28988,29.15,285.66,3415.2798000000003,18817.72,184426.33,,,,109.3215,602.35,5903.4,,,
2006-02-01,7669.63772,42258.64,414162.34,6.40572,35.29,345.91,3011.1718,16591.14,162604.02,,,,99.72175999999999,549.45,5385.0,,,
2006-03-01,8149.58981,44903.11,440080.45,5.4123,29.82,292.27,3335.27563,18376.91,180105.95,,,,107.28825,591.14,5793.6,,,
2006-04-01,8146.71703,44887.28,439926.29,4.167549999999999,22.96,225.05,3177.84996,17509.51,171605.29,,,,93.87146,517.22,5069.1,,,
2006-05-01,8092.00889,44585.84,436970.84,7.363379999999999,40.57,397.62,3704.05616,20408.83,200020.11,,,,98.91058,544.98,5341.2,,,
2006-06-01,8303.93827,45753.55,448415.17,6.92896,38.18,374.17,3926.12035,21632.38,212011.68,,,,104.79942,577.43,5659.2,,,
2006-07-01,9039.04772,49803.89,488111.76,7.316789999999999,40.31,395.11,4420.63398,24357.08,238715.79,,,,109.02151,600.69,5887.2,,,
2006-08-01,8863.03243,48834.08,478605.44,11.51254,63.43,621.68,4566.79774,25162.42,246607.95,,,,108.16628,595.98,5841.0,,,
2006-09-01,8533.36191,47017.64,460804.08,7.50963,41.38,405.52,3718.44616,20488.12,200797.2,,,,105.83831,583.15,5715.3,,,
2006-10-01,8136.76719,44832.45,439389.79,4.00504,22.07,216.27,3897.98274,21477.34,210493.16,,,,86.68803,477.64,4681.2,,,
2006-11-01,8092.61497,44589.18,437004.71,3.24131,17.86,175.03,3292.69586,18142.3,177807.0,,,,99.21587,546.67,5357.7,,,
2006-12-01,8675.29271,47799.66,468468.67,6.1370499999999995,33.81,331.4,3692.40502,20344.64,199391.09,,,,109.93822,605.74,5936.7,,,
2007-01-01,9949.452000000001,54822.0,447737.0,0.0,0.0,0.0,4428.16,24398.0,199272.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-02-01,9371.102,51632.0,415199.0,0.0,0.0,0.0,3803.2540000000004,20956.0,168508.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-03-01,9728.078000000001,53604.0,458583.0,12.658000000000001,70.0,597.0,3389.4460000000004,18675.0,159779.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-04-01,9054.78,49892.0,480275.0,0.0,0.0,0.0,2924.963,16116.0,155143.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-05-01,9466.467,52154.0,469313.0,0.0,0.0,0.0,2805.2070000000003,15456.0,139072.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-06-01,9373.367,51643.0,468095.0,0.0,0.0,0.0,2716.81,14970.0,135674.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-07-01,9373.577000000001,51643.0,444141.0,0.0,0.0,0.0,3032.539,16709.0,143688.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-08-01,9627.29,53047.0,487293.0,0.0,0.0,0.0,2566.2940000000003,14140.0,129895.0,17.591,96.0,890.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-09-01,8751.447,48221.0,466355.0,0.0,0.0,0.0,2857.1510000000003,15743.0,152254.0,17.753,96.0,946.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-10-01,7939.847000000001,43744.0,381211.0,46.91,257.0,2252.0,3408.494,18780.0,163650.0,9.273,52.0,445.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-11-01,9344.645,51492.0,476795.0,0.0,0.0,0.0,2932.8790000000004,16160.0,149645.0,28.721,160.0,1465.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-12-01,8922.258,49161.0,474707.0,15.503,88.0,825.0,3727.228,20537.0,198306.0,29.217000000000002,160.0,1554.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-01-01,14.637,79.0,232.0,0.0,0.0,0.0,13506.363000000001,72653.0,214083.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-02-01,16.237000000000002,87.0,232.0,394.27,2122.0,5634.0,12263.494,66009.0,175228.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-03-01,16.679000000000002,90.0,232.0,148.882,801.0,2071.0,13664.439,73492.0,190068.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-04-01,18.905,102.0,232.0,54.821000000000005,295.0,673.0,13389.273000000001,72018.0,164309.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-05-01,16.707,90.0,232.0,181.99,980.0,2527.0,13076.303,70408.0,181583.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-06-01,22.725,122.0,232.0,0.0,0.0,0.0,13418.275,72218.0,136986.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-07-01,22.098000000000003,119.0,232.0,237.931,1281.0,2498.0,13444.971,72359.0,141154.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-08-01,19.856,107.0,232.0,0.0,0.0,0.0,14144.144,76091.0,165261.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-09-01,19.408,104.0,232.0,0.0,0.0,0.0,13797.592,74220.0,164933.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-10-01,18.022000000000002,97.0,232.0,0.0,0.0,0.0,14901.978,80085.0,191832.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-11-01,15.75,84.0,232.0,29.389000000000003,158.0,433.0,13224.861,70929.0,194805.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-12-01,17.921,96.0,232.0,0.0,0.0,0.0,15547.079000000002,83414.0,201262.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-01-01,9663.931,53247.0,451866.0,58.803000000000004,324.0,2750.0,4375.888,24111.0,204608.0,25.47,140.0,1191.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-02-01,8798.429,48478.0,391628.0,36.406,201.0,1620.0,4475.563,24660.0,199212.0,52.177,287.0,2322.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-03-01,10965.352,60418.0,477398.0,45.282000000000004,249.0,1971.0,4071.804,22435.0,177274.0,55.731,307.0,2426.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-04-01,10057.414,55415.0,447864.0,45.585,251.0,2030.0,3703.4080000000004,20405.0,164916.0,403.15200000000004,2221.0,17953.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-05-01,10785.986,59429.0,467747.0,50.991,281.0,2211.0,3657.0130000000004,20150.0,158591.0,282.146,1555.0,12236.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-06-01,10347.096,57011.0,442401.0,49.119,271.0,2100.0,3363.473,18532.0,143809.0,212.67700000000002,1172.0,9093.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-07-01,10517.34,57949.0,461320.0,49.48,273.0,2170.0,3276.02,18050.0,143696.0,223.63400000000001,1232.0,9809.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-08-01,9495.817000000001,52321.0,425082.0,44.17,243.0,1977.0,3864.8410000000003,21295.0,173010.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-09-01,9889.948,54492.0,436032.0,47.37,261.0,2088.0,3704.704,20412.0,163335.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-10-01,9730.03,53611.0,441693.0,45.877,253.0,2083.0,4776.479,26318.0,216828.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-11-01,9687.574,53377.0,424398.0,45.803000000000004,252.0,2007.0,4619.267,25452.0,202363.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-12-01,9358.858,51566.0,427170.0,43.192,238.0,1971.0,5198.351000000001,28642.0,237270.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-01-01,9094.12,50107.0,449303.0,159.731,880.0,7892.0,5009.485000000001,27602.0,247498.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-02-01,8862.349,48830.0,426613.0,0.0,0.0,0.0,4542.479,25028.0,218665.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-03-01,10375.757,57169.0,468292.0,0.0,0.0,0.0,4727.841,26050.0,213383.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-04-01,9826.754,54144.0,435139.0,0.0,0.0,0.0,4642.086,25577.0,205557.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-05-01,11111.712,61224.0,489601.0,0.0,0.0,0.0,3690.3520000000003,20333.0,162603.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-06-01,9677.516,53322.0,439048.0,0.0,0.0,0.0,3855.992,21246.0,174938.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-07-01,9923.031,54675.0,433353.0,0.0,0.0,0.0,4159.769,22920.0,181663.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-08-01,10295.969,56729.0,450045.0,0.0,0.0,0.0,4171.911,22987.0,182358.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-09-01,3304.4790000000003,18207.0,359217.0,0.0,0.0,0.0,1699.644,9365.0,184762.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-10-01,10802.394,59520.0,479277.0,0.0,0.0,0.0,3641.478,20064.0,161564.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-11-01,10147.217,55910.0,457098.0,0.0,0.0,0.0,4336.988,23896.0,195367.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-12-01,9909.868,54602.0,475530.0,0.0,0.0,0.0,5404.036,29775.0,259316.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-01-01,8238.1,45391.0,490889.0,34.459,190.0,2053.0,3901.164,21495.0,232461.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-02-01,7259.467,39999.0,432042.0,0.098,1.0,6.0,3330.623,18351.0,198220.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-03-01,10438.38,57514.0,540966.0,0.0,0.0,0.0,4209.076,23191.0,218134.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-04-01,8983.436,49497.0,452191.0,6.741,37.0,339.0,3988.278,21975.0,200754.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-05-01,9428.135,51948.0,449140.0,0.0,0.0,0.0,4004.541,22064.0,190770.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-06-01,9722.211,53568.0,461924.0,0.0,0.0,0.0,3963.024,21836.0,188292.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-07-01,9806.42,54032.0,452330.0,0.0,0.0,0.0,4189.953,23086.0,193266.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-08-01,8741.463,48164.0,447482.0,0.0,0.0,0.0,3873.038,21340.0,198264.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-09-01,10017.605,55196.0,484741.0,0.0,0.0,0.0,3900.983,21494.0,188764.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-10-01,9548.322,52610.0,474962.0,0.0,0.0,0.0,4623.785,25476.0,230001.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-11-01,9133.154,50322.0,460624.0,0.0,0.0,0.0,4606.818,25383.0,232342.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-12-01,9056.352,49899.0,477027.0,0.0,0.0,0.0,4903.529,27018.0,258284.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-01-01,9441.596,52022.0,497141.0,0.0,0.0,0.0,4775.646,26313.0,251459.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-02-01,8664.108,47738.0,459383.0,0.0,0.0,0.0,4553.461,25089.0,241431.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-03-01,10031.174,55270.0,491527.0,0.0,0.0,0.0,4512.57,24864.0,221116.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-04-01,9428.89,51952.0,461088.0,0.0,0.0,0.0,4155.514,22896.0,203212.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-05-01,9968.812,54927.0,478512.0,0.0,0.0,0.0,4149.519,22863.0,199181.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-06-01,9740.361,53668.0,468234.0,0.0,0.0,0.0,3551.151,19566.0,170709.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-07-01,10384.902,57219.0,491654.0,0.0,0.0,0.0,3717.104,20481.0,175980.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-08-01,10402.271,57315.0,500238.0,0.0,0.0,0.0,3419.327,18840.0,164433.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-09-01,9778.572,53879.0,475124.0,0.0,0.0,0.0,3524.464,19419.0,171248.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-10-01,10279.191,56637.0,494473.0,0.0,0.0,0.0,4132.031,22767.0,198768.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-11-01,9716.874,53539.0,460114.0,0.0,0.0,0.0,4569.509,25177.0,216376.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-12-01,9850.737,54276.0,492548.0,0.0,0.0,0.0,4572.009,25191.0,228605.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-01-01,7398.904,54319.0,500714.0,0.0,0.0,0.0,3718.096,27296.0,251619.0,,,,0.0,0.0,0.0,0.0,0.0,0.0
2013-02-01,4605.169,36030.0,368300.0,0.0,0.0,0.0,3111.831,24347.0,248870.0,,,,0.0,0.0,0.0,0.0,0.0,0.0
2013-03-01,5186.345,40295.0,383206.0,0.0,0.0,0.0,4241.655,32955.0,313405.0,,,,0.0,0.0,0.0,0.0,0.0,0.0
2013-04-01,7140.725,52312.0,467573.0,0.0,0.0,0.0,3372.275,24705.0,220816.0,,,,0.0,0.0,0.0,0.0,0.0,0.0
2013-05-01,7331.276,53758.0,484996.0,0.0,0.0,0.0,3320.724,24350.0,219680.0,,,,0.0,0.0,0.0,0.0,0.0,0.0
2013-06-01,7166.123,52345.0,478790.0,0.0,0.0,0.0,3103.877,22672.0,207379.0,,,,0.0,0.0,0.0,0.0,0.0,0.0
2013-07-01,7491.134,55222.0,511931.0,0.0,0.0,0.0,2983.866,21996.0,203912.0,,,,0.0,0.0,0.0,0.0,0.0,0.0
2013-08-01,7661.874,56634.0,525677.0,0.0,0.0,0.0,2890.126,21363.0,198290.0,,,,0.0,0.0,0.0,0.0,0.0,0.0
2013-09-01,7070.699,52662.0,498406.0,0.0,0.0,0.0,2850.301,21229.0,200915.0,,,,0.0,0.0,0.0,0.0,0.0,0.0
2013-10-01,6070.075,46189.0,456495.0,0.0,0.0,0.0,3399.925,25871.0,255689.0,,,,0.0,0.0,0.0,0.0,0.0,0.0
2013-11-01,6817.264,50892.0,511572.0,0.0,0.0,0.0,3350.736,25014.0,251441.0,,,,0.0,0.0,0.0,0.0,0.0,0.0
2013-12-01,6436.089,49085.0,519854.0,0.0,0.0,0.0,3484.911,26578.0,281482.0,,,,0.0,0.0,0.0,0.0,0.0,0.0
2014-01-01,6355.155,46541.0,515724.0,0.0,0.0,0.0,3978.845,29138.0,322885.0,,,,0.0,0.0,0.0,0.0,0.0,0.0
2014-02-01,6475.182,43439.0,490212.0,0.0,0.0,0.0,3640.818,24425.0,275633.0,,,,0.0,0.0,0.0,0.0,0.0,0.0
2014-03-01,7366.131,50051.0,547848.0,0.0,0.0,0.0,3929.869,26702.0,292280.0,,,,0.0,0.0,0.0,0.0,0.0,0.0
2014-04-01,6305.688,46630.0,473508.0,0.0,0.0,0.0,3176.312,23488.0,238516.0,,,,0.0,0.0,0.0,0.0,0.0,0.0
2014-05-01,6589.066,47308.0,465444.0,0.0,0.0,0.0,3692.934,26514.0,260865.0,,,,0.0,0.0,0.0,0.0,0.0,0.0
2014-06-01,6709.541,48779.0,469092.0,0.0,0.0,0.0,3255.459,23667.0,227603.0,,,,0.0,0.0,0.0,0.0,0.0,0.0
2014-07-01,7320.141,52111.0,505596.0,0.0,0.0,0.0,3309.859,23562.0,228609.0,,,,0.0,0.0,0.0,0.0,0.0,0.0
2014-08-01,6706.905,56925.0,507600.0,0.0,0.0,0.0,2859.095,24267.0,216385.0,,,,0.0,0.0,0.0,0.0,0.0,0.0
2014-09-01,6149.348,54744.0,504372.0,0.0,0.0,0.0,2739.652,24390.0,224707.0,,,,0.0,0.0,0.0,0.0,0.0,0.0
2014-10-01,5816.076,47313.0,446964.0,0.0,0.0,0.0,3410.924,27747.0,262129.0,,,,0.0,0.0,0.0,0.0,0.0,0.0
2014-11-01,6414.034,49537.0,489384.0,0.0,0.0,0.0,3440.966,26575.0,262542.0,,,,0.0,0.0,0.0,0.0,0.0,0.0
2014-12-01,5935.795,49000.0,476400.0,0.0,0.0,0.0,3649.205,30124.0,292881.0,,,,0.0,0.0,0.0,0.0,0.0,0.0
2015-01-01,6444.269,48726.0,480768.0,0.0,0.0,0.0,3783.731,28609.0,282281.0,,,,0.0,0.0,0.0,0.0,0.0,0.0
2015-02-01,5010.337,39785.0,393432.0,0.0,0.0,0.0,3752.663,29798.0,294674.0,,,,0.0,0.0,0.0,0.0,0.0,0.0
2015-03-01,6340.277,48125.0,478908.0,0.0,0.0,0.0,3757.723,28522.0,283837.0,,,,0.0,0.0,0.0,0.0,0.0,0.0
2015-04-01,2984.025,30154.0,290076.0,0.0,0.0,0.0,1838.975,18583.0,178766.0,,,,0.0,0.0,0.0,0.0,0.0,0.0
2015-05-01,8170.977,65072.0,485616.0,0.0,0.0,0.0,516.023,4109.0,30668.0,,,,0.0,0.0,0.0,0.0,0.0,0.0
2015-06-01,5986.353,50098.0,485604.0,0.0,0.0,0.0,1557.647,13036.0,126354.0,,,,0.0,0.0,0.0,0.0,0.0,0.0
2015-07-01,6414.653,49541.0,474960.0,0.0,0.0,0.0,3132.347,24191.0,231928.0,,,,0.0,0.0,0.0,0.0,0.0,0.0
2015-08-01,7072.947,53279.0,508236.0,0.0,0.0,0.0,3284.053,24738.0,235980.0,,,,0.0,0.0,0.0,0.0,0.0,0.0
2015-09-01,7063.113,54092.0,522696.0,0.0,0.0,0.0,2744.887,21021.0,203132.0,,,,0.0,0.0,0.0,0.0,0.0,0.0
2015-10-01,6590.168,50813.0,492588.0,0.0,0.0,0.0,3006.832,23184.0,224748.0,,,,0.0,0.0,0.0,0.0,0.0,0.0
2015-11-01,6893.183,52923.0,526032.0,17.393,134.0,1327.0,2818.424,21639.0,215079.0,,,,0.0,0.0,0.0,0.0,0.0,0.0
2015-12-01,7309.408,54922.0,536508.0,13.029,98.0,956.0,3122.563,23463.0,229195.0,,,,0.0,0.0,0.0,0.0,0.0,0.0
2016-01-01,6960.464,43702.0,522132.0,0.0,0.0,0.0,3564.536,22380.0,267390.0,,,,0.0,0.0,0.0,0.0,0.0,0.0
2016-02-01,6224.144,40456.0,471636.0,0.0,0.0,0.0,3174.856,20636.0,240575.0,,,,0.0,0.0,0.0,0.0,0.0,0.0
2016-03-01,7529.93,46939.0,513228.0,0.0,0.0,0.0,3257.07,20304.0,221997.0,,,,0.0,0.0,0.0,0.0,0.0,0.0
2016-04-01,7117.253,45521.0,492564.0,0.0,0.0,0.0,2779.747,17779.0,192378.0,,,,0.0,0.0,0.0,0.0,0.0,0.0
