measured_on,Black Liquor Generation,Black Liquor Quantity Consumed For Electricity,Black Liquor Total Fuel Consumed,Distillate Fuel Oil Generation,Distillate Fuel Oil Quantity Consumed For Electricity,Distillate Fuel Oil Total Fuel Consumed,Natural Gas Generation,Natural Gas Quantity Consumed For Electricity,Natural Gas Total Fuel Consumed,Other Biomass Liquids Generation,Other Biomass Liquids Quantity Consumed For Electricity,Other Biomass Liquids Total Fuel Consumed,Petroleum Coke Generation,Petroleum Coke Quantity Consumed For Electricity,Petroleum Coke Total Fuel Consumed,Waste/Other Oil Generation,Waste/Other Oil Quantity Consumed For Electricity,Waste/Other Oil Total Fuel Consumed
2001-01-01,16374.0,141331.0,471937.0,26.0,208.0,737.0,,,,,,,,,,,,
2001-02-01,14500.0,128022.0,405552.0,0.0,0.0,0.0,,,,,,,,,,,,
2001-03-01,16090.0,137995.0,467109.0,0.0,0.0,0.0,10.0,76.0,290.0,,,,,,,,,
2001-04-01,16091.0,463488.0,463488.0,0.0,0.0,0.0,9.0,241.0,241.0,,,,,,,,,
2001-05-01,15889.0,140782.0,457453.0,0.0,0.0,0.0,11.0,80.0,290.0,,,,,,,,,
2001-06-01,15889.0,142544.0,438141.0,0.0,0.0,0.0,11.0,85.0,290.0,,,,,,,,,
2001-07-01,16382.0,149168.0,464695.0,0.0,0.0,0.0,9.0,73.0,253.0,,,,,,,,,
2001-08-01,15891.0,144616.0,446590.0,0.0,0.0,0.0,9.0,74.0,253.0,,,,,,,,,
2001-09-01,14891.0,135519.0,458660.0,0.0,0.0,0.0,9.0,71.0,270.0,,,,,,,,,
2001-10-01,14190.0,129141.0,422450.0,0.0,0.0,0.0,10.0,79.0,286.0,,,,,,,,,
2001-11-01,15689.0,138277.0,430899.0,0.0,0.0,0.0,11.0,84.0,290.0,,,,,,,,,
2001-12-01,16287.0,143578.0,435727.0,0.0,0.0,0.0,13.0,98.0,328.0,,,,,,,,,
2002-01-01,8654.224,82495.0,445325.0,0.0,0.0,0.0,6614.546,63048.0,340346.0,,,,,,,,,
2002-02-01,20.166,216.0,581.0,0.0,0.0,0.0,15248.604,145118.0,421459.0,,,,,,,,,
2002-03-01,20.0,214.0,576.0,0.0,0.0,0.0,14580.0,138755.0,402979.0,,,,,,,,,
2002-04-01,23.047,247.0,663.0,0.0,0.0,0.0,14957.633,142349.0,413416.0,,,,,,,,,
2002-05-01,21.127000000000002,226.0,608.0,0.0,0.0,0.0,15343.673,146023.0,424086.0,,,,,,,,,
2002-06-01,23.0,246.0,662.0,0.0,0.0,0.0,15977.0,152050.0,441591.0,,,,,,,,,
2002-07-01,26.0,278.0,749.0,0.0,0.0,0.0,16574.0,157732.0,458091.0,,,,,,,,,
2002-08-01,23.047,247.0,663.0,24.008000000000003,194.0,688.0,15287.016,145484.0,422520.0,,,,,,,,,
2002-09-01,1.921,21.0,55.0,11.524000000000001,93.0,330.0,0.0,0.0,0.0,,,,,,,,,
2002-10-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
2002-11-01,8.643,93.0,249.0,0.0,0.0,0.0,5.7620000000000005,55.0,159.0,,,,,,,,,
2002-12-01,8.643,93.0,249.0,0.0,0.0,0.0,6.0,57.0,166.0,,,,,,,,,
2003-02-01,,,,0.0,0.0,0.0,,,,,,,,,,,,
2003-05-01,,,,0.0,0.0,0.0,,,,,,,,,,,,
2003-06-01,,,,0.0,0.0,0.0,,,,,,,,,,,,
2003-07-01,,,,0.0,0.0,0.0,,,,,,,,,,,,
2003-08-01,,,,0.0,0.0,0.0,,,,,,,,,,,,
2003-09-01,,,,0.0,0.0,0.0,,,,,,,,,,,,
2003-10-01,,,,0.0,0.0,0.0,,,,,,,,,,,,
2003-11-01,,,,0.0,0.0,0.0,,,,,,,,,,,,
2003-12-01,,,,0.0,0.0,0.0,,,,,,,,,,,,
2004-01-01,9646.98756,53153.55,481186.68,17.42469,96.01,869.13,3201.92575,17642.16,159710.38,,,,,,,,,
2004-02-01,8295.11355,45704.92,413432.24,5.45205,30.04,271.73,2933.4404,16162.85,146204.01,,,,,,,,,
2004-03-01,9424.26429,51926.39,458891.71,18.88985,104.08,919.8,8929.88286,49202.41,434819.0,,,,,,,,,
