measured_on,Municiapl Landfill Gas - Combustion (Gas) Turbine (including jet engine design) - Municipal Landfill Gas - Generation,Municiapl Landfill Gas - Combustion (Gas) Turbine (including jet engine design) - Municipal Landfill Gas - Quantity Consumed For Electricity,Municiapl Landfill Gas - Combustion (Gas) Turbine (including jet engine design) - Municipal Landfill Gas - Total Fuel Consumed,"Municiapl Landfill Gas - Internal Combustion Engine (diesel, piston, reciprocating) - Municipal Landfill Gas - Generation","Municiapl Landfill Gas - Internal Combustion Engine (diesel, piston, reciprocating) - Municipal Landfill Gas - Quantity Consumed For Electricity","Municiapl Landfill Gas - Internal Combustion Engine (diesel, piston, reciprocating) - Municipal Landfill Gas - Total Fuel Consumed"
2003-01-01,2796.89,36971.0,36971.0,543.573,10083.0,10083.0
2003-02-01,2577.722,34073.0,34073.0,500.978,9293.0,9293.0
2003-03-01,2538.837,33559.0,33559.0,493.42100000000005,9153.0,9153.0
2003-04-01,2550.009,33707.0,33707.0,495.59200000000004,9193.0,9193.0
2003-05-01,2226.35,29429.0,29429.0,432.689,8026.0,8026.0
2003-06-01,2690.2780000000002,35561.0,35561.0,522.8530000000001,9699.0,9699.0
2003-07-01,3491.6620000000003,46154.0,46154.0,678.6020000000001,12588.0,12588.0
2003-08-01,3470.5480000000002,45875.0,45875.0,674.498,12511.0,12511.0
2003-09-01,2868.685,37920.0,37920.0,557.527,10342.0,10342.0
2003-10-01,3179.4770000000003,42028.0,42028.0,617.929,11462.0,11462.0
2003-11-01,2877.179,38032.0,38032.0,559.177,10372.0,10372.0
2003-12-01,2851.3650000000002,37691.0,37691.0,554.16,10279.0,10279.0
2004-01-01,2791.75,38417.0,38417.0,887.25,11583.0,11583.0
2004-02-01,2791.75,38417.0,38417.0,887.25,11583.0,11583.0
2004-03-01,2791.75,38417.0,38417.0,887.25,11583.0,11583.0
2004-04-01,2791.75,38417.0,38417.0,887.25,11583.0,11583.0
2004-05-01,2791.75,38417.0,38417.0,887.25,11583.0,11583.0
2004-06-01,2791.75,38417.0,38417.0,887.25,11583.0,11583.0
2004-07-01,2791.75,38417.0,38417.0,887.25,11583.0,11583.0
2004-08-01,2791.75,38417.0,38417.0,887.25,11583.0,11583.0
2004-09-01,2791.75,38417.0,38417.0,887.25,11583.0,11583.0
2004-10-01,2791.75,38417.0,38417.0,887.25,11583.0,11583.0
2004-11-01,2791.75,38417.0,38417.0,887.25,11583.0,11583.0
2004-12-01,2791.75,38417.0,38417.0,887.25,11583.0,11583.0
2005-01-01,2882.833,47139.21,47139.21,0.0,0.0,0.0
2005-02-01,2571.714,42051.88,42051.88,0.0,0.0,0.0
2005-03-01,2937.253,48029.06,48029.06,0.0,0.0,0.0
2005-04-01,2931.181,47929.78,47929.78,0.0,0.0,0.0
