measured_on,"Nuclear-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Nuclear-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Nuclear-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed"
2003-01-01,725559.0,7561050.34,7561050.34
2003-02-01,660312.0,6881111.35,6881111.35
2003-03-01,724538.0,7550410.5,7550410.5
2003-04-01,652285.0,6797461.99,6797461.99
2003-05-01,726901.0,7575035.32,7575035.32
2003-06-01,707459.0,7372430.24,7372430.24
2003-07-01,717391.0,7475931.61,7475931.61
2003-08-01,580400.0,6048348.4,6048348.4
2003-09-01,697169.0,7265198.15,7265198.15
2003-10-01,734782.0,7657163.22,7657163.22
2003-11-01,711390.0,7413395.19,7413395.19
2003-12-01,736873.0,7678953.53,7678953.53
2004-01-01,738791.0,7703373.76,7703373.76
2004-02-01,690887.0,7203878.75,7203878.75
2004-03-01,736774.0,7682342.5,7682342.5
2004-04-01,709977.0,7402930.18,7402930.18
2004-05-01,727670.0,7587415.09,7587415.09
2004-06-01,702802.0,7328116.45,7328116.45
2004-07-01,718755.0,7494458.39,7494458.39
2004-08-01,717288.0,7479161.98,7479161.98
2004-09-01,421204.0,4391894.11,4391894.11
2004-10-01,492646.0,5136819.84,5136819.84
2004-11-01,121289.0,1264680.4,1264680.4
2004-12-01,745586.0,7774225.22,7774225.22
2005-01-01,766391.0,7997290.09,7997290.09
2005-02-01,678720.0,7082443.2,7082443.2
2005-03-01,764463.0,7977171.41,7977171.41
2005-04-01,738537.0,7706633.6,7706633.6
2005-05-01,754861.0,7876974.54,7876974.54
2005-06-01,727925.0,7595897.38,7595897.38
2005-07-01,740983.0,7732157.61,7732157.61
2005-08-01,736065.0,7680838.28,7680838.28
2005-09-01,718899.0,7501711.07,7501711.07
2005-10-01,760183.0,7932509.61,7932509.61
2005-11-01,738710.0,7708438.85,7708438.85
2005-12-01,722713.0,7541510.16,7541510.16
2006-01-01,762265.0,7953473.0,7953473.0
2006-02-01,690771.0,7207505.0,7207505.0
2006-03-01,741769.0,7739618.0,7739618.0
2006-04-01,439059.0,4581142.0,4581142.0
2006-05-01,209303.0,2183868.0,2183868.0
2006-06-01,736122.0,7680697.0,7680697.0
2006-07-01,750961.0,7835527.0,7835527.0
2006-08-01,706680.0,7373499.0,7373499.0
2006-09-01,731364.0,7631052.0,7631052.0
2006-10-01,763924.0,7970783.0,7970783.0
2006-11-01,694916.0,7250754.0,7250754.0
2006-12-01,759998.0,7929819.0,7929819.0
2007-01-01,767275.0,8044878.0,8044878.0
