measured_on,Distillate Fuel Oil-Combustion (Gas) Turbine (including jet engine design) Generation,Distillate Fuel Oil-Combustion (Gas) Turbine (including jet engine design) Quantity Consumed For Electricity,Distillate Fuel Oil-Combustion (Gas) Turbine (including jet engine design) Total Fuel Consumed,Municiapl Landfill Gas-Combustion (Gas) Turbine (including jet engine design) Generation,Municiapl Landfill Gas-Combustion (Gas) Turbine (including jet engine design) Quantity Consumed For Electricity,Municiapl Landfill Gas-Combustion (Gas) Turbine (including jet engine design) Total Fuel Consumed
2003-01-01,,,,2507.56,42365.0,42365.0
2003-02-01,,,,2237.483,37802.0,37802.0
2003-03-01,,,,2216.754,37452.0,37452.0
2003-04-01,,,,1884.535,31839.0,31839.0
2003-05-01,,,,2020.55,34137.0,34137.0
2003-06-01,,,,2226.596,37618.0,37618.0
2003-07-01,,,,2449.507,41384.0,41384.0
2003-08-01,,,,2586.7940000000003,43704.0,43704.0
2003-09-01,,,,2104.6710000000003,35558.0,35558.0
2003-10-01,,,,1976.92,33400.0,33400.0
2003-11-01,,,,2074.196,35043.0,35043.0
2003-12-01,,,,2484.434,41974.0,41974.0
2004-01-01,,,,2412.167,32120.0,32120.0
2004-02-01,,,,2412.167,32120.0,32120.0
2004-03-01,,,,2412.167,32120.0,32120.0
2004-04-01,,,,2412.167,32120.0,32120.0
2004-05-01,,,,2412.167,32120.0,32120.0
2004-06-01,,,,2412.167,32120.0,32120.0
2004-07-01,,,,2412.167,32120.0,32120.0
2004-08-01,,,,2412.167,32120.0,32120.0
2004-09-01,,,,2412.167,32120.0,32120.0
2004-10-01,,,,2412.167,32120.0,32120.0
2004-11-01,,,,2412.167,32120.0,32120.0
2004-12-01,,,,2412.167,32120.0,32120.0
2005-01-01,,,,2583.072,40446.43,40446.43
2005-02-01,,,,2203.009,34495.3,34495.3
2005-03-01,,,,2461.1020000000003,38536.59,38536.59
2005-04-01,,,,2272.3360000000002,35580.85,35580.85
2005-05-01,,,,2489.7090000000003,38984.52,38984.52
2005-06-01,,,,2414.1040000000003,37800.68,37800.68
2005-07-01,,,,2593.61,40611.44,40611.44
2005-08-01,,,,2498.358,39119.96,39119.96
2005-09-01,,,,2378.607,37244.86,37244.86
2005-10-01,,,,2052.716,32141.98,32141.98
2005-11-01,,,,2285.692,35789.97,35789.97
2005-12-01,,,,2557.686,40048.94,40048.94
2006-01-01,,,,2379.451,36659.0,36659.0
2006-02-01,,,,2198.974,33878.0,33878.0
2006-03-01,,,,2425.616,37370.0,37370.0
2006-04-01,,,,1784.6660000000002,27495.0,27495.0
2006-05-01,,,,2181.907,33616.0,33616.0
2006-06-01,,,,2285.6330000000003,35214.0,35214.0
2006-07-01,,,,2372.108,36546.0,36546.0
2006-08-01,,,,2357.8430000000003,36326.0,36326.0
2006-09-01,,,,2255.333,34747.0,34747.0
2006-10-01,,,,2340.299,36056.0,36056.0
2006-11-01,,,,2363.672,36416.0,36416.0
2006-12-01,,,,2277.4990000000003,35088.0,35088.0
2007-01-01,,,,1524.141,23215.0,23215.0
2007-02-01,,,,2392.077,36436.0,36436.0
2007-03-01,,,,1944.2060000000001,29614.0,29614.0
2007-04-01,,,,2378.996,36236.0,36236.0
2007-05-01,,,,1563.1270000000002,23809.0,23809.0
2007-06-01,,,,1909.045,29078.0,29078.0
2007-07-01,,,,2406.1690000000003,36650.0,36650.0
2007-08-01,,,,2713.45,41331.0,41331.0
2007-09-01,,,,2937.2980000000002,44740.0,44740.0
2007-10-01,,,,3848.771,58623.0,58623.0
2007-11-01,,,,2476.463,37721.0,37721.0
2007-12-01,,,,1900.258,28944.0,28944.0
2008-01-01,,,,3539.7630000000004,53387.0,53387.0
2008-02-01,,,,2175.5350000000003,32812.0,32812.0
2008-03-01,,,,9447.438,142488.0,142488.0
2008-04-01,,,,1352.431,20398.0,20398.0
2008-05-01,,,,1039.66,15681.0,15681.0
2008-06-01,,,,2277.753,34354.0,34354.0
2008-07-01,,,,1989.392,30005.0,30005.0
2008-08-01,,,,1990.26,30018.0,30018.0
2008-09-01,,,,2018.048,30437.0,30437.0
2008-10-01,,,,2253.28,33985.0,33985.0
2008-11-01,,,,1400.742,21126.0,21126.0
2008-12-01,,,,595.698,8985.0,8985.0
2009-01-01,,,,4379.6230000000005,84128.0,84128.0
2009-02-01,,,,3857.0310000000004,74089.0,74089.0
2009-03-01,,,,2393.66,45979.0,45979.0
2009-04-01,,,,1863.2710000000002,35791.0,35791.0
2009-05-01,,,,2601.594,49973.0,49973.0
2009-06-01,,,,2215.943,42566.0,42566.0
2009-07-01,,,,1843.4160000000002,35410.0,35410.0
2009-08-01,,,,1387.111,26645.0,26645.0
2009-09-01,,,,1777.921,34152.0,34152.0
2009-10-01,,,,1462.08,28085.0,28085.0
2009-11-01,,,,1716.245,32967.0,32967.0
2009-12-01,,,,2021.105,38823.0,38823.0
2010-01-01,,,,1211.54,24627.0,24627.0
2010-02-01,,,,1758.794,35751.0,35751.0
2010-03-01,,,,815.495,16576.0,16576.0
2010-04-01,,,,1195.33,24297.0,24297.0
2010-05-01,,,,1392.063,28296.0,28296.0
2010-06-01,,,,2575.692,52356.0,52356.0
2010-07-01,,,,2346.071,47688.0,47688.0
2010-08-01,,,,2361.257,47997.0,47997.0
2010-09-01,,,,3612.047,73421.0,73421.0
2010-10-01,,,,1790.5320000000002,36396.0,36396.0
2010-11-01,,,,2420.23,49195.0,49195.0
2010-12-01,,,,4544.9490000000005,92384.0,92384.0
2011-01-01,,,,2292.544,40018.0,40018.0
2011-02-01,,,,1772.669,30943.0,30943.0
2011-03-01,,,,548.321,9571.0,9571.0
2011-04-01,,,,1045.784,18255.0,18255.0
2011-05-01,,,,1714.873,29934.0,29934.0
2011-06-01,,,,2091.843,36515.0,36515.0
2011-07-01,,,,3228.164,56350.0,56350.0
2011-08-01,,,,3287.435,57385.0,57385.0
2011-09-01,,,,3544.917,61879.0,61879.0
2011-10-01,,,,2546.57,44453.0,44453.0
2011-11-01,,,,3293.397,57489.0,57489.0
2011-12-01,,,,2780.483,48536.0,48536.0
2012-01-01,,,,2526.002,40797.0,40797.0
2012-02-01,,,,1544.569,24946.0,24946.0
2012-03-01,,,,903.115,14586.0,14586.0
2012-04-01,,,,541.841,8751.0,8751.0
2012-05-01,,,,800.917,12935.0,12935.0
2012-06-01,,,,2260.746,36513.0,36513.0
2012-07-01,,,,3517.153,56805.0,56805.0
2012-08-01,,,,3290.633,53146.0,53146.0
2012-09-01,,,,2233.092,36066.0,36066.0
2012-10-01,,,,3711.953,59951.0,59951.0
