measured_on,"Municiapl Landfill Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Municiapl Landfill Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Municiapl Landfill Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Other Biomass Solids-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Other Biomass Solids-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Other Biomass Solids-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Wood Waste Solids-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Wood Waste Solids-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Wood Waste Solids-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed"
2003-01-01,1692.0,25941.0,25941.0,,,,,,,10548.0,161695.0,161695.0
2003-02-01,1096.0,18717.0,18717.0,,,,,,,8998.0,153710.0,153710.0
2003-03-01,1360.0,22144.0,22144.0,,,,,,,10015.0,163109.0,163109.0
2003-04-01,1602.0,24390.0,24390.0,,,,,,,10728.0,163281.0,163281.0
2003-05-01,1804.0,26872.0,26872.0,,,,,,,10814.0,161103.0,161103.0
2003-06-01,1864.0,27405.0,27405.0,,,,,,,10273.0,150990.0,150990.0
2003-07-01,1870.0,28155.0,28155.0,,,,,,,10635.0,160142.0,160142.0
2003-08-01,1781.0,29175.0,29175.0,,,,,,,9532.0,156103.0,156103.0
2003-09-01,906.0,15323.0,15323.0,,,,,,,5539.0,93670.0,93670.0
2003-10-01,1590.0,25290.0,25290.0,,,,,,,9533.0,151581.0,151581.0
2003-11-01,1647.0,25801.0,25801.0,,,,,,,10128.0,158698.0,158698.0
2003-12-01,1553.0,24271.0,24271.0,,,,,,,10795.0,168739.0,168739.0
2004-01-01,1212.083,18711.0,18711.0,,,,,,,9379.5,144791.0,144791.0
2004-02-01,1212.083,18711.0,18711.0,,,,,,,9379.5,144791.0,144791.0
2004-03-01,1212.083,18711.0,18711.0,,,,,,,9379.5,144791.0,144791.0
2004-04-01,1212.083,18711.0,18711.0,,,,,,,9379.5,144791.0,144791.0
2004-05-01,1212.083,18711.0,18711.0,,,,,,,9379.5,144791.0,144791.0
2004-06-01,1212.083,18711.0,18711.0,,,,,,,9379.5,144791.0,144791.0
2004-07-01,1212.083,18711.0,18711.0,,,,,,,9379.5,144791.0,144791.0
2004-08-01,1212.083,18711.0,18711.0,,,,,,,9379.5,144791.0,144791.0
2004-09-01,1212.083,18711.0,18711.0,,,,,,,9379.5,144791.0,144791.0
2004-10-01,1212.083,18711.0,18711.0,,,,,,,9379.5,144791.0,144791.0
2004-11-01,1212.083,18711.0,18711.0,,,,,,,9379.5,144791.0,144791.0
2004-12-01,1212.083,18711.0,18711.0,,,,,,,9379.5,144791.0,144791.0
2005-01-01,1238.728,19247.75,19247.75,,,,,,,10169.239,158017.18,158017.18
2005-02-01,1105.0430000000001,17170.51,17170.51,,,,,,,9437.645,146649.14,146649.14
2005-03-01,1262.111,19611.09,19611.09,,,,,,,10203.613,158551.31,158551.31
2005-04-01,1259.502,19570.55,19570.55,,,,,,,8772.819000000001,136318.57,136318.57
2005-05-01,1384.64,21514.98,21514.98,,,,,,,9735.828000000001,151282.53,151282.53
2005-06-01,1371.778,21315.12,21315.12,,,,,,,9425.647,146462.71,146462.71
2005-07-01,1420.403,22070.67,22070.67,,,,,,,10438.953,162208.2,162208.2
2005-08-01,1413.9830000000002,21970.92,21970.92,,,,,,,10747.691,167005.6,167005.6
2005-09-01,1331.962,20696.46,20696.46,,,,,,,10117.386,157211.46,157211.46
2005-10-01,1344.517,20891.54,20891.54,,,,,,,9643.601,149849.44,149849.44
2005-11-01,1354.1560000000002,21041.31,21041.31,,,,,,,9821.425000000001,152612.6,152612.6
2005-12-01,1357.1760000000002,21088.24,21088.24,,,,,,,10610.153,164868.43,164868.43
2006-01-01,1061.807,15979.0,15979.0,,,,,,,11651.098,175330.0,175330.0
2006-02-01,981.2710000000001,14767.0,14767.0,,,,,,,10657.32,160375.0,160375.0
2006-03-01,1082.4080000000001,16289.0,16289.0,,,,,,,10717.572,161282.0,161282.0
2006-04-01,796.39,11984.0,11984.0,,,,,,,7065.307000000001,106321.0,106321.0
2006-05-01,973.655,14652.0,14652.0,,,,,,,9360.375,140858.0,140858.0
2006-06-01,1019.942,15349.0,15349.0,,,,,,,9400.505000000001,141462.0,141462.0
2006-07-01,1058.53,15929.0,15929.0,,,,,,,10752.571,161808.0,161808.0
2006-08-01,1052.165,15833.0,15833.0,,,,,,,11962.426,180015.0,180015.0
2006-09-01,1006.42,15145.0,15145.0,,,,,,,10208.148,153616.0,153616.0
2006-10-01,1044.336,15716.0,15716.0,,,,,,,10986.598,165330.0,165330.0
2006-11-01,1054.766,15873.0,15873.0,,,,,,,10333.667,155504.0,155504.0
2006-12-01,1016.312,15294.0,15294.0,,,,,,,11251.412,169315.0,169315.0
2007-01-01,800.392,10827.0,10827.0,,,,,,,11592.608,156808.0,156808.0
2007-02-01,332.836,5670.0,5670.0,,,,,,,10220.164,174094.0,174094.0
2007-03-01,723.0310000000001,11152.0,11152.0,,,,,,,10708.969000000001,165172.0,165172.0
2007-04-01,795.44,11858.0,11858.0,,,,,,,10551.56,157296.0,157296.0
2007-05-01,848.0310000000001,13357.0,13357.0,,,,,,,11016.969000000001,173520.0,173520.0
