measured_on,Natural Gas-Combined Cycle Combustion Turbine Part Generation,Natural Gas-Combined Cycle Combustion Turbine Part Quantity Consumed For Electricity,Natural Gas-Combined Cycle Combustion Turbine Part Total Fuel Consumed,Natural Gas-Combined Cycle Steam Part Generation,Natural Gas-Combined Cycle Steam Part Quantity Consumed For Electricity,Natural Gas-Combined Cycle Steam Part Total Fuel Consumed,Other-Combined Cycle Combustion Turbine Part Generation,Other-Combined Cycle Combustion Turbine Part Quantity Consumed For Electricity,Other-Combined Cycle Combustion Turbine Part Total Fuel Consumed,Other-Combined Cycle Steam Part Generation,Other-Combined Cycle Steam Part Quantity Consumed For Electricity,Other-Combined Cycle Steam Part Total Fuel Consumed
2003-01-01,27784.0,197374.0,197374.0,12022.0,85397.0,85397.0,,,,,,
2003-02-01,92897.0,665401.0,665401.0,40194.0,287896.0,287896.0,,,,,,
2003-03-01,46018.0,284594.0,284594.0,19911.0,123134.0,123134.0,,,,,,
2003-04-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
2003-05-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
2003-06-01,23768.0,173295.0,173295.0,10284.0,74979.0,74979.0,,,,,,
2003-07-01,98491.0,706533.0,706533.0,42614.0,305692.0,305692.0,,,,,,
2003-08-01,80227.0,583614.0,583614.0,39393.0,286565.0,286565.0,,,,,,
2003-09-01,114534.0,887745.0,887745.0,49555.0,384096.0,384096.0,,,,,,
2003-10-01,35390.0,217358.0,217358.0,15312.0,94043.0,94043.0,,,,,,
2003-11-01,13130.0,94171.0,94171.0,5681.0,40745.0,40745.0,,,,,,
2003-12-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
2004-01-01,12022.0,96688.0,96688.0,5201.0,0.0,0.0,,,,,,
2004-02-01,58522.0,609760.0,609760.0,25321.0,0.0,0.0,,,,,,
2004-03-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
2004-04-01,20358.0,222316.0,222316.0,8808.0,0.0,0.0,,,,,,
2004-05-01,43178.0,392649.0,392649.0,18682.0,0.0,0.0,,,,,,
2004-06-01,20551.0,217171.0,217171.0,8892.0,0.0,0.0,,,,,,
2004-07-01,69030.0,801405.0,801405.0,29867.0,0.0,0.0,,,,,,
2004-08-01,96775.0,972875.0,972875.0,41871.0,0.0,0.0,,,,,,
2004-09-01,57929.0,589882.0,589882.0,25064.0,0.0,0.0,,,,,,
2004-10-01,51733.0,518614.0,518614.0,22383.0,0.0,0.0,,,,,,
2004-11-01,57691.0,600906.0,600906.0,24961.0,0.0,0.0,,,,,,
2004-12-01,42456.0,437331.0,437331.0,18369.0,0.0,0.0,,,,,,
2005-01-01,67602.0,719000.77,719000.77,35607.0,3416.51,3416.51,,,,,,
2005-02-01,27906.0,299142.9,299142.9,14699.0,0.0,0.0,,,,,,
2005-03-01,23204.0,245487.5,245487.5,12222.0,0.0,0.0,,,,,,
2005-04-01,12228.0,131094.07,131094.07,6441.0,0.0,0.0,,,,,,
2005-05-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
2005-06-01,1881.0,24393.3,24393.3,991.0,0.0,0.0,,,,,,
2005-07-01,57745.0,600353.78,600353.78,30415.0,280.85,280.85,,,,,,
2005-08-01,103378.0,1131272.19,1131272.19,55822.0,12839.94,12839.94,,,,,,
2005-09-01,43179.0,471017.23,471017.23,22743.0,0.0,0.0,,,,,,
2005-10-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
2005-11-01,17031.0,190854.8,190854.8,8970.0,0.0,0.0,,,,,,
2005-12-01,88073.0,957901.69,957901.69,47502.0,12081.28,12081.28,,,,,,
2006-01-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
2006-02-01,23850.0,258601.0,258601.0,12562.0,0.0,0.0,,,,,,
2006-03-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
2006-04-01,1692.0,21405.0,21405.0,0.0,0.0,0.0,,,,,,
2006-05-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
2006-06-01,775.0,18704.0,18704.0,408.0,0.0,0.0,,,,,,
2006-07-01,76015.0,806727.0,806727.0,43192.0,38276.0,38276.0,,,,,,
2006-08-01,119111.0,1271223.0,1271223.0,62831.0,1145.0,1145.0,,,,,,
2006-09-01,115013.0,1230496.0,1230496.0,60580.0,0.0,0.0,,,,,,
2006-10-01,119349.0,1233960.0,1233960.0,62863.0,0.0,0.0,,,,,,
2006-11-01,35213.0,379740.0,379740.0,18547.0,0.0,0.0,,,,,,
2006-12-01,23422.0,253697.0,253697.0,12337.0,0.0,0.0,,,,,,
2007-01-01,32225.0,352392.0,352392.0,16974.0,0.0,0.0,,,,,,
2007-02-01,25741.0,279770.0,279770.0,13558.0,0.0,0.0,,,,,,
2007-03-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
2007-04-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
2007-05-01,761.0,10203.0,10203.0,401.0,0.0,0.0,,,,,,
2007-06-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
2007-07-01,89477.0,967085.0,967085.0,47129.0,0.0,0.0,,,,,,
2007-08-01,99181.0,1072629.0,1072629.0,52240.0,0.0,0.0,,,,,,
2007-09-01,112500.0,1214379.0,1214379.0,59256.0,0.0,0.0,,,,,,
2007-10-01,115112.0,1240846.0,1240846.0,60631.0,0.0,0.0,,,,,,
2007-11-01,54214.0,588086.0,588086.0,28555.0,0.0,0.0,,,,,,
2007-12-01,59784.0,643348.0,643348.0,31489.0,0.0,0.0,,,,,,
2008-01-01,64709.0,681862.0,681862.0,34096.0,160.0,160.0,,,,,,
2008-02-01,63163.0,678629.0,678629.0,33269.0,0.0,0.0,,,,,,
2008-03-01,63713.0,688845.0,688845.0,33559.0,0.0,0.0,,,,,,
2008-04-01,82055.0,884276.0,884276.0,43220.0,0.0,0.0,,,,,,
2008-05-01,5837.0,67247.0,67247.0,3074.0,0.0,0.0,,,,,,
2008-06-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
2008-07-01,50694.0,548842.0,548842.0,26702.0,0.0,0.0,,,,,,
2008-08-01,109627.0,1171753.0,1171753.0,57788.0,549.0,549.0,,,,,,
2008-09-01,102953.0,1113426.0,1113426.0,54227.0,0.0,0.0,,,,,,
2008-10-01,80403.0,905691.0,905691.0,42350.0,0.0,0.0,,,,,,
2008-11-01,35675.0,389487.0,389487.0,18791.0,0.0,0.0,,,,,,
2008-12-01,58279.0,634156.0,634156.0,30696.0,0.0,0.0,,,,,,
2009-01-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
2009-02-01,79211.0,865456.0,865456.0,41722.0,0.0,0.0,,,,,,
2009-03-01,25728.0,281350.0,281350.0,13551.0,0.0,0.0,,,,,,
2009-04-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
2009-05-01,2957.0,33568.0,33568.0,1557.0,0.0,0.0,,,,,,
2009-06-01,6059.0,68727.0,68727.0,3191.0,0.0,0.0,,,,,,
2009-07-01,75761.0,825645.0,825645.0,39905.0,0.0,0.0,,,,,,
2009-08-01,112065.0,1217264.0,1217264.0,59053.0,363.0,363.0,,,,,,
2009-09-01,105275.0,1144970.0,1144970.0,55450.0,0.0,0.0,,,,,,
2009-10-01,110872.0,1204442.0,1204442.0,58398.0,0.0,0.0,,,,,,
2009-11-01,29134.0,317491.0,317491.0,15345.0,0.0,0.0,,,,,,
2009-12-01,49633.0,540623.0,540623.0,26143.0,3.0,3.0,,,,,,
2010-01-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
2010-02-01,16069.0,175792.0,175792.0,8464.0,0.0,0.0,,,,,,
2010-03-01,75061.0,816985.0,816985.0,39536.0,0.0,0.0,,,,,,
2010-04-01,71845.0,778089.0,778089.0,37842.0,0.0,0.0,,,,,,
2010-05-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
2010-06-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
2010-07-01,58647.0,630119.0,630119.0,30890.0,0.0,0.0,,,,,,
2010-08-01,114767.0,1242815.0,1242815.0,60465.0,275.0,275.0,,,,,,
2010-09-01,103940.0,1126306.0,1126306.0,54747.0,0.0,0.0,,,,,,
2010-10-01,87671.0,948314.0,948314.0,46178.0,0.0,0.0,,,,,,
2010-11-01,16806.0,175894.0,175894.0,8852.0,0.0,0.0,,,,,,
2010-12-01,3396.0,38340.0,38340.0,1789.0,0.0,0.0,,,,,,
2011-01-01,12446.0,136704.0,136704.0,6555.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-02-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
2011-03-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
