measured_on,Distillate Fuel Oil-Combined Cycle Combustion Turbine Part Generation,Distillate Fuel Oil-Combined Cycle Combustion Turbine Part Quantity Consumed For Electricity,Distillate Fuel Oil-Combined Cycle Combustion Turbine Part Total Fuel Consumed,Distillate Fuel Oil-Combined Cycle Steam Part Generation,Distillate Fuel Oil-Combined Cycle Steam Part Quantity Consumed For Electricity,Distillate Fuel Oil-Combined Cycle Steam Part Total Fuel Consumed,Natural Gas-Combined Cycle Combustion Turbine Part Generation,Natural Gas-Combined Cycle Combustion Turbine Part Quantity Consumed For Electricity,Natural Gas-Combined Cycle Combustion Turbine Part Total Fuel Consumed,Natural Gas-Combined Cycle Steam Part Generation,Natural Gas-Combined Cycle Steam Part Quantity Consumed For Electricity,Natural Gas-Combined Cycle Steam Part Total Fuel Consumed,"Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Residual Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Residual Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Residual Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed"
2003-01-01,,,,,,,5590.0,82244.0,82244.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003-02-01,,,,,,,1011.0,28564.0,28564.0,0.0,0.0,0.0,0.0,0.0,0.0,1016.0,28760.0,28760.0
2003-03-01,,,,,,,28805.0,281230.0,281230.0,0.0,0.0,0.0,0.0,0.0,0.0,2959.0,28640.0,28640.0
2003-04-01,,,,,,,4496.0,29631.0,29631.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003-05-01,,,,,,,4235.0,38687.0,38687.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003-06-01,,,,,,,4289.0,41755.0,41755.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003-07-01,,,,,,,5602.0,51765.0,51765.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003-08-01,,,,,,,13383.0,124407.0,124407.0,0.0,0.0,0.0,0.0,0.0,0.0,2072.0,19209.0,19209.0
2003-09-01,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
2003-10-01,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
2003-11-01,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
2003-12-01,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
2004-01-01,,,,,,,936.7280000000001,8624.0,8624.0,0.0,0.0,0.0,0.0,0.0,0.0,782.7570000000001,10171.0,10171.0
2004-02-01,,,,,,,1194.452,10997.0,10997.0,0.0,0.0,0.0,0.0,0.0,0.0,1026.468,13338.0,13338.0
2004-03-01,,,,,,,845.6460000000001,7786.0,7786.0,0.0,0.0,0.0,0.0,0.0,0.0,1566.633,20356.0,20356.0
2004-04-01,,,,,,,866.577,7978.0,7978.0,0.0,0.0,0.0,0.0,0.0,0.0,1430.144,18583.0,18583.0
2004-05-01,,,,,,,1405.7820000000002,12943.0,12943.0,0.0,0.0,0.0,0.0,0.0,0.0,1545.1080000000002,20077.0,20077.0
2004-06-01,,,,,,,1898.087,17475.0,17475.0,0.0,0.0,0.0,0.0,0.0,0.0,808.917,10511.0,10511.0
2004-07-01,,,,,,,2084.08,19187.0,19187.0,0.0,0.0,0.0,0.0,0.0,0.0,833.168,10826.0,10826.0
2004-08-01,,,,,,,1919.594,17673.0,17673.0,0.0,0.0,0.0,0.0,0.0,0.0,554.6610000000001,7207.0,7207.0
2004-09-01,,,,,,,945.59,8706.0,8706.0,0.0,0.0,0.0,0.0,0.0,0.0,973.1890000000001,12645.0,12645.0
2004-10-01,,,,,,,1301.237,11980.0,11980.0,0.0,0.0,0.0,0.0,0.0,0.0,1122.377,14584.0,14584.0
2004-11-01,,,,,,,650.3530000000001,5988.0,5988.0,0.0,0.0,0.0,0.0,0.0,0.0,326.184,4238.0,4238.0
2004-12-01,,,,,,,547.874,5044.0,5044.0,0.0,0.0,0.0,0.0,0.0,0.0,1481.395,19249.0,19249.0
2005-01-01,1019.2990000000001,9433.86,9433.86,,,,12502.802,113923.22,113923.22,0.0,0.0,0.0,,,,,,
2005-02-01,517.321,4787.94,4787.94,,,,10379.115,94572.58,94572.58,0.0,0.0,0.0,,,,,,
2005-03-01,626.105,5794.76,5794.76,,,,12853.687,117120.41,117120.41,0.0,0.0,0.0,,,,,,
2005-04-01,652.414,6038.25,6038.25,,,,12664.853,115399.8,115399.8,0.0,0.0,0.0,,,,,,
2005-05-01,768.758,7115.05,7115.05,,,,14929.815,136037.72,136037.72,0.0,0.0,0.0,,,,,,
2005-06-01,696.025,6441.88,6441.88,,,,18841.838,171683.34,171683.34,0.0,0.0,0.0,,,,,,
2005-07-01,1114.521,10315.16,10315.16,,,,23614.457000000002,215170.56,215170.56,0.0,0.0,0.0,,,,,,
2005-08-01,1233.381,11415.24,11415.24,,,,24462.017,222893.38,222893.38,0.0,0.0,0.0,,,,,,
2005-09-01,1224.8220000000001,11336.03,11336.03,,,,18614.066,169607.93,169607.93,0.0,0.0,0.0,,,,,,
2005-10-01,730.8480000000001,6764.18,6764.18,,,,14870.367,135496.03,135496.03,0.0,0.0,0.0,,,,,,
2005-11-01,582.539,5391.54,5391.54,,,,12686.885,115600.55,115600.55,0.0,0.0,0.0,,,,,,
2005-12-01,1268.965,11744.58,11744.58,,,,12381.096,112814.25,112814.25,0.0,0.0,0.0,,,,,,
2006-01-01,0.0,0.0,0.0,0.0,0.0,0.0,12746.887999999999,114041.0,114041.0,0.0,0.0,0.0,,,,,,
2006-02-01,0.0,0.0,0.0,0.0,0.0,0.0,15123.021,135300.0,135300.0,0.0,0.0,0.0,,,,,,
2006-03-01,0.0,0.0,0.0,0.0,0.0,0.0,17249.191,154322.0,154322.0,0.0,0.0,0.0,,,,,,
2006-04-01,0.0,0.0,0.0,0.0,0.0,0.0,19293.597999999998,172612.0,172612.0,0.0,0.0,0.0,,,,,,
2006-05-01,0.0,0.0,0.0,0.0,0.0,0.0,22346.805,199928.0,199928.0,0.0,0.0,0.0,,,,,,
2006-06-01,0.0,0.0,0.0,0.0,0.0,0.0,28475.906000000003,254763.0,254763.0,0.0,0.0,0.0,,,,,,
2006-07-01,0.0,0.0,0.0,0.0,0.0,0.0,35800.427,320292.0,320292.0,0.0,0.0,0.0,,,,,,
2006-08-01,0.0,0.0,0.0,0.0,0.0,0.0,36251.916,324332.0,324332.0,0.0,0.0,0.0,,,,,,
2006-09-01,0.0,0.0,0.0,0.0,0.0,0.0,24665.885000000002,220676.0,220676.0,0.0,0.0,0.0,,,,,,
2006-10-01,0.0,0.0,0.0,0.0,0.0,0.0,22332.779,199803.0,199803.0,0.0,0.0,0.0,,,,,,
2006-11-01,0.0,0.0,0.0,0.0,0.0,0.0,16585.561999999998,148384.0,148384.0,0.0,0.0,0.0,,,,,,
2006-12-01,0.0,0.0,0.0,0.0,0.0,0.0,17290.023,154687.0,154687.0,0.0,0.0,0.0,,,,,,
2007-01-01,172.943,2155.0,2155.0,59.388000000000005,0.0,0.0,1856.767,23134.0,23134.0,637.6120000000001,0.0,0.0,,,,,,
2007-02-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
2007-03-01,60.983000000000004,760.0,760.0,20.943,0.0,0.0,655.3190000000001,8165.0,8165.0,225.05700000000002,0.0,0.0,,,,,,
2007-04-01,459.752,5728.0,5728.0,157.872,0.0,0.0,4933.591,61470.0,61470.0,1694.1280000000002,0.0,0.0,,,,,,
2007-05-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
2007-06-01,741.796,9242.0,9242.0,254.70600000000002,0.0,0.0,7954.502,99109.0,99109.0,2731.2940000000003,0.0,0.0,,,,,,
2007-07-01,2906.201,36210.0,36210.0,997.91,0.0,0.0,31173.392,388403.0,388403.0,10704.09,0.0,0.0,,,,,,
2007-08-01,2634.638,32826.0,32826.0,904.659,0.0,0.0,28259.039,352091.0,352091.0,9703.341,0.0,0.0,,,,,,
2007-09-01,147.692,1840.0,1840.0,50.708000000000006,0.0,0.0,1582.386,19716.0,19716.0,543.292,0.0,0.0,,,,,,
2007-10-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
2007-11-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
2007-12-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
2008-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
2008-02-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
2008-03-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
2008-04-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
2008-05-01,40.067,513.0,513.0,0.0,0.0,0.0,1215.933,15577.0,15577.0,0.0,0.0,0.0,,,,,,
2008-06-01,0.0,0.0,0.0,0.0,0.0,0.0,1299.0,15640.0,15640.0,0.0,0.0,0.0,,,,,,
2008-07-01,0.0,0.0,0.0,,,,17580.0,224117.0,224117.0,6277.0,1325.0,1325.0,,,,,,
2008-08-01,0.0,0.0,0.0,,,,5990.0,76515.0,76515.0,2125.0,0.0,0.0,,,,,,
2008-09-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
2008-10-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
2008-11-01,0.0,0.0,0.0,,,,5.0,367.0,367.0,0.0,0.0,0.0,,,,,,
2008-12-01,0.0,0.0,0.0,,,,567.0,6509.0,6509.0,0.0,0.0,0.0,,,,,,
2009-01-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
2009-02-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
2009-03-01,0.0,0.0,0.0,,,,3678.0,44819.0,44819.0,1136.0,0.0,0.0,,,,,,
2009-04-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
2009-05-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
2009-06-01,0.0,0.0,0.0,,,,17402.0,216436.0,216436.0,6142.0,0.0,0.0,,,,,,
2009-07-01,0.0,0.0,0.0,,,,11503.0,147502.0,147502.0,3870.0,0.0,0.0,,,,,,
2009-08-01,0.0,0.0,0.0,,,,6707.0,87306.0,87306.0,2210.0,0.0,0.0,,,,,,
2009-09-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
2009-10-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
2009-11-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
2009-12-01,0.0,0.0,0.0,,,,6892.0,95901.0,95901.0,2298.0,0.0,0.0,,,,,,
2010-01-01,0.0,0.0,0.0,,,,17719.0,212765.0,212765.0,5777.0,0.0,0.0,,,,,,
2010-02-01,0.0,0.0,0.0,,,,251.0,3530.0,3530.0,0.0,0.0,0.0,,,,,,
2010-03-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
2010-04-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
2010-05-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
2010-06-01,0.0,0.0,0.0,,,,4834.0,62267.0,62267.0,1348.0,0.0,0.0,,,,,,
2010-07-01,0.0,0.0,0.0,,,,15120.0,200471.0,200471.0,5316.0,0.0,0.0,,,,,,
2010-08-01,0.0,0.0,0.0,,,,21448.0,288733.0,288733.0,7754.0,0.0,0.0,,,,,,
2010-09-01,0.0,0.0,0.0,,,,2237.0,28066.0,28066.0,683.0,0.0,0.0,,,,,,
