measured_on,Natural Gas Generation,Natural Gas Quantity Consumed For Electricity,Natural Gas Total Fuel Consumed,Other Gases Generation,Other Gases Quantity Consumed For Electricity,Other Gases Total Fuel Consumed
2022-01-01,3115.662,29496.0,29496.0,0.0,0.0,0.0
2022-02-01,2558.42,24223.0,24223.0,0.0,0.0,0.0
2022-03-01,2953.094,27959.0,27959.0,0.0,0.0,0.0
2022-04-01,2945.0,27882.0,27882.0,0.0,0.0,0.0
2022-05-01,3589.006,33980.0,33980.0,0.0,0.0,0.0
2022-06-01,3930.947,37217.0,37217.0,0.0,0.0,0.0
2022-07-01,4302.26,40732.0,40732.0,0.0,0.0,0.0
2022-08-01,4313.012,40834.0,40834.0,0.0,0.0,0.0
2022-09-01,3775.043,35741.0,35741.0,0.0,0.0,0.0
2022-10-01,3148.205,29806.0,29806.0,0.0,0.0,0.0
2022-11-01,2922.34,27668.0,27668.0,0.0,0.0,0.0
2022-12-01,2945.011,27882.0,27882.0,0.0,0.0,0.0
2023-01-01,2156.434,17751.0,17751.0,0.0,0.0,0.0
2023-02-01,1908.139,15708.0,15708.0,0.0,0.0,0.0
2023-03-01,2167.978,17846.0,17846.0,0.0,0.0,0.0
2023-04-01,2370.707,19514.0,19514.0,0.0,0.0,0.0
2023-05-01,2687.801,22125.0,22125.0,0.0,0.0,0.0
2023-06-01,2842.263,23396.0,23396.0,0.0,0.0,0.0
2023-07-01,3206.22,26393.0,26393.0,0.0,0.0,0.0
2023-08-01,3383.874,27855.0,27855.0,0.0,0.0,0.0
2023-09-01,2928.237,24104.0,24104.0,0.0,0.0,0.0
2023-10-01,2537.881,20891.0,20891.0,0.0,0.0,0.0
2023-11-01,2178.967,17936.0,17936.0,0.0,0.0,0.0
2023-12-01,2172.499,17883.0,17883.0,0.0,0.0,0.0
2024-01-01,2658.742,22486.0,22486.0,0.0,0.0,0.0
2024-02-01,2275.802,19249.0,19249.0,0.0,0.0,0.0
2024-03-01,2679.369,22662.0,22662.0,0.0,0.0,0.0
2024-04-01,2518.968,21306.0,21306.0,0.0,0.0,0.0
2024-05-01,3418.546,28914.0,28914.0,0.0,0.0,0.0
2024-06-01,3449.749,29178.0,29178.0,0.0,0.0,0.0
2024-07-01,3830.576,32399.0,32399.0,0.0,0.0,0.0
2024-08-01,3779.358,31966.0,31966.0,0.0,0.0,0.0
2024-09-01,3677.51,31104.0,31104.0,0.0,0.0,0.0
2024-10-01,3139.347,26552.0,26552.0,0.0,0.0,0.0
2024-11-01,2733.264,23118.0,23118.0,0.0,0.0,0.0
2024-12-01,2422.769,20491.0,20491.0,0.0,0.0,0.0
