measured_on,Natural Gas-Combustion (Gas) Turbine (including jet engine design) Generation,Natural Gas-Combustion (Gas) Turbine (including jet engine design) Quantity Consumed For Electricity,Natural Gas-Combustion (Gas) Turbine (including jet engine design) Total Fuel Consumed
2004-01-01,0.0,0.0,0.0
2004-02-01,0.0,0.0,0.0
2004-03-01,0.0,0.0,0.0
2004-04-01,0.0,0.0,0.0
2004-05-01,0.0,0.0,0.0
2004-06-01,0.0,0.0,0.0
2004-07-01,0.0,0.0,0.0
2004-08-01,0.0,0.0,0.0
2004-09-01,0.0,0.0,0.0
2004-10-01,0.0,0.0,0.0
2004-11-01,0.0,0.0,0.0
2004-12-01,0.0,0.0,0.0
2005-01-01,3.195,17.18,175261.03
2005-02-01,2.8840000000000003,15.51,158191.37
2005-03-01,3.112,16.73,170720.53
2005-04-01,3.1270000000000002,16.81,171540.45
2005-05-01,3.435,18.47,188403.89
2005-06-01,4.412,23.72,241993.83
2005-07-01,5.649,30.38,309877.61
2005-08-01,5.855,31.48,321131.83
2005-09-01,4.416,23.74,242201.95
2005-10-01,3.427,18.43,187995.52
2005-11-01,3.0580000000000003,16.44,167736.88
2005-12-01,3.4890000000000003,18.76,191382.83
2006-01-01,150.755,810.54,182743.06
2006-02-01,132.917,714.64,161119.92
2006-03-01,147.223,791.56,178462.12
2006-04-01,140.274,754.2,170039.04
2006-05-01,163.501,879.08,198194.52
2006-06-01,173.304,931.78,210076.63
2006-07-01,195.132,1049.15,236537.02
2006-08-01,201.584,1083.83,244357.14
2006-09-01,164.137,882.49,198964.51
2006-10-01,172.062,925.11,208571.97
2006-11-01,145.344,781.45,176184.14
2006-12-01,162.987,876.32,197571.24
2007-01-01,5.283,27.0,92.0
2007-02-01,15.619000000000002,82.0,273.0
2007-03-01,9.422,50.0,164.0
2007-04-01,4.406000000000001,23.0,77.0
2007-05-01,40.493,213.0,709.0
2007-06-01,69.7,367.0,1219.0
2007-07-01,129.827,684.0,2271.0
2007-08-01,234.84,1237.0,4108.0
2007-09-01,61.977000000000004,327.0,1084.0
2007-10-01,37.449000000000005,198.0,655.0
2007-11-01,5.037,26.0,88.0
2007-12-01,39.947,210.0,699.0
2008-01-01,3.189,17.0,73.0
2008-02-01,1.198,6.0,28.0
2008-03-01,1.732,9.0,39.0
2008-04-01,3.21,17.0,74.0
2008-05-01,3.2560000000000002,17.0,75.0
2008-06-01,5.205,27.0,119.0
2008-07-01,10.026,53.0,229.0
2008-08-01,8.451,45.0,193.0
2008-09-01,3.41,18.0,78.0
2008-10-01,3.367,18.0,77.0
2008-11-01,4.197,22.0,96.0
2008-12-01,4.759,25.0,109.0
2009-01-01,0.0,0.0,0.0
2009-02-01,0.0,0.0,0.0
2009-03-01,0.0,0.0,0.0
2009-04-01,0.0,0.0,0.0
2009-05-01,0.0,0.0,0.0
2009-06-01,0.0,0.0,0.0
2009-07-01,0.0,0.0,0.0
2009-08-01,0.0,0.0,0.0
2009-09-01,0.0,0.0,0.0
2009-10-01,0.0,0.0,0.0
2009-11-01,0.0,0.0,0.0
2009-12-01,0.0,0.0,0.0
2010-01-01,0.0,0.0,4.0
2010-02-01,0.0,0.0,2.0
2010-03-01,0.0,0.0,2.0
2010-04-01,0.0,0.0,3.0
2010-05-01,0.0,0.0,3.0
2010-06-01,0.0,0.0,8.0
2010-07-01,0.0,0.0,12.0
2010-08-01,0.0,0.0,13.0
2010-09-01,0.0,0.0,4.0
2010-10-01,0.0,0.0,3.0
2010-11-01,0.0,0.0,2.0
2010-12-01,0.0,0.0,3.0
2011-01-01,47.618,251.0,818.0
2011-02-01,62.104,327.0,1069.0
2011-03-01,58.299,307.0,1004.0
2011-04-01,64.36,339.0,1108.0
