measured_on,Solar-Photovoltaic Generation,Solar-Photovoltaic Quantity Consumed For Electricity,Solar-Photovoltaic Total Fuel Consumed
2012-01-01,30.962,295.0,295.0
2012-02-01,46.984,447.0,447.0
2012-03-01,85.976,818.0,818.0
2012-04-01,123.97,1180.0,1180.0
2012-05-01,187.78,1787.0,1787.0
2012-06-01,200.538,1908.0,1908.0
2012-07-01,188.503,1794.0,1794.0
2012-08-01,171.965,1636.0,1636.0
2012-09-01,170.65,1624.0,1624.0
2012-10-01,159.394,1517.0,1517.0
2012-11-01,117.69,1120.0,1120.0
2012-12-01,102.588,976.0,976.0
2013-01-01,54.673,522.0,522.0
2013-02-01,79.382,757.0,757.0
2013-03-01,111.287,1062.0,1062.0
2013-04-01,120.153,1146.0,1146.0
2013-05-01,136.072,1298.0,1298.0
2013-06-01,157.13,1499.0,1499.0
2013-07-01,146.266,1396.0,1396.0
2013-08-01,169.67,1619.0,1619.0
2013-09-01,169.071,1613.0,1613.0
2013-10-01,178.042,1699.0,1699.0
2013-11-01,146.327,1396.0,1396.0
2013-12-01,147.927,1411.0,1411.0
2014-01-01,62.476,594.0,594.0
2014-02-01,68.318,650.0,650.0
2014-03-01,110.569,1052.0,1052.0
2014-04-01,125.182,1190.0,1190.0
2014-05-01,146.335,1392.0,1392.0
2014-06-01,159.764,1519.0,1519.0
2014-07-01,147.538,1403.0,1403.0
2014-08-01,153.515,1460.0,1460.0
2014-09-01,151.607,1442.0,1442.0
2014-10-01,139.936,1331.0,1331.0
2014-11-01,113.684,1081.0,1081.0
2014-12-01,78.076,743.0,743.0
2015-01-01,71.823,669.0,669.0
2015-02-01,92.305,860.0,860.0
2015-03-01,131.764,1228.0,1228.0
2015-04-01,149.987,1398.0,1398.0
2015-05-01,150.56,1403.0,1403.0
2015-06-01,155.978,1454.0,1454.0
2015-07-01,157.961,1472.0,1472.0
2015-08-01,161.007,1500.0,1500.0
2015-09-01,133.239,1242.0,1242.0
2015-10-01,113.748,1060.0,1060.0
2015-11-01,104.225,971.0,971.0
2015-12-01,90.123,840.0,840.0
2016-01-01,100.27,926.0,926.0
2016-02-01,200.604,1852.0,1852.0
2016-03-01,174.454,1611.0,1611.0
2016-04-01,195.941,1809.0,1809.0
2016-05-01,241.897,2233.0,2233.0
2016-06-01,240.199,2218.0,2218.0
2016-07-01,276.628,2554.0,2554.0
2016-08-01,269.428,2487.0,2487.0
2016-09-01,251.048,2318.0,2318.0
2016-10-01,220.199,2033.0,2033.0
2016-11-01,192.776,1780.0,1780.0
2016-12-01,154.556,1427.0,1427.0
2017-01-01,66.14,609.0,609.0
2017-02-01,107.756,993.0,993.0
2017-03-01,147.941,1363.0,1363.0
2017-04-01,155.996,1437.0,1437.0
2017-05-01,154.832,1426.0,1426.0
2017-06-01,185.978,1713.0,1713.0
2017-07-01,181.861,1675.0,1675.0
2017-08-01,180.34,1661.0,1661.0
2017-09-01,145.614,1342.0,1342.0
2017-10-01,128.609,1185.0,1185.0
2017-11-01,79.027,728.0,728.0
2017-12-01,57.906,533.0,533.0
2018-01-01,72.671,662.0,662.0
2018-02-01,79.559,724.0,724.0
2018-03-01,128.194,1167.0,1167.0
2018-04-01,143.094,1303.0,1303.0
2018-05-01,180.343,1642.0,1642.0
2018-06-01,175.845,1601.0,1601.0
2018-07-01,206.628,1881.0,1881.0
2018-08-01,166.989,1520.0,1520.0
2018-09-01,103.314,941.0,941.0
2018-10-01,99.097,902.0,902.0
2018-11-01,59.177,539.0,539.0
2018-12-01,82.089,747.0,747.0
2019-01-01,65.557,584.0,584.0
2019-02-01,75.71,674.0,674.0
2019-03-01,106.426,948.0,948.0
2019-04-01,116.643,1039.0,1039.0
2019-05-01,117.786,1049.0,1049.0
2019-06-01,129.907,1157.0,1157.0
2019-07-01,155.545,1385.0,1385.0
2019-08-01,128.764,1147.0,1147.0
2019-09-01,121.403,1081.0,1081.0
2019-10-01,82.12,731.0,731.0
2019-11-01,66.318,591.0,591.0
2019-12-01,41.821,372.0,372.0
2020-01-01,75.025,658.0,658.0
2020-02-01,98.271,862.0,862.0
2020-03-01,149.527,1311.0,1311.0
2020-04-01,143.367,1257.0,1257.0
2020-05-01,202.12,1772.0,1772.0
2020-06-01,190.962,1674.0,1674.0
2020-07-01,188.057,1649.0,1649.0
2020-08-01,177.77,1559.0,1559.0
2020-09-01,154.35,1353.0,1353.0
2020-10-01,112.218,984.0,984.0
2020-11-01,80.255,704.0,704.0
2020-12-01,61.078,535.0,535.0
2021-01-01,72.15,638.0,638.0
2021-02-01,56.988,504.0,504.0
2021-03-01,180.377,1595.0,1595.0
2021-04-01,145.993,1291.0,1291.0
2021-05-01,181.448,1605.0,1605.0
2021-06-01,188.099,1664.0,1664.0
2021-07-01,148.022,1309.0,1309.0
2021-08-01,149.206,1320.0,1320.0
2021-09-01,138.665,1226.0,1226.0
2021-10-01,102.477,906.0,906.0
2021-11-01,101.349,896.0,896.0
2021-12-01,54.226,480.0,480.0
2022-01-01,88.576,302.0,302.0
2022-02-01,58.291,199.0,199.0
2022-03-01,86.996,297.0,297.0
2022-04-01,106.291,363.0,363.0
2022-05-01,119.633,408.0,408.0
2022-06-01,120.331,411.0,411.0
2022-07-01,132.827,453.0,453.0
2022-08-01,117.17,400.0,400.0
2022-09-01,97.139,331.0,331.0
2022-10-01,76.999,263.0,263.0
2022-11-01,63.51,217.0,217.0
2022-12-01,41.237,141.0,141.0
2023-01-01,0.0,0.0,0.0
2023-02-01,0.0,0.0,0.0
2023-03-01,0.0,0.0,0.0
2023-04-01,0.0,0.0,0.0
2023-05-01,0.0,0.0,0.0
2023-06-01,0.0,0.0,0.0
2023-07-01,0.0,0.0,0.0
2023-08-01,0.0,0.0,0.0
2023-09-01,44.0,150.0,150.0
2023-10-01,115.0,392.0,392.0
2023-11-01,20.0,68.0,68.0
2023-12-01,2.0,7.0,7.0
2024-01-01,47.0,160.0,160.0
2024-02-01,111.0,379.0,379.0
2024-03-01,128.0,437.0,437.0
2024-04-01,144.0,491.0,491.0
2024-05-01,164.0,560.0,560.0
2024-06-01,155.0,529.0,529.0
2024-07-01,169.0,577.0,577.0
2024-08-01,160.0,546.0,546.0
2024-09-01,142.0,485.0,485.0
2024-10-01,132.0,450.0,450.0
2024-11-01,108.0,368.0,368.0
2024-12-01,71.0,242.0,242.0
