measured_on,"Bituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Generation","Bituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Quantity Consumed For Electricity","Bituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Total Fuel Consumed","Distillate Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Distillate Fuel Oil - Generation","Distillate Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Distillate Fuel Oil - Quantity Consumed For Electricity","Distillate Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Distillate Fuel Oil - Total Fuel Consumed","Petroleum Coke - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Petroleum Coke - Generation","Petroleum Coke - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Petroleum Coke - Quantity Consumed For Electricity","Petroleum Coke - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Petroleum Coke - Total Fuel Consumed","Residual Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Residual Fuel Oil - Generation","Residual Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Residual Fuel Oil - Quantity Consumed For Electricity","Residual Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Residual Fuel Oil - Total Fuel Consumed"
2003-01-01,134976.0,1208387.0,1213437.0,8.0,74.0,74.0,,,,,,
2003-02-01,122378.0,1111139.0,1115794.0,22.0,203.0,204.0,,,,,,
2003-03-01,96706.0,882451.0,885851.0,262.0,2394.0,2402.0,,,,,,
2003-04-01,104886.0,950650.0,952975.0,202.0,1829.0,1834.0,,,,,,
2003-05-01,134083.0,1201961.0,1205713.0,20.0,175.0,175.0,,,,,,
2003-06-01,129956.0,1177559.0,1182750.0,0.0,0.0,0.0,,,,,,
2003-07-01,127597.0,1157369.0,1161084.0,286.0,2595.0,2604.0,,,,,,
2003-08-01,134395.0,1233224.0,1237001.0,0.0,0.0,0.0,,,,,,
2003-09-01,117108.0,1069332.0,1071954.0,519.0,4738.0,4749.0,,,,,,
2003-10-01,41760.0,382532.0,383141.0,529.0,4843.0,4851.0,,,,,,
2003-11-01,132189.0,1193565.0,1199501.0,0.0,0.0,0.0,,,,,,
2003-12-01,138198.0,1266039.0,1269805.0,0.0,0.0,0.0,,,,,,
2004-01-01,125013.34705,1130647.15,1242625.75,100.71895,910.92,1001.14,,,,,,
2004-02-01,120357.27737,1088536.68,1196345.75,54.67563,494.5,543.47,,,,,,
2004-03-01,116800.32597,1056366.85,1160990.0,46.62403,421.68,463.44,,,,,,
2004-04-01,96887.17522,876268.12,963053.75,56.01378,506.6,556.77,,,,,,
2004-05-01,113550.58107,1026975.48,1128686.75,79.13793,715.74,786.63,,,,,,
2004-06-01,108287.64151,979376.34,1076374.25,48.92449,442.48,486.31,,,,,,
2004-07-01,125078.87217,1131239.79,1243278.5,44.16983,399.48,439.05,,,,,,
2004-08-01,115372.93071,1043457.19,1146801.75,50.883289999999995,460.2,505.78,,,,,,
2004-09-01,88757.53582,802741.94,882245.5,56.993179999999995,515.46,566.51,,,,,,
2004-10-01,96540.28755,873130.78,959605.5,60.563449999999996,547.75,602.0,,,,,,
2004-11-01,91690.10797,829264.74,911395.0,63.71803,576.28,633.35,,,,,,
2004-12-01,105855.42068,957378.82,1052197.5,65.29532,590.54,649.03,,,,,,
2005-01-01,111823.29435,1011353.53,1102820.75,269.36465,2436.19,2656.52,,,,,,
2005-02-01,97697.54417,883597.26,963515.21,65.72382999999999,594.42,648.18,,,,,,
2005-03-01,105939.16478,958136.21,1044795.04,93.91422,849.38,926.2,,,,,,
2005-04-01,89209.07911,806825.78,879799.42,77.13889,697.66,760.76,,,,,,
2005-05-01,106069.10891,959311.46,1046077.14,79.77309,721.48,786.74,,,,,,
2005-06-01,109326.29014,988770.1,1078200.63,69.76986,631.01,688.09,,,,,,
2005-07-01,116484.83799,1053513.52,1148795.86,203.55401,1840.99,2007.49,,,,,,
2005-08-01,114708.5876,1037448.74,1131276.72,246.3794,2228.31,2429.84,,,,,,
2005-09-01,107632.29665,973449.26,1061489.99,203.41635,1839.74,2006.13,,,,,,
2005-10-01,106008.77555,958765.79,1045481.78,85.77045,775.73,845.89,,,,,,
2005-11-01,105220.38316,951635.41,1037706.5,85.95984,777.44,847.75,,,,,,
2005-12-01,113817.25963,1029387.37,1122487.77,193.88936999999999,1753.58,1912.17,,,,,,
2006-01-01,117567.32113,1063303.73,1173894.71,87.74387,793.57,876.11,,,,,,
2006-02-01,109746.44049,992570.02,1095803.49,106.24051,960.86,1060.8,,,,,,
2006-03-01,107287.25807,970328.66,1071249.11,89.76192999999999,811.83,896.26,,,,,,
2006-04-01,96727.78839,874826.59,965814.6,69.12261,625.16,690.18,,,,,,
2006-05-01,108854.38973,984502.13,1086895.88,122.13526999999999,1104.62,1219.5,,,,,,
2006-06-01,120091.8689,1086136.26,1199101.2,114.9191,1039.35,1147.45,,,,,,
2006-07-01,126459.88772,1143729.98,1262684.99,121.36428,1097.64,1211.81,,,,,,
2006-08-01,128335.04059,1160689.26,1281405.94,190.94641000000001,1726.96,1906.57,,,,,,
2006-09-01,109469.03423,990061.1,1093032.87,124.55577,1126.51,1243.67,,,,,,
2006-10-01,92435.02729,836001.94,922951.85,66.43571,600.86,663.35,,,,,,
2006-11-01,91312.98958,825853.99,911748.75,53.76642,486.27,536.85,,,,,,
2006-12-01,110998.90734,1003897.6,1108309.33,101.79066,920.62,1016.37,,,,,,
2007-01-01,95674.407,876488.0,978577.0,331.593,3036.0,3392.0,,,,,,
2007-02-01,113154.531,1035177.0,1146542.0,4.469,40.0,45.0,,,,,,
2007-03-01,124772.0,1142453.0,1272562.0,0.0,0.0,0.0,,,,,,
2007-04-01,119732.951,1097382.0,1213917.0,10.049000000000001,91.0,102.0,,,,,,
2007-05-01,79764.614,733036.0,815477.0,303.386,2790.0,3102.0,,,,,,
2007-06-01,117523.836,1079993.0,1201861.0,74.164,679.0,758.0,,,,,,
2007-07-01,124565.0,1143120.0,1265929.0,0.0,0.0,0.0,,,,,,
2007-08-01,123348.805,1133468.0,1261505.0,7.195,68.0,74.0,,,,,,
2007-09-01,105200.8,967820.0,1070992.0,270.2,2485.0,2751.0,,,,,,
2007-10-01,47685.293,438495.0,499299.0,142.707,1313.0,1494.0,,,,,,
2007-11-01,62983.696,578986.0,651803.0,248.304,2281.0,2570.0,,,,,,
2007-12-01,123840.0,1135434.0,1258568.0,0.0,0.0,0.0,,,,,,
2008-01-01,123653.479,1132510.0,1278099.0,63.521,582.0,657.0,,,,,,
2008-02-01,109166.705,1000934.0,1122479.0,112.295,1030.0,1155.0,,,,,,
2008-03-01,116587.008,1069708.0,1198774.0,108.992,1000.0,1121.0,,,,,,
2008-04-01,105929.548,974202.0,1090898.0,204.452,1880.0,2106.0,,,,,,
2008-05-01,91065.656,839353.0,940548.0,15.344000000000001,141.0,158.0,,,,,,
2008-06-01,91716.68000000001,845130.0,919735.0,296.32,2730.0,2972.0,,,,,,
2008-07-01,112126.544,1035663.0,1149761.0,169.45600000000002,1565.0,1738.0,,,,,,
2008-08-01,113434.753,1046699.0,1144486.0,163.247,1506.0,1647.0,,,,,,
2008-09-01,118616.105,1094741.0,1111289.0,13.895000000000001,128.0,130.0,,,,,,
2008-10-01,69092.879,637337.0,696190.0,274.12100000000004,2529.0,2762.0,,,,,,
2008-11-01,120349.024,1107298.0,1214250.0,8.976,83.0,91.0,,,,,,
2008-12-01,124233.901,1021220.0,1021220.0,24.099,198.0,198.0,,,,,,
2009-01-01,116054.205,1069456.0,1502605.0,178.795,1648.0,2315.0,,,,,,
2009-02-01,112406.0,1035240.0,1161270.0,0.0,0.0,0.0,,,,,,
2009-03-01,74846.513,691251.0,1020503.0,249.48700000000002,2304.0,3402.0,,,,,,
2009-04-01,112191.451,1022554.0,1022554.0,341.54900000000004,3113.0,3113.0,,,,,,
2009-05-01,113453.045,1047161.0,1119644.0,104.955,969.0,1036.0,,,,,,
2009-06-01,117980.574,906027.0,906027.0,18.426000000000002,142.0,142.0,,,,,,
2009-07-01,122522.621,1130982.0,1363467.0,22.379,207.0,249.0,,,,,,
2009-08-01,114787.773,1060479.0,1105935.0,186.227,1720.0,1794.0,,,,,,
2009-09-01,56626.218,432779.0,432779.0,311.78200000000004,2383.0,2383.0,,,,,,
2009-10-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
2009-11-01,80738.792,512290.0,512290.0,1444.208,9164.0,9164.0,,,,,,
2009-12-01,114340.243,1055631.0,1097331.0,405.757,3746.0,3894.0,,,,,,
2010-01-01,125186.0,935464.0,935464.0,0.0,0.0,0.0,,,,,,
2010-02-01,112782.0,1041778.0,1211906.0,0.0,0.0,0.0,,,,,,
