measured_on,Hydroelectric - Hydroelectric Turbine (including turbines associated with delivery of water by pipeline) - Hydroelectric Conventional - Generation,Hydroelectric - Hydroelectric Turbine (including turbines associated with delivery of water by pipeline) - Hydroelectric Conventional - Quantity Consumed For Electricity,Hydroelectric - Hydroelectric Turbine (including turbines associated with delivery of water by pipeline) - Hydroelectric Conventional - Total Fuel Consumed
2003-01-01,0.0,0.0,0.0
2003-02-01,0.0,0.0,0.0
2003-03-01,482.0,4936.16,4936.16
2003-04-01,1276.0,13067.52,13067.52
2003-05-01,1925.0,19713.93,19713.93
2003-06-01,2061.0,21106.7,21106.7
2003-07-01,2140.0,21915.74,21915.74
2003-08-01,1691.0,17317.53,17317.53
2003-09-01,1003.0,10271.72,10271.72
2003-10-01,736.0,7537.38,7537.38
2003-11-01,0.0,0.0,0.0
2003-12-01,0.0,0.0,0.0
2004-01-01,0.0,0.0,0.0
2004-02-01,0.0,0.0,0.0
2004-03-01,421.0,4219.26,4219.26
2004-04-01,1622.0,16255.68,16255.68
2004-05-01,2068.0,20725.5,20725.5
2004-06-01,1991.0,19953.8,19953.8
2004-07-01,2143.0,21477.15,21477.15
2004-08-01,1694.0,16977.27,16977.27
2004-09-01,1044.0,10462.97,10462.97
2004-10-01,503.0,5041.07,5041.07
2004-11-01,0.0,0.0,0.0
2004-12-01,0.0,0.0,0.0
2005-01-01,0.0,0.0,0.0
2005-02-01,0.0,0.0,0.0
2005-03-01,244.0,2439.76,2439.76
2005-04-01,1936.0,19358.06,19358.06
2005-05-01,2078.0,20777.92,20777.92
2005-06-01,2182.0,21817.82,21817.82
2005-07-01,2348.0,23477.65,23477.65
2005-08-01,2363.0,23627.64,23627.64
2005-09-01,1914.0,19138.09,19138.09
2005-10-01,974.0,9739.03,9739.03
2005-11-01,0.0,0.0,0.0
2005-12-01,55.0,549.95,549.95
2006-01-01,761.0,7548.0,7548.0
2006-02-01,298.0,2956.0,2956.0
2006-03-01,543.0,5386.0,5386.0
2006-04-01,930.0,9225.0,9225.0
2006-05-01,1472.0,14601.0,14601.0
2006-06-01,2101.0,20840.0,20840.0
2006-07-01,2318.0,22992.0,22992.0
2006-08-01,2330.0,23111.0,23111.0
2006-09-01,1919.0,19035.0,19035.0
2006-10-01,1677.0,16634.0,16634.0
2006-11-01,-6.0,0.0,0.0
2006-12-01,-6.0,0.0,0.0
2007-01-01,-7.0,-69.0,-69.0
2007-02-01,-7.0,-69.0,-69.0
2007-03-01,1062.0,10497.0,10497.0
2007-04-01,1455.0,14381.0,14381.0
2007-05-01,1948.0,19254.0,19254.0
2007-06-01,1973.0,19501.0,19501.0
2007-07-01,2080.0,20559.0,20559.0
2007-08-01,1557.0,15389.0,15389.0
2007-09-01,945.0,9340.0,9340.0
2007-10-01,172.0,1700.0,1700.0
2007-11-01,217.0,2145.0,2145.0
2007-12-01,-9.0,-89.0,-89.0
2008-01-01,579.937,5715.0,5715.0
2008-02-01,454.58,4479.0,4479.0
2008-03-01,533.5740000000001,5258.0,5258.0
2008-04-01,1004.657,9900.0,9900.0
2008-05-01,1195.315,11779.0,11779.0
2008-06-01,1014.2660000000001,9995.0,9995.0
2008-07-01,1232.251,12143.0,12143.0
2008-08-01,1264.5330000000001,12461.0,12461.0
2008-09-01,633.109,6239.0,6239.0
2008-10-01,406.04900000000004,4001.0,4001.0
2008-11-01,291.325,2871.0,2871.0
2008-12-01,316.404,3118.0,3118.0
2009-01-01,426.91200000000003,4167.0,4167.0
2009-02-01,565.14,5516.0,5516.0
2009-03-01,892.613,8712.0,8712.0
2009-04-01,1058.054,10327.0,10327.0
2009-05-01,1446.3790000000001,14117.0,14117.0
2009-06-01,1308.996,12776.0,12776.0
2009-07-01,1443.161,14085.0,14085.0
2009-08-01,1177.6770000000001,11494.0,11494.0
2009-09-01,877.7230000000001,8567.0,8567.0
2009-10-01,696.943,6802.0,6802.0
