measured_on,Municiapl Landfill Gas-Other Generation,Municiapl Landfill Gas-Other Quantity Consumed For Electricity,Municiapl Landfill Gas-Other Total Fuel Consumed
2003-01-01,942.7,16763.0,16763.0
2003-02-01,877.053,15596.0,15596.0
2003-03-01,1019.9480000000001,18137.0,18137.0
2003-04-01,1060.248,18853.0,18853.0
2003-05-01,1037.053,18441.0,18441.0
2003-06-01,1053.7440000000001,18738.0,18738.0
2003-07-01,1006.4490000000001,17897.0,17897.0
2003-08-01,958.456,17043.0,17043.0
2003-09-01,792.782,14097.0,14097.0
2003-10-01,916.055,16289.0,16289.0
2003-11-01,966.053,17178.0,17178.0
2003-12-01,1082.459,19248.0,19248.0
2004-01-01,828.5830000000001,12843.0,12843.0
2004-02-01,828.5830000000001,12843.0,12843.0
2004-03-01,828.5830000000001,12843.0,12843.0
2004-04-01,828.5830000000001,12843.0,12843.0
2004-05-01,828.5830000000001,12843.0,12843.0
2004-06-01,828.5830000000001,12843.0,12843.0
2004-07-01,828.5830000000001,12843.0,12843.0
2004-08-01,828.5830000000001,12843.0,12843.0
2004-09-01,828.5830000000001,12843.0,12843.0
2004-10-01,828.5830000000001,12843.0,12843.0
2004-11-01,828.5830000000001,12843.0,12843.0
2004-12-01,828.5830000000001,12843.0,12843.0
2005-01-01,472.771,7816.6,7816.6
2005-02-01,421.749,6973.02,6973.02
2005-03-01,481.696,7964.15,7964.15
2005-04-01,480.7,7947.69,7947.69
2005-05-01,528.46,8737.33,8737.33
2005-06-01,523.551,8656.17,8656.17
2005-07-01,542.109,8963.0,8963.0
2005-08-01,539.659,8922.49,8922.49
2005-09-01,508.355,8404.92,8404.92
2005-10-01,513.147,8484.15,8484.15
2005-11-01,516.825,8544.97,8544.97
2005-12-01,517.9780000000001,8564.03,8564.03
2006-01-01,385.72200000000004,6487.0,6487.0
2006-02-01,356.466,5995.0,5995.0
2006-03-01,393.206,6613.0,6613.0
2006-04-01,289.30400000000003,4865.0,4865.0
2006-05-01,353.699,5948.0,5948.0
2006-06-01,370.514,6231.0,6231.0
2006-07-01,384.53200000000004,6467.0,6467.0
2006-08-01,382.219,6428.0,6428.0
2006-09-01,365.60200000000003,6148.0,6148.0
2006-10-01,379.375,6380.0,6380.0
2006-11-01,383.16400000000004,6444.0,6444.0
2006-12-01,369.195,6209.0,6209.0
2007-01-01,189.489,3883.0,3883.0
2007-02-01,184.465,3779.0,3779.0
2007-03-01,175.987,3606.0,3606.0
2007-04-01,240.305,4924.0,4924.0
2007-05-01,156.866,3214.0,3214.0
2007-06-01,136.015,2787.0,2787.0
2007-07-01,272.991,5593.0,5593.0
2007-08-01,252.945,5183.0,5183.0
2007-09-01,174.554,3577.0,3577.0
2007-10-01,269.17900000000003,5515.0,5515.0
2007-11-01,197.27100000000002,4042.0,4042.0
2007-12-01,240.93300000000002,4937.0,4937.0
2008-01-01,131.15,2764.0,2764.0
2008-02-01,82.426,1737.0,1737.0
2008-03-01,155.434,3275.0,3275.0
2008-04-01,129.293,2725.0,2725.0
2008-05-01,148.475,3129.0,3129.0
2008-06-01,96.927,2042.0,2042.0
2008-07-01,141.18,2975.0,2975.0
2008-08-01,138.002,2908.0,2908.0
2008-09-01,116.45,2454.0,2454.0
2008-10-01,117.96300000000001,2486.0,2486.0
2008-11-01,138.382,2916.0,2916.0
2008-12-01,127.31800000000001,2683.0,2683.0
2009-01-01,35.242000000000004,655.0,655.0
2009-02-01,23.668000000000003,440.0,440.0
2009-03-01,35.735,665.0,665.0
2009-04-01,39.954,743.0,743.0
2009-05-01,39.382000000000005,733.0,733.0
2009-06-01,35.666000000000004,664.0,664.0
2009-07-01,36.532000000000004,679.0,679.0
2009-08-01,30.311,564.0,564.0
2009-09-01,37.563,698.0,698.0
2009-10-01,40.073,745.0,745.0
2009-11-01,37.475,697.0,697.0
2009-12-01,27.399,509.0,509.0
