measured_on,"Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Generation","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Quantity Consumed For Electricity","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Total Fuel Consumed","Other Gases - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Other Gases - Generation","Other Gases - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Other Gases - Quantity Consumed For Electricity","Other Gases - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Other Gases - Total Fuel Consumed"
2003-01-01,419.958,7380.0,7380.0,10410.931,182947.0,182947.0
2003-02-01,370.21200000000005,6505.0,6505.0,9177.696,161276.0,161276.0
2003-03-01,367.665,6461.0,6461.0,9114.552,160166.0,160166.0
2003-04-01,370.8,6516.0,6516.0,9192.287,161532.0,161532.0
2003-05-01,441.21,7753.0,7753.0,10937.766,192205.0,192205.0
2003-06-01,460.624,8094.0,8094.0,11419.058,200662.0,200662.0
2003-07-01,502.51800000000003,8830.0,8830.0,12457.623,218913.0,218913.0
2003-08-01,531.172,9334.0,9334.0,13167.961,231395.0,231395.0
2003-09-01,436.085,7663.0,7663.0,10810.719000000001,189972.0,189972.0
2003-10-01,395.31600000000003,6947.0,6947.0,9800.036,172212.0,172212.0
2003-11-01,374.31,6577.0,6577.0,9279.294,163061.0,163061.0
2003-12-01,387.129,6803.0,6803.0,9597.078000000001,168646.0,168646.0
2004-01-01,158.665,2699.0,2699.0,11872.879,201982.0,201982.0
2004-02-01,163.836,2787.0,2787.0,11995.94,204075.0,204075.0
2004-03-01,159.687,2716.0,2716.0,12132.074,206391.0,206391.0
2004-04-01,174.614,2970.0,2970.0,11245.256,191304.0,191304.0
2004-05-01,224.715,3823.0,3823.0,11554.831,196571.0,196571.0
2004-06-01,281.7,4792.0,4792.0,11232.475,191087.0,191087.0
2004-07-01,370.423,6301.0,6301.0,9618.286,163626.0,163626.0
2004-08-01,352.72700000000003,6000.0,6000.0,10048.206,170940.0,170940.0
2004-09-01,248.976,4235.0,4235.0,9369.741,159398.0,159398.0
2004-10-01,228.747,3891.0,3891.0,9167.588,155959.0,155959.0
2004-11-01,122.31400000000001,2081.0,2081.0,9269.648000000001,157695.0,157695.0
2004-12-01,137.596,2341.0,2341.0,8662.077000000001,147359.0,147359.0
2005-01-01,128.12800000000001,2179.94,2179.94,10602.484,180378.16,180378.16
2005-02-01,115.649,1967.62,1967.62,8553.952000000001,145526.85,145526.85
2005-03-01,124.808,2123.46,2123.46,10179.033,173174.06,173174.06
2005-04-01,125.408,2133.66,2133.66,10738.393,182690.36,182690.36
2005-05-01,137.73600000000002,2343.41,2343.41,11663.082,198421.92,198421.92
2005-06-01,176.91400000000002,3009.97,3009.97,11008.522,187286.02,187286.02
2005-07-01,226.542,3854.33,3854.33,11219.137,190869.16,190869.16
2005-08-01,234.769,3994.31,3994.31,10676.928,181644.67,181644.67
2005-09-01,177.066,3012.56,3012.56,9408.758,160069.52,160069.52
2005-10-01,137.43800000000002,2338.33,2338.33,6691.832,113846.94,113846.94
2005-11-01,122.62700000000001,2086.35,2086.35,6883.93,117115.07,117115.07
2005-12-01,139.91400000000002,2380.46,2380.46,9102.95,154866.86,154866.86
2006-01-01,76.72200000000001,1314.0,1314.0,9165.975,156987.0,156987.0
2006-02-01,67.644,1159.0,1159.0,8812.747000000001,150937.0,150937.0
2006-03-01,74.925,1284.0,1284.0,9673.43,165678.0,165678.0
2006-04-01,71.38900000000001,1223.0,1223.0,9211.784,157771.0,157771.0
2006-05-01,83.209,1426.0,1426.0,10152.392,173881.0,173881.0
2006-06-01,88.19800000000001,1511.0,1511.0,9256.187,158532.0,158532.0
2006-07-01,99.307,1701.0,1701.0,9319.785,159621.0,159621.0
2006-08-01,102.59,1758.0,1758.0,10157.65,173971.0,173971.0
2006-09-01,83.533,1431.0,1431.0,8732.102,149556.0,149556.0
2006-10-01,87.566,1500.0,1500.0,9497.81,162670.0,162670.0
2006-11-01,73.96900000000001,1267.0,1267.0,9157.965,156849.0,156849.0
2006-12-01,82.94800000000001,1421.0,1421.0,8790.175000000001,150550.0,150550.0
2007-01-01,6.304,107.0,107.0,9171.696,155026.0,155026.0
2007-02-01,92.045,1573.0,1573.0,7647.955,130736.0,130736.0
2007-03-01,110.537,1890.0,1890.0,8909.463,152357.0,152357.0
2007-04-01,50.003,850.0,850.0,8443.997000000001,143472.0,143472.0
2007-05-01,210.328,3674.0,3674.0,6161.6720000000005,107629.0,107629.0
2007-06-01,88.938,1516.0,1516.0,9829.062,167525.0,167525.0
2007-07-01,85.595,1458.0,1458.0,9931.405,169197.0,169197.0
2007-08-01,63.957,1090.0,1090.0,7423.043000000001,126463.0,126463.0
2007-09-01,68.114,1159.0,1159.0,9544.886,162373.0,162373.0
2007-10-01,36.638000000000005,621.0,621.0,9974.362000000001,169096.0,169096.0
2007-11-01,119.15400000000001,2037.0,2037.0,9792.846000000001,167424.0,167424.0
2007-12-01,0.0,0.0,0.0,7583.0,128084.0,128084.0
2008-01-01,77.599,1137.0,1137.0,8599.051000000001,125956.0,125956.0
2008-02-01,124.84100000000001,1965.0,1965.0,9365.639000000001,147425.0,147425.0
2008-03-01,122.10000000000001,1844.0,1844.0,9961.050000000001,150448.0,150448.0
2008-04-01,60.300000000000004,911.0,911.0,10096.57,152543.0,152543.0
2008-05-01,383.242,6112.0,6112.0,8349.668,133169.0,133169.0
2008-06-01,77.501,1179.0,1179.0,10431.479,158674.0,158674.0
