measured_on,Distillate Fuel Oil-Combustion (Gas) Turbine (including jet engine design) Generation,Distillate Fuel Oil-Combustion (Gas) Turbine (including jet engine design) Quantity Consumed For Electricity,Distillate Fuel Oil-Combustion (Gas) Turbine (including jet engine design) Total Fuel Consumed,"Distillate Fuel Oil-Internal Combustion Engine (diesel, piston, reciprocating) Generation","Distillate Fuel Oil-Internal Combustion Engine (diesel, piston, reciprocating) Quantity Consumed For Electricity","Distillate Fuel Oil-Internal Combustion Engine (diesel, piston, reciprocating) Total Fuel Consumed",Natural Gas-Combustion (Gas) Turbine (including jet engine design) Generation,Natural Gas-Combustion (Gas) Turbine (including jet engine design) Quantity Consumed For Electricity,Natural Gas-Combustion (Gas) Turbine (including jet engine design) Total Fuel Consumed,"Natural Gas-Internal Combustion Engine (diesel, piston, reciprocating) Generation","Natural Gas-Internal Combustion Engine (diesel, piston, reciprocating) Quantity Consumed For Electricity","Natural Gas-Internal Combustion Engine (diesel, piston, reciprocating) Total Fuel Consumed"
2003-01-01,0.0,0.0,0.0,,,,3712.0,41419.0,41419.0,,,
2003-02-01,0.0,0.0,0.0,,,,2088.0,21118.0,21118.0,,,
2003-03-01,0.0,0.0,0.0,,,,803.0,8911.0,8911.0,,,
2003-04-01,0.0,0.0,0.0,,,,681.0,8904.0,8904.0,,,
2003-05-01,0.0,0.0,0.0,,,,,,,,,
2003-06-01,0.0,0.0,0.0,,,,593.0,7778.0,7778.0,,,
2003-07-01,0.0,0.0,0.0,,,,1766.0,18458.0,18458.0,,,
2003-08-01,0.0,0.0,0.0,,,,4388.0,50514.0,50514.0,,,
2003-09-01,0.0,0.0,0.0,,,,143.0,1966.0,1966.0,,,
2003-10-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,
2003-11-01,0.0,0.0,0.0,,,,192.0,1911.0,1911.0,,,
2003-12-01,0.0,0.0,0.0,,,,1847.0,18809.0,18809.0,,,
2004-01-01,,,,,,,1146.942,13655.0,13655.0,0.0,0.0,0.0
2004-02-01,,,,,,,949.788,11308.0,11308.0,0.0,0.0,0.0
2004-03-01,,,,,,,1035.184,12325.0,12325.0,0.0,0.0,0.0
2004-04-01,,,,,,,1267.748,15094.0,15094.0,0.0,0.0,0.0
2004-05-01,,,,,,,1191.678,14188.0,14188.0,0.0,0.0,0.0
2004-06-01,,,,,,,2552.829,30394.0,30394.0,0.0,0.0,0.0
2004-07-01,,,,,,,1104.704,13152.0,13152.0,0.0,0.0,0.0
2004-08-01,,,,,,,1578.726,18796.0,18796.0,0.0,0.0,0.0
2004-09-01,,,,,,,1403.144,16706.0,16706.0,0.0,0.0,0.0
2004-10-01,,,,,,,710.535,8460.0,8460.0,0.0,0.0,0.0
2004-11-01,,,,,,,1133.9070000000002,13500.0,13500.0,0.0,0.0,0.0
2004-12-01,,,,,,,880.816,10487.0,10487.0,0.0,0.0,0.0
2005-01-01,,,,,,,1987.246,23272.87,23272.87,,,
2005-02-01,,,,,,,1589.81,18618.45,18618.45,,,
2005-03-01,,,,,,,2206.156,25836.54,25836.54,,,
2005-04-01,,,,,,,2094.207,24525.49,24525.49,,,
2005-05-01,,,,,,,2002.56,23452.2,23452.2,,,
2005-06-01,,,,,,,3780.26,44271.05,44271.05,,,
2005-07-01,,,,,,,4976.533,58280.75,58280.75,,,
2005-08-01,,,,,,,4943.689,57896.11,57896.11,,,
2005-09-01,,,,,,,2993.087,35052.38,35052.38,,,
2005-10-01,,,,,,,2122.2760000000003,24854.22,24854.22,,,
2005-11-01,,,,,,,1860.006,21782.75,21782.75,,,
2005-12-01,,,,,,,2325.1710000000003,27230.34,27230.34,,,
2006-01-01,,,,,,,598.63,7191.0,7191.0,,,
2006-02-01,,,,,,,676.697,8129.0,8129.0,,,
2006-03-01,,,,,,,891.724,10712.0,10712.0,,,
2006-04-01,,,,,,,737.933,8865.0,8865.0,,,
2006-05-01,,,,,,,972.046,11677.0,11677.0,,,
2006-06-01,,,,,,,1252.106,15041.0,15041.0,,,
2006-07-01,,,,,,,2240.6020000000003,26916.0,26916.0,,,
2006-08-01,,,,,,,1990.9720000000002,23917.0,23917.0,,,
2006-09-01,,,,,,,1171.13,14068.0,14068.0,,,
2006-10-01,,,,,,,1268.566,15239.0,15239.0,,,
2006-11-01,,,,,,,852.8470000000001,10245.0,10245.0,,,
2006-12-01,,,,,,,865.7470000000001,10400.0,10400.0,,,
2007-01-01,,,,0.0,0.0,0.0,1898.66,21981.0,21981.0,0.0,0.0,0.0
2007-02-01,,,,0.0,0.0,0.0,3048.9590000000003,35297.0,35297.0,0.0,0.0,0.0
2007-03-01,,,,0.0,0.0,0.0,2045.0410000000002,23675.0,23675.0,0.0,0.0,0.0
2007-04-01,,,,0.0,0.0,0.0,2006.8410000000001,23234.0,23234.0,0.0,0.0,0.0
2007-05-01,,,,0.0,0.0,0.0,2566.8920000000003,29716.0,29716.0,0.0,0.0,0.0
2007-06-01,,,,0.0,0.0,0.0,3322.94,38470.0,38470.0,0.0,0.0,0.0
