measured_on,"Distillate Fuel Oil-Internal Combustion Engine (diesel, piston, reciprocating) Generation","Distillate Fuel Oil-Internal Combustion Engine (diesel, piston, reciprocating) Quantity Consumed For Electricity","Distillate Fuel Oil-Internal Combustion Engine (diesel, piston, reciprocating) Total Fuel Consumed","Jet Fuel-Internal Combustion Engine (diesel, piston, reciprocating) Generation","Jet Fuel-Internal Combustion Engine (diesel, piston, reciprocating) Quantity Consumed For Electricity","Jet Fuel-Internal Combustion Engine (diesel, piston, reciprocating) Total Fuel Consumed"
2009-01-01,,,,177.20600000000002,1745.0,1745.0
2009-02-01,,,,130.05700000000002,1279.0,1279.0
2009-03-01,,,,135.085,1330.0,1330.0
2009-04-01,,,,138.797,1363.0,1363.0
2009-05-01,,,,83.212,819.0,819.0
2009-06-01,,,,81.715,802.0,802.0
2009-07-01,,,,92.126,903.0,903.0
2009-08-01,,,,91.64800000000001,903.0,903.0
2009-09-01,,,,61.05,600.0,600.0
2009-10-01,,,,60.49,595.0,595.0
2009-11-01,,,,114.98100000000001,1133.0,1133.0
2009-12-01,,,,116.63300000000001,1145.0,1145.0
2010-01-01,,,,179.43200000000002,1644.0,1644.0
2010-02-01,,,,142.562,1307.0,1307.0
2010-03-01,,,,126.183,1156.0,1156.0
2010-04-01,,,,111.715,1021.0,1021.0
2010-05-01,,,,92.897,853.0,853.0
2010-06-01,,,,72.922,668.0,668.0
2010-07-01,,,,83.664,769.0,769.0
2010-08-01,,,,85.298,780.0,780.0
2010-09-01,,,,78.10300000000001,718.0,718.0
2010-10-01,,,,93.622,858.0,858.0
2010-11-01,,,,106.635,976.0,976.0
2010-12-01,,,,193.967,1778.0,1778.0
2011-01-01,,,,157.842,1560.0,1560.0
2011-02-01,,,,140.959,1391.0,1391.0
2011-03-01,,,,123.408,1217.0,1217.0
2011-04-01,,,,79.958,791.0,791.0
2011-05-01,,,,83.802,830.0,830.0
2011-06-01,,,,77.859,769.0,769.0
2011-07-01,,,,82.277,813.0,813.0
2011-08-01,,,,74.262,735.0,735.0
2011-09-01,,,,82.298,813.0,813.0
2011-10-01,,,,145.495,1436.0,1436.0
2011-11-01,,,,134.707,1330.0,1330.0
2011-12-01,,,,133.133,1313.0,1313.0
2012-01-01,,,,146.464,1447.0,1447.0
2012-02-01,,,,86.384,858.0,858.0
2012-03-01,,,,131.018,1302.0,1302.0
2012-04-01,,,,82.959,825.0,825.0
2012-05-01,,,,103.811,1027.0,1027.0
2012-06-01,,,,84.713,842.0,842.0
2012-07-01,,,,132.456,1313.0,1313.0
2012-08-01,,,,123.423,1223.0,1223.0
2012-09-01,,,,114.903,1139.0,1139.0
2012-10-01,,,,85.348,847.0,847.0
