measured_on,"Bituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Generation","Bituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Quantity Consumed For Electricity","Bituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Total Fuel Consumed","Distillate Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Distillate Fuel Oil - Generation","Distillate Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Distillate Fuel Oil - Quantity Consumed For Electricity","Distillate Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Distillate Fuel Oil - Total Fuel Consumed","Lignite Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Generation","Lignite Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Quantity Consumed For Electricity","Lignite Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Total Fuel Consumed","Residual Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Residual Fuel Oil - Generation","Residual Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Residual Fuel Oil - Quantity Consumed For Electricity","Residual Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Residual Fuel Oil - Total Fuel Consumed","Subbituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Generation","Subbituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Quantity Consumed For Electricity","Subbituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Total Fuel Consumed"
2003-01-01,660416.0,5966840.0,5966840.0,487.0,4942.0,4942.0,,,,,,,,,
2003-02-01,622221.0,5641768.0,5641768.0,476.0,4849.0,4849.0,,,,,,,,,
2003-03-01,391902.0,3908915.0,3908915.0,1299.0,13566.0,13566.0,,,,,,,,,
2003-04-01,559786.0,5500657.0,5500657.0,936.0,9883.0,9883.0,,,,,,,,,
2003-05-01,526949.0,6388410.0,6388410.0,973.0,12905.0,12905.0,,,,,,,,,
2003-06-01,502619.0,5032009.0,5032009.0,1207.0,12986.0,12986.0,,,,,,,,,
2003-07-01,549953.0,5552131.0,5552131.0,931.0,10104.0,10104.0,,,,,,,,,
2003-08-01,479437.0,4883206.0,4883206.0,581.0,6247.0,6247.0,,,,,,,,,
2003-09-01,404206.0,4127801.0,4127801.0,1314.0,13932.0,13932.0,,,,,,,,,
2003-10-01,220382.0,2285728.0,2285728.0,862.0,9280.0,9280.0,,,,,,,,,
2003-11-01,231386.0,2306478.0,2306478.0,1358.0,14239.0,14239.0,,,,,,,,,
2003-12-01,239593.0,2410416.0,2410416.0,933.0,9582.0,9582.0,,,,,,,,,
2004-01-01,442238.0,4563459.0,4563459.0,1898.0,20422.0,20422.0,,,,,,,,,
2004-02-01,573690.0,5550422.0,5550422.0,524.0,5516.0,5516.0,,,,,,,,,
2004-03-01,485114.0,4851135.0,4851135.0,953.0,10423.0,10423.0,,,,,,,,,
2004-04-01,550428.0,5390538.0,5390538.0,881.0,9518.0,9518.0,,,,,,,,,
2004-05-01,438666.0,4299161.0,4299161.0,1041.0,11623.0,11623.0,,,,,,,,,
2004-06-01,439818.0,4382841.0,4382841.0,868.0,9454.0,9454.0,,,,,,,,,
2004-07-01,453649.0,4755966.0,4755966.0,619.0,7030.0,7030.0,,,,,,,,,
