measured_on,"Natural Gas-Internal Combustion Engine (diesel, piston, reciprocating) Generation","Natural Gas-Internal Combustion Engine (diesel, piston, reciprocating) Quantity Consumed For Electricity","Natural Gas-Internal Combustion Engine (diesel, piston, reciprocating) Total Fuel Consumed","Other Biomass Gas-Internal Combustion Engine (diesel, piston, reciprocating) Generation","Other Biomass Gas-Internal Combustion Engine (diesel, piston, reciprocating) Quantity Consumed For Electricity","Other Biomass Gas-Internal Combustion Engine (diesel, piston, reciprocating) Total Fuel Consumed"
2003-01-01,4.4670000000000005,34.0,52.0,8.569,60.0,95.0
2003-02-01,3.942,30.0,46.0,7.562,53.0,84.0
2003-03-01,4.056,30.0,47.0,7.781000000000001,54.0,86.0
2003-04-01,3.6430000000000002,27.0,42.0,6.988,49.0,77.0
2003-05-01,3.717,28.0,43.0,7.131,50.0,79.0
2003-06-01,3.942,30.0,46.0,7.563000000000001,53.0,84.0
2003-07-01,4.559,34.0,53.0,8.746,61.0,97.0
2003-08-01,4.8340000000000005,36.0,56.0,9.273,64.0,103.0
2003-09-01,4.051,30.0,47.0,7.771000000000001,54.0,86.0
2003-10-01,3.8,28.0,44.0,7.289000000000001,51.0,81.0
2003-11-01,3.7870000000000004,28.0,44.0,7.265,51.0,80.0
2003-12-01,4.203,32.0,49.0,8.063,56.0,89.0
2004-01-01,3.5400199999999997,20.51,38.86,3.5419799999999997,20.52,38.88
2004-02-01,2.39883,13.9,26.33,3.54217,20.52,38.88
2004-03-01,1.12666,6.53,12.37,3.54234,20.52,38.88
2004-04-01,2.41626,14.0,26.52,3.54174,20.52,38.88
2004-05-01,4.78229,27.71,52.5,3.5417099999999997,20.52,38.88
2004-06-01,8.391169999999999,48.62,92.11,3.54183,20.52,38.88
2004-07-01,9.480929999999999,54.93,104.07,3.54207,20.52,38.88
2004-08-01,6.2091199999999995,35.97,68.16,3.54188,20.52,38.88
2004-09-01,3.91396,22.68,42.96,3.5420399999999996,20.52,38.88
2004-10-01,5.19895,30.12,57.07,3.5420499999999997,20.52,38.88
2004-11-01,4.518009999999999,26.18,49.59,3.5419899999999997,20.52,38.88
2004-12-01,5.4820899999999995,31.76,60.18,3.5419099999999997,20.52,38.88
2005-01-01,2.61013,15.12,31.28,3.86687,22.41,46.34
2005-02-01,2.31423,13.41,27.73,3.4487699999999997,19.98,41.33
2005-03-01,2.76153,16.0,33.09,3.93947,22.83,47.21
