measured_on,"Bituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Bituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Bituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Petroleum Coke-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Petroleum Coke-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Petroleum Coke-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Subbituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Subbituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Subbituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed"
2003-01-01,,,,,,,4287.0,50073.0,50073.0,,,,80102.0,938069.0,938069.0
2003-02-01,,,,,,,3333.0,39523.0,39523.0,,,,63702.0,754290.0,754290.0
2003-03-01,,,,,,,4337.0,51526.0,51526.0,,,,75469.0,899081.0,899081.0
2003-04-01,,,,,,,2179.0,23790.0,23790.0,,,,51028.0,555777.0,555777.0
2003-05-01,,,,,,,195.0,4044.0,4044.0,,,,4603.0,95832.0,95832.0
2003-06-01,,,,,,,760.0,10506.0,10506.0,,,,25955.0,359608.0,359608.0
2003-07-01,,,,,,,1632.0,21966.0,21966.0,,,,49855.0,670892.0,670892.0
2003-08-01,,,,,,,2714.0,31098.0,31098.0,,,,120499.0,1415466.0,1415466.0
2003-09-01,,,,,,,1502.0,18561.0,18561.0,,,,64783.0,799911.0,799911.0
2003-10-01,,,,,,,1477.0,17450.0,17450.0,,,,70770.0,837347.0,837347.0
2003-11-01,,,,,,,510.0,5254.0,5254.0,,,,75296.0,874548.0,874548.0
2003-12-01,,,,,,,1.0,10.0,10.0,,,,62343.0,912783.0,912783.0
2004-01-01,8976.076000000001,113011.0,113011.0,,,,1843.864,25068.0,25068.0,3509.0260000000003,46339.0,46339.0,66283.143,849626.0,849626.0
2004-02-01,7912.4710000000005,99620.0,99620.0,,,,940.836,12791.0,12791.0,3191.762,42149.0,42149.0,66382.777,850903.0,850903.0
2004-03-01,13714.595000000001,172670.0,172670.0,,,,978.4540000000001,13302.0,13302.0,3563.0620000000004,47052.0,47052.0,56112.805,719261.0,719261.0
2004-04-01,8474.248,106693.0,106693.0,,,,1056.925,14369.0,14369.0,3231.1960000000004,42670.0,42670.0,52548.895,673579.0,673579.0
2004-05-01,6440.887000000001,81092.0,81092.0,,,,700.3290000000001,9521.0,9521.0,0.0,0.0,0.0,48660.727,623740.0,623740.0
2004-06-01,9087.067000000001,114408.0,114408.0,,,,936.312,12729.0,12729.0,0.0,0.0,0.0,60242.974,772202.0,772202.0
2004-07-01,9163.97,115376.0,115376.0,,,,1087.314,14782.0,14782.0,0.0,0.0,0.0,66086.622,847107.0,847107.0
2004-08-01,9209.213,115946.0,115946.0,,,,800.7620000000001,10887.0,10887.0,0.0,0.0,0.0,65888.885,844572.0,844572.0
2004-09-01,7264.256,91459.0,91459.0,,,,728.722,9907.0,9907.0,2127.371,28093.0,28093.0,64223.107,823220.0,823220.0
2004-10-01,5268.67,66334.0,66334.0,,,,899.7040000000001,12232.0,12232.0,2847.568,37604.0,37604.0,63503.682,813998.0,813998.0
2004-11-01,5658.278,71239.0,71239.0,,,,407.00300000000004,5533.0,5533.0,3823.273,50488.0,50488.0,58946.176999999996,755580.0,755580.0
2004-12-01,2744.27,34551.0,34551.0,,,,1088.775,14802.0,14802.0,4220.743,55737.0,55737.0,63334.206,811826.0,811826.0
2005-01-01,10019.004,119721.98,119721.98,,,,281.699,3428.68,3428.68,0.0,0.0,0.0,66957.645,799244.67,799244.67
2005-02-01,8723.207,104237.88,104237.88,,,,225.36100000000002,2742.97,2742.97,0.0,0.0,0.0,58297.748999999996,695875.2,695875.2
2005-03-01,9050.303,108146.5,108146.5,,,,312.731,3806.38,3806.38,0.0,0.0,0.0,60483.754,721968.61,721968.61
2005-04-01,8065.6,96379.81,96379.81,,,,296.861,3613.22,3613.22,0.0,0.0,0.0,53902.922,643416.04,643416.04
2005-05-01,8854.407000000001,105805.64,105805.64,,,,283.87,3455.1,3455.1,0.0,0.0,0.0,59174.570999999996,706341.46,706341.46
2005-06-01,9861.974,117845.56,117845.56,,,,535.865,6522.24,6522.24,0.0,0.0,0.0,65908.201,786717.91,786717.91
2005-07-01,10425.15,124575.21,124575.21,,,,705.441,8586.23,8586.23,0.0,0.0,0.0,69671.942,831644.07,831644.07
2005-08-01,10541.139,125961.25,125961.25,,,,700.7860000000001,8529.56,8529.56,0.0,0.0,0.0,70447.109,840896.91,840896.91
2005-09-01,9660.076000000001,115432.97,115432.97,,,,424.281,5164.1,5164.1,0.0,0.0,0.0,64558.903,770611.92,770611.92
2005-10-01,9122.132,109004.83,109004.83,,,,300.84,3661.65,3661.65,0.0,0.0,0.0,60963.793,727698.63,727698.63
2005-11-01,8893.656,106274.65,106274.65,,,,263.663,3209.15,3209.15,0.0,0.0,0.0,59436.872,709472.44,709472.44
2005-12-01,9932.351,118686.54,118686.54,,,,329.601,4011.72,4011.72,0.0,0.0,0.0,66378.539,792332.14,792332.14
2006-01-01,3004.5820000000003,35141.0,35141.0,,,,340.25300000000004,241.0,241.0,9207.486,108490.0,108490.0,73861.682,871807.0,871807.0
2006-02-01,2861.5350000000003,33468.0,33468.0,,,,384.624,273.0,273.0,7979.916,94026.0,94026.0,70345.145,830300.0,830300.0
2006-03-01,2923.9590000000003,34198.0,34198.0,,,,506.843,360.0,360.0,7517.877,88581.0,88581.0,71879.723,848413.0,848413.0
2006-04-01,2487.638,29095.0,29095.0,,,,419.43,298.0,298.0,8088.571000000001,95306.0,95306.0,61153.639,721811.0,721811.0
2006-05-01,2658.489,31093.0,31093.0,,,,552.4970000000001,392.0,392.0,7276.659000000001,85739.0,85739.0,65353.662,771385.0,771385.0
2006-06-01,2880.074,33685.0,33685.0,,,,711.6790000000001,505.0,505.0,8200.684000000001,96627.0,96627.0,70800.885,835680.0,835680.0
2006-07-01,3276.079,38316.0,38316.0,,,,1273.525,904.0,904.0,9269.269,109218.0,109218.0,80535.878,950584.0,950584.0
2006-08-01,3299.717,38593.0,38593.0,,,,1131.6390000000001,803.0,803.0,8649.096,101910.0,101910.0,81116.989,957443.0,957443.0
2006-09-01,2741.667,32066.0,32066.0,,,,665.653,472.0,472.0,7773.149,91589.0,91589.0,67398.428,795520.0,795520.0
2006-10-01,2835.8230000000003,33167.0,33167.0,,,,721.034,512.0,512.0,7631.338000000001,89918.0,89918.0,69713.058,822840.0,822840.0
2006-11-01,2803.9390000000003,32794.0,32794.0,,,,484.745,344.0,344.0,6440.235000000001,75884.0,75884.0,68929.25,813588.0,813588.0
2006-12-01,3035.4970000000003,35502.0,35502.0,,,,492.07800000000003,349.0,349.0,6722.72,79212.0,79212.0,74621.662,880777.0,880777.0
2007-01-01,0.0,0.0,0.0,,,,172.854,2169.0,2169.0,5202.067,65268.0,65268.0,58143.079,729495.0,729495.0
2007-02-01,,,,,,,845.1740000000001,10136.0,10136.0,9581.575,114912.0,114912.0,71016.251,851699.0,851699.0
2007-03-01,,,,0.0,0.0,0.0,440.78700000000003,5177.0,5177.0,10505.545,123396.0,123396.0,73977.668,868927.0,868927.0
2007-04-01,,,,,,,838.399,9141.0,9141.0,12716.773000000001,138656.0,138656.0,60644.828,661234.0,661234.0
2007-05-01,,,,,,,384.384,4482.0,4482.0,12119.108,141316.0,141316.0,76702.508,894397.0,894397.0
2007-06-01,,,,,,,783.879,8975.0,8975.0,11300.242,129388.0,129388.0,77605.879,888589.0,888589.0
2007-07-01,,,,,,,673.0540000000001,7974.0,7974.0,10782.308,127736.0,127736.0,80840.638,957704.0,957704.0
2007-08-01,,,,,,,976.7420000000001,11326.0,11326.0,11211.1,130004.0,130004.0,78652.158,912051.0,912051.0
2007-09-01,,,,0.0,0.0,0.0,2943.69,35468.0,35468.0,7401.644,89180.0,89180.0,61879.666,745568.0,745568.0
2007-10-01,,,,,,,355.886,4004.0,4004.0,10637.951000000001,119700.0,119700.0,76876.164,865023.0,865023.0
2007-11-01,,,,,,,220.178,2406.0,2406.0,11707.096,127904.0,127904.0,77805.725,850054.0,850054.0
2007-12-01,0.0,0.0,0.0,0.0,0.0,0.0,6388.24,77824.0,77824.0,10446.255,127260.0,127260.0,71218.505,867609.0,867609.0
2008-01-01,0.0,0.0,0.0,0.0,0.0,0.0,297.678,3447.0,3447.0,10170.261,117768.0,117768.0,75967.062,879672.0,879672.0
2008-02-01,0.0,0.0,0.0,0.0,0.0,0.0,320.19800000000004,3749.0,3749.0,9549.072,111804.0,111804.0,70891.729,830026.0,830026.0
2008-03-01,0.0,0.0,0.0,0.0,0.0,0.0,488.78400000000005,6255.0,6255.0,4603.56,58912.0,58912.0,55363.655,708492.0,708492.0
2008-04-01,0.0,0.0,0.0,0.0,0.0,0.0,2395.443,22548.0,22548.0,12826.692,120736.0,120736.0,53263.865,501366.0,501366.0
