measured_on,Electricity used for energy storage Generation,Electricity used for energy storage Quantity Consumed For Electricity,Electricity used for energy storage Total Fuel Consumed
2022-08-01,-43.951,0.0,0.0
2022-09-01,-32.794,0.0,0.0
2022-10-01,-44.849,0.0,0.0
2022-11-01,-46.349,0.0,0.0
2022-12-01,-36.057,0.0,0.0
2023-01-01,-27.0,0.0,0.0
2023-02-01,-26.0,0.0,0.0
2023-03-01,-26.0,0.0,0.0
2023-04-01,-32.0,0.0,0.0
2023-05-01,-23.0,0.0,0.0
2023-06-01,-30.0,0.0,0.0
2023-07-01,-21.0,0.0,0.0
2023-08-01,-23.0,0.0,0.0
2023-09-01,-19.0,0.0,0.0
2023-10-01,-28.0,0.0,0.0
2023-11-01,-18.0,0.0,0.0
2023-12-01,-24.0,0.0,0.0
2024-01-01,-17.0,0.0,0.0
2024-02-01,-23.0,0.0,0.0
2024-03-01,-18.0,0.0,0.0
2024-04-01,-18.0,0.0,0.0
2024-05-01,-19.0,0.0,0.0
2024-06-01,-17.0,0.0,0.0
2024-07-01,-18.0,0.0,0.0
2024-08-01,-18.0,0.0,0.0
2024-09-01,-18.0,0.0,0.0
2024-10-01,-29.0,0.0,0.0
2024-11-01,-16.0,0.0,0.0
2024-12-01,-24.0,0.0,0.0
