measured_on,"Bituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Generation","Bituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Quantity Consumed For Electricity","Bituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Total Fuel Consumed",Distillate Fuel Oil - Combustion (Gas) Turbine (including jet engine design) - Distillate Fuel Oil - Generation,Distillate Fuel Oil - Combustion (Gas) Turbine (including jet engine design) - Distillate Fuel Oil - Quantity Consumed For Electricity,Distillate Fuel Oil - Combustion (Gas) Turbine (including jet engine design) - Distillate Fuel Oil - Total Fuel Consumed,"Distillate Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Distillate Fuel Oil - Generation","Distillate Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Distillate Fuel Oil - Quantity Consumed For Electricity","Distillate Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Distillate Fuel Oil - Total Fuel Consumed","Municiapl Landfill Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Municipal Landfill Gas - Generation","Municiapl Landfill Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Municipal Landfill Gas - Quantity Consumed For Electricity","Municiapl Landfill Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Municipal Landfill Gas - Total Fuel Consumed",Natural Gas - Combustion (Gas) Turbine (including jet engine design) - Natural Gas - Generation,Natural Gas - Combustion (Gas) Turbine (including jet engine design) - Natural Gas - Quantity Consumed For Electricity,Natural Gas - Combustion (Gas) Turbine (including jet engine design) - Natural Gas - Total Fuel Consumed,"Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Generation","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Quantity Consumed For Electricity","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Total Fuel Consumed","Other Biomass Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Other Renewables - Generation","Other Biomass Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Other Renewables - Quantity Consumed For Electricity","Other Biomass Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Other Renewables - Total Fuel Consumed","Residual Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Residual Fuel Oil - Generation","Residual Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Residual Fuel Oil - Quantity Consumed For Electricity","Residual Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Residual Fuel Oil - Total Fuel Consumed"
2003-01-01,156788.0,1616352.0,1616352.0,89.0,1670.0,1670.0,,,,,,,,,,2795.0,28817.0,28817.0,,,,139922.0,1442477.0,1442477.0
2003-02-01,152313.0,1622715.0,1622715.0,392.0,5229.0,5229.0,,,,,,,,,,2430.0,25888.0,25888.0,,,,155374.0,1655334.0,1655334.0
2003-03-01,148923.0,1647202.0,1647202.0,522.0,6756.0,6756.0,,,,,,,,,,3418.0,37803.0,37803.0,,,,106303.0,1175789.0,1175789.0
2003-04-01,137195.0,1434236.0,1434236.0,861.0,10694.0,10694.0,,,,,,,,,,7601.0,79465.0,79465.0,,,,98964.0,1034567.0,1034567.0
2003-05-01,78287.0,875274.0,875274.0,1105.0,12689.0,12689.0,,,,,,,,,,1619.0,18105.0,18105.0,,,,-1010.0,0.0,0.0
2003-06-01,93285.0,1068195.0,1068195.0,735.0,8690.0,8690.0,,,,,,,,,,3601.0,41235.0,41235.0,,,,29359.0,336182.0,336182.0
2003-07-01,142059.0,1486900.0,1486900.0,394.0,5929.0,5929.0,,,,,,,,,,16167.0,169212.0,169212.0,,,,190644.0,1995432.0,1995432.0
2003-08-01,144389.0,1526318.0,1526318.0,262.0,4012.0,4012.0,,,,,,,,,,11664.0,123299.0,123299.0,,,,141697.0,1497860.0,1497860.0
2003-09-01,114211.0,1209269.0,1209269.0,650.0,7580.0,7580.0,,,,,,,,,,1905.0,20175.0,20175.0,,,,46373.0,490998.0,490998.0
2003-10-01,42679.0,519297.0,519297.0,348.0,4161.0,4161.0,,,,,,,,,,2224.0,27056.0,27056.0,,,,-1240.0,0.0,0.0
2003-11-01,101822.0,1114949.0,1114949.0,372.0,4174.0,4174.0,,,,,,,,,,336.0,3676.0,3676.0,,,,-1184.0,0.0,0.0
2003-12-01,124156.0,1349321.0,1349321.0,275.0,3034.0,3034.0,,,,,,,,,,52.0,563.0,563.0,,,,-1089.0,0.0,0.0
2004-01-01,150612.0,1709828.0,1709828.0,244.0,3463.0,3463.0,,,,,,,,,,189.0,2199.0,2199.0,,,,202871.0,2017812.0,2017812.0
2004-02-01,121955.0,1310538.0,1310538.0,216.0,2404.0,2404.0,,,,,,,,,,1255.0,13483.0,13483.0,,,,22664.0,243550.0,243550.0
2004-03-01,138679.0,1428050.0,1428050.0,256.0,2696.0,2696.0,,,,,,,,,,47.0,506.0,506.0,,,,-982.0,0.0,0.0
2004-04-01,133243.0,1413135.0,1413135.0,302.0,4323.0,4323.0,,,,,,,,,,3463.0,36726.0,36726.0,,,,84329.0,894363.0,894363.0
2004-05-01,130256.0,1481228.0,1481228.0,219.0,2980.0,2980.0,,,,,,,,,,548.0,6226.0,6226.0,,,,15575.0,177119.0,177119.0
2004-06-01,98163.0,1109574.0,1109574.0,213.0,2855.0,2855.0,,,,,,,,,,2190.0,24759.0,24759.0,,,,19411.0,219410.0,219410.0
