measured_on,"Distillate Fuel Oil-Internal Combustion Engine (diesel, piston, reciprocating) Generation","Distillate Fuel Oil-Internal Combustion Engine (diesel, piston, reciprocating) Quantity Consumed For Electricity","Distillate Fuel Oil-Internal Combustion Engine (diesel, piston, reciprocating) Total Fuel Consumed"
2006-01-01,35.14,353.0,353.0
2006-02-01,18.388,185.0,185.0
2006-03-01,15.446000000000002,155.0,155.0
2006-04-01,29.587,297.0,297.0
2006-05-01,27.656000000000002,278.0,278.0
2006-06-01,25.138,253.0,253.0
2006-07-01,36.412,366.0,366.0
2006-08-01,35.32,355.0,355.0
2006-09-01,16.227,163.0,163.0
2006-10-01,17.14,172.0,172.0
2006-11-01,20.183,203.0,203.0
2006-12-01,22.363,225.0,225.0
2007-01-01,53.19,611.0,611.0
2007-02-01,62.626000000000005,721.0,721.0
2007-03-01,58.448,675.0,675.0
2007-04-01,19.117,221.0,221.0
2007-05-01,19.358,221.0,221.0
2007-06-01,26.422,302.0,302.0
2007-07-01,26.593,308.0,308.0
2007-08-01,31.505,361.0,361.0
2007-09-01,22.128,256.0,256.0
2007-10-01,27.852,320.0,320.0
2007-11-01,5.172000000000001,58.0,58.0
2007-12-01,54.289,622.0,622.0
2008-01-01,18.582,192.0,192.0
2008-02-01,22.185000000000002,227.0,227.0
2008-03-01,49.501000000000005,512.0,512.0
2008-04-01,21.36,221.0,221.0
2008-05-01,19.226000000000003,198.0,198.0
2008-06-01,44.066,454.0,454.0
2008-07-01,36.693000000000005,378.0,378.0
2008-08-01,9.39,99.0,99.0
2008-09-01,6.489,70.0,70.0
2008-10-01,7.3870000000000005,76.0,76.0
2008-11-01,6.5920000000000005,70.0,70.0
2008-12-01,51.529,535.0,535.0
2009-01-01,217.61800000000002,2100.0,2100.0
2009-02-01,4.316,41.0,41.0
2009-03-01,17.942,175.0,175.0
2009-04-01,16.018,157.0,157.0
2009-05-01,4.189,41.0,41.0
2009-06-01,9.954,99.0,99.0
2009-07-01,30.858,297.0,297.0
2009-08-01,76.661,745.0,745.0
2009-09-01,7.898000000000001,76.0,76.0
2009-10-01,4.738,47.0,47.0
2009-11-01,7.562,76.0,76.0
2009-12-01,25.246000000000002,244.0,244.0
2010-01-01,7.845000000000001,81.0,81.0
2010-02-01,7.189,76.0,76.0
2010-03-01,11.274000000000001,116.0,116.0
2010-04-01,6.174,64.0,64.0
2010-05-01,27.496000000000002,285.0,285.0
2010-06-01,24.378,250.0,250.0
2010-07-01,82.733,855.0,855.0
2010-08-01,55.247,570.0,570.0
2010-09-01,43.678000000000004,448.0,448.0
2010-10-01,1.903,17.0,17.0
2010-11-01,5.313000000000001,52.0,52.0
2010-12-01,17.77,186.0,186.0
