measured_on,Distillate Fuel Oil-Combined Cycle Combustion Turbine Part Generation,Distillate Fuel Oil-Combined Cycle Combustion Turbine Part Quantity Consumed For Electricity,Distillate Fuel Oil-Combined Cycle Combustion Turbine Part Total Fuel Consumed,Distillate Fuel Oil-Combined Cycle Steam Part Generation,Distillate Fuel Oil-Combined Cycle Steam Part Quantity Consumed For Electricity,Distillate Fuel Oil-Combined Cycle Steam Part Total Fuel Consumed,"Distillate Fuel Oil-Internal Combustion Engine (diesel, piston, reciprocating) Generation","Distillate Fuel Oil-Internal Combustion Engine (diesel, piston, reciprocating) Quantity Consumed For Electricity","Distillate Fuel Oil-Internal Combustion Engine (diesel, piston, reciprocating) Total Fuel Consumed",Natural Gas-Combined Cycle Combustion Turbine Part Generation,Natural Gas-Combined Cycle Combustion Turbine Part Quantity Consumed For Electricity,Natural Gas-Combined Cycle Combustion Turbine Part Total Fuel Consumed,Natural Gas-Combined Cycle Steam Part Generation,Natural Gas-Combined Cycle Steam Part Quantity Consumed For Electricity,Natural Gas-Combined Cycle Steam Part Total Fuel Consumed,"Natural Gas-Internal Combustion Engine (diesel, piston, reciprocating) Generation","Natural Gas-Internal Combustion Engine (diesel, piston, reciprocating) Quantity Consumed For Electricity","Natural Gas-Internal Combustion Engine (diesel, piston, reciprocating) Total Fuel Consumed","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed",Residual Fuel Oil-Combined Cycle Combustion Turbine Part Generation,Residual Fuel Oil-Combined Cycle Combustion Turbine Part Quantity Consumed For Electricity,Residual Fuel Oil-Combined Cycle Combustion Turbine Part Total Fuel Consumed,Residual Fuel Oil-Combined Cycle Steam Part Generation,Residual Fuel Oil-Combined Cycle Steam Part Quantity Consumed For Electricity,Residual Fuel Oil-Combined Cycle Steam Part Total Fuel Consumed,"Residual Fuel Oil-Internal Combustion Engine (diesel, piston, reciprocating) Generation","Residual Fuel Oil-Internal Combustion Engine (diesel, piston, reciprocating) Quantity Consumed For Electricity","Residual Fuel Oil-Internal Combustion Engine (diesel, piston, reciprocating) Total Fuel Consumed","Residual Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Residual Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Residual Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed",Waste heat not directly attributed to a fuel source-Combined Cycle Steam Part Generation,Waste heat not directly attributed to a fuel source-Combined Cycle Steam Part Quantity Consumed For Electricity,Waste heat not directly attributed to a fuel source-Combined Cycle Steam Part Total Fuel Consumed
2003-01-01,,,,,,,1973.988,21146.0,22410.0,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,
2003-02-01,,,,,,,1782.717,19097.0,20238.0,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,
2003-03-01,,,,,,,1829.045,19593.0,20764.0,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,
2003-04-01,,,,,,,1650.8410000000001,17684.0,18741.0,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,
2003-05-01,,,,,,,1670.131,17891.0,18960.0,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,
2003-06-01,,,,,,,1852.477,19844.0,21030.0,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,
2003-07-01,,,,,,,2153.575,23069.0,24448.0,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,
2003-08-01,,,,,,,2186.275,23420.0,24820.0,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,
2003-09-01,,,,,,,1843.1190000000001,19744.0,20924.0,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,
2003-10-01,,,,,,,1766.1960000000001,18920.0,20051.0,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,
2003-11-01,,,,,,,1734.777,18583.0,19694.0,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,
2003-12-01,,,,,,,1957.8580000000002,20973.0,22226.0,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,
2005-01-01,,,,,,,1794.38,17758.15,23014.4,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,614.98,3181.28,108167.6,,,
2005-02-01,,,,,,,1776.74,17583.57,22723.0,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,459.78,2378.43,88787.6,,,
2005-03-01,,,,,,,2064.86,20434.96,26430.6,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,408.37,2112.49,94445.2,,,
2005-04-01,,,,,,,1953.14,19329.32,25041.8,,,,,,,,,,410.60868,2124.07,48192.1,,,,,,,,,,134.53132,695.93,15789.6,,,
2005-05-01,,,,,,,2285.36,22617.15,29177.2,,,,,,,,,,308.93934,1598.14,46193.4,,,,,,,,,,101.37066,524.39,15157.2,,,
2005-06-01,,,,,,,2143.26,21210.85,27534.2,,,,,,,,,,284.02238,1469.24,35689.5,,,,,,,,,,186.42762,964.39,23426.0,,,
2005-07-01,,,,,,,2400.02,23751.89,28712.2,,,,,,,,,,387.76667,2005.91,52340.2,,,,,,,,,,196.17333,1014.8,26479.2,,,
2005-08-01,,,,,,,2071.72,20502.85,29375.6,,,,,,,,,,513.77123,2657.73,56907.4,,,,,,,,,,254.46877,1316.36,28186.0,,,
