measured_on,"Bituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Bituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Bituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed"
2003-01-01,35157.543,264181.0,748377.0,,,
2003-02-01,32465.822,248782.0,680157.0,,,
2003-03-01,9342.759,121945.0,404760.0,,,
2003-04-01,18472.331,181490.0,408323.0,,,
2003-05-01,23989.254,206871.0,465476.0,,,
2003-06-01,30496.247,242426.0,680120.0,,,
2003-07-01,27118.872,245399.0,553524.0,,,
2003-08-01,34604.0,227778.0,667957.0,,,
2003-09-01,35862.0,265103.0,708122.0,,,
2003-10-01,37751.0,280637.0,741724.0,,,
2003-11-01,36761.0,266857.0,724785.0,,,
2003-12-01,37597.0,260743.0,766948.0,,,
2004-01-01,38644.691,204551.0,892566.16,,,
2004-02-01,33300.189,176261.9,769125.58,,,
2004-03-01,24113.301,127634.6,556938.56,,,
2004-04-01,22368.182,118397.48,516631.87,,,
2004-05-01,30907.036,163594.65,713851.6,,,
2004-06-01,32204.431,170461.93,743817.08,,,
2004-07-01,33904.699,179461.65,783087.7,,,
2004-08-01,30629.819,162127.31,707448.7,,,
2004-09-01,30670.303,162341.6,708383.88,,,
2004-10-01,19792.79,104765.62,457148.85,,,
2004-11-01,26238.91,138885.7,606033.09,,,
2004-12-01,29595.248,156651.2,683553.58,,,
2005-01-01,31280.892,165573.52,714134.82,,,
2005-02-01,28401.625,150333.22,648401.88,,,
2005-03-01,30444.717,161147.54,695045.19,,,
2005-04-01,25046.358,132573.39,571802.07,,,
2005-05-01,23794.696,125948.18,543226.74,,,
2005-06-01,30499.763,161438.92,696301.83,,,
2005-07-01,34028.833,180118.71,776869.59,,,
2005-08-01,33705.035,178404.8,769477.38,,,
2005-09-01,30363.039,160715.22,693180.39,,,
2005-10-01,28433.667,150502.82,649133.31,,,
2005-11-01,27922.924,147799.39,637473.27,,,
2005-12-01,32208.587,170483.92,735313.74,,,
2006-01-01,32043.379,169609.46,679092.63,,,
2006-02-01,30127.942,159470.82,638498.96,,,
2006-03-01,29420.455,155726.0,623505.34,,,
2006-04-01,29448.476000000002,155874.32,624099.09,,,
2006-05-01,30970.886,163932.63,656363.37,,,
2006-06-01,31682.438000000002,167698.96,671443.38,,,
2006-07-01,33270.76,176106.13,705104.39,,,
2006-08-01,33256.196,176029.05,704795.71,,,
2006-09-01,30033.845,158972.75,636504.68,,,
2006-10-01,29404.876,155643.54,623175.17,,,
2006-11-01,29811.387000000002,157795.26,631790.27,,,
2006-12-01,31774.617,168186.87,673396.78,,,
2007-01-01,9470.0,65992.0,278407.0,,,
2007-02-01,27980.0,170811.0,686775.0,,,
2007-03-01,26363.0,162865.0,671783.0,,,
2007-04-01,32546.0,196340.0,772915.0,,,
2007-05-01,29183.0,178758.0,696911.0,,,
2007-06-01,32794.0,197634.0,767739.0,,,
2007-07-01,33701.0,203249.0,790968.0,,,
2007-08-01,34115.0,205583.0,769575.0,,,
2007-09-01,20975.0,132279.0,502202.0,,,
2007-10-01,21619.0,136771.0,559824.0,,,
2007-11-01,31277.0,189996.0,761931.0,,,
2007-12-01,32114.0,195500.0,795053.0,,,
2008-01-01,31149.0,191171.0,776444.0,,,
2008-02-01,29671.0,181717.0,750511.0,,,
2008-03-01,21482.0,136361.0,571128.0,,,
2008-04-01,12361.0,79533.0,283569.0,,,
2008-05-01,21045.0,133362.0,578600.0,,,
2008-06-01,32073.0,193758.0,739297.0,,,
2008-07-01,27886.0,173411.0,753010.0,,,
2008-08-01,29751.0,182708.0,668041.0,,,
2008-09-01,32162.0,194592.0,738211.0,,,
2008-10-01,15780.0,104308.0,470902.0,,,
2008-11-01,31240.0,189346.0,750803.0,,,
2008-12-01,24800.0,154619.0,628336.0,,,
2009-01-01,32488.0,197337.0,771018.0,,,
2009-02-01,29251.0,177218.0,679440.0,,,
2009-03-01,32039.0,194160.0,736865.0,,,
2009-04-01,15116.0,99306.0,407193.0,,,
2009-05-01,31052.0,189331.0,809743.0,,,
2009-06-01,30528.0,185834.0,717124.0,,,
2009-07-01,30489.0,186383.0,724072.0,,,
2009-08-01,30280.0,185961.0,740107.0,,,
2009-09-01,12641.0,87376.0,414688.0,,,
2009-10-01,24820.0,157639.0,683028.0,,,
2009-11-01,25065.0,157852.0,671540.0,,,
