measured_on,Bituminous Coal Generation,Bituminous Coal Quantity Consumed For Electricity,Bituminous Coal Total Fuel Consumed,Distillate Fuel Oil Generation,Distillate Fuel Oil Quantity Consumed For Electricity,Distillate Fuel Oil Total Fuel Consumed,Waste Coal Generation,Waste Coal Quantity Consumed For Electricity,Waste Coal Total Fuel Consumed
2005-06-01,,,,686.7065,7483.8099999999995,7483.8099999999995,216768.0,2430180.0,2430180.0
2005-07-01,,,,299.344,1667.27,1667.27,336738.0,3608702.87,3608702.87
2005-08-01,,,,623.215,7070.83,7070.83,314932.0,3388073.65,3388073.65
2005-09-01,,,,734.032,8304.75,8304.75,252897.0,2729982.53,2729982.53
2005-10-01,,,,631.199,6339.515,6339.515,201490.0,2092962.7,2092962.7
2005-11-01,,,,898.3855,20709.49,20709.49,13415.0,310259.3,310259.3
2005-12-01,,,,484.387,5233.71,5233.71,306593.0,3324481.22,3324481.22
2006-01-01,,,,756.5175,8011.5,8011.5,279525.0,2962190.0,2962190.0
2006-02-01,,,,731.0265,7929.5,7929.5,189955.0,2062154.0,2062154.0
2006-03-01,,,,871.0625,9146.5,9146.5,316591.0,3324597.0,3324597.0
2006-04-01,,,,829.6975,8758.0,8758.0,320731.0,3386488.0,3386488.0
2006-05-01,,,,9.0645,17228.0,17228.0,86687.0,942781.0,942781.0
2006-06-01,,,,1309.739,14117.5,14117.5,231820.0,2499874.0,2499874.0
2006-07-01,,,,791.4345,8369.5,8369.5,274401.0,2903898.0,2903898.0
2006-08-01,,,,12.576500000000001,126.5,126.5,368918.0,3806255.0,3806255.0
2006-09-01,,,,1182.8185,12435.5,12435.5,220774.0,2321458.0,2321458.0
2006-10-01,,,,5.618,57.0,57.0,362586.0,3786448.0,3786448.0
2006-11-01,,,,533.1155,5630.5,5630.5,281598.0,2962608.0,2962608.0
2006-12-01,,,,553.33,5822.0,5822.0,302651.0,3187192.0,3187192.0
2007-01-01,,,,122.42800000000001,403.5,403.5,31456.076,269076.0,269076.0
2007-02-01,,,,2439.8590000000004,25900.0,25900.0,204486.243,2227168.0,2227168.0
2007-03-01,,,,633.9390000000001,5381.0,5381.0,329073.647,3455543.0,3455543.0
2007-04-01,,,,949.7435,9194.0,9194.0,304316.094,3194882.0,3194882.0
2007-05-01,,,,1214.6425,12070.0,12070.0,231950.241,2442336.0,2442336.0
2007-06-01,,,,370.77500000000003,3192.5,3192.5,329292.229,3457488.0,3457488.0
2007-07-01,,,,996.625,9476.5,9476.5,342550.588,3614447.0,3614447.0
2007-08-01,,,,524.884,4275.0,4275.0,359420.5,3840899.0,3840899.0
2007-09-01,,,,375.32550000000003,2997.0,2997.0,324527.932,3590208.0,3590208.0
2007-10-01,,,,153.667,306.0,306.0,368249.91,3951705.0,3951705.0
2007-11-01,,,,470.285,4075.0,4075.0,351471.094,3785338.0,3785338.0
2007-12-01,,,,414.952,3031.0,3031.0,357075.198,3821528.0,3821528.0
2008-01-01,,,,1393.613,14894.0,14894.0,359371.387,3840824.0,3840824.0
2008-02-01,,,,1366.059,14633.0,14633.0,295192.941,3162145.0,3162145.0
2008-03-01,,,,1433.4650000000001,16754.0,16754.0,75450.535,881869.0,881869.0
2008-04-01,,,,2478.197,26360.0,26360.0,293846.803,3125591.0,3125591.0
2008-05-01,,,,1686.472,18065.0,18065.0,325371.528,3485247.0,3485247.0
2008-06-01,,,,547.091,5862.0,5862.0,348034.909,3728952.0,3728952.0
2008-07-01,,,,20.263,216.0,216.0,365485.737,3904117.0,3904117.0
2008-08-01,,,,2435.3610000000003,27388.0,27388.0,255952.639,2878395.0,2878395.0
2008-09-01,,,,1070.5030000000002,11634.0,11634.0,336413.497,3656128.0,3656128.0
2008-10-01,,,,0.0,0.0,0.0,379138.0,4036039.0,4036039.0
2008-11-01,,,,0.0,0.0,0.0,359309.0,3813810.0,3813810.0
2008-12-01,,,,0.0,0.0,0.0,375658.0,4077124.0,4077124.0
2009-01-01,,,,651.018,7239.0,7239.0,320715.659,3514560.0,3514560.0
2009-02-01,,,,11.216000000000001,197.5,197.5,72967.416,812534.0,812534.0
2009-03-01,,,,1239.08,13756.0,13756.0,193245.991,2133719.0,2133719.0
2009-04-01,,,,407.1675,4557.5,4557.5,277257.04,3051243.0,3051243.0
2009-05-01,,,,758.8195000000001,8273.0,8273.0,195325.382,2117090.0,2117090.0
2009-06-01,,,,2.4655,72.5,72.5,313210.0,3377017.0,3377017.0
2009-07-01,,,,3.053,84.5,84.5,359903.453,3830571.0,3830571.0
2009-08-01,,,,544.1015,5890.5,5890.5,314813.327,3378244.0,3378244.0
2009-09-01,,,,1.842,53.5,53.5,334597.0,3623881.0,3623881.0
2009-10-01,,,,4.561,83.0,83.0,377215.528,4032633.0,4032633.0
