measured_on,"Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Residual Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Residual Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Residual Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed"
2003-01-01,,,,3.464,157.0,157.0,1063.089,47897.0,47897.0
2003-02-01,,,,2.9890000000000003,135.0,135.0,917.479,41336.0,41336.0
2003-03-01,,,,2.823,128.0,128.0,866.5310000000001,39041.0,39041.0
2003-04-01,,,,2.76,125.0,125.0,847.1080000000001,38166.0,38166.0
2003-05-01,,,,2.902,131.0,131.0,890.58,40124.0,40124.0
2003-06-01,,,,3.051,138.0,138.0,936.3190000000001,42185.0,42185.0
2003-07-01,,,,3.399,154.0,154.0,1043.339,47007.0,47007.0
2003-08-01,,,,3.539,160.0,160.0,1086.24,48940.0,48940.0
2003-09-01,,,,2.895,131.0,131.0,888.503,40031.0,40031.0
2003-10-01,,,,2.91,132.0,132.0,893.119,40239.0,40239.0
2003-11-01,,,,2.9090000000000003,132.0,132.0,892.798,40224.0,40224.0
2003-12-01,,,,3.359,152.0,152.0,1030.895,46446.0,46446.0
2004-01-01,,,,4.881,223.0,223.0,2883.446,131181.0,131181.0
2004-02-01,,,,3.491,160.0,160.0,591.24,26898.0,26898.0
2004-03-01,,,,6.474,296.0,296.0,1167.125,53098.0,53098.0
2004-04-01,,,,1.9140000000000001,87.0,87.0,1064.777,48442.0,48442.0
2004-05-01,,,,7.928,362.0,362.0,1425.201,64839.0,64839.0
2004-06-01,,,,4.711,215.0,215.0,913.441,41557.0,41557.0
2004-07-01,,,,7.809,357.0,357.0,1174.6190000000001,53439.0,53439.0
2004-08-01,,,,6.727,307.0,307.0,741.238,33722.0,33722.0
2004-09-01,,,,5.014,229.0,229.0,109.605,4986.0,4986.0
2004-10-01,,,,2.251,103.0,103.0,30.075,1368.0,1368.0
2004-11-01,,,,5.26,240.0,240.0,106.355,4839.0,4839.0
2004-12-01,,,,3.54,162.0,162.0,1722.8780000000002,78382.0,78382.0
2005-01-01,,,,17.281000000000002,828.46,828.46,1429.708,68604.88,68604.88
2005-02-01,,,,15.32,734.45,734.45,583.7080000000001,28009.37,28009.37
2005-03-01,,,,18.281000000000002,876.43,876.43,803.2710000000001,38545.16,38545.16
2005-04-01,,,,18.743000000000002,898.56,898.56,463.788,22254.95,22254.95
