measured_on,Hydroelectric - Hydroelectric Turbine (including turbines associated with delivery of water by pipeline) - Hydroelectric Conventional - Generation,Hydroelectric - Hydroelectric Turbine (including turbines associated with delivery of water by pipeline) - Hydroelectric Conventional - Quantity Consumed For Electricity,Hydroelectric - Hydroelectric Turbine (including turbines associated with delivery of water by pipeline) - Hydroelectric Conventional - Total Fuel Consumed
2003-01-01,2570.0,26319.37,26319.37
2003-02-01,1286.0,13169.93,13169.93
2003-03-01,3588.0,36744.71,36744.71
2003-04-01,3229.0,33068.19,33068.19
2003-05-01,62.0,634.94,634.94
2003-06-01,3218.0,32955.54,32955.54
2003-07-01,320.0,3277.12,3277.12
2003-08-01,1413.0,14470.53,14470.53
2003-09-01,2760.0,28265.16,28265.16
2003-10-01,7311.0,74871.95,74871.95
2003-11-01,3888.0,39817.01,39817.01
2003-12-01,5616.0,57513.46,57513.46
2004-01-01,1913.256,19174.65,19174.65
2004-02-01,1717.5240000000001,17213.03,17213.03
2004-03-01,1998.506,20029.03,20029.03
2004-04-01,1770.24,17741.35,17741.35
2004-05-01,1834.578,18386.14,18386.14
2004-06-01,1844.4640000000002,18485.22,18485.22
2004-07-01,1894.737,18989.05,18989.05
2004-08-01,1892.308,18964.71,18964.71
2004-09-01,1796.843,18007.96,18007.96
2004-10-01,1770.17,17740.64,17740.64
2004-11-01,1948.382,19526.68,19526.68
2004-12-01,2091.992,20965.94,20965.94
2005-01-01,2508.5930000000003,25083.42,25083.42
2005-02-01,2038.537,20383.33,20383.33
2005-03-01,2227.31,22270.87,22270.87
2005-04-01,2792.165,27918.86,27918.86
2005-05-01,2068.759,20685.52,20685.52
2005-06-01,1853.487,18533.02,18533.02
2005-07-01,1573.7160000000001,15735.59,15735.59
2005-08-01,1240.855,12407.31,12407.31
2005-09-01,1071.896,10717.89,10717.89
2005-10-01,2180.264,21800.46,21800.46
2005-11-01,2394.228,23939.89,23939.89
2005-12-01,2532.1890000000003,25319.36,25319.36
2006-01-01,2658.978,26374.0,26374.0
2006-02-01,2397.6130000000003,23782.0,23782.0
2006-03-01,2112.331,20952.0,20952.0
2006-04-01,2299.203,22806.0,22806.0
2006-05-01,2718.422,26964.0,26964.0
2006-06-01,2671.027,26494.0,26494.0
2006-07-01,2800.9370000000004,27782.0,27782.0
2006-08-01,2780.697,27582.0,27582.0
2006-09-01,1805.001,17904.0,17904.0
2006-10-01,1591.236,15783.0,15783.0
2006-11-01,1863.864,18488.0,18488.0
2006-12-01,1973.69,19577.0,19577.0
2007-01-01,668.311,6606.0,6606.0
2007-02-01,529.9490000000001,5238.0,5238.0
2007-03-01,632.675,6253.0,6253.0
2007-04-01,553.245,5468.0,5468.0
2007-05-01,590.14,5833.0,5833.0
2007-06-01,509.08200000000005,5032.0,5032.0
2007-07-01,488.26,4826.0,4826.0
2007-08-01,490.29600000000005,4846.0,4846.0
2007-09-01,460.781,4554.0,4554.0
2007-10-01,474.41900000000004,4689.0,4689.0
2007-11-01,524.625,5185.0,5185.0
2007-12-01,551.217,5448.0,5448.0
2008-01-01,2705.9010000000003,26664.0,26664.0
2008-02-01,2261.82,22288.0,22288.0
2008-03-01,2931.9230000000002,28891.0,28891.0
2008-04-01,2664.815,26259.0,26259.0
2008-05-01,2787.543,27468.0,27468.0
2008-06-01,2564.092,25267.0,25267.0
2008-07-01,2714.585,26750.0,26750.0
2008-08-01,2591.588,25538.0,25538.0
2008-09-01,2344.952,23107.0,23107.0
2008-10-01,2399.918,23649.0,23649.0
2008-11-01,2721.286,26816.0,26816.0
2008-12-01,2840.577,27991.0,27991.0
2009-01-01,2004.94,19568.0,19568.0
2009-02-01,1841.796,17976.0,17976.0
2009-03-01,2250.884,21969.0,21969.0
2009-04-01,2061.712,20122.0,20122.0
2009-05-01,2169.364,21173.0,21173.0
2009-06-01,1987.827,19401.0,19401.0
2009-07-01,2085.26,20352.0,20352.0
2009-08-01,2035.528,19867.0,19867.0
2009-09-01,1842.41,17982.0,17982.0
2009-10-01,1911.623,18657.0,18657.0
2009-11-01,2066.6890000000003,20171.0,20171.0
2009-12-01,2184.967,21325.0,21325.0
2010-01-01,1812.343,17681.0,17681.0
2010-02-01,1627.4940000000001,15878.0,15878.0
2010-03-01,1911.065,18644.0,18644.0
2010-04-01,1686.049,16449.0,16449.0
2010-05-01,1700.472,16590.0,16590.0
2010-06-01,1695.805,16544.0,16544.0
2010-07-01,1772.833,17296.0,17296.0
2010-08-01,1703.3580000000002,16618.0,16618.0
2010-09-01,1599.52,15605.0,15605.0
2010-10-01,1652.999,16127.0,16127.0
2010-11-01,1822.507,17780.0,17780.0
2010-12-01,1946.555,18991.0,18991.0
2011-01-01,3057.676,29708.0,29708.0
2011-02-01,2650.767,25755.0,25755.0
2011-03-01,3525.244,34251.0,34251.0
2011-04-01,3194.823,31041.0,31041.0
2011-05-01,3732.855,36268.0,36268.0
2011-06-01,3707.979,36027.0,36027.0
2011-07-01,3578.693,34771.0,34771.0
2011-08-01,3427.186,33299.0,33299.0
2011-09-01,3242.339,31503.0,31503.0
2011-10-01,3440.69,33430.0,33430.0
2011-11-01,3728.222,36223.0,36223.0
2011-12-01,4027.526,39131.0,39131.0
2012-01-01,1411.054,13428.0,13428.0
2012-02-01,1362.232,12963.0,12963.0
2012-03-01,1454.81,13844.0,13844.0
2012-04-01,1211.239,11526.0,11526.0
2012-05-01,1186.633,11292.0,11292.0
2012-06-01,1081.799,10294.0,10294.0
2012-07-01,1041.784,9914.0,9914.0
2012-08-01,1007.24,9585.0,9585.0
2012-09-01,945.925,9001.0,9001.0
2012-10-01,945.295,8995.0,8995.0
2012-11-01,1132.155,10774.0,10774.0
2012-12-01,1142.834,10875.0,10875.0
2013-01-01,1833.924,17497.0,17497.0
2013-02-01,1567.13,14952.0,14952.0
2013-03-01,1808.101,17251.0,17251.0
2013-04-01,1596.481,15232.0,15232.0
2013-05-01,1644.836,15693.0,15693.0
2013-06-01,1600.236,15268.0,15268.0
2013-07-01,1840.708,17562.0,17562.0
2013-08-01,1749.097,16688.0,16688.0
2013-09-01,1607.748,15340.0,15340.0
2013-10-01,1728.305,16490.0,16490.0
2013-11-01,1943.566,18544.0,18544.0
2013-12-01,1918.868,18308.0,18308.0
2014-01-01,1746.214,16606.0,16606.0
2014-02-01,1664.012,15825.0,15825.0
2014-03-01,1848.314,17577.0,17577.0
2014-04-01,1801.464,17132.0,17132.0
2014-05-01,1977.847,18809.0,18809.0
2014-06-01,1890.607,17980.0,17980.0
2014-07-01,1957.28,18614.0,18614.0
2014-08-01,1929.165,18346.0,18346.0
2014-09-01,1795.212,17072.0,17072.0
2014-10-01,1871.72,17800.0,17800.0
2014-11-01,1957.583,18617.0,18617.0
2014-12-01,1998.582,19007.0,19007.0
2015-01-01,1052.496,9808.0,9808.0
2015-02-01,911.143,8491.0,8491.0
2015-03-01,1044.268,9732.0,9732.0
2015-04-01,1006.107,9376.0,9376.0
2015-05-01,1055.96,9840.0,9840.0
2015-06-01,1062.104,9898.0,9898.0
2015-07-01,1243.246,11586.0,11586.0
2015-08-01,1218.094,11351.0,11351.0
2015-09-01,1127.02,10503.0,10503.0
2015-10-01,1103.841,10287.0,10287.0
2015-11-01,1155.601,10769.0,10769.0
2015-12-01,1174.12,10942.0,10942.0
2016-01-01,1238.239,11431.0,11431.0
2016-02-01,1160.639,10715.0,10715.0
2016-03-01,1243.24,11478.0,11478.0
2016-04-01,1258.43,11618.0,11618.0
2016-05-01,1266.131,11689.0,11689.0
