measured_on,Solar-Photovoltaic Generation,Solar-Photovoltaic Quantity Consumed For Electricity,Solar-Photovoltaic Total Fuel Consumed
2011-01-01,3.686,36.0,36.0
2011-02-01,278.364,2705.0,2705.0
2011-03-01,398.23,3869.0,3869.0
2011-04-01,660.837,6421.0,6421.0
2011-05-01,811.081,7880.0,7880.0
2011-06-01,1042.276,10127.0,10127.0
2011-07-01,896.482,8710.0,8710.0
2011-08-01,923.572,8973.0,8973.0
2011-09-01,637.435,6193.0,6193.0
2011-10-01,509.514,4950.0,4950.0
2011-11-01,180.929,1758.0,1758.0
2011-12-01,171.594,1667.0,1667.0
2012-01-01,20.44,195.0,195.0
2012-02-01,202.99,1932.0,1932.0
2012-03-01,497.693,4736.0,4736.0
2012-04-01,720.107,6853.0,6853.0
2012-05-01,989.83,9419.0,9419.0
2012-06-01,1069.857,10181.0,10181.0
2012-07-01,925.119,8803.0,8803.0
2012-08-01,729.048,6938.0,6938.0
2012-09-01,682.623,6496.0,6496.0
2012-10-01,536.484,5105.0,5105.0
2012-11-01,274.348,2611.0,2611.0
2012-12-01,200.461,1908.0,1908.0
2013-01-01,128.513,1226.0,1226.0
2013-02-01,263.306,2512.0,2512.0
2013-03-01,448.412,4278.0,4278.0
2013-04-01,472.783,4511.0,4511.0
2013-05-01,532.077,5077.0,5077.0
2013-06-01,678.075,6470.0,6470.0
2013-07-01,639.745,6104.0,6104.0
2013-08-01,860.97,8215.0,8215.0
2013-09-01,836.924,7985.0,7985.0
2013-10-01,740.949,7069.0,7069.0
2013-11-01,737.572,7037.0,7037.0
2013-12-01,769.674,7343.0,7343.0
2014-01-01,232.188,2208.0,2208.0
2014-02-01,264.813,2518.0,2518.0
2014-03-01,466.229,4434.0,4434.0
2014-04-01,551.732,5247.0,5247.0
2014-05-01,633.832,6028.0,6028.0
2014-06-01,702.973,6685.0,6685.0
2014-07-01,650.525,6186.0,6186.0
2014-08-01,703.894,6694.0,6694.0
2014-09-01,686.785,6531.0,6531.0
2014-10-01,620.189,5898.0,5898.0
2014-11-01,515.384,4901.0,4901.0
2014-12-01,351.456,3342.0,3342.0
2015-01-01,303.851,2832.0,2832.0
2015-02-01,382.951,3569.0,3569.0
2015-03-01,561.195,5230.0,5230.0
2015-04-01,629.859,5870.0,5870.0
2015-05-01,633.105,5900.0,5900.0
2015-06-01,652.31,6079.0,6079.0
2015-07-01,675.107,6291.0,6291.0
2015-08-01,683.31,6368.0,6368.0
2015-09-01,563.92,5255.0,5255.0
2015-10-01,475.058,4427.0,4427.0
2015-11-01,440.081,4101.0,4101.0
2015-12-01,362.253,3376.0,3376.0
2016-01-01,221.364,2044.0,2044.0
2016-02-01,369.487,3411.0,3411.0
2016-03-01,407.839,3765.0,3765.0
2016-04-01,475.105,4386.0,4386.0
2016-05-01,590.578,5452.0,5452.0
2016-06-01,566.431,5229.0,5229.0
2016-07-01,661.246,6105.0,6105.0
2016-08-01,652.091,6020.0,6020.0
2016-09-01,575.336,5312.0,5312.0
2016-10-01,485.004,4478.0,4478.0
2016-11-01,416.641,3846.0,3846.0
2016-12-01,303.878,2805.0,2805.0
2017-01-01,208.912,1925.0,1925.0
2017-02-01,233.348,2150.0,2150.0
2017-03-01,435.133,4009.0,4009.0
2017-04-01,458.446,4224.0,4224.0
2017-05-01,576.418,5311.0,5311.0
2017-06-01,624.669,5755.0,5755.0
2017-07-01,569.393,5246.0,5246.0
2017-08-01,526.207,4848.0,4848.0
2017-09-01,491.365,4527.0,4527.0
2017-10-01,452.662,4170.0,4170.0
2017-11-01,278.162,2563.0,2563.0
2017-12-01,265.285,2444.0,2444.0
2018-01-01,233.361,2125.0,2125.0
2018-02-01,328.492,2991.0,2991.0
2018-03-01,375.61,3420.0,3420.0
2018-04-01,469.559,4275.0,4275.0
2018-05-01,565.997,5153.0,5153.0
2018-06-01,609.825,5552.0,5552.0
2018-07-01,527.114,4799.0,4799.0
2018-08-01,530.783,4832.0,4832.0
2018-09-01,502.461,4574.0,4574.0
2018-10-01,395.873,3604.0,3604.0
2018-11-01,272.299,2479.0,2479.0
2018-12-01,216.626,1972.0,1972.0
2019-01-01,272.601,2428.0,2428.0
2019-02-01,318.078,2832.0,2832.0
2019-03-01,483.165,4303.0,4303.0
2019-04-01,561.954,5004.0,5004.0
2019-05-01,585.085,5210.0,5210.0
2019-06-01,707.333,6299.0,6299.0
2019-07-01,698.049,6216.0,6216.0
2019-08-01,683.655,6088.0,6088.0
2019-09-01,559.086,4979.0,4979.0
2019-10-01,513.707,4575.0,4575.0
2019-11-01,328.533,2926.0,2926.0
2019-12-01,211.754,1886.0,1886.0
2020-01-01,295.153,2588.0,2588.0
2020-02-01,400.097,3508.0,3508.0
2020-03-01,391.519,3432.0,3432.0
2020-04-01,493.424,4326.0,4326.0
2020-05-01,645.768,5661.0,5661.0
2020-06-01,643.056,5638.0,5638.0
2020-07-01,726.343,6368.0,6368.0
2020-08-01,601.755,5276.0,5276.0
2020-09-01,472.496,4142.0,4142.0
2020-10-01,436.741,3829.0,3829.0
2020-11-01,345.276,3027.0,3027.0
2020-12-01,273.372,2397.0,2397.0
2021-01-01,291.518,2578.0,2578.0
2021-02-01,381.883,3377.0,3377.0
