measured_on,"Gaseous Propane-Internal Combustion Engine (diesel, piston, reciprocating) Generation","Gaseous Propane-Internal Combustion Engine (diesel, piston, reciprocating) Quantity Consumed For Electricity","Gaseous Propane-Internal Combustion Engine (diesel, piston, reciprocating) Total Fuel Consumed","Natural Gas-Internal Combustion Engine (diesel, piston, reciprocating) Generation","Natural Gas-Internal Combustion Engine (diesel, piston, reciprocating) Quantity Consumed For Electricity","Natural Gas-Internal Combustion Engine (diesel, piston, reciprocating) Total Fuel Consumed"
2003-01-01,47.045,484.0,484.0,498.754,3705.0,7373.0
2003-02-01,39.676,409.0,409.0,420.63,3125.0,6218.0
2003-03-01,40.856,421.0,421.0,433.14,3218.0,6403.0
2003-04-01,35.04,361.0,361.0,371.48400000000004,2760.0,5492.0
2003-05-01,33.279,343.0,343.0,352.812,2621.0,5216.0
2003-06-01,40.638000000000005,418.0,418.0,430.83700000000005,3201.0,6369.0
2003-07-01,48.029,495.0,495.0,509.19100000000003,3783.0,7528.0
2003-08-01,47.815,492.0,492.0,506.92,3766.0,7494.0
2003-09-01,35.615,367.0,367.0,377.576,2805.0,5582.0
2003-10-01,34.102000000000004,351.0,351.0,361.53700000000003,2686.0,5345.0
2003-11-01,32.398,334.0,334.0,343.469,2552.0,5078.0
2003-12-01,37.508,386.0,386.0,397.649,2954.0,5879.0
2004-01-01,12.98461,73.48,189.38,432.42539,2446.99,6306.74
2004-02-01,12.98461,73.48,189.38,432.42539,2446.99,6306.74
2004-03-01,12.98461,73.48,189.38,432.42539,2446.99,6306.74
2004-04-01,12.98461,73.48,189.38,432.42539,2446.99,6306.74
2004-05-01,12.98461,73.48,189.38,432.42539,2446.99,6306.74
2004-06-01,12.98461,73.48,189.38,432.42539,2446.99,6306.74
2004-07-01,12.98461,73.48,189.38,432.42539,2446.99,6306.74
2004-08-01,12.98461,73.48,189.38,432.42539,2446.99,6306.74
2004-09-01,12.98461,73.48,189.38,432.42539,2446.99,6306.74
2004-10-01,12.98461,73.48,189.38,432.42539,2446.99,6306.74
2004-11-01,12.98461,73.48,189.38,432.42539,2446.99,6306.74
2004-12-01,12.98461,73.48,189.38,432.42539,2446.99,6306.74
2005-01-01,12.00001,67.91,168.53,360.30099,2038.86,5059.97
2005-02-01,12.48419,70.64,175.33,319.41581,1807.49,4485.8
2005-03-01,14.068579999999999,79.61,197.58,381.16841999999997,2156.94,5353.02
2005-04-01,11.40897,64.56,160.23,390.78903,2211.39,5488.15
