measured_on,"Gaseous Propane - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Waste Oil - Generation","Gaseous Propane - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Waste Oil - Quantity Consumed For Electricity","Gaseous Propane - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Waste Oil - Total Fuel Consumed","Lignite Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Generation","Lignite Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Quantity Consumed For Electricity","Lignite Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Total Fuel Consumed","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Generation","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Quantity Consumed For Electricity","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Total Fuel Consumed"
2010-02-01,,,,420052.804,4817303.0,4817303.0,382.196,4383.0,4383.0
2010-03-01,,,,462803.272,5295927.0,5295927.0,134.728,1542.0,1542.0
2010-04-01,,,,60595.595,730710.0,730710.0,1061.405,12799.0,12799.0
2010-05-01,,,,457881.416,5094158.0,5094158.0,168.584,1876.0,1876.0
2010-06-01,,,,449197.725,5065571.0,5065571.0,88.275,995.0,995.0
2010-07-01,,,,310457.316,3539741.0,3539741.0,2927.684,33381.0,33381.0
2010-08-01,,,,437246.666,4911497.0,4911497.0,184.334,2071.0,2071.0
2010-09-01,,,,427888.435,4764362.0,4764362.0,1226.565,13657.0,13657.0
2010-10-01,,,,382782.182,4340431.0,4340431.0,1335.818,15147.0,15147.0
2010-11-01,,,,439868.146,4984802.0,4984802.0,101.854,1154.0,1154.0
2010-12-01,,,,379895.541,4313159.0,4313159.0,1001.4590000000001,11370.0,11370.0
2011-01-01,,,,429111.23,4813221.0,4813221.0,1577.773,17697.0,17697.0
2011-02-01,,,,419755.48,4668721.0,4668721.0,56.516,629.0,629.0
2011-03-01,,,,255608.87,2902577.0,2902577.0,190.13,2159.0,2159.0
2011-04-01,,,,196238.93,2262657.0,2262657.0,2842.067,32769.0,32769.0
2011-05-01,,,,391570.84,4376383.0,4376383.0,1398.161,15627.0,15627.0
2011-06-01,,,,418937.41,4764225.0,4764225.0,808.593,9195.0,9195.0
2011-07-01,,,,442688.55,5044144.0,5044144.0,81.454,928.0,928.0
2011-08-01,,,,435535.34,5007062.0,5007062.0,76.657,881.0,881.0
2011-09-01,,,,437137.32,4981467.0,4981467.0,146.681,1672.0,1672.0
2011-10-01,,,,375160.92,4170828.0,4170828.0,1582.082,17589.0,17589.0
2011-11-01,,,,452191.37,5019022.0,5019022.0,86.628,962.0,962.0
2011-12-01,,,,469009.35,5314718.0,5314718.0,88.65,1005.0,1005.0
2012-01-01,,,,378217.67,4180630.0,4180630.0,2590.332,28632.0,28632.0
2012-02-01,,,,399505.65,4392628.0,4392628.0,794.349,8734.0,8734.0
2012-03-01,,,,307392.88,3385012.0,3385012.0,762.117,8392.0,8392.0
2012-04-01,,,,187490.09,2077794.0,2077794.0,841.914,9330.0,9330.0
2012-05-01,,,,463925.62,5216575.0,5216575.0,187.38,2107.0,2107.0
2012-06-01,,,,437533.6,4924746.0,4924746.0,194.402,2188.0,2188.0
2012-07-01,,,,445166.49,5009395.0,5009395.0,456.508,5137.0,5137.0
2012-08-01,,,,372028.82,4221370.0,4221370.0,1131.178,12835.0,12835.0
2012-09-01,,,,381703.85,4371707.0,4371707.0,941.155,10779.0,10779.0
2012-10-01,,,,317342.16,3547488.0,3547488.0,1501.841,16789.0,16789.0
2012-11-01,,,,456603.96,5138940.0,5138940.0,64.037,721.0,721.0
2012-12-01,,,,460104.46,5189656.0,5189656.0,342.539,3864.0,3864.0
2013-01-01,,,,447425.59,5105405.0,5105405.0,689.407,7867.0,7867.0
2013-02-01,,,,376946.71,4233778.0,4233778.0,705.292,7922.0,7922.0
2013-03-01,,,,467389.86,5177316.0,5177316.0,82.137,910.0,910.0
2013-04-01,,,,29280.435,329601.0,329601.0,49.565,558.0,558.0
2013-05-01,,,,71873.659,885653.0,885653.0,4854.341,59817.0,59817.0
2013-06-01,,,,260157.6,3172265.0,3172265.0,3035.402,37013.0,37013.0
2013-07-01,,,,387425.8,4391225.0,4391225.0,1133.199,12844.0,12844.0
2013-08-01,,,,416927.43,4827858.0,4827858.0,848.572,9826.0,9826.0
2013-09-01,,,,411246.29,4773505.0,4773505.0,111.709,1297.0,1297.0
2013-10-01,,,,174900.74,1997409.0,1997409.0,1522.263,17385.0,17385.0
2013-11-01,,,,0.0,0.0,0.0,0.0,0.0,0.0
2013-12-01,,,,0.0,0.0,0.0,0.0,0.0,0.0
2014-01-01,,,,0.0,0.0,0.0,0.0,0.0,0.0
2014-02-01,,,,0.0,0.0,0.0,0.0,0.0,0.0
2014-03-01,,,,0.0,0.0,0.0,0.0,0.0,0.0
2014-04-01,,,,0.0,0.0,0.0,0.0,0.0,0.0
2014-05-01,0.0,0.0,0.0,0.0,0.0,0.0,3.0,18129.0,18129.0
2014-06-01,0.0,0.0,0.0,280990.27,3286564.0,3286564.0,5016.733,58678.0,58678.0
2014-07-01,0.0,0.0,0.0,405079.49,4576541.0,4576541.0,900.513,10174.0,10174.0
2014-08-01,0.0,0.0,0.0,438856.14,4969812.0,4969812.0,1500.857,16996.0,16996.0
2014-09-01,0.0,0.0,0.0,450248.65,5081889.0,5081889.0,166.35,1878.0,1878.0
2014-10-01,0.0,0.0,0.0,415373.28,4620064.0,4620064.0,886.717,9863.0,9863.0
2014-11-01,0.0,0.0,0.0,445881.71,4904629.0,4904629.0,186.286,2049.0,2049.0
2014-12-01,0.0,0.0,0.0,454410.78,5094514.0,5094514.0,36.224,406.0,406.0
2015-01-01,0.0,0.0,0.0,450559.63,5143156.0,5143156.0,2070.368,23633.0,23633.0
2015-02-01,0.0,0.0,0.0,346111.84,3928948.0,3928948.0,4625.156,52503.0,52503.0
2015-03-01,0.0,0.0,0.0,320206.71,3748739.0,3748739.0,1886.295,22083.0,22083.0
2015-04-01,0.0,0.0,0.0,12099.214,152303.0,152303.0,1453.786,18300.0,18300.0
2015-05-01,0.0,0.0,0.0,363275.77,4124403.0,4124403.0,1339.234,15205.0,15205.0
2015-06-01,0.0,0.0,0.0,417858.9,4839339.0,4839339.0,804.098,9312.0,9312.0
2015-07-01,0.0,0.0,0.0,443527.17,5108800.0,5108800.0,149.833,1726.0,1726.0
2015-08-01,0.0,0.0,0.0,395302.62,4586726.0,4586726.0,907.376,10528.0,10528.0
2015-09-01,0.0,0.0,0.0,422453.94,4914342.0,4914342.0,317.058,3688.0,3688.0
2015-10-01,0.0,0.0,0.0,302122.89,3458346.0,3458346.0,2285.115,26157.0,26157.0
2015-11-01,0.0,0.0,0.0,409692.79,4680978.0,4680978.0,1300.21,14856.0,14856.0
2015-12-01,0.0,0.0,0.0,372096.6,4251984.0,4251984.0,598.402,6838.0,6838.0
2016-01-01,0.0,0.0,0.0,423585.65,4758181.0,4758181.0,1604.349,18022.0,18022.0
2016-02-01,0.0,0.0,0.0,381715.28,4279242.0,4279242.0,398.718,4470.0,4470.0
2016-03-01,0.0,0.0,0.0,356767.12,4152829.0,4152829.0,1714.885,19962.0,19962.0
2016-04-01,0.0,0.0,0.0,44272.865,510340.0,510340.0,114.135,1316.0,1316.0
2016-05-01,0.0,0.0,0.0,234188.77,2754081.0,2754081.0,3832.228,45067.0,45067.0
2016-06-01,0.0,0.0,0.0,375662.91,4305377.0,4305377.0,1189.094,13628.0,13628.0
2016-07-01,0.0,0.0,0.0,431716.82,4994907.0,4994907.0,742.181,8587.0,8587.0
2016-08-01,0.0,0.0,0.0,356240.04,4258938.0,4258938.0,1078.961,12899.0,12899.0
2016-09-01,0.0,0.0,0.0,248651.71,3036519.0,3036519.0,438.292,5352.0,5352.0
2016-10-01,0.0,0.0,0.0,194992.69,2356787.0,2356787.0,110.314,1333.0,1333.0
2016-11-01,0.0,0.0,0.0,101526.72,1183961.0,1183961.0,3588.277,41845.0,41845.0
2016-12-01,0.0,0.0,0.0,218344.02,2536746.0,2536746.0,2440.977,28360.0,28360.0
2017-01-01,0.0,0.0,0.0,295834.63,3380981.0,3380981.0,253.366,2896.0,2896.0
2017-02-01,0.0,0.0,0.0,237881.74,2801291.0,2801291.0,385.265,4537.0,4537.0
2017-03-01,0.0,0.0,0.0,54546.831,643797.0,643797.0,126.169,1489.0,1489.0
2017-04-01,0.0,0.0,0.0,145795.21,1683073.0,1683073.0,1960.787,22636.0,22636.0
2017-05-01,0.0,0.0,0.0,380100.52,4289622.0,4289622.0,1604.476,18107.0,18107.0
2017-06-01,0.0,0.0,0.0,371638.42,4211502.0,4211502.0,1496.579,16960.0,16960.0
2017-07-01,0.0,0.0,0.0,330228.24,3921045.0,3921045.0,1232.764,14638.0,14638.0
2017-08-01,0.0,0.0,0.0,149613.74,1929938.0,1929938.0,10132.264,130701.0,130701.0
2017-09-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-10-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-11-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-12-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3387.0,3387.0
2018-01-01,0.0,0.0,0.0,178461.59,2149518.0,2149518.0,14223.408,171317.0,171317.0
2018-02-01,0.0,0.0,0.0,133439.96,1701365.0,1701365.0,27173.039,346457.0,346457.0
2018-03-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-04-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-05-01,0.0,0.0,0.0,36401.113,505500.0,505500.0,3996.887,55505.0,55505.0
2018-06-01,0.0,0.0,0.0,221209.69,2575123.0,2575123.0,602.313,7012.0,7012.0
2018-07-01,0.0,0.0,0.0,249286.06,2966126.0,2966126.0,2972.943,35374.0,35374.0
2018-08-01,0.0,0.0,0.0,252719.86,3101516.0,3101516.0,3013.136,36979.0,36979.0
2018-09-01,0.0,0.0,0.0,221292.55,2847921.0,2847921.0,4495.446,57854.0,57854.0
2018-10-01,0.0,0.0,0.0,128034.57,1712701.0,1712701.0,5746.433,76869.0,76869.0
2018-11-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,101.0,101.0
2018-12-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2262.0,2262.0
2019-02-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-03-01,0.0,0.0,0.0,24957.24,317481.0,317481.0,1020.76,12985.0,12985.0
2019-04-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-05-01,0.0,0.0,0.0,75888.101,1041651.0,1041651.0,2821.899,38734.0,38734.0
2019-06-01,0.0,0.0,0.0,206071.01,2634337.0,2634337.0,1048.991,13410.0,13410.0
2019-07-01,0.0,0.0,0.0,247402.5,3149496.0,3149496.0,2110.5,26867.0,26867.0
2019-08-01,0.0,0.0,0.0,276850.35,3492461.0,3492461.0,1665.653,21012.0,21012.0
2019-09-01,0.0,0.0,0.0,305816.48,3783436.0,3783436.0,1426.525,17648.0,17648.0
2019-10-01,0.0,0.0,0.0,18312.14,269311.0,269311.0,437.86,6439.0,6439.0
2019-11-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13145.0,13145.0
2019-12-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2192.0,2192.0
2020-02-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2058.0,2058.0
2020-04-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-01,0.0,0.0,0.0,770.863,23829.0,23829.0,557.137,17223.0,17223.0
2020-06-01,0.0,0.0,0.0,187517.74,2434136.0,2434136.0,6463.259,83898.0,83898.0
2020-08-01,0.0,0.0,0.0,125679.07,1552819.0,1552819.0,2330.931,28800.0,28800.0
2020-09-01,0.0,0.0,0.0,228788.94,2951796.0,2951796.0,10552.056,136141.0,136141.0
