measured_on,"Distillate Fuel Oil - Internal Combustion Engine (diesel, piston, reciprocating) - Distillate Fuel Oil - Generation","Distillate Fuel Oil - Internal Combustion Engine (diesel, piston, reciprocating) - Distillate Fuel Oil - Quantity Consumed For Electricity","Distillate Fuel Oil - Internal Combustion Engine (diesel, piston, reciprocating) - Distillate Fuel Oil - Total Fuel Consumed","Natural Gas - Internal Combustion Engine (diesel, piston, reciprocating) - Natural Gas - Generation","Natural Gas - Internal Combustion Engine (diesel, piston, reciprocating) - Natural Gas - Quantity Consumed For Electricity","Natural Gas - Internal Combustion Engine (diesel, piston, reciprocating) - Natural Gas - Total Fuel Consumed"
2003-01-01,0.0,0.0,0.0,27.885,363.0,363.0
2003-02-01,0.0,0.0,0.0,23.042,300.0,300.0
2003-03-01,0.0,0.0,0.0,24.47,319.0,319.0
2003-04-01,0.0,0.0,0.0,23.308,303.0,303.0
2003-05-01,0.0,0.0,0.0,24.006,313.0,313.0
2003-06-01,0.0,0.0,0.0,25.325,330.0,330.0
2003-07-01,0.0,0.0,0.0,30.488000000000003,397.0,397.0
2003-08-01,0.0,0.0,0.0,29.47,384.0,384.0
2003-09-01,0.0,0.0,0.0,23.728,309.0,309.0
2003-10-01,0.0,0.0,0.0,22.676000000000002,295.0,295.0
2003-11-01,0.0,0.0,0.0,18.996000000000002,247.0,247.0
2003-12-01,0.0,0.0,0.0,27.606,359.0,359.0
2004-01-01,2.6670000000000003,29.0,29.0,27.25,303.0,303.0
2004-02-01,2.6670000000000003,29.0,29.0,27.25,303.0,303.0
2004-03-01,2.6670000000000003,29.0,29.0,27.25,303.0,303.0
2004-04-01,2.6670000000000003,29.0,29.0,27.25,303.0,303.0
2004-05-01,2.6670000000000003,29.0,29.0,27.25,303.0,303.0
2004-06-01,2.6670000000000003,29.0,29.0,27.25,303.0,303.0
2004-07-01,2.6670000000000003,29.0,29.0,27.25,303.0,303.0
2004-08-01,2.6670000000000003,29.0,29.0,27.25,303.0,303.0
2004-09-01,2.6670000000000003,29.0,29.0,27.25,303.0,303.0
2004-10-01,2.6670000000000003,29.0,29.0,27.25,303.0,303.0
2004-11-01,2.6670000000000003,29.0,29.0,27.25,303.0,303.0
2004-12-01,2.6670000000000003,29.0,29.0,27.25,303.0,303.0
2005-01-01,5.763,67.42,67.42,25.164,353.4,353.4
2005-02-01,2.925,34.21,34.21,20.89,293.38,293.38
2005-03-01,3.54,41.41,41.41,25.871000000000002,363.32,363.32
2005-04-01,3.689,43.15,43.15,25.491,357.98,357.98
2005-05-01,4.347,50.85,50.85,30.049000000000003,422.01,422.01
2005-06-01,3.935,46.04,46.04,37.923,532.58,532.58
2005-07-01,6.3020000000000005,73.72,73.72,47.529,667.49,667.49
2005-08-01,6.974,81.58,81.58,49.235,691.44,691.44
2005-09-01,6.925,81.01,81.01,37.465,526.15,526.15
2005-10-01,4.132000000000001,48.34,48.34,29.93,420.33,420.33
2005-11-01,3.294,38.53,38.53,25.535,358.61,358.61
2005-12-01,7.175,83.93,83.93,24.919,349.96,349.96
2006-01-01,5.368,63.0,63.0,29.899,420.0,420.0
2006-02-01,5.312,62.0,62.0,35.473,499.0,499.0
2006-03-01,4.657,55.0,55.0,40.46,569.0,569.0
2006-04-01,6.144,72.0,72.0,45.255,636.0,636.0
2006-05-01,5.5520000000000005,65.0,65.0,52.417,737.0,737.0
2006-06-01,6.64,78.0,78.0,66.793,939.0,939.0
2006-07-01,6.442,76.0,76.0,83.973,1181.0,1181.0
2006-08-01,6.933000000000001,82.0,82.0,85.03200000000001,1196.0,1196.0
2006-09-01,4.925,58.0,58.0,57.856,814.0,814.0
2006-10-01,6.339,75.0,75.0,52.384,737.0,737.0
2006-11-01,5.533,65.0,65.0,38.903,547.0,547.0
2006-12-01,6.155,72.0,72.0,40.555,570.0,570.0
2007-01-01,0.081,0.0,0.0,0.016,0.0,0.0
2007-02-01,0.057,0.0,0.0,0.046,1.0,1.0
2007-03-01,0.076,0.0,0.0,0.028,0.0,0.0
2007-04-01,0.085,0.0,0.0,0.013000000000000001,0.0,0.0
2007-05-01,0.14,0.0,0.0,0.12,2.0,2.0
2007-06-01,0.055,0.0,0.0,0.20700000000000002,4.0,4.0
2007-07-01,0.048,0.0,0.0,0.385,7.0,7.0
2007-08-01,0.094,0.0,0.0,0.6960000000000001,12.0,12.0
2007-09-01,0.036000000000000004,0.0,0.0,0.184,3.0,3.0
2007-10-01,0.076,0.0,0.0,0.111,2.0,2.0
2007-11-01,0.11800000000000001,0.0,0.0,0.015,0.0,0.0
2007-12-01,0.134,0.0,0.0,0.11800000000000001,2.0,2.0
2008-01-01,0.08600000000000001,17.0,17.0,0.023,3.0,3.0
2008-02-01,0.035,6.0,6.0,0.009000000000000001,1.0,1.0
2008-03-01,0.039,6.0,6.0,0.013000000000000001,2.0,2.0
2008-04-01,0.051000000000000004,6.0,6.0,0.024,4.0,4.0
2008-05-01,0.08700000000000001,12.0,12.0,0.024,4.0,4.0
2008-06-01,0.077,12.0,12.0,0.038,6.0,6.0
2008-07-01,0.055,12.0,12.0,0.07400000000000001,12.0,12.0
2008-08-01,0.034,6.0,6.0,0.062,10.0,10.0
2008-09-01,0.041,6.0,6.0,0.025,4.0,4.0
2008-10-01,0.045000000000000005,6.0,6.0,0.025,4.0,4.0
2008-11-01,0.033,6.0,6.0,0.031,5.0,5.0
2008-12-01,0.034,6.0,6.0,0.035,5.0,5.0
