measured_on,Distillate Fuel Oil-Combustion (Gas) Turbine (including jet engine design) Generation,Distillate Fuel Oil-Combustion (Gas) Turbine (including jet engine design) Quantity Consumed For Electricity,Distillate Fuel Oil-Combustion (Gas) Turbine (including jet engine design) Total Fuel Consumed
2003-01-01,14.0,383.0,383.0
2003-02-01,65.0,928.0,928.0
2003-05-01,10.0,159.0,159.0
2003-09-01,5.0,129.0,129.0
2003-12-01,4.0,116.0,116.0
2004-01-01,0.0,0.0,0.0
2004-02-01,16.0,417.0,417.0
2004-03-01,12.0,282.0,282.0
2004-04-01,8.0,141.0,141.0
2004-05-01,0.0,0.0,0.0
2004-06-01,0.0,0.0,0.0
2004-07-01,0.0,0.0,0.0
2004-08-01,13.0,188.0,188.0
2004-09-01,3.0,94.0,94.0
2004-10-01,4.0,94.0,94.0
2004-11-01,11.0,188.0,188.0
2004-12-01,21.0,270.0,270.0
2005-01-01,15.0,156.6,156.6
2005-02-01,0.0,0.0,0.0
2005-03-01,5.0,311.64,311.64
2005-04-01,1.0,388.08,388.08
2005-05-01,0.0,0.0,0.0
2005-06-01,7.0,88.2,88.2
2005-07-01,0.0,0.0,0.0
2005-08-01,0.0,0.0,0.0
2005-09-01,0.0,0.0,0.0
2005-10-01,0.0,0.0,0.0
2005-11-01,0.0,0.0,0.0
2005-12-01,0.0,0.0,0.0
2006-01-01,0.0,0.0,0.0
2006-02-01,132.0,2013.0,2013.0
2006-03-01,170.0,2424.0,2424.0
2006-04-01,0.0,0.0,0.0
2006-05-01,0.0,0.0,0.0
2006-06-01,126.0,1902.0,1902.0
2006-07-01,0.0,0.0,0.0
2006-08-01,5.0,650.0,650.0
2006-09-01,0.0,0.0,0.0
2006-10-01,0.0,0.0,0.0
2006-11-01,0.0,0.0,0.0
2006-12-01,0.0,0.0,0.0
2007-01-01,112.0,1693.0,1693.0
2007-02-01,0.0,0.0,0.0
2007-03-01,12.0,1911.0,1911.0
2007-04-01,0.0,0.0,0.0
2007-05-01,0.0,0.0,0.0
2007-06-01,0.0,0.0,0.0
