measured_on,Natural Gas-Combined Cycle Single Shaft Generation,Natural Gas-Combined Cycle Single Shaft Quantity Consumed For Electricity,Natural Gas-Combined Cycle Single Shaft Total Fuel Consumed,Natural Gas-Combustion (Gas) Turbine (including jet engine design) Generation,Natural Gas-Combustion (Gas) Turbine (including jet engine design) Quantity Consumed For Electricity,Natural Gas-Combustion (Gas) Turbine (including jet engine design) Total Fuel Consumed
2003-01-01,,,,78847.0,633758.0,646840.0
2003-02-01,,,,62197.0,501700.0,516922.0
2003-03-01,,,,79328.0,639407.0,658373.0
2003-04-01,,,,77963.0,623606.0,643455.0
2003-05-01,,,,73321.64,611470.0,631426.0
2003-06-01,,,,77094.64,639704.0,655776.0
2003-07-01,,,,78659.7,653648.0,673330.0
2003-08-01,,,,80370.0,655735.0,673521.0
2003-09-01,,,,77963.0,637461.0,654058.0
2003-10-01,,,,78174.6,652248.0,671431.0
2003-11-01,,,,75308.1,619046.0,635779.0
2003-12-01,,,,78262.8,644386.0,661085.0
2004-01-01,64678.63,517065.34,547457.12,,,
2004-02-01,64678.63,517065.34,547457.12,,,
2004-03-01,64678.63,517065.34,547457.12,,,
2004-04-01,64678.63,517065.34,547457.12,,,
2004-05-01,64678.63,517065.34,547457.12,,,
2004-06-01,64678.63,517065.34,547457.12,,,
2004-07-01,64678.63,517065.34,547457.12,,,
2004-08-01,64678.63,517065.34,547457.12,,,
2004-09-01,64678.63,517065.34,547457.12,,,
2004-10-01,64678.63,517065.34,547457.12,,,
2004-11-01,64678.63,517065.34,547457.12,,,
2004-12-01,64678.63,517065.34,547457.12,,,
2005-01-01,59817.57,478204.19,502790.09,,,
2005-02-01,53991.596,431629.16,453820.5,,,
2005-03-01,58267.871,465815.31,489764.27,,,
2005-04-01,58547.715,468052.49,492116.47,,,
2005-05-01,64303.302,514064.82,540494.43,,,
2005-06-01,82593.847,660286.33,694233.62,,,
2005-07-01,105762.96,845508.95,888979.1,,,
2005-08-01,109604.09,876216.4,921265.29,,,
2005-09-01,82664.881,660854.2,694830.7,,,
2005-10-01,64163.921,512950.56,539322.87,,,
2005-11-01,57249.535,457674.35,481204.76,,,
2005-12-01,65320.032,522192.94,549040.45,,,
2006-01-01,73337.118,586284.55,601613.62,,,
2006-02-01,64659.478,516912.23,530427.48,,,
2006-03-01,71619.12,572550.23,587520.2,,,
2006-04-01,68238.831,545526.92,559790.35,,,
2006-05-01,79537.985,635856.62,652481.81,,,
2006-06-01,84306.429,673977.35,691599.25,,,
2006-07-01,94925.32,758868.77,778710.26,,,
2006-08-01,98063.633,783957.63,804455.09,,,
2006-09-01,79846.994,638326.95,655016.73,,,
2006-10-01,83702.589,669150.03,686645.71,,,
2006-11-01,70704.94,565241.93,580020.82,,,
2006-12-01,79287.854,633856.98,650429.88,,,
2007-01-01,58332.627,460002.0,473863.0,,,
2007-02-01,58792.155,463626.0,477595.0,,,
2007-03-01,58578.214,461939.0,475858.0,,,
2007-04-01,77671.23300000001,612504.0,630959.0,,,
2007-05-01,83284.162,656766.0,676555.0,,,
2007-06-01,85332.74,672921.0,693197.0,,,
2007-07-01,94480.031,745055.0,767505.0,,,
2007-08-01,101482.906,800279.0,824392.0,,,
2007-09-01,94209.227,742920.0,765305.0,,,
2007-10-01,92899.314,732590.0,754663.0,,,
2007-11-01,74631.956,588536.0,606270.0,,,
2007-12-01,72328.435,570371.0,587557.0,,,
2008-01-01,45651.096,359809.0,370418.0,,,
2008-02-01,42459.337,334653.0,344520.0,,,
2008-03-01,50396.691,397213.0,408924.0,,,
2008-04-01,54773.062,431706.0,444435.0,,,
2008-05-01,62315.256,491151.0,505632.0,,,
2008-06-01,67821.121,534547.0,550307.0,,,
2008-07-01,66577.329,524744.0,540215.0,,,
2008-08-01,74763.915,589268.0,606642.0,,,
2008-09-01,67648.32,533185.0,548906.0,,,
2008-10-01,58621.447,462038.0,475660.0,,,
2008-11-01,46828.859,369092.0,379974.0,,,
2008-12-01,42626.567,335971.0,345876.0,,,
2009-01-01,56494.42,445393.0,465220.0,,,
2009-02-01,54289.834,428012.0,447067.0,,,
2009-03-01,62913.069,495997.0,518079.0,,,
2009-04-01,68111.088,536977.0,560883.0,,,
2009-05-01,80273.723,632865.0,661041.0,,,
2009-06-01,89233.245,703501.0,734821.0,,,
2009-07-01,91402.116,720600.0,752681.0,,,
2009-08-01,93689.876,738636.0,771520.0,,,
2009-09-01,94148.183,742249.0,775294.0,,,
2009-10-01,84791.52,668483.0,698243.0,,,
2009-11-01,69672.315,549285.0,573740.0,,,
2009-12-01,59825.611000000004,471656.0,492653.0,,,
2010-01-01,61631.014,486139.0,512055.0,,,
2010-02-01,55708.342000000004,439422.0,462846.0,,,
2010-03-01,61813.119,487576.0,513567.0,,,
2010-04-01,63968.659,504578.0,531476.0,,,
2010-05-01,79325.231,625710.0,659065.0,,,
2010-06-01,88218.575,695859.0,732954.0,,,
2010-07-01,86514.427,682417.0,718795.0,,,
2010-08-01,88739.01699999999,699965.0,737277.0,,,
2010-09-01,87051.618,686655.0,723259.0,,,
2010-10-01,73432.027,579225.0,610102.0,,,
2010-11-01,60411.262,476518.0,501920.0,,,
2010-12-01,66763.709,526626.0,554698.0,,,
2011-01-01,53521.671,422527.0,450014.0,,,
2011-02-01,48291.071,381234.0,406035.0,,,
2011-03-01,57276.384,452169.0,481585.0,,,
2011-04-01,66189.724,522535.0,556529.0,,,
2011-05-01,66634.188,526044.0,560266.0,,,
2011-06-01,73124.417,577281.0,614837.0,,,
2011-07-01,75693.168,597560.0,636435.0,,,
2011-08-01,80653.161,636717.0,678139.0,,,
2011-09-01,73344.833,579021.0,616689.0,,,
2011-10-01,61629.011,486530.0,518182.0,,,
2011-11-01,55551.658,438553.0,467083.0,,,
2011-12-01,56240.714,443993.0,472877.0,,,
2012-01-01,58859.132,464791.0,493828.0,,,
2012-02-01,55085.986,434996.0,462172.0,,,
2012-03-01,65160.951,514555.0,546701.0,,,
2012-04-01,64330.339,507996.0,539732.0,,,
2012-05-01,74963.09,591959.0,628941.0,,,
2012-06-01,72788.972,574791.0,610700.0,,,
2012-07-01,80335.384,634382.0,674014.0,,,
2012-08-01,80128.588,632749.0,672279.0,,,
2012-09-01,74599.932,589091.0,625894.0,,,
2012-10-01,67103.217,529892.0,562996.0,,,
2012-11-01,53570.815,423031.0,449459.0,,,
2012-12-01,60171.594,475156.0,504840.0,,,
2013-01-01,60936.203,481126.0,512558.0,,,
2013-02-01,61232.21,483463.0,515048.0,,,
2013-03-01,62695.134,495014.0,527353.0,,,
2013-04-01,63138.128,498512.0,531079.0,,,
2013-05-01,69215.869,546499.0,582202.0,,,
2013-06-01,77180.367,609383.0,649195.0,,,
2013-07-01,76657.36,605254.0,644795.0,,,
2013-08-01,84172.499,664590.0,708008.0,,,
2013-09-01,75855.685,598924.0,638052.0,,,
2013-10-01,73955.407,583920.0,622067.0,,,
2013-11-01,61116.324,482548.0,514073.0,,,
2013-12-01,57487.814,453899.0,483552.0,,,
2014-01-01,83663.0,658469.0,691460.0,,,
2014-02-01,76028.0,598573.0,628089.0,,,
2014-03-01,83108.0,654491.0,688085.0,,,
2014-04-01,34703.0,273262.0,285515.0,,,
2014-05-01,44235.0,352405.0,366586.0,,,
2014-06-01,85275.0,671513.0,688852.0,,,
2014-07-01,88350.0,695769.0,712074.0,,,
2014-08-01,84420.0,665177.0,681715.0,,,
2014-09-01,85358.0,672156.0,688527.0,,,
2014-10-01,84480.0,665022.0,692292.0,,,
2014-11-01,71738.0,564678.0,585866.0,,,
2014-12-01,85538.0,672738.0,692172.0,,,
2015-01-01,81713.0,643069.0,668065.0,,,
