measured_on,Distillate Fuel Oil-Combined Cycle Steam Part Generation,Distillate Fuel Oil-Combined Cycle Steam Part Quantity Consumed For Electricity,Distillate Fuel Oil-Combined Cycle Steam Part Total Fuel Consumed,Natural Gas-Combined Cycle Combustion Turbine Part Generation,Natural Gas-Combined Cycle Combustion Turbine Part Quantity Consumed For Electricity,Natural Gas-Combined Cycle Combustion Turbine Part Total Fuel Consumed,Natural Gas-Combined Cycle Steam Part Generation,Natural Gas-Combined Cycle Steam Part Quantity Consumed For Electricity,Natural Gas-Combined Cycle Steam Part Total Fuel Consumed
2003-01-01,0.0,0.0,0.0,2511.0,30881.0,30881.0,233.0,5604.0,5604.0
2003-02-01,2273.0,27027.0,27027.0,259.0,3051.0,3051.0,77.0,921.0,921.0
2003-03-01,1693.0,16104.0,16104.0,,,,0.0,0.0,0.0
2003-04-01,0.0,0.0,0.0,4983.0,63932.0,63932.0,0.0,0.0,0.0
2003-05-01,0.0,0.0,0.0,18411.0,205476.0,205476.0,1889.0,35449.0,35449.0
2003-06-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003-07-01,0.0,0.0,0.0,29364.0,332418.0,332418.0,424.0,8598.0,8598.0
2003-08-01,0.0,0.0,0.0,34378.0,372584.0,372584.0,1603.0,30553.0,30553.0
2003-09-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003-10-01,0.0,0.0,0.0,15825.0,169378.0,169378.0,1176.0,45276.0,45276.0
2003-11-01,0.0,0.0,0.0,25225.0,264348.0,264348.0,2194.0,82344.0,82344.0
2003-12-01,0.0,0.0,0.0,29824.0,338590.0,338590.0,158.0,7013.0,7013.0
2004-01-01,0.0,0.0,0.0,21201.462,241603.0,241603.0,0.0,0.0,0.0
2004-02-01,0.0,0.0,0.0,20480.113,233383.0,233383.0,0.0,0.0,0.0
2004-03-01,0.0,0.0,0.0,21863.064,249142.0,249142.0,0.0,0.0,0.0
2004-04-01,0.0,0.0,0.0,22933.389,261339.0,261339.0,0.0,0.0,0.0
2004-05-01,0.0,0.0,0.0,24725.589,281762.0,281762.0,0.0,0.0,0.0
2004-06-01,0.0,0.0,0.0,26447.873,301389.0,301389.0,0.0,0.0,0.0
2004-07-01,0.0,0.0,0.0,29353.211000000003,334497.0,334497.0,0.0,0.0,0.0
2004-08-01,0.0,0.0,0.0,29591.354,337210.0,337210.0,0.0,0.0,0.0
2004-09-01,0.0,0.0,0.0,26972.596,307368.0,307368.0,0.0,0.0,0.0
2004-10-01,0.0,0.0,0.0,25176.400999999998,286899.0,286899.0,0.0,0.0,0.0
2004-11-01,0.0,0.0,0.0,21912.319,249703.0,249703.0,0.0,0.0,0.0
2004-12-01,0.0,0.0,0.0,22175.629,252704.0,252704.0,0.0,0.0,0.0
