measured_on,Waste heat not directly attributed to a fuel source Generation,Waste heat not directly attributed to a fuel source Quantity Consumed For Electricity,Waste heat not directly attributed to a fuel source Total Fuel Consumed
2010-01-01,2513.962,24526.0,24526.0
2010-02-01,2694.576,26288.0,26288.0
2010-03-01,3221.657,31430.0,31430.0
2010-04-01,2741.063,26742.0,26742.0
2010-05-01,3326.898,32457.0,32457.0
2010-06-01,3226.962,31482.0,31482.0
2010-07-01,3243.3810000000003,31642.0,31642.0
2010-08-01,3663.62,35742.0,35742.0
2010-09-01,2799.509,27312.0,27312.0
2010-10-01,3571.231,34841.0,34841.0
2010-11-01,3330.35,32491.0,32491.0
2010-12-01,2913.791,28427.0,28427.0
2011-01-01,3143.887,30546.0,30546.0
2011-02-01,2900.186,28178.0,28178.0
2011-03-01,3344.581,32496.0,32496.0
2011-04-01,3243.381,31513.0,31513.0
2011-05-01,3871.324,37614.0,37614.0
2011-06-01,4492.323,43647.0,43647.0
2011-07-01,3857.697,37481.0,37481.0
2011-08-01,3830.818,37220.0,37220.0
2011-09-01,3533.296,34330.0,34330.0
2011-10-01,3832.176,37233.0,37233.0
2011-11-01,3470.077,33715.0,33715.0
2011-12-01,3613.254,35106.0,35106.0
2012-01-01,4637.817,44133.0,44133.0
2012-02-01,4925.636,46872.0,46872.0
2012-03-01,4778.115,45469.0,45469.0
2012-04-01,5506.4,52399.0,52399.0
2012-05-01,5537.963,52699.0,52699.0
2012-06-01,5102.116,48552.0,48552.0
2012-07-01,5404.194,51426.0,51426.0
2012-08-01,5246.539,49926.0,49926.0
2012-09-01,5540.593,52724.0,52724.0
2012-10-01,5348.698,50898.0,50898.0
2012-11-01,5439.809,51765.0,51765.0
2012-12-01,5259.12,50046.0,50046.0
2013-01-01,3197.956,30512.0,30512.0
2013-02-01,2847.099,27164.0,27164.0
2013-03-01,2109.007,20122.0,20122.0
2013-04-01,2588.275,24695.0,24695.0
2013-05-01,2567.696,24498.0,24498.0
2013-06-01,2484.073,23701.0,23701.0
2013-07-01,3762.165,35895.0,35895.0
2013-08-01,3783.598,36099.0,36099.0
2013-09-01,3448.835,32905.0,32905.0
2013-10-01,3990.628,38075.0,38075.0
2013-11-01,3936.699,37560.0,37560.0
2013-12-01,3336.969,31838.0,31838.0
2014-01-01,3353.429,31891.0,31891.0
2014-02-01,1778.472,16913.0,16913.0
2014-03-01,2323.151,22093.0,22093.0
2014-04-01,2618.085,24898.0,24898.0
2014-05-01,2657.869,25276.0,25276.0
2014-06-01,2561.763,24362.0,24362.0
2014-07-01,3300.784,31390.0,31390.0
2014-08-01,3027.152,28788.0,28788.0
2014-09-01,2439.057,23195.0,23195.0
2014-10-01,2448.347,23284.0,23284.0
2014-11-01,2492.958,23708.0,23708.0
2014-12-01,2438.933,23194.0,23194.0
2015-01-01,2623.484,24448.0,24448.0
2015-02-01,2804.409,26134.0,26134.0
2015-03-01,2290.996,21350.0,21350.0
2015-04-01,3402.509,31708.0,31708.0
2015-05-01,3237.721,30172.0,30172.0
2015-06-01,3324.449,30981.0,30981.0
2015-07-01,3443.528,32090.0,32090.0
2015-08-01,3729.043,34751.0,34751.0
2015-09-01,3200.968,29830.0,29830.0
2015-10-01,3383.663,31532.0,31532.0
2015-11-01,3299.283,30746.0,30746.0
2015-12-01,3507.947,32691.0,32691.0
2016-01-01,3370.016,31112.0,31112.0
2016-02-01,3142.739,29014.0,29014.0
2016-03-01,3268.917,30179.0,30179.0
2016-04-01,2802.774,25875.0,25875.0
2016-05-01,3446.416,31817.0,31817.0
2016-06-01,3576.602,33019.0,33019.0
2016-07-01,3284.038,30318.0,30318.0
2016-08-01,3333.232,30772.0,30772.0
2016-09-01,3166.975,29238.0,29238.0
2016-10-01,3522.907,32523.0,32523.0
2016-11-01,3211.716,29651.0,29651.0
2016-12-01,3257.668,30075.0,30075.0
2017-01-01,3829.073,35277.0,35277.0
2017-02-01,3027.244,27890.0,27890.0
2017-03-01,3640.761,33542.0,33542.0
2017-04-01,3975.533,36627.0,36627.0
2017-05-01,3825.652,35246.0,35246.0
2017-06-01,4013.378,36975.0,36975.0
2017-07-01,4056.93,37376.0,37376.0
2017-08-01,4212.184,38807.0,38807.0
2017-09-01,3697.033,34061.0,34061.0
2017-10-01,3640.17,33537.0,33537.0
2017-11-01,3691.519,34010.0,34010.0
2017-12-01,3925.523,36166.0,36166.0
2018-01-01,3223.532,29347.0,29347.0
2018-02-01,3220.089,29316.0,29316.0
2018-03-01,4066.159,37018.0,37018.0
2018-04-01,3130.389,28499.0,28499.0
2018-05-01,4168.123,37947.0,37947.0
2018-06-01,3901.85,35522.0,35522.0
2018-07-01,4113.59,37450.0,37450.0
2018-08-01,4106.737,37388.0,37388.0
2018-09-01,3589.39,32678.0,32678.0
2018-10-01,3489.009,31764.0,31764.0
2018-11-01,3972.452,36165.0,36165.0
2018-12-01,3931.68,35794.0,35794.0
2019-01-01,4249.513,37842.0,37842.0
2019-02-01,2922.396,26024.0,26024.0
2019-03-01,2875.33,25605.0,25605.0
2019-04-01,2861.459,25481.0,25481.0
2019-05-01,3889.594,34637.0,34637.0
2019-06-01,3772.052,33590.0,33590.0
2019-07-01,3422.11,30474.0,30474.0
2019-08-01,3982.176,35461.0,35461.0
2019-09-01,3085.547,27477.0,27477.0
2019-10-01,4042.12,35995.0,35995.0
2019-11-01,3864.161,34410.0,34410.0
2019-12-01,3287.542,29276.0,29276.0
2020-01-01,1672.977,14667.0,14667.0
2020-02-01,1962.458,17205.0,17205.0
2020-03-01,2784.426,24411.0,24411.0
2020-04-01,2647.783,23213.0,23213.0
2020-05-01,2653.327,23262.0,23262.0
2020-06-01,2547.227,22332.0,22332.0
2020-07-01,2651.141,23243.0,23243.0
2020-08-01,2664.206,23357.0,23357.0
2020-09-01,2370.023,20778.0,20778.0
2020-10-01,2606.203,22849.0,22849.0
2020-11-01,2587.401,22684.0,22684.0
2020-12-01,2553.828,22389.0,22389.0
2021-01-01,3777.919,33412.0,33412.0
2021-02-01,3125.148,27639.0,27639.0
2021-03-01,3507.979,31025.0,31025.0
2021-04-01,3912.497,34602.0,34602.0
2021-05-01,3777.034,33404.0,33404.0
2021-06-01,3751.445,33178.0,33178.0
2021-07-01,3166.162,28002.0,28002.0
2021-08-01,3931.101,34767.0,34767.0
2021-09-01,4027.515,35619.0,35619.0
2021-10-01,3480.037,30777.0,30777.0
2021-11-01,4240.751,37505.0,37505.0
2021-12-01,4047.412,35795.0,35795.0
2022-01-01,1154.538,3939.0,3939.0
2022-02-01,1055.712,3602.0,3602.0
2022-03-01,1075.473,3670.0,3670.0
2022-04-01,833.961,2845.0,2845.0
2022-05-01,1272.608,4342.0,4342.0
2022-06-01,1254.5,4280.0,4280.0
2022-07-01,1172.418,4000.0,4000.0
2022-08-01,1251.357,4270.0,4270.0
2022-09-01,1152.402,3932.0,3932.0
2022-10-01,1209.865,4128.0,4128.0
2022-11-01,1125.747,3841.0,3841.0
2022-12-01,1107.419,3779.0,3779.0
2023-01-01,2827.728,9648.0,9648.0
2023-02-01,2659.281,9073.0,9073.0
2023-03-01,3104.427,10592.0,10592.0
2023-04-01,2403.677,8201.0,8201.0
2023-05-01,2803.947,9567.0,9567.0
2023-06-01,3475.544,11859.0,11859.0
2023-07-01,3225.616,11006.0,11006.0
2023-08-01,3583.156,12226.0,12226.0
2023-09-01,3314.841,11310.0,11310.0
2023-10-01,3408.119,11629.0,11629.0
2023-11-01,3543.532,12091.0,12091.0
2023-12-01,3619.132,12348.0,12348.0
2024-01-01,3177.067,10840.0,10840.0
2024-02-01,3290.954,11229.0,11229.0
2024-03-01,2004.123,6838.0,6838.0
2024-04-01,1410.537,4813.0,4813.0
2024-05-01,3854.133,13150.0,13150.0
2024-06-01,3308.456,11288.0,11288.0
2024-07-01,3555.647,12132.0,12132.0
2024-08-01,3233.535,11033.0,11033.0
2024-09-01,3681.962,12563.0,12563.0
2024-10-01,3189.235,10882.0,10882.0
2024-11-01,3331.4,11367.0,11367.0
2024-12-01,3532.951,12054.0,12054.0
