measured_on,"Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Residual Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Residual Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Residual Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed"
2003-01-01,,,,1210.0,22940.0,22940.0
2003-02-01,,,,1900.0,31583.0,31583.0
2003-03-01,,,,6103.0,88543.0,88543.0
2003-04-01,,,,5812.0,82130.0,82130.0
2003-05-01,,,,5983.0,81300.0,81300.0
2003-06-01,,,,2740.0,41922.0,41922.0
2003-07-01,,,,6725.0,89968.0,89968.0
2003-08-01,,,,7623.0,102185.0,102185.0
2003-09-01,,,,8858.0,114796.0,114796.0
2003-10-01,,,,9374.0,122744.0,122744.0
2003-11-01,,,,6397.0,88089.0,88089.0
2003-12-01,,,,9019.0,122496.0,122496.0
2004-01-01,,,,14650.196,191027.0,191027.0
2004-02-01,,,,13410.873,174867.0,174867.0
2004-03-01,,,,14519.547,189324.0,189324.0
2004-04-01,,,,14873.384,193937.0,193937.0
2004-05-01,,,,16967.585,221244.0,221244.0
2004-06-01,,,,14950.280999999999,194940.0,194940.0
2004-07-01,,,,16218.782,211480.0,211480.0
2004-08-01,,,,16844.041,219633.0,219633.0
2004-09-01,,,,16118.066,210167.0,210167.0
2004-10-01,,,,16433.832000000002,214284.0,214284.0
2004-11-01,,,,15920.961,207597.0,207597.0
2004-12-01,,,,15497.452000000001,202075.0,202075.0
2005-01-01,,,,12476.39,156024.35,156024.35
2005-02-01,,,,10043.65,125601.55,125601.55
2005-03-01,,,,11730.036,146690.77,146690.77
2005-04-01,,,,11524.204,144116.73,144116.73
2005-05-01,,,,13463.614,168370.15,168370.15
2005-06-01,,,,18085.112,226164.6,226164.6
2005-07-01,,,,22259.202,278363.97,278363.97
2005-08-01,,,,24198.191,302612.13,302612.13
2005-09-01,,,,22449.875,280748.45,280748.45
2005-10-01,,,,16110.419,201469.95,201469.95
2005-11-01,,,,10709.903,133933.43,133933.43
2005-12-01,,,,18847.405,235697.51,235697.51
2006-01-01,,,,17557.0,218131.0,218131.0
2006-02-01,,,,7402.0,96711.0,96711.0
2006-03-01,,,,5362.0,77437.0,77437.0
2006-04-01,,,,9582.0,127649.0,127649.0
2006-05-01,,,,9912.0,129601.0,129601.0
2006-06-01,,,,12816.0,160727.0,160727.0
2006-07-01,,,,14012.0,178019.0,178019.0
2006-08-01,,,,19470.0,247751.0,247751.0
2006-09-01,,,,19022.0,243767.0,243767.0
2006-10-01,,,,17754.0,223827.0,223827.0
2006-11-01,,,,8396.0,108027.0,108027.0
2006-12-01,,,,5406.0,71552.0,71552.0
2007-01-01,,,,6747.0,88484.0,88484.0
2007-02-01,,,,7954.0,104553.0,104553.0
2007-03-01,,,,12857.0,168446.0,168446.0
2007-04-01,,,,11331.0,150959.0,150959.0
2007-05-01,,,,16678.0,209723.0,209723.0
2007-06-01,,,,22175.0,272575.0,272575.0
2007-07-01,,,,22605.0,276355.0,276355.0
2007-08-01,,,,16963.0,209254.0,209254.0
2007-09-01,,,,20281.0,252619.0,252619.0
2007-10-01,,,,12241.0,151161.0,151161.0
2007-11-01,,,,10228.0,127605.0,127605.0
2007-12-01,,,,12705.0,160671.0,160671.0
2008-01-01,0.0,0.0,0.0,7030.0,93824.0,93824.0
2008-02-01,0.0,0.0,0.0,9952.0,127996.0,127996.0
2008-03-01,0.0,0.0,0.0,14136.0,173188.0,173188.0
2008-04-01,0.0,0.0,0.0,11191.0,139641.0,139641.0
2008-05-01,0.0,0.0,0.0,8199.0,105208.0,105208.0
2008-06-01,0.0,0.0,0.0,8122.0,104021.0,104021.0
2008-07-01,0.0,0.0,0.0,7555.0,95715.0,95715.0
2008-08-01,0.0,0.0,0.0,13253.0,164394.0,164394.0
2008-09-01,0.0,0.0,0.0,15630.0,191588.0,191588.0
2008-10-01,0.0,0.0,0.0,16319.0,200573.0,200573.0
2008-11-01,0.0,0.0,0.0,16432.0,204214.0,204214.0
2008-12-01,0.0,0.0,0.0,17796.0,217862.0,217862.0
2009-01-01,0.0,0.0,0.0,14121.0,175949.0,175949.0
2009-02-01,0.0,0.0,0.0,7543.0,89384.0,89384.0
2009-03-01,0.0,0.0,0.0,14531.0,180376.0,180376.0
2009-04-01,0.0,0.0,0.0,11442.0,144247.0,144247.0
2009-05-01,0.0,0.0,0.0,14767.0,188780.0,188780.0
2009-06-01,0.0,0.0,0.0,17484.0,222541.0,222541.0
2009-07-01,0.0,0.0,0.0,18501.0,236389.0,236389.0
2009-08-01,0.0,0.0,0.0,17363.0,223435.0,223435.0
2009-09-01,0.0,0.0,0.0,16609.0,213848.0,213848.0
2009-10-01,0.0,0.0,0.0,14764.0,192423.0,192423.0
2009-11-01,0.0,0.0,0.0,5928.0,83092.0,83092.0
2009-12-01,0.0,0.0,0.0,2056.0,34504.0,34504.0
2010-01-01,0.0,0.0,0.0,6447.0,91149.0,91149.0
2010-02-01,0.0,0.0,0.0,12603.0,164931.0,164931.0
2010-03-01,0.0,0.0,0.0,11406.0,151543.0,151543.0
2010-04-01,0.0,0.0,0.0,11314.0,147155.0,147155.0
2010-05-01,0.0,0.0,0.0,7752.0,105581.0,105581.0
2010-06-01,0.0,0.0,0.0,7667.0,105932.0,105932.0
2010-07-01,0.0,0.0,0.0,13814.0,179447.0,179447.0
2010-08-01,0.0,0.0,0.0,8285.0,114623.0,114623.0
2010-09-01,0.0,0.0,0.0,10259.0,134486.0,134486.0
2010-10-01,0.0,0.0,0.0,8302.0,114590.0,114590.0
2010-11-01,0.0,0.0,0.0,5957.0,85044.0,85044.0
2010-12-01,0.0,0.0,0.0,10892.0,146269.0,146269.0
2011-01-01,0.0,0.0,0.0,9669.0,131649.0,131649.0
2011-02-01,0.0,0.0,0.0,4705.0,69119.0,69119.0
2011-03-01,0.0,0.0,0.0,11484.0,155922.0,155922.0
2011-04-01,0.0,0.0,0.0,9939.0,134901.0,134901.0
2011-05-01,0.0,0.0,0.0,6227.0,87008.0,87008.0
2011-06-01,0.0,0.0,0.0,6269.0,87777.0,87777.0
2011-07-01,0.0,0.0,0.0,10800.0,146748.0,146748.0
2011-08-01,0.0,0.0,0.0,13533.0,181544.0,181544.0
2011-09-01,0.0,0.0,0.0,6871.0,97903.0,97903.0
2011-10-01,0.0,0.0,0.0,5313.0,78141.0,78141.0
2011-11-01,0.0,0.0,0.0,3917.0,60427.0,60427.0
2011-12-01,0.0,0.0,0.0,6807.0,94538.0,94538.0
2012-01-01,0.0,0.0,0.0,6938.0,84166.0,84166.0
2012-02-01,0.0,0.0,0.0,4005.0,54495.0,54495.0
2012-03-01,0.0,0.0,0.0,1847.0,28238.0,28238.0
2012-04-01,0.0,0.0,0.0,3153.0,45551.0,45551.0
2012-05-01,0.0,0.0,0.0,4159.0,63226.0,63226.0
2012-06-01,0.0,0.0,0.0,13458.0,176899.0,176899.0
2012-07-01,0.0,0.0,0.0,8930.0,122631.0,122631.0
2012-08-01,0.0,0.0,0.0,4410.0,65839.0,65839.0
2012-09-01,0.0,0.0,0.0,136.0,7335.0,7335.0
2012-10-01,0.0,0.0,0.0,927.0,17576.0,17576.0
2012-11-01,0.0,0.0,0.0,159.0,7288.0,7288.0
2012-12-01,0.0,0.0,0.0,91.0,10931.0,10931.0
2013-01-01,0.0,0.0,0.0,8892.0,120359.0,120359.0
2013-02-01,0.0,0.0,0.0,5557.0,81109.0,81109.0
2013-03-01,0.0,0.0,0.0,4296.0,63869.0,63869.0
2013-04-01,0.0,0.0,0.0,1412.0,28614.0,28614.0
2013-05-01,0.0,0.0,0.0,3433.0,54639.0,54639.0
2013-06-01,0.0,0.0,0.0,1949.0,34079.0,34079.0
2013-07-01,0.0,0.0,0.0,2685.0,42112.0,42112.0
2013-08-01,0.0,0.0,0.0,3772.0,55933.0,55933.0
2013-09-01,0.0,0.0,0.0,9460.0,129276.0,129276.0
2013-10-01,0.0,0.0,0.0,1551.0,27264.0,27264.0
2013-11-01,0.0,0.0,0.0,4349.0,60604.0,60604.0
2013-12-01,0.0,0.0,0.0,4661.0,66007.0,66007.0
2014-01-01,0.0,0.0,0.0,1594.0,24244.0,24244.0
