measured_on,"Distillate Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Distillate Fuel Oil - Generation","Distillate Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Distillate Fuel Oil - Quantity Consumed For Electricity","Distillate Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Distillate Fuel Oil - Total Fuel Consumed","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Generation","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Quantity Consumed For Electricity","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Total Fuel Consumed"
2003-01-01,,,,6944.0,95334.0,95334.0
2003-02-01,,,,0.0,0.0,0.0
2003-03-01,,,,666.0,11519.0,11519.0
2003-05-01,,,,6672.0,104511.0,104511.0
2003-06-01,,,,6570.0,100450.0,100450.0
2003-07-01,,,,6423.0,98441.0,98441.0
2003-08-01,,,,7566.0,112840.0,112840.0
2003-09-01,,,,6257.0,108748.0,108748.0
2003-10-01,,,,5213.0,87371.0,87371.0
2003-11-01,,,,1036.0,15944.0,15944.0
2003-12-01,,,,1185.0,18762.0,18762.0
2004-01-01,,,,4654.83,74447.0,74447.0
2004-02-01,,,,4633.384,74104.0,74104.0
2004-03-01,,,,4495.379,71897.0,71897.0
2004-04-01,,,,4069.659,65088.0,65088.0
2004-05-01,,,,5188.286,82979.0,82979.0
2004-06-01,,,,6932.625,110878.0,110878.0
2004-07-01,,,,7624.842000000001,121949.0,121949.0
2004-08-01,,,,8261.292000000001,132128.0,132128.0
2004-09-01,,,,7135.228,114118.0,114118.0
2004-10-01,,,,7623.787,121932.0,121932.0
2004-11-01,,,,4871.772,77917.0,77917.0
2004-12-01,,,,5073.916,81150.0,81150.0
2005-01-01,,,,2526.5730000000003,37006.89,37006.89
2005-02-01,,,,2097.417,30721.02,30721.02
2005-03-01,,,,2597.4790000000003,38045.47,38045.47
2005-04-01,,,,2559.32,37486.54,37486.54
2005-05-01,,,,3017.025,44190.58,44190.58
2005-06-01,,,,3807.568,55769.73,55769.73
2005-07-01,,,,4772.021000000001,69896.14,69896.14
2005-08-01,,,,4943.2970000000005,72404.83,72404.83
2005-09-01,,,,3761.54,55095.55,55095.55
2005-10-01,,,,3005.011,44014.62,44014.62
2005-11-01,,,,2563.772,37551.76,37551.76
2005-12-01,,,,2501.978,36646.65,36646.65
2006-01-01,,,,1620.3010000000002,25842.0,25842.0
2006-02-01,,,,1922.34,30659.0,30659.0
2006-03-01,,,,2192.6040000000003,34969.0,34969.0
2006-04-01,,,,2452.476,39114.0,39114.0
2006-05-01,,,,2840.58,45304.0,45304.0
2006-06-01,,,,3619.6710000000003,57729.0,57729.0
2006-07-01,,,,4550.716,72578.0,72578.0
2006-08-01,,,,4608.106,73494.0,73494.0
2006-09-01,,,,3135.366,50005.0,50005.0
2006-10-01,,,,2838.797,45275.0,45275.0
2006-11-01,,,,2108.248,33624.0,33624.0
2006-12-01,,,,2197.795,35052.0,35052.0
2007-01-01,,,,0.0,0.0,0.0
2007-02-01,,,,0.0,0.0,0.0
2007-03-01,,,,0.0,0.0,0.0
2007-04-01,,,,0.0,0.0,0.0
2007-05-01,,,,0.0,0.0,0.0
2007-06-01,,,,5797.0,95240.0,95240.0
2007-07-01,,,,6803.0,112587.0,112587.0
2007-08-01,,,,5554.0,89562.0,89562.0
2007-09-01,,,,1465.0,25000.0,25000.0
2007-10-01,,,,3596.0,58673.0,58673.0
2007-11-01,,,,0.0,0.0,0.0
2007-12-01,0.0,0.0,0.0,0.0,0.0,0.0
2008-01-01,0.0,0.0,0.0,0.0,0.0,0.0
2008-02-01,0.0,0.0,0.0,0.0,0.0,0.0
2008-03-01,0.0,0.0,0.0,0.0,0.0,0.0
2008-04-01,0.0,0.0,0.0,0.0,0.0,0.0
2008-05-01,0.0,0.0,0.0,22.0,1326.0,1326.0
2008-06-01,0.0,0.0,0.0,6285.0,115811.0,115811.0
2008-07-01,0.0,0.0,0.0,7981.0,121843.0,121843.0
2008-08-01,0.0,0.0,0.0,7787.0,126229.0,126229.0
2008-09-01,0.0,0.0,0.0,1702.0,26695.0,26695.0
2008-10-01,0.0,0.0,0.0,0.0,0.0,0.0
2008-11-01,0.0,0.0,0.0,0.0,0.0,0.0
2008-12-01,0.0,0.0,0.0,0.0,0.0,0.0
2009-01-01,0.0,0.0,0.0,0.0,0.0,0.0
2009-02-01,0.0,0.0,0.0,0.0,0.0,0.0
2009-03-01,0.0,0.0,0.0,0.0,0.0,0.0
2009-04-01,0.0,0.0,0.0,0.0,0.0,0.0
2009-05-01,0.0,0.0,0.0,0.0,0.0,0.0
2009-06-01,0.0,0.0,0.0,3456.0,58233.0,58233.0
2009-07-01,0.0,0.0,0.0,9493.0,150898.0,150898.0
2009-08-01,0.0,0.0,0.0,7190.0,122600.0,122600.0
2009-09-01,0.0,0.0,0.0,6752.0,115443.0,115443.0
2009-10-01,0.0,0.0,0.0,8294.0,133833.0,133833.0
2009-11-01,0.0,0.0,0.0,0.0,0.0,0.0
2009-12-01,0.0,0.0,0.0,0.0,0.0,0.0
2010-01-01,0.0,0.0,0.0,0.0,0.0,0.0
2010-02-01,0.0,0.0,0.0,0.0,0.0,0.0
2010-03-01,0.0,0.0,0.0,0.0,0.0,0.0
2010-04-01,0.0,0.0,0.0,0.0,0.0,0.0
2010-05-01,0.0,0.0,0.0,3422.0,57885.0,57885.0
2010-06-01,0.0,0.0,0.0,6463.0,106578.0,106578.0
2010-07-01,0.0,0.0,0.0,7003.0,114629.0,114629.0
