measured_on,"Bituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Bituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Bituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Petroleum Coke-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Petroleum Coke-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Petroleum Coke-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed"
2003-04-01,,,,,,,22711.0,285059.0,285059.0
2003-05-01,,,,,,,3910.0,60851.0,60851.0
2003-06-01,,,,,,,35595.0,412025.0,412025.0
2003-07-01,,,,,,,55372.0,624972.0,624972.0
2003-08-01,,,,,,,31428.0,361445.0,361445.0
2003-09-01,,,,,,,27734.0,311559.0,311559.0
2003-10-01,,,,,,,37458.0,423023.0,423023.0
2003-11-01,,,,,,,30319.0,355511.0,355511.0
2003-12-01,,,,,,,27032.0,315647.0,315647.0
2004-01-01,,,,,,,41883.0,485770.0,485770.0
2004-02-01,,,,,,,26678.0,300451.0,300451.0
2004-03-01,,,,,,,26944.0,308924.0,308924.0
2004-04-01,,,,,,,31001.0,351303.0,351303.0
2004-05-01,,,,,,,27922.0,306719.0,306719.0
2004-06-01,,,,,,,24481.0,274341.0,274341.0
2004-07-01,,,,,,,26715.0,318836.0,318836.0
2004-08-01,,,,,,,40296.0,461767.0,461767.0
2004-09-01,,,,,,,39128.0,432059.0,432059.0
2004-10-01,,,,,,,0.0,0.0,0.0
2004-11-01,,,,,,,54939.0,616636.0,616636.0
2004-12-01,,,,,,,35296.0,399954.0,399954.0
2005-01-01,0.0,0.0,0.0,,,,36441.0,407297.67,407297.67
2005-02-01,0.0,0.0,0.0,,,,58731.0,659142.86,659142.86
2005-03-01,0.0,0.0,0.0,,,,41866.0,465228.5,465228.5
2005-04-01,0.0,0.0,0.0,,,,55118.0,599362.5,599362.5
2005-05-01,0.0,0.0,0.0,,,,53723.0,561425.94,561425.94
2005-06-01,0.0,0.0,0.0,,,,66384.0,676020.58,676020.58
2005-07-01,0.0,0.0,0.0,,,,51867.0,624102.23,624102.23
2005-08-01,73823.0,818517.55,818517.55,,,,55641.0,616921.23,616921.23
2005-09-01,76224.0,797178.75,797178.75,,,,62466.0,653286.08,653286.08
2005-10-01,31304.0,356858.76,356858.76,,,,40835.0,465500.0,465500.0
2005-11-01,42031.0,468373.75,468373.75,,,,8737.0,97363.6,97363.6
2005-12-01,101598.0,1111438.26,1111438.26,,,,0.0,0.0,0.0
2006-01-01,132349.0,1414724.0,1414724.0,,,,13061.0,139611.0,139611.0
2006-02-01,115948.0,1243556.0,1243556.0,,,,19540.0,209566.0,209566.0
2006-03-01,142923.0,1524999.0,1524999.0,,,,12982.0,138516.0,138516.0
2006-04-01,76784.0,815811.0,815811.0,,,,7641.0,81179.0,81179.0
2006-05-01,126122.0,1377327.0,1377327.0,,,,6532.0,71333.0,71333.0
2006-06-01,121981.0,1330311.0,1330311.0,,,,29110.0,317470.0,317470.0
2006-07-01,108723.0,1183519.0,1183519.0,,,,28889.0,314473.0,314473.0
2006-08-01,122597.0,1330236.0,1330236.0,,,,21150.0,229483.0,229483.0
2006-09-01,127580.0,1378439.0,1378439.0,,,,7351.0,79428.0,79428.0
