measured_on,Geothermal Generation,Geothermal Quantity Consumed For Electricity,Geothermal Total Fuel Consumed
2022-08-01,4621.014,15767.0,15767.0
2022-09-01,4738.901,16169.0,16169.0
2022-10-01,4121.522,14063.0,14063.0
2022-11-01,5863.204,20005.0,20005.0
2022-12-01,6164.359,21033.0,21033.0
2023-01-01,5200.0,17742.0,17742.0
2023-02-01,3545.0,12096.0,12096.0
2023-03-01,3884.0,13252.0,13252.0
2023-04-01,4584.0,15641.0,15641.0
2023-05-01,4944.0,16869.0,16869.0
2023-06-01,4697.0,16026.0,16026.0
2023-07-01,3920.0,13375.0,13375.0
2023-08-01,4079.0,13918.0,13918.0
2023-09-01,3578.0,12208.0,12208.0
2023-10-01,4243.0,14477.0,14477.0
2023-11-01,4494.0,15334.0,15334.0
2023-12-01,4660.0,15900.0,15900.0
2024-01-01,4572.0,15600.0,15600.0
2024-02-01,3474.0,11853.0,11853.0
2024-03-01,3608.0,12310.0,12310.0
2024-04-01,3243.0,11065.0,11065.0
2024-05-01,3040.0,10372.0,10372.0
2024-06-01,2690.0,9178.0,9178.0
2024-07-01,1381.0,4712.0,4712.0
2024-08-01,1872.0,6387.0,6387.0
2024-09-01,2398.0,8182.0,8182.0
2024-10-01,4026.0,13737.0,13737.0
2024-11-01,4642.0,15839.0,15839.0
2024-12-01,4641.0,15835.0,15835.0
