measured_on,"Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Solar-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Solar-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Solar-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed"
2003-01-01,1850.0,26112.0,26112.0,1426.0,14603.67,14603.67
2003-02-01,0.0,0.0,0.0,2134.0,21854.29,21854.29
2003-03-01,0.0,0.0,0.0,5570.0,57042.37,57042.37
2003-04-01,0.0,0.0,0.0,6814.0,69782.17,69782.17
2003-05-01,255.0,3083.0,3083.0,7646.0,78302.69,78302.69
2003-06-01,1793.0,26402.0,26402.0,10027.0,102686.51,102686.51
2003-07-01,3683.0,50792.0,50792.0,7346.0,75230.39,75230.39
2003-08-01,3902.0,55351.0,55351.0,7475.0,76551.48,76551.48
2003-09-01,4194.0,58884.0,58884.0,6609.0,67682.77,67682.77
2003-10-01,3521.0,47908.0,47908.0,4242.0,43442.32,43442.32
2003-11-01,4478.0,60932.0,60932.0,1768.0,18106.09,18106.09
2003-12-01,686.0,9670.0,9670.0,864.0,8848.22,8848.22
2004-01-01,0.0,335.0,335.0,1281.0,12838.18,12838.18
2004-02-01,2439.0,315.0,315.0,0.0,0.0,0.0
2004-03-01,0.0,244.0,244.0,6192.0,62056.22,62056.22
2004-04-01,0.0,0.0,0.0,7006.0,70214.13,70214.13
2004-05-01,0.0,0.0,0.0,9638.0,96592.04,96592.04
2004-06-01,809.0,12192.0,12192.0,10447.0,104699.83,104699.83
2004-07-01,1238.0,17753.0,17753.0,9982.0,100039.6,100039.6
2004-08-01,1863.0,26535.0,26535.0,8766.0,87852.85,87852.85
2004-09-01,4167.0,55950.0,55950.0,6922.0,69372.28,69372.28
