measured_on,Other Biomass Gas Generation,Other Biomass Gas Quantity Consumed For Electricity,Other Biomass Gas Total Fuel Consumed
2013-01-01,774.262,6958.0,6958.0
2013-02-01,512.78,4609.0,4609.0
2013-03-01,755.819,6793.0,6793.0
2013-04-01,770.429,6924.0,6924.0
2013-05-01,860.026,7729.0,7729.0
2013-06-01,877.453,7886.0,7886.0
2013-07-01,865.607,7780.0,7780.0
2013-08-01,853.615,7672.0,7672.0
2013-09-01,811.522,7293.0,7293.0
2013-10-01,860.0,7729.0,7729.0
2013-11-01,821.673,7385.0,7385.0
2013-12-01,823.814,7404.0,7404.0
2014-01-01,543.377,6482.0,6482.0
2014-02-01,504.801,6022.0,6022.0
2014-03-01,594.61,7093.0,7093.0
2014-04-01,568.145,6778.0,6778.0
2014-05-01,701.164,8365.0,8365.0
2014-06-01,643.075,7672.0,7672.0
2014-07-01,696.365,8307.0,8307.0
2014-08-01,676.139,8066.0,8066.0
2014-09-01,667.107,7958.0,7958.0
2014-10-01,687.228,8198.0,8198.0
2014-11-01,661.142,7887.0,7887.0
2014-12-01,664.847,7931.0,7931.0
2015-01-01,440.534,3939.0,3939.0
2015-02-01,381.096,3407.0,3407.0
2015-03-01,459.377,4108.0,4108.0
2015-04-01,453.577,4055.0,4055.0
2015-05-01,515.591,4610.0,4610.0
2015-06-01,486.24,4348.0,4348.0
2015-07-01,528.226,4723.0,4723.0
2015-08-01,526.869,4711.0,4711.0
2015-09-01,502.952,4497.0,4497.0
2015-10-01,504.565,4511.0,4511.0
2015-11-01,502.571,4493.0,4493.0
2015-12-01,518.402,4635.0,4635.0
2016-01-01,283.521,3466.0,3466.0
2016-02-01,266.834,3260.0,3260.0
2016-03-01,298.413,3646.0,3646.0
2016-04-01,270.503,3305.0,3305.0
2016-05-01,337.558,4124.0,4124.0
2016-06-01,313.561,3832.0,3832.0
2016-07-01,334.222,4084.0,4084.0
2016-08-01,327.88,4006.0,4006.0
2016-09-01,310.642,3796.0,3796.0
2016-10-01,332.974,4069.0,4069.0
2016-11-01,320.118,3911.0,3911.0
2016-12-01,325.774,3980.0,3980.0
2017-01-01,386.614,4390.0,4390.0
2017-02-01,358.567,4072.0,4072.0
2017-03-01,372.898,4235.0,4235.0
2017-04-01,400.483,4548.0,4548.0
2017-05-01,435.954,4951.0,4951.0
2017-06-01,432.726,4914.0,4914.0
2017-07-01,455.783,5176.0,5176.0
2017-08-01,443.045,5031.0,5031.0
2017-09-01,410.858,4666.0,4666.0
2017-10-01,428.397,4865.0,4865.0
2017-11-01,431.721,4903.0,4903.0
2017-12-01,435.954,4951.0,4951.0
2018-01-01,236.189,4422.0,4422.0
2018-02-01,223.165,4179.0,4179.0
2018-03-01,256.159,4797.0,4797.0
2018-04-01,257.377,4820.0,4820.0
2018-05-01,259.543,4860.0,4860.0
2018-06-01,267.422,5008.0,5008.0
2018-07-01,279.376,5232.0,5232.0
2018-08-01,272.987,5112.0,5112.0
2018-09-01,256.051,4795.0,4795.0
2018-10-01,277.161,5190.0,5190.0
