measured_on,"Other Biomass Gas-Internal Combustion Engine (diesel, piston, reciprocating) Generation","Other Biomass Gas-Internal Combustion Engine (diesel, piston, reciprocating) Quantity Consumed For Electricity","Other Biomass Gas-Internal Combustion Engine (diesel, piston, reciprocating) Total Fuel Consumed"
2020-05-01,383.853,5247.0,5247.0
2020-06-01,353.788,4836.0,4836.0
2020-07-01,397.346,5431.0,5431.0
2020-08-01,379.368,5186.0,5186.0
2020-09-01,376.29,5143.0,5143.0
2020-10-01,362.144,4950.0,4950.0
2020-11-01,364.585,4984.0,4984.0
2020-12-01,325.626,4451.0,4451.0
2021-01-01,335.16,4946.0,4946.0
2021-02-01,311.299,4594.0,4594.0
2021-03-01,347.652,5130.0,5130.0
2021-04-01,288.462,4257.0,4257.0
2021-05-01,312.237,4608.0,4608.0
2021-06-01,320.817,4735.0,4735.0
2021-07-01,311.767,4601.0,4601.0
2021-08-01,309.769,4571.0,4571.0
2021-09-01,314.371,4639.0,4639.0
2021-10-01,307.974,4545.0,4545.0
2021-11-01,303.433,4478.0,4478.0
2021-12-01,304.059,4487.0,4487.0
2022-01-01,129.6,1499.0,1499.0
2022-02-01,114.773,1328.0,1328.0
2022-03-01,123.837,1433.0,1433.0
2022-04-01,96.379,1115.0,1115.0
2022-05-01,99.485,1151.0,1151.0
2022-06-01,110.488,1279.0,1279.0
2022-07-01,118.794,1375.0,1375.0
2022-08-01,124.968,1446.0,1446.0
2022-09-01,121.134,1401.0,1401.0
2022-10-01,121.938,1411.0,1411.0
2022-11-01,103.549,1198.0,1198.0
2022-12-01,118.055,1366.0,1366.0
2023-01-01,48.634,723.0,723.0
2023-02-01,47.232,703.0,703.0
2023-03-01,49.903,742.0,742.0
2023-04-01,47.57,707.0,707.0
2023-05-01,58.381,868.0,868.0
2023-06-01,52.193,776.0,776.0
2023-07-01,54.481,810.0,810.0
2023-08-01,58.505,870.0,870.0
2023-09-01,54.519,811.0,811.0
2023-10-01,51.39,764.0,764.0
2023-11-01,52.247,777.0,777.0
2023-12-01,58.945,877.0,877.0
2024-01-01,58.382,1067.0,1067.0
2024-02-01,50.815,928.0,928.0
2024-03-01,60.942,1113.0,1113.0
2024-04-01,49.937,912.0,912.0
2024-05-01,58.946,1077.0,1077.0
2024-06-01,55.0,1005.0,1005.0
2024-07-01,57.009,1041.0,1041.0
2024-08-01,57.613,1052.0,1052.0
2024-09-01,55.242,1009.0,1009.0
2024-10-01,53.458,976.0,976.0
2024-11-01,57.015,1041.0,1041.0
2024-12-01,59.641,1089.0,1089.0
