measured_on,Bituminous Coal - Combustion (Gas) Turbine (including jet engine design) - Coal - Generation,Bituminous Coal - Combustion (Gas) Turbine (including jet engine design) - Coal - Quantity Consumed For Electricity,Bituminous Coal - Combustion (Gas) Turbine (including jet engine design) - Coal - Total Fuel Consumed,Distillate Fuel Oil - Combustion (Gas) Turbine (including jet engine design) - Distillate Fuel Oil - Generation,Distillate Fuel Oil - Combustion (Gas) Turbine (including jet engine design) - Distillate Fuel Oil - Quantity Consumed For Electricity,Distillate Fuel Oil - Combustion (Gas) Turbine (including jet engine design) - Distillate Fuel Oil - Total Fuel Consumed,Kerosene - Combustion (Gas) Turbine (including jet engine design) - Waste Oil - Generation,Kerosene - Combustion (Gas) Turbine (including jet engine design) - Waste Oil - Quantity Consumed For Electricity,Kerosene - Combustion (Gas) Turbine (including jet engine design) - Waste Oil - Total Fuel Consumed,Natural Gas - Combustion (Gas) Turbine (including jet engine design) - Natural Gas - Generation,Natural Gas - Combustion (Gas) Turbine (including jet engine design) - Natural Gas - Quantity Consumed For Electricity,Natural Gas - Combustion (Gas) Turbine (including jet engine design) - Natural Gas - Total Fuel Consumed
2010-06-01,,,,,,,2708.955,28741.0,28741.0,219.04500000000002,2324.0,2324.0
2010-07-01,,,,,,,4532.725,45217.0,45217.0,3169.275,31616.0,31616.0
2010-08-01,,,,,,,2913.531,28881.0,28881.0,2289.469,22695.0,22695.0
2010-10-01,,,,,,,38.0,2113.0,2113.0,0.0,0.0,0.0
2010-11-01,,,,,,,462.0,8588.0,8588.0,0.0,0.0,0.0
2010-12-01,,,,,,,472.0,4568.0,4568.0,0.0,0.0,0.0
2011-01-01,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
2011-02-01,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
2011-03-01,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
2011-04-01,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
2011-05-01,,,,,,,275.0,2769.0,2769.0,0.0,0.0,0.0
2011-06-01,,,,,,,2356.0,22806.0,22806.0,0.0,0.0,0.0
2011-07-01,,,,,,,4180.0,40544.0,40544.0,0.0,0.0,0.0
2011-08-01,,,,,,,874.0,8584.0,8584.0,0.0,0.0,0.0
2011-09-01,,,,,,,1056.0,10169.0,10169.0,0.0,0.0,0.0
2011-10-01,,,,,,,227.0,2240.0,2240.0,0.0,0.0,0.0
2011-11-01,,,,,,,1052.0,9969.0,9969.0,0.0,0.0,0.0
2011-12-01,,,,,,,771.0,7085.0,7085.0,0.0,0.0,0.0
2012-01-01,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
2012-02-01,,,,,,,13.0,143.0,143.0,0.0,0.0,0.0
2012-03-01,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
2012-04-01,,,,,,,110.0,1117.0,1117.0,0.0,0.0,0.0
2012-05-01,,,,,,,1564.0,15213.0,15213.0,0.0,0.0,0.0
2012-06-01,,,,,,,12.0,165.0,165.0,0.0,0.0,0.0
2012-07-01,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
2012-08-01,,,,,,,1098.411,11337.0,11337.0,626.589,6467.0,6467.0
2012-09-01,,,,,,,203.0,2269.0,2269.0,0.0,0.0,0.0
2012-10-01,,,,,,,303.0,3072.0,3072.0,0.0,0.0,0.0
2012-11-01,,,,,,,99.0,1049.0,1049.0,0.0,0.0,0.0
2012-12-01,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
2013-01-01,,,,,,,533.0,9975.0,9975.0,0.0,0.0,0.0
2013-02-01,,,,,,,358.0,3453.0,3453.0,0.0,0.0,0.0
2013-03-01,,,,,,,62.0,604.0,604.0,0.0,0.0,0.0
2013-04-01,,,,,,,82.0,884.0,884.0,0.0,0.0,0.0
2013-05-01,,,,,,,351.0,3437.0,3437.0,0.0,0.0,0.0
2013-06-01,0.0,0.0,0.0,0.0,0.0,0.0,591.0,5803.0,5803.0,0.0,0.0,0.0
2013-07-01,,,,,,,2043.0,19910.0,19910.0,0.0,0.0,0.0
2013-08-01,,,,,,,313.0,3135.0,3135.0,0.0,0.0,0.0
2013-09-01,,,,,,,849.0,8311.0,8311.0,0.0,0.0,0.0
2013-10-01,,,,,,,17.0,182.0,182.0,0.0,0.0,0.0
2013-11-01,,,,,,,336.0,3215.0,3215.0,0.0,0.0,0.0
2013-12-01,,,,,,,2034.0,18913.0,18913.0,0.0,0.0,0.0
2014-01-01,0.0,0.0,0.0,0.0,0.0,0.0,5851.0,54737.0,54737.0,0.0,0.0,0.0
2014-02-01,0.0,0.0,0.0,0.0,0.0,0.0,1672.0,15869.0,15869.0,0.0,0.0,0.0
2014-03-01,0.0,0.0,0.0,0.0,0.0,0.0,5472.0,51038.0,51038.0,0.0,0.0,0.0
2014-04-01,0.0,0.0,0.0,0.0,0.0,0.0,99.0,1009.0,1009.0,0.0,0.0,0.0
2014-05-01,,,,,,,12.355,134.0,134.0,115.645,1258.0,1258.0
2014-06-01,0.0,0.0,0.0,0.0,0.0,0.0,201.0,2001.0,2001.0,0.0,0.0,0.0
2014-07-01,0.0,0.0,0.0,0.0,0.0,0.0,113.0,1134.0,1134.0,0.0,0.0,0.0
2014-08-01,,,,,,,0.0,0.0,0.0,87.0,859.0,859.0
2014-09-01,0.0,0.0,0.0,0.0,0.0,0.0,1684.0,16433.0,16433.0,0.0,0.0,0.0
2014-10-01,,,,,,,383.496,3905.0,3905.0,71.504,728.0,728.0
2014-11-01,,,,,,,640.899,6270.0,6270.0,23.101,226.0,226.0
2014-12-01,,,,,,,2143.656,20355.0,20355.0,56.344,535.0,535.0
2015-01-01,0.0,0.0,0.0,0.0,0.0,0.0,666.0,6606.0,6606.0,0.0,0.0,0.0
2015-02-01,0.0,0.0,0.0,0.0,0.0,0.0,7492.0,69821.0,69821.0,0.0,0.0,0.0
2015-03-01,0.0,0.0,0.0,0.0,0.0,0.0,1518.0,14118.0,14118.0,0.0,0.0,0.0
2015-04-01,,,,,,,144.252,1512.0,1512.0,46.748,490.0,490.0
2015-05-01,0.0,0.0,0.0,0.0,0.0,0.0,827.0,7913.0,7913.0,0.0,0.0,0.0
2015-06-01,,,,,,,667.016,6518.0,6518.0,117.984,1153.0,1153.0
2015-07-01,,,,,,,2131.476,20552.0,20552.0,1266.524,12212.0,12212.0
2015-08-01,,,,,,,1845.668,18099.0,18099.0,73.332,719.0,719.0
2015-09-01,,,,,,,5045.504,52293.0,52293.0,1907.496,19770.0,19770.0
2015-10-01,,,,,,,356.317,3584.0,3584.0,70.683,711.0,711.0
2015-11-01,,,,,,,243.465,2442.0,2442.0,226.535,2272.0,2272.0
2015-12-01,0.0,0.0,0.0,0.0,0.0,0.0,210.0,2065.0,2065.0,0.0,0.0,0.0
2016-01-01,0.0,0.0,0.0,0.0,0.0,0.0,892.0,8944.0,8944.0,0.0,0.0,0.0
2016-02-01,0.0,0.0,0.0,0.0,0.0,0.0,1575.0,15387.0,15387.0,0.0,0.0,0.0
2016-03-01,0.0,0.0,0.0,0.0,0.0,0.0,542.0,5353.0,5353.0,0.0,0.0,0.0
2016-04-01,,,,,,,1141.067,11281.0,11281.0,46.933,464.0,464.0
2016-05-01,,,,,,,502.733,4930.0,4930.0,29.267,287.0,287.0
2016-06-01,0.0,0.0,0.0,0.0,0.0,0.0,34.0,383.0,383.0,0.0,0.0,0.0
2016-07-01,0.0,0.0,0.0,0.0,0.0,0.0,1029.0,10457.0,10457.0,0.0,0.0,0.0
2016-08-01,,,,,,,3825.864,38587.0,38587.0,240.136,2422.0,2422.0
2016-09-01,0.0,0.0,0.0,0.0,0.0,0.0,1002.0,10231.0,10231.0,0.0,0.0,0.0
2016-10-01,,,,0.0,0.0,0.0,172.612,1702.0,1702.0,57.388,566.0,566.0
2016-11-01,,,,,,,474.49,4785.0,4785.0,129.51,1306.0,1306.0
2016-12-01,,,,,,,928.66,9199.0,9199.0,421.34,4174.0,4174.0
2017-01-01,0.0,0.0,0.0,0.0,0.0,0.0,257.152,2470.0,2470.0,25.459,246.0,246.0
2017-02-01,0.0,0.0,0.0,0.0,0.0,0.0,466.165,4480.0,4480.0,20.367,196.0,196.0
