measured_on,Bituminous Coal - Combustion (Gas) Turbine (including jet engine design) - Coal - Generation,Bituminous Coal - Combustion (Gas) Turbine (including jet engine design) - Coal - Quantity Consumed For Electricity,Bituminous Coal - Combustion (Gas) Turbine (including jet engine design) - Coal - Total Fuel Consumed,Distillate Fuel Oil - Combustion (Gas) Turbine (including jet engine design) - Distillate Fuel Oil - Generation,Distillate Fuel Oil - Combustion (Gas) Turbine (including jet engine design) - Distillate Fuel Oil - Quantity Consumed For Electricity,Distillate Fuel Oil - Combustion (Gas) Turbine (including jet engine design) - Distillate Fuel Oil - Total Fuel Consumed,Kerosene - Combustion (Gas) Turbine (including jet engine design) - Waste Oil - Generation,Kerosene - Combustion (Gas) Turbine (including jet engine design) - Waste Oil - Quantity Consumed For Electricity,Kerosene - Combustion (Gas) Turbine (including jet engine design) - Waste Oil - Total Fuel Consumed,Natural Gas - Combustion (Gas) Turbine (including jet engine design) - Natural Gas - Generation,Natural Gas - Combustion (Gas) Turbine (including jet engine design) - Natural Gas - Quantity Consumed For Electricity,Natural Gas - Combustion (Gas) Turbine (including jet engine design) - Natural Gas - Total Fuel Consumed
2017-03-01,0.0,0.0,0.0,0.0,0.0,0.0,3002.23,28857.0,28857.0,19.27,185.0,185.0
2017-04-01,0.0,0.0,0.0,0.0,0.0,0.0,528.565,5079.0,5079.0,17.509,168.0,168.0
2017-05-01,0.0,0.0,0.0,0.0,0.0,0.0,619.244,5953.0,5953.0,15.823,152.0,152.0
2017-06-01,0.0,0.0,0.0,0.0,0.0,0.0,549.537,5281.0,5281.0,18.547,178.0,178.0
2017-07-01,0.0,0.0,0.0,0.0,0.0,0.0,682.989,6563.0,6563.0,25.296,243.0,243.0
2017-08-01,0.0,0.0,0.0,0.0,0.0,0.0,602.766,5790.0,5790.0,25.225,242.0,242.0
2017-09-01,0.0,0.0,0.0,0.0,0.0,0.0,707.191,6798.0,6798.0,18.659,179.0,179.0
2017-10-01,0.0,0.0,0.0,0.0,0.0,0.0,536.222,5152.0,5152.0,22.157,213.0,213.0
2017-11-01,0.0,0.0,0.0,0.0,0.0,0.0,1089.917,10478.0,10478.0,24.845,239.0,239.0
2017-12-01,0.0,0.0,0.0,0.0,0.0,0.0,5326.772,51195.0,51195.0,25.093,241.0,241.0
2018-01-01,0.0,0.0,0.0,0.0,0.0,0.0,6610.165,64114.0,64114.0,10.659,103.0,103.0
2018-02-01,0.0,0.0,0.0,0.0,0.0,0.0,254.412,2470.0,2470.0,10.45,101.0,101.0
2018-03-01,0.0,0.0,0.0,0.0,0.0,0.0,282.456,2738.0,2738.0,12.363,120.0,120.0
2018-04-01,0.0,0.0,0.0,0.0,0.0,0.0,216.53,2100.0,2100.0,10.451,101.0,101.0
2018-05-01,0.0,0.0,0.0,0.0,0.0,0.0,240.127,2330.0,2330.0,9.802,95.0,95.0
2018-06-01,0.0,0.0,0.0,0.0,0.0,0.0,206.676,2005.0,2005.0,13.316,129.0,129.0
2018-07-01,0.0,0.0,0.0,0.0,0.0,0.0,284.803,2761.0,2761.0,16.035,156.0,156.0
2018-08-01,0.0,0.0,0.0,0.0,0.0,0.0,513.045,4978.0,4978.0,16.765,163.0,163.0
2018-09-01,0.0,0.0,0.0,0.0,0.0,0.0,252.309,2447.0,2447.0,13.902,135.0,135.0
2018-10-01,0.0,0.0,0.0,0.0,0.0,0.0,228.444,2218.0,2218.0,13.875,135.0,135.0
2018-11-01,0.0,0.0,0.0,0.0,0.0,0.0,491.241,4766.0,4766.0,14.685,142.0,142.0
2018-12-01,0.0,0.0,0.0,0.0,0.0,0.0,270.161,2621.0,2621.0,15.328,149.0,149.0
2019-01-01,0.0,0.0,0.0,0.0,0.0,0.0,-213.483,2960.0,2960.0,-32.385,447.0,447.0
2019-02-01,0.0,0.0,0.0,0.0,0.0,0.0,-133.537,1848.0,1848.0,-28.939,401.0,401.0
2019-03-01,0.0,0.0,0.0,0.0,0.0,0.0,-139.188,1928.0,1928.0,-29.191,404.0,404.0
2019-04-01,0.0,0.0,0.0,0.0,0.0,0.0,-108.112,1497.0,1497.0,-31.896,442.0,442.0
2019-05-01,0.0,0.0,0.0,0.0,0.0,0.0,-55.281,765.0,765.0,-30.403,421.0,421.0
2019-06-01,0.0,0.0,0.0,0.0,0.0,0.0,-67.331,930.0,930.0,-33.249,460.0,460.0
2019-07-01,0.0,0.0,0.0,0.0,0.0,0.0,-91.551,1270.0,1270.0,-44.569,617.0,617.0
2019-08-01,0.0,0.0,0.0,0.0,0.0,0.0,-174.607,2415.0,2415.0,-40.747,564.0,564.0
2019-09-01,0.0,0.0,0.0,0.0,0.0,0.0,-84.111,1162.0,1162.0,-32.814,454.0,454.0
2019-10-01,0.0,0.0,0.0,0.0,0.0,0.0,-132.301,1831.0,1831.0,-27.236,377.0,377.0
2019-11-01,0.0,0.0,0.0,0.0,0.0,0.0,-182.859,2529.0,2529.0,-34.293,475.0,475.0
2019-12-01,0.0,0.0,0.0,0.0,0.0,0.0,-207.294,2869.0,2869.0,-42.623,590.0,590.0
2020-01-01,0.0,0.0,0.0,0.0,0.0,0.0,184.232,4082.0,4082.0,80.836,1793.0,1793.0
2020-02-01,0.0,0.0,0.0,0.0,0.0,0.0,196.628,4360.0,4360.0,75.748,1680.0,1680.0
2020-03-01,0.0,0.0,0.0,0.0,0.0,0.0,152.808,3391.0,3391.0,68.649,1522.0,1522.0
2020-04-01,0.0,0.0,0.0,0.0,0.0,0.0,169.772,3765.0,3765.0,70.28,1559.0,1559.0
2020-05-01,0.0,0.0,0.0,0.0,0.0,0.0,118.777,2637.0,2637.0,62.31,1382.0,1382.0
2020-06-01,0.0,0.0,0.0,0.0,0.0,0.0,115.376,2557.0,2557.0,83.306,1847.0,1847.0
2020-07-01,0.0,0.0,0.0,0.0,0.0,0.0,137.071,3039.0,3039.0,100.141,2221.0,2221.0
2020-08-01,0.0,0.0,0.0,0.0,0.0,0.0,129.325,2869.0,2869.0,89.22,1979.0,1979.0
2020-09-01,0.0,0.0,0.0,0.0,0.0,0.0,146.636,3249.0,3249.0,78.644,1744.0,1744.0
2020-10-01,0.0,0.0,0.0,0.0,0.0,0.0,230.202,5103.0,5103.0,64.196,1423.0,1423.0
2020-11-01,0.0,0.0,0.0,0.0,0.0,0.0,231.815,5143.0,5143.0,71.768,1592.0,1592.0
2020-12-01,0.0,0.0,0.0,0.0,0.0,0.0,1298.299,28792.0,28792.0,80.961,1795.0,1795.0
2021-01-01,0.0,0.0,0.0,0.0,0.0,0.0,87.601,5161.0,5161.0,0.0,0.0,0.0
2021-02-01,0.0,0.0,0.0,0.0,0.0,0.0,119.239,7019.0,7019.0,0.0,0.0,0.0
2021-03-01,0.0,0.0,0.0,0.0,0.0,0.0,68.645,4043.0,4043.0,0.0,0.0,0.0
2021-04-01,0.0,0.0,0.0,0.0,0.0,0.0,96.332,5668.0,5668.0,0.0,0.0,0.0
2021-05-01,0.0,0.0,0.0,0.0,0.0,0.0,50.92,2994.0,2994.0,0.0,0.0,0.0
2021-06-01,0.0,0.0,0.0,0.0,0.0,0.0,71.546,4211.0,4211.0,0.0,0.0,0.0
2021-07-01,0.0,0.0,0.0,0.0,0.0,0.0,29.391,1730.0,1730.0,0.0,0.0,0.0
2021-08-01,0.0,0.0,0.0,0.0,0.0,0.0,44.424,2615.0,2615.0,0.0,0.0,0.0
2021-09-01,0.0,0.0,0.0,0.0,0.0,0.0,117.7,6926.0,6926.0,0.0,0.0,0.0
2021-10-01,0.0,0.0,0.0,0.0,0.0,0.0,173.291,10200.0,10200.0,0.0,0.0,0.0
2021-11-01,0.0,0.0,0.0,0.0,0.0,0.0,62.672,3687.0,3687.0,0.0,0.0,0.0
2021-12-01,0.0,0.0,0.0,0.0,0.0,0.0,58.239,3425.0,3425.0,0.0,0.0,0.0
2022-01-01,0.0,0.0,0.0,0.0,0.0,0.0,-160.66,31894.0,31894.0,-0.442,88.0,88.0
2022-02-01,0.0,0.0,0.0,0.0,0.0,0.0,-23.05,4579.0,4579.0,-0.359,71.0,71.0
2022-03-01,0.0,0.0,0.0,0.0,0.0,0.0,-3.111,617.0,617.0,-0.46,92.0,92.0
2022-04-01,0.0,0.0,0.0,0.0,0.0,0.0,-1.562,311.0,311.0,-0.364,72.0,72.0
2022-05-01,0.0,0.0,0.0,0.0,0.0,0.0,-1.088,215.0,215.0,-0.384,76.0,76.0
2022-06-01,0.0,0.0,0.0,0.0,0.0,0.0,-8.163,1619.0,1619.0,-0.496,99.0,99.0
2022-07-01,0.0,0.0,0.0,0.0,0.0,0.0,-5.023,996.0,996.0,-0.588,116.0,116.0
2022-08-01,0.0,0.0,0.0,0.0,0.0,0.0,-1.497,300.0,300.0,-0.596,118.0,118.0
2022-09-01,0.0,0.0,0.0,0.0,0.0,0.0,-3.002,594.0,594.0,-0.527,105.0,105.0
2022-10-01,0.0,0.0,0.0,0.0,0.0,0.0,-2.332,464.0,464.0,-0.421,83.0,83.0
2022-11-01,0.0,0.0,0.0,0.0,0.0,0.0,-2.641,526.0,526.0,-0.464,92.0,92.0
2022-12-01,0.0,0.0,0.0,0.0,0.0,0.0,-55.382,10997.0,10997.0,-0.388,77.0,77.0
2023-01-01,0.0,0.0,0.0,0.0,0.0,0.0,228.964,6062.0,6062.0,7.672,204.0,204.0
2023-02-01,0.0,0.0,0.0,0.0,0.0,0.0,283.685,7511.0,7511.0,6.579,174.0,174.0
2023-03-01,0.0,0.0,0.0,0.0,0.0,0.0,145.99,3866.0,3866.0,8.299,219.0,219.0
2023-04-01,0.0,0.0,0.0,0.0,0.0,0.0,152.228,4030.0,4030.0,7.828,207.0,207.0
2023-05-01,0.0,0.0,0.0,0.0,0.0,0.0,62.491,1653.0,1653.0,6.195,164.0,164.0
2023-06-01,0.0,0.0,0.0,0.0,0.0,0.0,227.343,6022.0,6022.0,9.287,246.0,246.0
2023-07-01,0.0,0.0,0.0,0.0,0.0,0.0,363.782,9633.0,9633.0,9.382,248.0,248.0
2023-08-01,0.0,0.0,0.0,0.0,0.0,0.0,114.521,3034.0,3034.0,8.472,225.0,225.0
2023-09-01,0.0,0.0,0.0,0.0,0.0,0.0,199.77,5292.0,5292.0,8.019,212.0,212.0
2023-10-01,0.0,0.0,0.0,0.0,0.0,0.0,195.857,5185.0,5185.0,6.916,183.0,183.0
2023-11-01,0.0,0.0,0.0,0.0,0.0,0.0,119.491,3164.0,3164.0,8.211,217.0,217.0
2023-12-01,0.0,0.0,0.0,0.0,0.0,0.0,152.079,4024.0,4024.0,7.939,210.0,210.0
2024-01-01,0.0,0.0,0.0,0.0,0.0,0.0,893.778,9554.0,9554.0,34.055,367.0,367.0
2024-02-01,0.0,0.0,0.0,0.0,0.0,0.0,368.367,3942.0,3942.0,29.602,316.0,316.0
2024-03-01,0.0,0.0,0.0,0.0,0.0,0.0,302.892,3242.0,3242.0,34.027,364.0,364.0
2024-04-01,0.0,0.0,0.0,0.0,0.0,0.0,195.79,2094.0,2094.0,25.815,276.0,276.0
2024-05-01,0.0,0.0,0.0,0.0,0.0,0.0,273.418,2923.0,2923.0,27.673,296.0,296.0
2024-06-01,0.0,0.0,0.0,0.0,0.0,0.0,196.277,2100.0,2100.0,35.774,382.0,382.0
2024-07-01,0.0,0.0,0.0,0.0,0.0,0.0,180.401,1932.0,1932.0,42.537,455.0,455.0
2024-08-01,0.0,0.0,0.0,0.0,0.0,0.0,193.191,2066.0,2066.0,41.73,446.0,446.0
2024-09-01,0.0,0.0,0.0,0.0,0.0,0.0,218.503,2335.0,2335.0,37.912,406.0,406.0
2024-10-01,0.0,0.0,0.0,0.0,0.0,0.0,323.904,3466.0,3466.0,35.281,377.0,377.0
2024-11-01,0.0,0.0,0.0,0.0,0.0,0.0,177.686,1898.0,1898.0,38.181,408.0,408.0
2024-12-01,0.0,0.0,0.0,0.0,0.0,0.0,590.973,6322.0,6322.0,38.233,409.0,409.0
