measured_on,"Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed",Natural Gas-Combined Cycle Combustion Turbine Part Generation,Natural Gas-Combined Cycle Combustion Turbine Part Quantity Consumed For Electricity,Natural Gas-Combined Cycle Combustion Turbine Part Total Fuel Consumed,Natural Gas-Combined Cycle Steam Part Generation,Natural Gas-Combined Cycle Steam Part Quantity Consumed For Electricity,Natural Gas-Combined Cycle Steam Part Total Fuel Consumed,"Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed"
2003-01-01,0.0,0.0,0.0,12608.0,140913.0,140913.0,2574.0,0.0,0.0,0.0,0.0,0.0
2003-02-01,0.0,0.0,0.0,18872.0,206388.0,206388.0,4272.0,0.0,0.0,0.0,0.0,0.0
2003-03-01,0.0,0.0,0.0,19044.0,206838.0,206838.0,4658.0,0.0,0.0,0.0,0.0,0.0
2003-04-01,0.0,0.0,0.0,19913.0,215023.0,215023.0,4449.0,0.0,0.0,0.0,0.0,0.0
2003-05-01,0.0,0.0,0.0,15999.0,177569.0,177569.0,3992.0,0.0,0.0,0.0,0.0,0.0
2003-06-01,0.0,0.0,0.0,12238.0,145556.0,145556.0,3188.0,0.0,0.0,0.0,0.0,0.0
2003-07-01,0.0,0.0,0.0,10839.0,120340.0,120340.0,2562.0,0.0,0.0,0.0,0.0,0.0
2003-08-01,0.0,0.0,0.0,5820.0,67890.0,67890.0,1444.0,0.0,0.0,0.0,0.0,0.0
2003-09-01,0.0,0.0,0.0,34.0,701.0,701.0,-21.0,0.0,0.0,0.0,0.0,0.0
2003-10-01,0.0,0.0,0.0,-8.0,0.0,0.0,-6.0,0.0,0.0,0.0,0.0,0.0
2003-11-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003-12-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2004-01-01,0.0,0.0,0.0,6300.063,67097.0,67097.0,1043.777,0.0,0.0,84.593,1364.0,1364.0
2004-02-01,0.0,0.0,0.0,6085.713000000001,64814.0,64814.0,1216.777,0.0,0.0,87.35,1409.0,1409.0
2004-03-01,0.0,0.0,0.0,6496.66,69191.0,69191.0,1312.97,0.0,0.0,85.138,1373.0,1373.0
2004-04-01,0.0,0.0,0.0,6814.709000000001,72578.0,72578.0,1365.15,0.0,0.0,93.096,1501.0,1501.0
2004-05-01,0.0,0.0,0.0,7347.2660000000005,78250.0,78250.0,1656.04,0.0,0.0,119.808,1932.0,1932.0
2004-06-01,0.0,0.0,0.0,7859.046,83701.0,83701.0,1892.39,0.0,0.0,150.19,2422.0,2422.0
2004-07-01,0.0,0.0,0.0,8722.374,92895.0,92895.0,2224.722,0.0,0.0,197.49300000000002,3185.0,3185.0
2004-08-01,0.0,0.0,0.0,8793.139000000001,93649.0,93649.0,2304.494,0.0,0.0,188.059,3033.0,3033.0
2004-09-01,0.0,0.0,0.0,8014.969,85361.0,85361.0,1932.0980000000002,0.0,0.0,132.743,2141.0,2141.0
2004-10-01,0.0,0.0,0.0,7481.226000000001,79677.0,79677.0,1739.314,0.0,0.0,121.95800000000001,1967.0,1967.0
2004-11-01,0.0,0.0,0.0,6511.296,69347.0,69347.0,1458.278,0.0,0.0,65.212,1052.0,1052.0
2004-12-01,0.0,0.0,0.0,6589.539000000001,70180.0,70180.0,1446.992,0.0,0.0,73.36,1183.0,1183.0
2005-01-01,,,,15509.618,157056.34,157056.34,3505.4680000000003,0.0,0.0,100.194,2003.65,2003.65
2005-02-01,,,,12875.202000000001,130379.24,130379.24,2910.04,0.0,0.0,83.175,1663.32,1663.32
2005-03-01,,,,15944.887,161464.04,161464.04,3603.847,0.0,0.0,103.006,2059.88,2059.88
2005-04-01,,,,15710.641,159091.98,159091.98,3550.9030000000002,0.0,0.0,101.49300000000001,2029.62,2029.62
2005-05-01,,,,18520.306,187543.73,187543.73,4185.941,0.0,0.0,119.643,2392.6,2392.6
2005-06-01,,,,23373.136,236685.35,236685.35,5282.772,0.0,0.0,150.993,3019.52,3019.52
2005-07-01,,,,29293.529000000002,296637.51,296637.51,6620.893,0.0,0.0,189.24,3784.37,3784.37
2005-08-01,,,,30344.92,307284.31,307284.31,6858.528,0.0,0.0,196.032,3920.19,3920.19
2005-09-01,,,,23090.588,233824.15,233824.15,5218.911,0.0,0.0,149.168,2983.02,2983.02
2005-10-01,,,,18446.561,186796.96,186796.96,4169.273,0.0,0.0,119.167,2383.07,2383.07
2005-11-01,,,,15737.971000000001,159368.73,159368.73,3557.08,0.0,0.0,101.66900000000001,2033.15,2033.15
2005-12-01,,,,15358.642,155527.5,155527.5,3471.344,0.0,0.0,99.21900000000001,1984.15,1984.15
2006-01-01,,,,13087.091,137441.0,137441.0,3153.282,0.0,0.0,,,
2006-02-01,,,,15526.641,163061.0,163061.0,3741.081,0.0,0.0,,,
2006-03-01,,,,17709.556,185986.0,185986.0,4267.046,0.0,0.0,,,
2006-04-01,,,,19808.525999999998,208029.0,208029.0,4772.784000000001,0.0,0.0,,,
2006-05-01,,,,22943.221,240950.0,240950.0,5528.076,0.0,0.0,,,
2006-06-01,,,,29235.902000000002,307036.0,307036.0,7044.273,0.0,0.0,,,
2006-07-01,,,,36755.908,386011.0,386011.0,8856.187,0.0,0.0,,,
2006-08-01,,,,37219.445999999996,390879.0,390879.0,8967.875,0.0,0.0,,,
2006-09-01,,,,25324.195,265955.0,265955.0,6101.763,0.0,0.0,,,
