measured_on,"Geothermal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Geothermal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Geothermal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed"
2003-01-01,29005.0,297040.21,297040.21
2003-02-01,28887.0,295831.77,295831.77
2003-03-01,24478.0,250679.2,250679.2
2003-04-01,0.0,0.0,0.0
2003-05-01,28149.0,288273.91,288273.91
2003-06-01,35171.0,360186.21,360186.21
2003-07-01,34216.0,350406.06,350406.06
2003-08-01,34953.0,357953.67,357953.67
2003-09-01,33048.0,338444.57,338444.57
2003-10-01,8831.0,90438.27,90438.27
2003-11-01,0.0,0.0,0.0
2003-12-01,23092.0,236485.17,236485.17
2004-01-01,30190.0,302564.18,302564.18
2004-02-01,34291.0,343664.4,343664.4
2004-03-01,36835.0,369160.37,369160.37
2004-04-01,7115.0,71306.53,71306.53
2004-05-01,36685.0,367657.07,367657.07
2004-06-01,34273.0,343484.01,343484.01
2004-07-01,36782.0,368629.2,368629.2
2004-08-01,29733.0,297984.13,297984.13
2004-09-01,34659.0,347352.5,347352.5
2004-10-01,37213.0,372948.69,372948.69
2004-11-01,31596.0,316655.11,316655.11
2004-12-01,36833.0,369140.33,369140.33
2005-01-01,37133.0,371292.87,371292.87
2005-02-01,15251.0,152494.75,152494.75
2005-03-01,34855.0,348515.15,348515.15
2005-04-01,34729.0,347255.27,347255.27
2005-05-01,37200.0,371962.8,371962.8
2005-06-01,33544.0,335406.46,335406.46
2005-07-01,35221.0,352174.78,352174.78
2005-08-01,35886.0,358824.11,358824.11
2005-09-01,35006.0,350024.99,350024.99
2005-10-01,36427.0,364233.57,364233.57
2005-11-01,35117.0,351134.88,351134.88
2005-12-01,36365.0,363613.64,363613.64
2006-01-01,36785.0,364870.42,364870.42
2006-02-01,33321.0,330511.0,330511.0
2006-03-01,36193.0,358998.37,358998.37
2006-04-01,23299.0,231102.78,231102.78
2006-05-01,9746.0,96670.57,96670.57
2006-06-01,31582.0,313261.86,313261.86
2006-07-01,35818.0,355278.74,355278.74
2006-08-01,37185.0,368838.02,368838.02
2006-09-01,35082.0,347978.36,347978.36
2006-10-01,36796.0,364979.52,364979.52
2006-11-01,34906.0,346232.61,346232.61
2006-12-01,36451.0,361557.47,361557.47
2007-01-01,36698.0,362723.03,362723.03
2007-02-01,32988.0,326053.39,326053.39
2007-03-01,35650.0,352364.6,352364.6
2007-04-01,20025.0,197927.1,197927.1
2007-05-01,7188.0,71046.19,71046.19
2007-06-01,34718.0,343152.71,343152.71
2007-07-01,37170.0,367388.28,367388.28
2007-08-01,34755.0,343518.42,343518.42
2007-09-01,35253.0,348440.65,348440.65
2007-10-01,35385.0,349745.34,349745.34
2007-11-01,32919.0,325371.4,325371.4
2007-12-01,37144.0,367131.3,367131.3
2008-01-01,34955.134,344447.89,344447.89
2008-02-01,31618.31,311566.83,311566.83
