measured_on,"Distillate Fuel Oil-Internal Combustion Engine (diesel, piston, reciprocating) Generation","Distillate Fuel Oil-Internal Combustion Engine (diesel, piston, reciprocating) Quantity Consumed For Electricity","Distillate Fuel Oil-Internal Combustion Engine (diesel, piston, reciprocating) Total Fuel Consumed"
2018-01-01,1.103,12.0,12.0
2018-02-01,0.65,6.0,6.0
2018-03-01,1.001,6.0,6.0
2018-04-01,0.561,6.0,6.0
2018-05-01,1.126,12.0,12.0
2018-06-01,0.877,6.0,6.0
2018-07-01,0.71,6.0,6.0
2018-08-01,0.972,6.0,6.0
