measured_on,Bituminous Coal - Combustion (Gas) Turbine (including jet engine design) - Coal - Generation,Bituminous Coal - Combustion (Gas) Turbine (including jet engine design) - Coal - Quantity Consumed For Electricity,Bituminous Coal - Combustion (Gas) Turbine (including jet engine design) - Coal - Total Fuel Consumed,"Bituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Generation","Bituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Quantity Consumed For Electricity","Bituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Total Fuel Consumed",Distillate Fuel Oil - Combustion (Gas) Turbine (including jet engine design) - Distillate Fuel Oil - Generation,Distillate Fuel Oil - Combustion (Gas) Turbine (including jet engine design) - Distillate Fuel Oil - Quantity Consumed For Electricity,Distillate Fuel Oil - Combustion (Gas) Turbine (including jet engine design) - Distillate Fuel Oil - Total Fuel Consumed,"Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Generation","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Quantity Consumed For Electricity","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Total Fuel Consumed"
2003-02-01,,,,,,,627.0,8143.0,8143.0,,,
2003-03-01,,,,,,,405.0,5150.0,5150.0,,,
2003-04-01,,,,,,,,,,1271.0,37294.0,37294.0
2003-05-01,,,,,,,,,,1500.0,39801.0,39801.0
2003-06-01,,,,,,,74.0,1017.0,1017.0,1679.0,38455.0,38455.0
2003-07-01,,,,,,,587.0,7938.0,7938.0,2165.0,43956.0,43956.0
2003-08-01,,,,,,,698.0,9496.0,9496.0,2364.0,46055.0,46055.0
2003-09-01,,,,,,,207.0,2746.0,2746.0,2091.0,40633.0,40633.0
2003-10-01,,,,,,,2.0,53.0,53.0,1980.0,41625.0,41625.0
2003-11-01,,,,,,,,,,1925.0,43538.0,43538.0
2003-12-01,,,,,,,,,,1781.0,45820.0,45820.0
2004-01-01,,,,,,,183.089,2722.0,2722.0,1546.488,49931.0,49931.0
2004-02-01,,,,,,,5.143000000000001,76.0,76.0,1404.0410000000002,45332.0,45332.0
2004-03-01,,,,,,,57.848000000000006,860.0,860.0,1450.971,46848.0,46848.0
2004-04-01,,,,,,,6.893000000000001,102.0,102.0,1382.1580000000001,44626.0,44626.0
2004-05-01,,,,,,,51.963,772.0,772.0,1531.324,49442.0,49442.0
2004-06-01,,,,,,,204.882,3046.0,3046.0,1417.992,45783.0,45783.0
2004-07-01,,,,,,,169.621,2522.0,2522.0,1128.544,36437.0,36437.0
2004-08-01,,,,,,,0.0,0.0,0.0,1029.891,33252.0,33252.0
2004-09-01,,,,,,,64.688,962.0,962.0,1224.185,39525.0,39525.0
2004-10-01,,,,,,,25.239,375.0,375.0,1145.045,36970.0,36970.0
2004-11-01,,,,,,,2.863,43.0,43.0,1018.748,32892.0,32892.0
2004-12-01,,,,,,,132.77,1974.0,1974.0,1451.613,46868.0,46868.0
2005-01-01,,,,,,,47.17,742.03,742.03,1040.13,12278.25,12278.25
2005-02-01,,,,,,,16.206,254.94,254.94,832.111,9822.68,9822.68
2005-03-01,,,,,,,17.963,282.57,282.57,1154.708,13630.78,13630.78
2005-04-01,,,,,,,21.758000000000003,342.27,342.27,1096.113,12939.1,12939.1
2005-05-01,,,,,,,20.207,317.89,317.89,1048.145,12372.86,12372.86
2005-06-01,,,,,,,26.227,412.58,412.58,1978.5980000000002,23356.42,23356.42
2005-07-01,,,,,,,26.696,419.96,419.96,2604.73,30747.62,30747.62
2005-08-01,,,,,,,31.362000000000002,493.35,493.35,2587.54,30544.7,30544.7
2005-09-01,,,,,,,20.53,322.95,322.95,1566.5890000000002,18492.85,18492.85
2005-10-01,,,,,,,22.798000000000002,358.64,358.64,1110.805,13112.53,13112.53
2005-11-01,,,,,,,18.328,288.31,288.31,973.532,11492.09,11492.09
2005-12-01,,,,,,,38.754000000000005,609.64,609.64,1217.0,14366.12,14366.12
2006-01-01,,,,0.0,0.0,0.0,77.683,1132.0,1132.0,697.155,10359.0,10359.0
2006-02-01,,,,0.0,0.0,0.0,40.649,592.0,592.0,788.07,11710.0,11710.0
2006-03-01,,,,0.0,0.0,0.0,34.146,498.0,498.0,1038.487,15430.0,15430.0
2006-04-01,,,,0.0,0.0,0.0,65.408,953.0,953.0,859.385,12769.0,12769.0
2006-05-01,,,,0.0,0.0,0.0,61.14,891.0,891.0,1132.029,16820.0,16820.0
2006-06-01,,,,0.0,0.0,0.0,55.572,810.0,810.0,1458.182,21666.0,21666.0
2006-07-01,,,,0.0,0.0,0.0,80.497,1173.0,1173.0,2609.367,38771.0,38771.0
2006-08-01,,,,0.0,0.0,0.0,78.08200000000001,1138.0,1138.0,2318.6530000000002,34452.0,34452.0
2006-09-01,,,,0.0,0.0,0.0,35.872,523.0,523.0,1363.8790000000001,20265.0,20265.0
2006-10-01,,,,0.0,0.0,0.0,37.892,552.0,552.0,1477.351,21951.0,21951.0
2006-11-01,,,,0.0,0.0,0.0,44.62,650.0,650.0,993.211,14758.0,14758.0
2006-12-01,,,,0.0,0.0,0.0,49.439,720.0,720.0,1008.234,14981.0,14981.0
2007-01-01,0.0,0.0,0.0,,,,153.52,2287.0,2287.0,0.0,24320.0,24320.0
2007-02-01,0.0,0.0,0.0,,,,329.34700000000004,4910.0,4910.0,0.0,24899.0,24899.0
2007-03-01,0.0,0.0,0.0,,,,53.641000000000005,800.0,800.0,0.0,19490.0,19490.0
2007-04-01,,,,0.0,0.0,0.0,38.047000000000004,564.0,564.0,85.5,20700.0,20700.0
2007-05-01,0.0,0.0,0.0,,,,46.927,700.0,700.0,0.0,13800.0,13800.0
2007-06-01,0.0,0.0,0.0,,,,50.07,747.0,747.0,0.0,17250.0,17250.0
2007-07-01,,,,0.0,0.0,0.0,39.647,594.0,594.0,800.0,44070.0,44070.0
2007-08-01,,,,0.0,0.0,0.0,3.512,53.0,53.0,224.0,20370.0,20370.0
2007-09-01,,,,0.0,0.0,0.0,12.744,188.0,188.0,255.0,21050.0,21050.0
2007-10-01,,,,0.0,0.0,0.0,11.185,165.0,165.0,82.5,16630.0,16630.0
2007-11-01,0.0,0.0,0.0,,,,43.465,647.0,647.0,0.0,18239.0,18239.0
2007-12-01,0.0,0.0,0.0,,,,69.895,1041.0,1041.0,0.0,23970.0,23970.0
2008-01-01,,,,0.0,0.0,0.0,1.0,47.0,47.0,470.0,36100.0,36100.0
2008-02-01,0.0,0.0,0.0,,,,0.0,41.0,41.0,0.0,26160.0,26160.0
2008-03-01,0.0,0.0,0.0,,,,37.0,547.0,547.0,0.0,22630.0,22630.0
2008-04-01,,,,0.0,0.0,0.0,0.0,41.0,41.0,6.0,18660.0,18660.0
2008-05-01,0.0,0.0,0.0,,,,0.0,65.0,65.0,0.0,14693.0,14693.0
2008-06-01,0.0,0.0,0.0,,,,0.0,35.0,35.0,0.0,12210.0,12210.0
2008-07-01,,,,0.0,0.0,0.0,0.0,53.0,53.0,1192.0,36360.0,36360.0
2008-08-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,975.0,31619.0,31619.0
2008-09-01,0.0,0.0,0.0,,,,57.0,782.0,782.0,0.0,11460.0,11460.0
2008-10-01,0.0,0.0,0.0,,,,0.0,35.0,35.0,0.0,13590.0,13590.0
2008-11-01,0.0,0.0,0.0,,,,0.0,41.0,41.0,0.0,17780.0,17780.0
2008-12-01,0.0,0.0,0.0,,,,0.0,47.0,47.0,0.0,25510.0,25510.0
2009-01-01,,,,,,,0.0,47.0,47.0,0.0,28760.0,28760.0
2009-02-01,,,,,,,47.0,753.0,753.0,0.0,23330.0,23330.0
