measured_on,"Gaseous Propane-Internal Combustion Engine (diesel, piston, reciprocating) Generation","Gaseous Propane-Internal Combustion Engine (diesel, piston, reciprocating) Quantity Consumed For Electricity","Gaseous Propane-Internal Combustion Engine (diesel, piston, reciprocating) Total Fuel Consumed","Natural Gas-Internal Combustion Engine (diesel, piston, reciprocating) Generation","Natural Gas-Internal Combustion Engine (diesel, piston, reciprocating) Quantity Consumed For Electricity","Natural Gas-Internal Combustion Engine (diesel, piston, reciprocating) Total Fuel Consumed"
2004-01-01,28.323249999999998,283.23,345.44,834.23975,8342.4,10174.72
2004-02-01,28.323249999999998,283.23,345.44,834.23975,8342.4,10174.72
2004-03-01,28.323249999999998,283.23,345.44,834.23975,8342.4,10174.72
2004-04-01,28.323249999999998,283.23,345.44,834.23975,8342.4,10174.72
2004-05-01,28.323249999999998,283.23,345.44,834.23975,8342.4,10174.72
2004-06-01,28.323249999999998,283.23,345.44,834.23975,8342.4,10174.72
2004-07-01,28.323249999999998,283.23,345.44,834.23975,8342.4,10174.72
2004-08-01,28.323249999999998,283.23,345.44,834.23975,8342.4,10174.72
2004-09-01,28.323249999999998,283.23,345.44,834.23975,8342.4,10174.72
2004-10-01,28.323249999999998,283.23,345.44,834.23975,8342.4,10174.72
2004-11-01,28.323249999999998,283.23,345.44,834.23975,8342.4,10174.72
2004-12-01,28.323249999999998,283.23,345.44,834.23975,8342.4,10174.72
2005-01-01,2.41747,24.17,29.41,799.79153,7997.91,9730.02
2005-02-01,2.51475,25.15,30.59,709.03525,7090.37,8625.92
2005-03-01,2.83556,28.36,34.5,846.10844,8461.09,10293.52
2005-04-01,2.29949,22.99,27.97,867.46951,8674.69,10553.38
2005-05-01,2.20636,22.06,26.84,703.72564,7037.25,8561.31
2005-06-01,2.55614,25.56,31.1,1197.24486,11972.45,14565.33
2005-07-01,2.60375,26.04,31.68,1542.81825,15428.18,18769.48
2005-08-01,3.00114,30.01,36.51,1649.50486,16495.05,20067.38
2005-09-01,2.83349,28.33,34.47,1091.16251,10911.63,13274.75
2005-10-01,2.70103,27.01,32.86,754.59597,7545.95,9180.18
2005-11-01,2.28915,22.89,27.85,677.33485,6773.34,8240.25
2005-12-01,2.3740099999999997,23.74,28.88,731.81699,7318.17,8903.06
2006-01-01,0.0,0.0,0.0,762.639,7626.39,12213.45
2006-02-01,0.0,0.0,0.0,760.416,7604.16,12177.86
2006-03-01,0.0,0.0,0.0,829.5730000000001,8295.73,13285.39
2006-04-01,0.0,0.0,0.0,697.475,6974.75,11169.87
2006-05-01,0.0,0.0,0.0,676.599,6765.99,10835.56
2006-06-01,0.0,0.0,0.0,865.5010000000001,8655.01,13860.76
2006-07-01,0.0,0.0,0.0,1296.142,12961.41,20757.36
2006-08-01,0.0,0.0,0.0,1220.2820000000002,12202.82,19542.5
2006-09-01,0.0,0.0,0.0,865.546,8655.47,13861.5
2006-10-01,0.0,0.0,0.0,965.297,9652.97,15458.98
2006-11-01,0.0,0.0,0.0,830.285,8302.84,13296.79
2006-12-01,0.0,0.0,0.0,811.306,8113.06,12992.85
2007-01-01,,,,590.775,5908.0,8042.0
2007-02-01,,,,509.375,5093.0,6934.0
2007-03-01,,,,740.8810000000001,7409.0,10086.0
2007-04-01,,,,749.686,7496.0,10205.0
2007-05-01,,,,799.3580000000001,7994.0,10882.0
2007-06-01,,,,1100.344,11003.0,14979.0
2007-07-01,,,,1451.814,14518.0,19764.0
2007-08-01,,,,1584.9730000000002,15850.0,21576.0
2007-09-01,,,,1147.981,11479.0,15627.0
2007-10-01,,,,909.394,9094.0,12380.0
2007-11-01,,,,823.844,8238.0,11215.0
2007-12-01,,,,993.874,9938.0,13530.0
2008-01-01,,,,812.974,8130.0,12024.0
2008-02-01,,,,792.9780000000001,7930.0,11729.0
2008-03-01,,,,821.4530000000001,8215.0,12151.0
2008-04-01,,,,924.772,9248.0,13679.0
2008-05-01,,,,741.892,7419.0,10974.0
2008-06-01,,,,1259.8210000000001,12598.0,18634.0
2008-07-01,,,,1363.203,13632.0,20164.0
2008-08-01,,,,1051.3220000000001,10513.0,15551.0
2008-09-01,,,,1085.0030000000002,10850.0,16049.0
2008-10-01,,,,683.081,6831.0,10104.0
2008-11-01,,,,774.523,7745.0,11457.0
2008-12-01,,,,563.058,5631.0,8328.0
2009-01-01,,,,671.53,6715.0,11006.0
2009-02-01,,,,585.118,5851.0,9589.0
2009-03-01,,,,505.36800000000005,5054.0,8282.0
2009-04-01,,,,614.166,6142.0,10065.0
2009-05-01,,,,747.688,7477.0,12254.0
2009-06-01,,,,778.1,7781.0,12752.0
2009-07-01,,,,952.057,9521.0,15602.0
2009-08-01,,,,1121.987,11220.0,18388.0
2009-09-01,,,,921.658,9217.0,15104.0
2009-10-01,,,,841.792,8418.0,13796.0
2009-11-01,,,,714.894,7149.0,11716.0
2009-12-01,,,,698.842,6988.0,11453.0
2010-01-01,,,,665.015,6650.0,11042.0
2010-02-01,,,,579.277,5793.0,9620.0
2010-03-01,,,,512.988,5130.0,8518.0
2010-04-01,,,,609.464,6095.0,10120.0
2010-05-01,,,,716.068,7161.0,11891.0
2010-06-01,,,,920.431,9204.0,15285.0
2010-07-01,,,,1172.789,11728.0,19474.0
2010-08-01,,,,1009.452,10095.0,16763.0
2010-09-01,,,,828.6030000000001,8286.0,13760.0
2010-10-01,,,,689.9060000000001,6899.0,11457.0
2010-11-01,,,,663.0830000000001,6631.0,11011.0
2010-12-01,,,,745.9440000000001,7459.0,12387.0
2011-01-01,,,,740.649,7406.0,12414.0
2011-02-01,,,,685.902,6859.0,11496.0
2011-03-01,,,,695.319,6953.0,11655.0
2011-04-01,,,,828.257,8283.0,13882.0
